鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
大安區,土地,通化段四小段211~240地號,74.0,其他,,,1010801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27700000,374324,,0.0,0,二等親買賣(有繳贈與稅)建物未辦保存登記,RPUOMLMKRHHFFFA18CA
大安區,房地(土地+建物),臺北市大安區忠孝東路四段241~270號,17.94,商,,,1031201,土地2建物1車位0,十一層,十八層,辦公商業大樓,商業用,見使用執照,0751231,228.46,1,1,0,有,有,71864000,314558,,0.0,0,,RPQNMLOJLHKFFFA47CA
大安區,房地(土地+建物),臺北市大安區四維路14巷1~30號,34.0,住,,,1040101,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,172.92,4,2,2,有,無,43200000,249827,,0.0,0,含增建或未登記建物。,RPOOMLTJLHKFFFA87CA
大安區,房地(土地+建物),臺北市大安區仁愛路三段24巷1~30號,16.83,住,,,1040201,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800315,62.95,2,1,1,有,有,17530000,278475,,0.0,0,,RPSNMLKKLHKFFFA37CA
大安區,房地(土地+建物),臺北市大安區忠孝東路四段181巷31~60號,12.25,住,,,1040101,土地1建物1車位0,三層,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0761230,52.28,1,1,1,有,有,13700000,262050,,0.0,0,地政士僅受託買賣案件申請登記，並無代理撰擬不動產買賣契約書，係由不動產經紀業或權利人自行提供成交案件實際資訊，供地政士申報登錄(含增建或未登記建物)。,RPWOMLLKLHKFFFA97CA
大安區,房地(土地+建物),臺北市大安區敦化南路一段181~210號,19.95,其他,,,1040201,土地1建物1車位0,十二層，陽台,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0620523,132.38,0,0,0,無,有,48000000,362593,,0.0,0,,RPOPMLKLLHKFFFA27CA
大安區,房地(土地+建物)+車位,臺北市大安區金山南路二段211~240號,11.11,商,,,1040601,土地1建物1車位1,十一層,三十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1031224,180.68,3,2,2,有,有,26540000,146890,坡道平面,30.69,0,1.建商與地主合建案2.依原地主出售時契約條件及價格買回，致交易價格異於市場行情,RPPNMLKLQHKFFFA67CA
內湖區,房地(土地+建物)+車位,臺北市內湖區港華街51巷8弄1~30號,16.59,住,,,1040912,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971017,133.97,3,2,2,有,有,22000000,164216,升降平面,0.0,0,價格含增建。內含獨立產權車位，未包含在棟數內。本案車位面積無法概算。,RPUNMLSLIIKFFCA97CA
萬華區,土地,漢中段二小段1~30地號,117.0,商,,,1051117,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,180882,1546,,0.0,0,本案係依國有財產法第52之2專案讓售,RPUNMLQJJHMFFBA67CA
萬華區,房地(土地+建物),臺北市萬華區大理街1~30號,9.44,商,,,1051123,土地2建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041022,72.42,0,0,0,無,有,13600000,187793,,0.0,0,,RPSNMLQJJHMFFBA47CA
中正區,房地(土地+建物)+車位,臺北市中正區懷寧街1~30號,4.94,商,,,1051116,土地1建物1車位6,三層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0840826,159.84,0,1,1,有,有,22200000,138889,升降機械,0.0,0,,RPWNMLQJJHMFFBA87CA
