編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLOJLHKFFFA47CA,28,159.90,商業用,見使用執照,75年12月31日,十八層,十一層
RPQNMLOJLHKFFFA47CA,28,41.17,共有部分,見使用執照,75年12月31日,十八層,
RPQNMLOJLHKFFFA47CA,28,27.40,共有部分,見使用執照,75年12月31日,十八層,
RPOOMLTJLHKFFFA87CA,,172.92,住家用,鋼筋混凝土造,,七層,六層
RPSNMLKKLHKFFFA37CA,24,45.82,住家用,鋼筋混凝土造,80年3月15日,六層,二層
RPSNMLKKLHKFFFA37CA,24,17.13,共有部分,鋼筋混凝土造,80年3月15日,六層,
RPWOMLLKLHKFFFA97CA,27,37.10,住家用,鋼筋混凝土造,76年12月30日,六層,三層
RPWOMLLKLHKFFFA97CA,27,15.18,共有部分,鋼筋混凝土造,76年12月30日,六層,
RPOPMLKLLHKFFFA27CA,42,116.56,,鋼筋混凝土造,62年5月23日,十二層,十二層 陽台
RPOPMLKLLHKFFFA27CA,42,15.82,共有部分,鋼筋混凝土造,62年5月23日,十二層,
RPPNMLKLQHKFFFA67CA,,96.25,住家用,見其他登記事項,103年12月24日,三十八層,十一層
RPPNMLKLQHKFFFA67CA,,32.51,見其他登記事項,見其他登記事項,103年12月24日,三十八層,
RPPNMLKLQHKFFFA67CA,,14.46,見其他登記事項,見其他登記事項,103年12月24日,三十八層,
RPPNMLKLQHKFFFA67CA,,37.46,見其他登記事項,見其他登記事項,103年12月24日,三十八層,
RPUNMLSLIIKFFCA97CA,7,68.70,住家用,鋼筋混凝土造,97年10月17日,九層,三層
RPUNMLSLIIKFFCA97CA,7,33.73,共有部分,鋼筋混凝土造,97年10月17日,九層,
RPUNMLSLIIKFFCA97CA,7,13.50,見其他登記事項,鋼筋混凝土造,97年10月17日,九層,地下三層
RPUNMLSLIIKFFCA97CA,7,18.04,共有部分,鋼筋混凝土造,97年10月17日,九層,
RPSNMLQJJHMFFBA47CA,1,47.90,住家用,鋼筋混凝土造,104年10月22日,十四層,二層
RPSNMLQJJHMFFBA47CA,1,15.55,見其他登記事項,鋼筋混凝土造,104年10月22日,十四層,
RPSNMLQJJHMFFBA47CA,1,8.97,見其他登記事項,鋼筋混凝土造,104年10月22日,十四層,
RPWNMLQJJHMFFBA87CA,21,28.16,商業用,鋼筋混凝土造,84年8月26日,九層,三層
RPWNMLQJJHMFFBA87CA,21,5.59,共有部分,鋼筋混凝土造,84年8月26日,九層,
RPWNMLQJJHMFFBA87CA,21,126.09,共有部分,鋼筋混凝土造,84年8月26日,九層,
RPQOMLQJJHMFFBA37CA,36,47.50,商業用,鋼筋混凝土造,70年4月2日,十層,三層
RPQOMLQJJHMFFBA37CA,36,8.67,共有部分,鋼筋混凝土造,70年4月2日,十層,
RPROMLQJJHMFFBA47CA,26,42.44,共有部分,鋼筋混凝土造,79年10月4日,十三層,
RPROMLQJJHMFFBA47CA,26,445.52,商業用,鋼筋混凝土造,79年10月4日,十三層,九層
RPUOMLQJJHMFFBA77CA,,50.94,住家用,鋼筋混凝土造,105年10月25日,五層,二層
RPUOMLQJJHMFFBA77CA,,32.74,見其他登記事項,鋼筋混凝土造,105年10月25日,五層,
RPWOMLQJJHMFFBA97CA,,30.86,住家用,鋼筋混凝土造,105年10月25日,五層,二層
RPWOMLQJJHMFFBA97CA,,19.83,見其他登記事項,鋼筋混凝土造,105年10月25日,五層,
RPOPMLQJJHMFFBA27CA,,91.87,住家用,鋼筋混凝土造,105年10月25日,五層,四層
RPOPMLQJJHMFFBA27CA,,59.03,見其他登記事項,鋼筋混凝土造,105年10月25日,五層,
RPQPMLQJJHMFFBA57DA,39,71.63,住家用,鋼筋混凝土造,67年1月31日,五層,二層
RPQNMLQJJHMFFBA27CA,30,75.72,住家用,鋼筋混凝土造,76年3月16日,十二層,八層
RPQNMLQJJHMFFBA27CA,30,21.51,共有部分,鋼筋混凝土造,76年3月16日,十二層,
RPOOMLOKMHMFFBA37CA,,85.26,住家用,加強磚造,,四層,一層
RPOOMLQLMHMFFCA77CA,,58.30,住家用,鋼筋混凝土造,105年9月13日,八層,八層
RPOOMLQLMHMFFCA77CA,,22.38,見其他登記事項,鋼筋混凝土造,105年9月13日,八層,
RPOOMLQLMHMFFCA77CA,,31.14,見其他登記事項,鋼筋混凝土造,105年9月13日,八層,
RPQNMLRKMHMFFCA87CA,1,32.01,住家用,鋼筋混凝土造,105年2月19日,七層,五層
RPQNMLRKMHMFFCA87CA,1,23.04,見其他登記事項,鋼筋混凝土造,105年2月19日,七層,
RPTNMLRKMHMFFCA18CA,1,32.01,住家用,鋼筋混凝土造,105年2月19日,七層,二層
RPTNMLRKMHMFFCA18CA,1,23.04,見其他登記事項,鋼筋混凝土造,105年2月19日,七層,
RPUPMLRKLHMFFEA58CA,1,38.27,住家用,鋼筋混凝土造,105年6月8日,五層,五層
RPUPMLRKLHMFFEA58CA,1,18.45,見其他登記事項,鋼筋混凝土造,105年6月8日,五層,
RPOOMLOLMHMFFDA67CA,12,.45,見其他登記事項,鋼筋混凝土造,93年10月27日,九層,二層
RPOOMLOLMHMFFDA67CA,12,.13,共有部分,鋼筋混凝土造,93年10月27日,九層,
RPOOMLOLMHMFFDA67CA,12,7.96,共有部分,鋼筋混凝土造,93年10月27日,九層,
RPOOMLOLMHMFFEA77CA,1,42.71,住家用,鋼筋混凝土造,105年6月8日,五層,四層
RPOOMLOLMHMFFEA77CA,1,20.59,見其他登記事項,鋼筋混凝土造,105年6月8日,五層,
RPQNMLRKMHMFFDA97CA,10,.05,見其他登記事項,見其他登記事項,95年12月29日,十九層,一層
RPQNMLRKMHMFFDA97CA,10,.02,共有部分,見其他登記事項,95年12月29日,十九層,
RPQNMLRKMHMFFDA97CA,10,16.27,共有部分,見其他登記事項,95年12月29日,十九層,
RPOOMLRKMHMFFDA87CA,42,81.52,住家用,鋼筋混凝土造,63年7月20日,四層,一層 平台
RPPOMLRKMHMFFDA97CA,42,81.52,住家用,鋼筋混凝土造,63年7月20日,四層,二層 陽台
RPTNMLSKMHMFFFA58CA,18,.34,住家用,鋼筋混凝土造,87年12月1日,十四層,一層
RPTNMLSKMHMFFFA58CA,18,1.68,共有部分,鋼筋混凝土造,87年12月1日,十四層,
RPTNMLSKMHMFFFA58CA,18,37.51,共有部分,鋼筋混凝土造,87年12月1日,十四層,
RPQNMLTKMHMFFFA48DA,15,.09,見使用執照,鋼骨鋼筋混凝土造,91年6月7日,十層,一層
RPQNMLTKMHMFFFA48DA,15,.03,共有部分,鋼骨鋼筋混凝土造,91年6月7日,十層,
RPQNMLTKMHMFFFA48DA,15,9.70,共有部分,鋼骨鋼筋混凝土造,91年6月7日,十層,
RPQNMLTKMHMFFFA48DA,15,.65,共有部分,鋼骨鋼筋混凝土造,91年6月7日,十層,
RPQPMLNKMHMFFFA08DA,31,99.18,住家用,鋼筋混凝土造,74年9月19日,六層,四層
RPQPMLNKMHMFFFA08DA,31,13.18,共有部分,鋼筋混凝土造,74年9月19日,六層,
SPQPMLNKMHMFFFA18DA,31,24.74,見使用執照,鋼筋混凝土造,74年9月19日,六層,地下一層
RPRPMLOLLHMFFAA77DA,20,59.68,見其他登記事項,鋼筋混凝土造,86年6月23日,十一層,九層
RPRPMLOLLHMFFAA77DA,20,8.68,共有部分,鋼筋混凝土造,86年6月23日,十一層,
RPRPMLOLLHMFFAA77DA,20,7.71,共有部分,鋼筋混凝土造,86年6月23日,十一層,
RPRPMLOLLHMFFAA77DA,20,34.35,共有部分,鋼筋混凝土造,86年6月23日,十一層,
RPUOMLLLLHMFFCA87DA,24,33.52,停車空間,鋼筋混凝土造,81年10月7日,五層,地下一層 地下二層 地下三層
RPVQMLOLLHMFFCA48DA,32,102.32,住家用,鋼筋混凝土造,73年10月26日,五層,五層
RPVQMLOLLHMFFCA48DA,32,8.11,共有部分,鋼筋混凝土造,73年10月26日,五層,
RPVNMLRJMHMFFCA38DA,10,145.23,住家用,鋼筋混凝土造,96年1月31日,十層,三層
RPVNMLRJMHMFFCA38DA,10,35.97,共有部分,鋼筋混凝土造,96年1月31日,十層,
RPVNMLRJMHMFFCA38DA,10,15.97,共有部分,鋼筋混凝土造,96年1月31日,十層,
RPVNMLRJMHMFFCA38DA,10,35.48,共有部分,鋼筋混凝土造,96年1月31日,十層,
RPVOMLPKLHMFFDA38DA,,109.34,住家用,鋼筋混凝土造,,五層,一層
RPXNMLRKLHMFFDA68DA,26,106.98,住家用,鋼筋混凝土造,80年1月23日,十二層,十一層
RPXNMLRKLHMFFDA68DA,26,7.92,共有部分,鋼筋混凝土造,80年1月23日,十二層,
RPXNMLRKLHMFFDA68DA,26,12.67,見使用執照,鋼筋混凝土造,80年1月23日,十二層,地下二層
RPTOMLKLLHMFFDA77DA,,131.28,見使用執照,鋼筋混凝土造,,七層,一層 二層
RPTOMLKLLHMFFDA77DA,,16.37,共有部分,鋼筋混凝土造,,七層,
RPSOMLQKLHMFFEA28DA,18,115.63,住家用,鋼筋混凝土造,87年12月11日,十三層,五層
RPSOMLQKLHMFFEA28DA,18,21.96,共有部分,鋼筋混凝土造,87年12月11日,十三層,
RPSOMLQKLHMFFEA28DA,18,16.88,共有部分,鋼筋混凝土造,87年12月11日,十三層,
RPQNMLMKMHMFFFA67CA,2,37.15,住家用,鋼筋混凝土造,103年12月27日,七層,三層
RPQNMLMKMHMFFFA67CA,2,42.74,見其他登記事項,鋼筋混凝土造,103年12月27日,七層,
RPRNMLRLLHMFFFA28CA,,106.64,住家用,鋼筋混凝土造,,五層,三層
RPTOMLPKLHMFFEA18CA,41,112.50,住家用,鋼筋混凝土造,64年10月8日,四層,三層 陽台
RPUOMLLLMHMFFDA97CA,8,24.82,共有部分,見其他登記事項,98年3月31日,十八層,
RPWNMLKLLHMFFEA97CA,2,44.19,見其他登記事項,鋼筋混凝土造,104年6月30日,十一層,
RPWNMLKLLHMFFEA97CA,2,23.72,見其他登記事項,鋼筋混凝土造,104年6月30日,十一層,
RPWNMLKLLHMFFEA97CA,2,49.64,住家用,鋼筋混凝土造,104年6月30日,十一層,五層
RPTNMLMLLHMFFEA87CA,22,91.66,住家用,鋼筋混凝土造,83年11月3日,七層,七層
RPTNMLMLLHMFFEA87CA,22,42.33,共有部分,鋼筋混凝土造,83年11月3日,七層,
