編號,車位類別,車位價格,車位面積平方公尺
RPPNMLKLQHKFFFA67CA,坡道平面,0,30.69
RPUNMLSLIIKFFCA97CA,升降平面,0,
RPWNMLQJJHMFFBA87CA,升降機械,0,
RPWNMLQJJHMFFBA87CA,升降機械,0,
RPWNMLQJJHMFFBA87CA,升降機械,0,
RPWNMLQJJHMFFBA87CA,升降機械,0,
RPWNMLQJJHMFFBA87CA,升降機械,0,
RPWNMLQJJHMFFBA87CA,升降機械,0,
RPOOMLQLMHMFFCA77CA,升降機械,0,14.83
RPOOMLQLMHMFFCA77CA,升降機械,0,7.55
RPOOMLOLMHMFFDA67CA,升降機械,1450000,8.53
RPQNMLRKMHMFFDA97CA,升降機械,800000,
RPTNMLSKMHMFFFA58CA,坡道平面,0,
RPQNMLTKMHMFFFA48DA,升降機械,1200000,
SPQPMLNKMHMFFFA18DA,坡道平面,3500000,24.74
RPRPMLOLLHMFFAA77DA,坡道平面,1600000,34.35
RPUOMLLLLHMFFCA87DA,升降平面,1500000,33.52
RPVNMLRJMHMFFCA38DA,坡道平面,2500000,35.48
RPXNMLRKLHMFFDA68DA,升降機械,1500000,12.67
RPUOMLLLMHMFFDA97CA,坡道平面,2780000,24.82
RPWNMLKLLHMFFEA97CA,坡道平面,2300000,44.19
RPTNMLMLLHMFFEA87CA,升降平面,0,
RPROMLOLLHMFFEA97CA,升降機械,0,23.44
RPVOMLTLLHMFFDA78CA,坡道平面,0,37.37
RPWRMLMKMHMFFCA38CA,坡道平面,1900000,24.09
RPWRMLMKMHMFFCA38CA,坡道平面,1900000,24.09
RPRNMLQKLHMFFDA87CA,坡道平面,0,
RPQOMLQKLHMFFCA77CA,升降機械,1150000,
RPVOMLQKLHMFFCA28CA,坡道平面,0,
RPVNMLRKLHMFFCA28CA,坡道平面,0,
RPOOMLMKMHMFFBA17CA,坡道平面,2300000,45.10
RPOOMLMKMHMFFBA17CA,坡道平面,2300000,45.10
RPOOMLMKMHMFFBA17CA,坡道平面,2300000,45.10
RPOOMLMKMHMFFBA17CA,坡道平面,2300000,45.10
RPOOMLMKMHMFFBA17CA,坡道平面,2300000,36.89
RPOOMLMKMHMFFBA17CA,坡道平面,2300000,36.89
RPPPMLLLLHMFFCA37CA,坡道平面,0,.35
RPPPMLLLLHMFFCA37CA,坡道平面,0,35.36
RPUOMLMLLHMFFCA87CA,坡道平面,2500000,44.38
RPWOMLMLLHMFFCA08CA,塔式車位,0,13.41
RPUOMLTLLHMFFCA58CA,升降機械,0,13.13
RPUQMLTLLHMFFCA78CA,坡道平面,0,32.14
RPXNMLKMLHMFFCA97CA,坡道平面,0,29.00
RPXNMLKMLHMFFCA97CA,坡道平面,0,29.00
RPSPMLLMLHMFFCA77CA,坡道平面,1450000,20.75
RPSPMLLMLHMFFCA77CA,坡道平面,1450000,20.75
RPSPMLLMLHMFFCA77CA,坡道平面,1450000,25.00
RPRRMLPJMHMFFCA08CA,坡道平面,1562500,34.73
RPRRMLPJMHMFFCA08CA,坡道平面,1562500,34.73
RPRRMLPJMHMFFCA08CA,坡道平面,1562500,34.73
RPRRMLPJMHMFFCA08CA,坡道平面,1562500,34.73
RPSNMLMKMHMFFAA37CA,坡道平面,2500000,34.43
RPSNMLMKMHMFFAA37CA,坡道平面,2000000,34.43
RPVNMLMKMHMFFAA67CA,坡道平面,0,33.04
RPROMLQKLHMFFAA67CA,坡道機械,0,
RPSOMLKLLHMFFAA27CA,其他,2000000,12.81
RPVOMLLLLHMFFAA67CA,坡道平面,0,34.41
RPXOMLLLLHMFFAA87CA,坡道平面,0,38.64
RPOOMLOLLHMFFAA27CA,坡道機械,1100000,13.83
RPPOMLOLLHMFFAA37CA,坡道機械,1100000,13.83
RPXOMLRLLHMFFAA48CA,坡道平面,0,41.01
RPROMLLMLHMFFCA57CA,坡道平面,3000000,47.58
RPROMLLMLHMFFCA57CA,坡道平面,3000000,47.58
RPSOMLLMLHMFFCA67CA,坡道平面,3300000,47.58
RPSOMLLMLHMFFCA67CA,坡道平面,3300000,47.58
RPSOMLLMLHMFFCA67CA,坡道平面,3100000,41.09
RPTOMLLMLHMFFCA77CA,坡道平面,3900000,47.61
RPTOMLLMLHMFFCA77CA,坡道平面,3300000,47.58
RPTOMLLMLHMFFCA77CA,坡道平面,3300000,47.58
RPUOMLLMLHMFFCA87CA,坡道平面,3600000,47.58
RPUOMLLMLHMFFCA87CA,坡道平面,3050000,41.09
RPUOMLLMLHMFFCA87CA,坡道平面,3350000,47.58
RPVOMLLMLHMFFCA97CA,坡道平面,3900000,47.61
RPVOMLLMLHMFFCA97CA,坡道平面,3050000,47.58
RPVOMLLMLHMFFCA97CA,坡道平面,3050000,47.58
RPROMLMLLHMFFCA57CA,坡道平面,2500000,32.76
RPTPMLRLLHMFFCA38CA,升降平面,0,27.13
RPVNMLLLLHMFFCA77CA,升降機械,0,13.40
RPSOMLRKLHMFFDA18CA,坡道平面,3000000,42.64
RPSOMLRKLHMFFDA18CA,坡道平面,3000000,42.64
RPOOMLLLLHMFFDA27CA,坡道平面,0,
RPOOMLLLLHMFFDA27CA,坡道平面,0,
RPOOMLLLLHMFFDA27CA,坡道平面,0,
RPOOMLLLLHMFFDA27CA,坡道平面,0,
RPOOMLLLLHMFFDA27CA,坡道平面,0,
RPQOMLQKLHMFFDA87CA,坡道平面,0,
RPWNMLNKMHMFFDA18CA,坡道平面,2500000,29.44
RPPOMLQJMHMFFDA77CA,坡道平面,0,35.94
RPWNMLMLLHMFFEA18CA,升降機械,0,
RPVOMLKLLHMFFEA97CA,升降機械,0,14.53
RPUOMLLLLHMFFEA97CA,坡道平面,0,40.76
RPUOMLLLLHMFFEA97CA,坡道平面,0,40.76
RPWOMLRKLHMFFEA78DA,坡道平面,1850000,30.04
RPPQMLKLLHMFFDA57DA,坡道平面,3000000,
RPPNMLKLLHMFFDA27DA,坡道平面,2850000,39.01
RPVNMLMLLHMFFFA28DA,坡道平面,0,38.90
RPVNMLMLLHMFFFA28DA,坡道平面,0,38.90
RPVNMLMLLHMFFFA28DA,坡道平面,0,38.90
RPRPMLSLLHMFFCA38DA,坡道平面,1980000,
RPSOMLTLLHMFFAA28DA,坡道平面,2500000,
RPTOMLLMLHMFFAA67DA,坡道平面,3500000,30.45
RPTOMLLMLHMFFAA67DA,坡道平面,3500000,30.45
RPTOMLLMLHMFFAA67DA,坡道平面,3500000,41.30
RPRPMLKMLHMFFAA47DA,坡道平面,2500000,45.47
RPQNMLPLLHMFFAA57DA,坡道平面,2500000,46.62
RPPPMLNLLHMFFAA47DA,坡道平面,2110000,36.01
RPUPMLRKLHMFFDA58DA,坡道平面,0,
RPWNMLRLLHMFFFA88DA,坡道平面,0,
RPVNMLNLLHMFFFA28CA,坡道平面,0,52.09
RPVNMLNLLHMFFFA28CA,坡道平面,0,52.09
RPVOMLKKMHMFFEA97CA,坡道平面,1950000,25.44
RPQNMLKLLHMFFEA37CA,坡道平面,0,27.34
RPVNMLOLMHMFFDA28CA,坡道平面,0,40.11
RPTNMLSLLHMFFDA38CA,坡道平面,0,
RPPNMLNLLHMFFDA47CA,坡道平面,0,37.84
RPPNMLNLLHMFFDA47CA,坡道平面,0,37.84
RPPNMLNLLHMFFDA47CA,坡道平面,0,37.84
RPOPMLRKLHMFFDA87CA,坡道平面,2500000,
RPOPMLRKLHMFFDA87CA,坡道平面,2500000,
RPQNMLKLLHMFFDA27CA,其他,0,14.62
RPQNMLKLLHMFFDA27CA,其他,0,14.62
RPWNMLLLLHMFFDA97CA,坡道平面,0,
RPPNMLLKMHMFFBA07CA,升降機械,1120000,21.12
RPVPMLLLLHMFFCA97CA,坡道平面,0,15.77
RPVPMLLLLHMFFCA97CA,坡道平面,0,15.77
RPQNMLQLLHMFFCA77CA,坡道平面,3000000,28.02
RPWNMLSLLHMFFCA58CA,坡道機械,0,23.66
RPQRMLPJMHMFFCA97CA,塔式車位,2500000,5.17
SPQRMLPJMHMFFCA08CA,塔式車位,2800000,5.17
RPWNMLNKMHMFFAA87CA,坡道平面,1500000,33.46
RPSOMLNKMHMFFAA57CA,坡道機械,1650000,25.10
RPUNMLKLLHMFFBA47CA,坡道平面,0,
RPUNMLKLLHMFFBA47CA,坡道平面,0,
RPPNMLRLLHMFFAA57CA,坡道平面,3000000,44.23
RPPNMLKLLHMFFAA86CA,坡道平面,0,
RPXNMLNLLHMFFAA97CA,坡道平面,3000000,44.23
RPOOMLNLLHMFFAA17CA,坡道平面,3000000,44.23
RPOPMLLLLHMFFAA07CA,坡道機械,0,13.67
RPUNMLPJMHMFFAA77CA,坡道機械,0,
RPOOMLKMLHMFFBA07CA,坡道平面,0,46.23
RPQNMLNLLHMFFBA37CA,坡道平面,0,
RPQNMLNLLHMFFBA37CA,坡道平面,0,
RPPNMLMKMHMFFAA07CA,坡道平面,1500000,35.33
RPSNMLOKMHMFFAA57CA,坡道平面,0,34.43
RPSNMLOKMHMFFAA57CA,坡道平面,0,34.43
RPTNMLTKMHMFFAA18CA,坡道平面,0,34.43
RPTNMLTKMHMFFAA18CA,坡道平面,0,34.43
SPTNMLTKMHMFFAA28CA,坡道平面,0,34.43
SPTNMLTKMHMFFAA28CA,坡道平面,0,34.43
RPSQMLLMLHMFFCA87CA,坡道平面,0,25.25
RPSQMLLMLHMFFCA87CA,坡道平面,0,25.25
RPSQMLLMLHMFFCA87CA,坡道平面,0,25.25
RPSQMLLMLHMFFCA87CA,坡道平面,0,25.25
RPSQMLLMLHMFFCA87CA,坡道平面,0,26.04
RPSQMLLMLHMFFCA87CA,坡道平面,0,26.04
RPQNMLSKMHMFFBA87CA,升降平面,1600000,42.98
RPRNMLMLLHMFFCA47CA,坡道平面,0,14.24
RPPNMLLLLHMFFCA17CA,坡道平面,0,31.10
RPUOMLLLLHMFFDA87CA,坡道平面,1500000,14.42
RPUOMLLLLHMFFDA87CA,坡道平面,1500000,14.42
RPPQMLRLLHMFFEA28CA,坡道平面,0,36.91
RPSNMLPLLHMFFEA18DA,坡道平面,1800000,36.94
RPXNMLNLLHMFFDA38DA,其他,1900000,12.50
RPRNMLPLLHMFFAA67DA,坡道機械,2300000,24.69
RPVOMLRLLHMFFAA38DA,坡道平面,1700000,36.26
RPXNMLSLLHMFFAA58DA,坡道平面,2200000,30.94
RPQQMLLMLHMFFCA77DA,坡道平面,2500000,
RPUPMLQJMHMFFCA38DA,坡道平面,3500000,39.12
RPUQMLMLLHMFFCA18DA,坡道平面,0,45.93
RPTNMLTLLHMFFDA58DA,坡道平面,2000000,38.76
RPOPMLLLLHMFFEA47CA,坡道平面,0,
RPUNMLQJMHMFFDA18CA,坡道平面,2120000,36.83
RPVNMLKMLHMFFDA87CA,坡道平面,1750000,
RPROMLRJMHMFFCA97CA,其他,2300000,19.43
RPWOMLOKMHMFFCA28CA,升降機械,450000,20.90
RPSNMLOLLHMFFCA77CA,坡道平面,0,27.70
RPTQMLMLLHMFFCA97CA,坡道平面,0,
RPTQMLMLLHMFFCA97CA,坡道平面,0,
RPPNMLQJMHMFFCA57CA,坡道平面,3000000,34.04
RPVOMLKKMHMFFCA77CA,坡道平面,0,
RPWPMLKMLHMFFCA08CA,升降機械,0,17.62
RPQNMLSJMHMFFAA67CA,升降機械,0,11.63
RPRPMLLLLHMFFBA47CA,坡道平面,0,
RPPNMLMLLHMFFBA17CA,坡道平面,3200000,33.02
RPVNMLNLLHMFFAA77CA,升降機械,0,24.06
RPPOMLRLLHMFFAA67CA,其他,2800000,
RPXOMLNLLHMFFAA08CA,坡道平面,0,40.97
RPQPMLLLLHMFFAA27CA,升降機械,0,
RPOOMLMLLHMFFAA07CA,坡道平面,0,46.73
RPUOMLNLLHMFFAA77CA,坡道平面,0,37.20
RPUOMLNLLHMFFAA77CA,坡道平面,0,37.20
RPPNMLSLLHMFFAA67CA,坡道平面,0,
RPPNMLOLLHMFFBA37CA,坡道平面,0,36.35
RPSOMLRLLHMFFBA08CA,其他,0,13.78
RPSOMLRLLHMFFBA08CA,其他,0,13.78
RPSOMLRLLHMFFBA08CA,其他,0,13.77
RPVNMLOKMHMFFAA87CA,坡道平面,2900000,34.43
RPQPMLNKMHMFFAA47CA,升降機械,1500000,15.26
RPOOMLTLLHMFFCA97CA,升降機械,0,9.81
RPQPMLLMLHMFFCA57CA,坡道平面,1450000,20.75
RPQPMLLMLHMFFCA57CA,坡道平面,1450000,20.75
RPQPMLLMLHMFFCA57CA,坡道平面,1500000,25.00
RPQPMLLMLHMFFCA57CA,坡道平面,1500000,25.00
RPWRMLLMLHMFFCA38CA,坡道機械,0,
RPXNMLNLLHMFFCA18CA,升降機械,0,
RPRNMLKLMHMFFBA27CA,坡道平面,2500000,33.70
RPRNMLKLMHMFFBA27CA,坡道平面,2500000,33.70
RPTNMLKLMHMFFBA47CA,坡道平面,1800000,34.43
RPUNMLKLMHMFFBA57CA,坡道機械,1500000,17.21
RPVNMLKLMHMFFBA67CA,坡道機械,1300000,17.21
SPVNMLKLMHMFFBA77CA,坡道機械,1300000,17.21
RPQNMLOLLHMFFDA67CA,坡道平面,0,33.87
RPQNMLOLLHMFFDA67CA,坡道平面,0,33.87
RPTNMLOLLHMFFDA97CA,坡道平面,0,
RPWQMLNKMHMFFCA38CA,坡道平面,1600000,42.06
RPUOMLRKMHMFFCA38CA,坡道平面,2050000,45.39
RPPNMLSKMHMFFCA87CA,坡道平面,1700000,34.65
RPQNMLSKMHMFFCA97CA,坡道平面,1700000,34.65
RPRNMLSKMHMFFCA08CA,坡道平面,1700000,34.65
RPSNMLSKMHMFFCA18CA,坡道平面,1700000,34.65
RPVOMLNLLHMFFDA18CA,坡道平面,0,
RPXNMLRLLHMFFDA68CA,坡道平面,2750000,
SPXNMLRLLHMFFDA78CA,坡道平面,2750000,
RPQNMLLMLHMFFDA47CA,坡道平面,0,
RPPPMLRLLHMFFEA18CA,升降平面,1320000,45.00
RPUNMLRLLHMFFEA48CA,坡道平面,1000000,
RPPOMLRLLHMFFEA08CA,升降機械,1200000,15.67
RPQNMLTLLHMFFFA38CA,坡道平面,0,
RPSNMLOKMHMFFEA97CA,坡道平面,0,41.44
RPSNMLOKMHMFFEA97CA,坡道平面,0,41.44
RPSNMLOKMHMFFEA97CA,坡道平面,0,41.44
RPPNMLNLLHMFFFA77DA,坡道平面,0,
RPUPMLKMLHMFFCA97DA,坡道平面,2500000,39.76
RPROMLTLLHMFFAA18DA,坡道平面,3500000,40.77
RPROMLTLLHMFFAA18DA,坡道平面,3500000,40.77
RPPOMLOKMHMFFBA57DA,坡道平面,0,
RPTNMLNLLHMFFCA87DA,坡道平面,1700000,40.10
RPTNMLNLLHMFFCA87DA,坡道平面,1700000,40.10
RPTNMLNLLHMFFCA87DA,坡道平面,1700000,40.10
RPTNMLNLLHMFFCA87DA,坡道平面,1600000,40.10
RPSPMLNLLHMFFCA97DA,坡道平面,2500000,39.58
RPRNMLTLLHMFFDA38DA,坡道平面,2500000,41.77
RPRNMLOLLHMFFEA97DA,升降平面,1200000,23.75
RPWNMLTLLHMFFFA09DA,升降平面,3500000,37.58
RPQNMLRJMHMFFEA97CA,坡道平面,0,
RPXNMLOKMHMFFEA48CA,坡道機械,1500000,21.92
RPSNMLRLLHMFFEA28CA,塔式車位,0,19.80
RPUPMLOLLHMFFEA38CA,升降機械,0,
RPPPMLKMLHMFFEA57CA,坡道平面,0,46.86
RPPPMLKMLHMFFEA57CA,坡道平面,0,46.86
RPRPMLKKMHMFFDA57CA,坡道機械,0,14.42
RPOQMLKKMHMFFDA37CA,坡道平面,0,
RPRNMLNKMHMFFBA47CA,其他,1600000,10.28
RPWNMLNKMHMFFBA97CA,其他,1800000,10.28
RPOQMLOLLHMFFCA67CA,坡道平面,0,39.50
RPPNMLRLLHMFFCA77CA,升降機械,1050000,15.75
RPRNMLRLLHMFFCA97CA,坡道平面,0,
RPRNMLRLLHMFFCA97CA,坡道平面,0,
RPRNMLRLLHMFFCA97CA,坡道平面,0,
RPSOMLOLLHMFFCA87CA,坡道平面,0,44.78
RPRNMLOLLHMFFCA67CA,升降機械,0,
RPOPMLNKMHMFFAA27CA,坡道平面,0,50.84
RPOPMLNKMHMFFAA27CA,坡道平面,0,50.84
RPUNMLRKMHMFFAA08CA,坡道機械,0,19.85
RPUNMLRKMHMFFAA08CA,坡道機械,0,19.85
