鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
萬華區,房地(土地+建物)+車位,福星段一小段331~360地號,8.26,商,,,1050730,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.21,2,1,1,有,無,14280000,151576,升降機械,16.29,0,,RPRNMLMLLHMFFBA57DB
萬華區,房地(土地+建物),福星段一小段331~360地號,8.23,商,,,1050806,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.92,2,1,1,有,無,11980000,153747,,0.0,0,,RPSNMLMLLHMFFBA67DB
萬華區,房地(土地+建物),福星段一小段331~360地號,8.23,商,,,1050813,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,77.92,2,1,1,有,無,12480000,160164,,0.0,0,,RPTNMLMLLHMFFBA77DB
萬華區,房地(土地+建物)+車位,福星段一小段331~360地號,8.26,商,,,1051205,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,94.21,2,1,1,有,無,13870000,147224,升降機械,16.29,0,,RPOOMLMLLHMFFBA37DB
萬華區,房地(土地+建物),福星段一小段331~360地號,7.08,商,,,1051119,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,66.86,1,1,1,有,無,10600000,158540,,0.0,0,,RPUOMLMLLHMFFBA97DB
萬華區,房地(土地+建物),福星段一小段331~360地號,7.08,商,,,1051225,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,66.86,1,1,1,有,無,10000000,149566,,0.0,0,,RPOPMLMLLHMFFBA47DB
萬華區,房地(土地+建物),福星段一小段331~360地號,7.08,商,,,1051230,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,66.86,1,1,1,有,無,9870000,147622,,0.0,0,,RPPPMLMLLHMFFBA57DB
萬華區,房地(土地+建物),福星段一小段331~360地號,9.19,商,,,1050920,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.93,2,1,1,有,無,13500000,155297,,0.0,0,,RPQPMLMLLHMFFBA67DB
萬華區,房地(土地+建物),福星段一小段331~360地號,9.19,商,,,1050909,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.93,2,1,1,有,無,14300000,164500,,0.0,0,,RPRPMLMLLHMFFBA77DB
萬華區,房地(土地+建物)+車位,福星段一小段331~360地號,7.99,商,,,1051201,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.7,2,1,1,有,無,15000000,163577,升降機械,16.29,0,,RPTPMLMLLHMFFBA97DB
