編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLOKKILFFCA57CC,,176.30,,加強磚造,,二層,
RPWNMLPKKILFFDA38CC,,86.59,住商用,鋼筋混凝土造,,五層,
RPWNMLPKKILFFDA38CC,,20.56,住商用,鋼筋混凝土造,,五層,
RPWNMLPKKILFFDA38CC,,67.41,見使用執照,鋼筋混凝土造,,五層,
RPQQMLQKKILFFCA08CC,50,26.80,住商用,加強磚造,56年5月18日,四層,
RPVNMLTKKILFFDA68CC,,143.02,,加強磚造,,二層,
RPOOMLLLKILFFEA47CC,51,104.30,住家用,加強磚造,54年7月30日,二層,
RPUNMLMLKILFFBA77CC,36,50.64,商業用,鋼筋混凝土造,69年8月22日,七層,
RPUNMLMLKILFFBA77CC,36,9.65,共有部分,鋼筋混凝土造,69年8月22日,七層,
RPUNMLMLKILFFBA77CC,36,131.19,住家用,鋼筋混凝土造,69年8月22日,七層,
RPUNMLMLKILFFBA77CC,36,22.14,共有部分,鋼筋混凝土造,69年8月22日,七層,
RPUNMLMLKILFFBA77CC,36,308.84,商業用,鋼筋混凝土造,69年8月22日,七層,
RPUNMLMLKILFFBA77CC,36,41.05,共有部分,鋼筋混凝土造,69年8月22日,七層,
RPOPMLSLKILFFBA97CC,,497.40,住商用,加強磚造,,四層,
RPVOMLSLKILFFEA88CC,46,125.76,住商用,加強磚造,60年4月16日,三層,
RPSNMLOJJHMFFEA77CC,22,318.51,住家用,鋼筋混凝土造,83年10月12日,二層,
RPUOMLOJJHMFFBA77CC,48,76.24,住家用,加強磚造,58年5月1日,二層,
RPUOMLOJJHMFFBA77CC,48,76.24,住家用,加強磚造,58年5月1日,二層,
RPUOMLOJJHMFFBA77CC,29,76.12,住家用,鋼筋混凝土造,77年5月3日,三層,
RPUOMLOJJHMFFBA77CC,29,4.64,住家用,鋼筋混凝土造,77年5月3日,三層,
RPXNMLQJJHMFFBA28DC,,294.23,,加強磚造,,四層,
RPOOMLQJJHMFFBA47DC,,236.16,,鋼筋混凝土造,,四層,
RPOOMLQJJHMFFBA47DC,,228.87,,鋼筋混凝土造,,四層,
RPSOMLKKJHMFFEA57CC,56,58.70,住家用,磚造,49年9月16日,二層,
RPSQMLMKJHMFFCA77CC,46,412.68,住家用,鋼筋混凝土造,60年3月4日,四層,
RPSQMLMKJHMFFCA77CC,46,412.68,住家用,鋼筋混凝土造,60年3月4日,四層,
RPROMLTKJHMFFEA38CC,27,156.02,住家用,鋼筋混凝土造,78年7月14日,五層,
RPROMLTKJHMFFEA38CC,27,6.03,共有部分,鋼筋混凝土造,78年7月14日,五層,
RPRRMLRJKHMFFDA38CC,41,115.20,住家用,鋼筋混凝土造,64年7月22日,四層,
RPROMLTJKHMFFCA18CC,37,153.98,住家用,鋼筋混凝土造,69年4月5日,七層,
RPROMLTJKHMFFCA18CC,37,102.48,見使用執照,鋼筋混凝土造,69年4月5日,七層,
RPROMLTJKHMFFCA18CC,37,5.79,共有部分,鋼筋混凝土造,69年4月5日,七層,
RPQNMLNKKHMFFFA77CC,3,192.84,見其他登記事項,見其他登記事項,102年11月4日,二層,
RPXOMLPKKHMFFCA58DC,33,155.39,商業用,鋼筋混凝土造,72年12月29日,五層,
RPXOMLPKKHMFFCA58DC,33,159.14,商業用,鋼筋混凝土造,72年12月29日,五層,
RPXOMLPKKHMFFCA58DC,33,144.42,住家用,鋼筋混凝土造,72年12月29日,五層,
RPXOMLPKKHMFFCA58DC,33,144.42,住家用,鋼筋混凝土造,72年12月29日,五層,
RPXOMLPKKHMFFCA58DC,33,144.42,住家用,鋼筋混凝土造,72年12月29日,五層,
RPXOMLPKKHMFFCA58DC,33,144.42,住家用,鋼筋混凝土造,72年12月29日,五層,
RPSNMLQKKHMFFBA87CC,34,166.46,住商用,鋼筋混凝土造,72年1月29日,四層,
RPSPMLMJLHMFFDA87CC,21,81.80,商業用,鋼筋混凝土造,84年11月20日,五層,
RPSPMLMJLHMFFDA87CC,21,38.12,共有部分,鋼筋混凝土造,84年11月20日,五層,
RPSPMLMJLHMFFDA87CC,21,77.63,商業用,鋼筋混凝土造,84年11月20日,五層,
RPRNMLOJLHMFFBA57CC,1,58.84,住家用,鋼筋混凝土造,104年10月16日,十五層,
RPRNMLOJLHMFFBA57CC,1,11.03,見其他登記事項,鋼筋混凝土造,104年10月16日,十五層,
RPRNMLOJLHMFFBA57CC,1,2.52,見其他登記事項,鋼筋混凝土造,104年10月16日,十五層,
RPRNMLOJLHMFFBA57CC,1,11.52,見其他登記事項,鋼筋混凝土造,104年10月16日,十五層,
RPRNMLOJLHMFFBA57CC,1,.57,見其他登記事項,鋼筋混凝土造,104年10月16日,十五層,
RPVOMLRJLHMFFBA38CC,1,85.88,住家用,鋼筋混凝土造,104年10月16日,十五層,
RPVOMLRJLHMFFBA38CC,1,16.12,見其他登記事項,鋼筋混凝土造,104年10月16日,十五層,
RPVOMLRJLHMFFBA38CC,1,3.69,見其他登記事項,鋼筋混凝土造,104年10月16日,十五層,
RPVOMLRJLHMFFBA38CC,1,16.82,見其他登記事項,鋼筋混凝土造,104年10月16日,十五層,
RPVOMLRJLHMFFBA38CC,1,4.43,見其他登記事項,鋼筋混凝土造,104年10月16日,十五層,
RPPOMLTJLHMFFBA97CC,,329.75,,加強磚造,,四層,
RPUPMLOKLHMFFCA28CC,,187.56,住家用,加強磚造,,四層,
RPRNMLPKLHMFFEA08CC,40,127.69,住家用,鋼筋混凝土造,66年9月1日,七層,
RPRNMLPKLHMFFEA08CC,40,13.08,共有部分,鋼筋混凝土造,66年9月1日,七層,
RPXNMLQKLHMFFEA78CC,22,21.83,住家用,鋼筋混凝土造,84年6月29日,十一層,
RPXNMLQKLHMFFEA78CC,22,10.69,共有部分,鋼筋混凝土造,84年6月29日,十一層,
RPPOMLQKLHMFFEA08CC,8,135.92,見其他登記事項,鋼筋混凝土造,97年9月30日,十八層,
RPPOMLQKLHMFFEA08CC,8,50.82,共有部分,鋼筋混凝土造,97年9月30日,十八層,
RPPOMLQKLHMFFEA08CC,8,21.82,共有部分,鋼筋混凝土造,97年9月30日,十八層,
RPQOMLQKLHMFFEA18CC,9,31.21,見其他登記事項,鋼筋混凝土造,97年5月2日,十三層,
RPQOMLQKLHMFFEA18CC,9,.78,共有部分,鋼筋混凝土造,97年5月2日,十三層,
RPQOMLQKLHMFFEA18CC,9,.98,共有部分,鋼筋混凝土造,97年5月2日,十三層,
RPQOMLQKLHMFFEA18CC,9,3.23,共有部分,鋼筋混凝土造,97年5月2日,十三層,
RPQOMLQKLHMFFEA18CC,9,.01,共有部分,鋼筋混凝土造,97年5月2日,十三層,
RPQOMLQKLHMFFEA18CC,9,11.78,共有部分,鋼筋混凝土造,97年5月2日,十三層,
RPPNMLQKLHMFFFA08CC,10,30.69,住家用,鋼筋混凝土造,96年3月22日,十四層,
RPPNMLQKLHMFFFA08CC,10,18.68,共有部分,鋼筋混凝土造,96年3月22日,十四層,
RPQNMLQKLHMFFFA18CC,21,27.17,商業用,鋼筋混凝土造,84年9月7日,十一層,
RPQNMLQKLHMFFFA18CC,21,7.51,共有部分,鋼筋混凝土造,84年9月7日,十一層,
RPQNMLQKLHMFFFA18CC,21,3.60,共有部分,鋼筋混凝土造,84年9月7日,十一層,
RPQNMLQKLHMFFFA18CC,21,.20,共有部分,鋼筋混凝土造,84年9月7日,十一層,
RPSNMLQKLHMFFFA38CC,21,28.49,商業用,鋼筋混凝土造,84年9月7日,十一層,
RPSNMLQKLHMFFFA38CC,21,7.83,共有部分,鋼筋混凝土造,84年9月7日,十一層,
RPSNMLQKLHMFFFA38CC,21,3.52,共有部分,鋼筋混凝土造,84年9月7日,十一層,
RPSNMLQKLHMFFFA38CC,21,.21,共有部分,鋼筋混凝土造,84年9月7日,十一層,
RPTNMLQKLHMFFFA48CC,13,92.05,住家用,鋼筋混凝土造,93年2月11日,七層,
