編號,車位類別,車位價格,車位面積平方公尺
RPSNMLOJJHMFFEA77CC,一樓平面,0,
RPSNMLQKLHMFFCA08CC,坡道平面,0,38.84
RPUNMLQKLHMFFCA28CC,坡道平面,0,31.40
RPVNMLQKLHMFFCA38CC,坡道平面,0,
RPVQMLQKLHMFFCA68CC,坡道平面,0,
RPVOMLRKLHMFFFA88CC,坡道平面,0,49.40
RPWNMLKLLHMFFDA08CC,坡道平面,0,51.94
RPUOMLKLLHMFFDA97CC,升降機械,0,24.83
RPUOMLKLLHMFFDA97CC,升降機械,0,24.83
RPSNMLKLLHMFFBA47CC,坡道平面,0,19.51
RPTOMLKLLHMFFBA67CC,塔式車位,0,7.35
RPVNMLKLLHMFFAA67CC,坡道平面,0,
RPPOMLKLLHMFFAA17CC,坡道平面,0,47.15
RPQNMLLLLHMFFCA57DC,坡道平面,0,31.49
RPQNMLLLLHMFFCA57DC,坡道平面,0,31.49
RPSNMLLLLHMFFFA97CC,坡道平面,0,
RPSNMLLLLHMFFFA97CC,坡道平面,0,
RPTOMLLLLHMFFEA08CC,坡道機械,0,16.51
RPUNMLLLLHMFFCA87CC,坡道機械,0,
RPVOMLLLLHMFFCA08CC,坡道平面,0,22.64
RPQOMLLLLHMFFDA67CC,坡道平面,0,
RPQOMLLLLHMFFDA67CC,坡道平面,0,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,0,
RPROMLMLLHMFFDA87CC,坡道平面,0,
RPROMLMLLHMFFDA87CC,坡道平面,0,
RPSOMLMLLHMFFDA97CC,坡道平面,0,37.30
RPWNMLMLLHMFFCA18CC,坡道平面,0,38.93
RPUPMLMLLHMFFCA18CC,坡道平面,0,14.91
RPPNMLMLLHMFFFA77CC,坡道平面,0,24.80
RPRNMLNLLHMFFAA57CC,坡道平面,0,70.72
RPOOMLNLLHMFFCA57CC,坡道平面,0,14.15
RPOOMLNLLHMFFCA57CC,坡道平面,0,14.15
RPOOMLNLLHMFFCA57CC,坡道平面,0,14.15
RPPOMLNLLHMFFCA67CC,升降平面,0,
RPVNMLOLLHMFFDA38CC,升降平面,0,70.54
RPWOMLOLLHMFFDA58CC,坡道平面,0,
RPRQMLOLLHMFFCA18CC,升降機械,3675,17.49
RPTQMLOLLHMFFCA38CC,坡道平面,0,36.03
RPQOMLOLLHMFFEA08CC,坡道平面,0,
