¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è¤Ù°Ï¶¶©M3µó61~90¸¹,16.01,¦í,,,1050715,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,¤»¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0821218,83.00999999999999,3,2,2,¦³,¦³,3200000,38550,,0.0,0,,RPVQMLMJNHMFFCB38DA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¾Ç¤h¸ô248«Ñ31~60¸¹,18.58,¦í,,,1051212,¤g¦a1«Øª«3¨®¦ì0,¤C¼h,¤K¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840614,117.45,3,0,3,¦³,¦³,4680000,39847,,0.0,0,,RPUNMLNKJHMFFBB57CA
¤j¶®°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¤j¶®°Ï¶®Àô¸ô¤G¬q26«Ñ31~60¸¹,24.05,¦í,,,1040324,¤g¦a1«Øª«1¨®¦ì1,¤Q¤G¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1051102,133.53,2,2,1,¦³,¦³,7250000,67508,©Y¹D¥­­±,43.17,1150000,,RPWNMLMJNHMFFFL76CA
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è¤Ù°Ï¥«¬F¸ô1~30¸¹,59.58,¨ä¥L,,,1051230,¤g¦a1«Øª«1¨®¦ì3,¤G¤Q¤T¼h,¤T¤Q¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿û°©¿ûµ¬²V¾®¤g³y,1041030,695.3399999999999,5,2,5,¦³,¦³,106000000,152443,©Y¹D¥­­±,112.62,0,,RPUPMLTJNHMFFCB78CA
¯«©£°Ï,¤g¦a,¤U·Ë¬w¬q«á¾À­í¤p¬q1~30¦a¸¹,1120.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1060223,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3472000,3100,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C¤G¿Ëµ¥¶¡¤§¥æ©ö¡CÅv§Q¤H¦@3¤H¡C¶R½æ»ù´Ú¨Ì·Ó¤½§i²{­È­pºâ¡C,RPPNMLRKLHMFFAL58CA
Â×­ì°Ï,¤g¦a,¸U¶¶¬q421~450¦a¸¹,370.83,¹A,,,1060206,¤g¦a4«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,7880000,21250,,0.0,0,©Ó¶R¤H¦@10¤H¡C¦@¦³¤H¶¡¶R½æ¡C,RPPNMLTKLHMFFAL78CA
Â×­ì°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«Â×­ì°Ï¦w±d¸ô1~30¸¹,10.75,¦í,,,1060224,¤g¦a1«Øª«1¨®¦ì1,¤E¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0901018,100.81,3,2,2,¦³,¦³,5250000,52078,©Y¹D¾÷±ñ,0.0,0,,RPUNMLKLLHMFFAL48CA
Â×­ì°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«Â×­ì°Ï©¾§µµó105«Ñ1~30¸¹,15.12,°Ó,,,1060205,¤g¦a1«Øª«2¨®¦ì0,¤­¼h¡A¹q±è¼Ó±è¶¡,¤­¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0690605,90.45,2,2,1,¦³,µL,2100000,23217,,0.0,0,,RPXNMLMLLHMFFAL98CA
¯«©£°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¯«©£°ÏÂ×¬w¸ô631~660¸¹,80.93,¤u,,,1060220,¤g¦a1«Øª«1¨®¦ì0,¤@¼h¡A¤G¼h¡A¤T¼h¡AÃM¼Ó¡A¦a¤U¼h¡A¨£¨ä¥Lµn°O¨Æ¶µ,¤T¼h,¨ä¥L,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0780701,218.97,3,2,2,¦³,µL,11000000,50235,,0.0,0,,RPQNMLNLLHMFFAL38CA
Â×­ì°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«Â×­ì°Ï«H¸qµó181~210¸¹,3.83,°Ó,,,1060306,¤g¦a3«Øª«1¨®¦ì0,¤C¼h,¤E¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0860409,32.4,1,0,1,¦³,µL,1100000,33951,,0.0,0,,RPOOMLKLLHMFFAL97CA
