編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVQMLMJNHMFFCB38DA,23,66.19,住家用,鋼筋混凝土造,82年12月18日,六層,四層
RPVQMLMJNHMFFCB38DA,23,16.82,共有部分,鋼筋混凝土造,82年12月18日,六層,
RPUNMLNKJHMFFBB57CA,21,26.52,住家用,鋼筋混凝土造,84年6月14日,八層,七層
RPUNMLNKJHMFFBB57CA,21,12.18,共有部份,鋼筋混凝土造,84年6月14日,八層,
RPUNMLNKJHMFFBB57CA,21,26.52,住家用,鋼筋混凝土造,84年6月14日,八層,七層
RPUNMLNKJHMFFBB57CA,21,12.18,共有部份,鋼筋混凝土造,84年6月14日,八層,
RPUNMLNKJHMFFBB57CA,21,27.86,住家用,鋼筋混凝土造,84年6月14日,八層,七層
RPUNMLNKJHMFFBB57CA,21,12.18,共有部份,鋼筋混凝土造,84年6月14日,八層,
RPWNMLMJNHMFFFL76CA,,73.26,見其他登記事項,鋼筋混凝土造,105年11月2日,十二層,
RPWNMLMJNHMFFFL76CA,,60.27,見其他登記事項,鋼筋混凝土造,105年11月2日,十二層,十二層
RPUPMLTJNHMFFCB78CA,1,392.59,見其他登記事項,鋼骨鋼筋混凝土造,104年10月30日,三十層,二十三層
RPUPMLTJNHMFFCB78CA,1,162.37,見其他登記事項,鋼骨鋼筋混凝土造,104年10月30日,三十層,
RPUPMLTJNHMFFCB78CA,1,140.39,見其他登記事項,鋼骨鋼筋混凝土造,104年10月30日,三十層,
RPUNMLKLLHMFFAL48CA,15,67.97,住家用,鋼筋混凝土造,90年10月18日,十四層,九層
RPUNMLKLLHMFFAL48CA,15,32.84,共用部份,鋼筋混凝土造,90年10月18日,十四層,
RPXNMLMLLHMFFAL98CA,37,6.55,見其他登記事項,鋼筋混凝土造,69年6月5日,地下層,地下層
RPXNMLMLLHMFFAL98CA,37,83.90,住家用,鋼筋混凝土造,69年6月5日,五層,五層 電梯樓梯間
RPQNMLNLLHMFFAL38CA,28,218.97,見其他登記事項,鋼筋混凝土造,78年7月1日,三層,一層 二層 三層 騎樓 地下層 見其他登記事項
RPOOMLKLLHMFFAL97CA,20,19.32,住商用,鋼筋混凝土造,86年4月9日,九層,七層
RPOOMLKLLHMFFAL97CA,20,13.08,共用部份,鋼筋混凝土造,86年4月9日,九層,
RPPNMLRLLHMFFAL68CA,45,95.76,住家用,加強磚造,60年10月30日,二層,一層 二層
RPWTMLMKMHMFFCB68CA,24,47.90,住家用,鋼筋混凝土造,81年11月20日,十層,四層
RPWTMLMKMHMFFCB68CA,24,21.60,共有部分,鋼筋混凝土造,81年11月20日,十層,
RPUPMLNKMHMFFCB18CA,23,128.04,商業用,鋼筋混凝土造,82年11月29日,十五層,一層 二層
RPUPMLNKMHMFFCB18CA,23,25.77,共有部分,鋼筋混凝土造,82年11月29日,十五層,
RPXOMLOKMHMFFCB48CA,2,121.86,見其他登記事項,鋼筋混凝土造,104年5月28日,十三層,十二層
RPXOMLOKMHMFFCB48CA,2,127.96,見其他登記事項,鋼筋混凝土造,104年5月28日,十三層,
RPPNMLKLLHMFFCB17CA,23,186.75,住商用,鋼筋混凝土造,83年3月28日,八層,一層 二層
RPPNMLKLLHMFFCB17CA,23,55.50,共有部分,鋼筋混凝土造,83年3月28日,八層,
RPTOMLKLLHMFFCB67CA,,81.12,見其他登記事項,鋼筋混凝土造,105年10月17日,十二層,十一層
RPTOMLKLLHMFFCB67CA,,103.94,見其他登記事項,鋼筋混凝土造,105年10月17日,十二層,
RPUPMLKLLHMFFCB87CA,10,79.73,住家用,鋼筋混凝土造,95年8月16日,二十二層,五層
RPUPMLKLLHMFFCB87CA,10,31.04,見其他登記事項,鋼筋混凝土造,95年8月16日,二十二層,
RPOPMLLLLHMFFCB37CA,22,114.56,住家用,鋼筋混凝土造,83年9月3日,二十層,十三層
