編號,車位類別,車位價格,車位面積平方公尺
RPWNMLMJNHMFFFL76CA,坡道平面,1150000,43.17
RPUPMLTJNHMFFCB78CA,坡道平面,0,37.54
RPUPMLTJNHMFFCB78CA,坡道平面,0,37.54
RPUPMLTJNHMFFCB78CA,坡道平面,0,37.54
RPUNMLKLLHMFFAL48CA,坡道機械,0,
RPXOMLOKMHMFFCB48CA,坡道平面,0,33.08
RPXOMLOKMHMFFCB48CA,坡道平面,0,33.08
RPPNMLKLLHMFFCB17CA,坡道平面,0,
RPTOMLKLLHMFFCB67CA,坡道平面,0,32.40
RPTOMLKLLHMFFCB67CA,坡道平面,0,32.40
RPOPMLLLLHMFFCB37CA,坡道機械,0,
RPQQMLOLLHMFFCB97CA,坡道平面,0,22.15
RPQQMLOLLHMFFCB97CA,坡道平面,0,22.15
RPUQMLOLLHMFFCB38CA,坡道平面,0,22.15
RPUQMLOLLHMFFCB38CA,坡道平面,0,22.15
RPUQMLOLLHMFFCB38CA,坡道平面,0,22.15
RPVQMLOLLHMFFCB48CA,坡道平面,2100000,22.15
RPSRMLOLLHMFFCB28CA,坡道平面,0,30.73
RPSRMLOLLHMFFCB28CA,坡道平面,0,30.73
RPXOMLKKMHMFFCB08CA,坡道平面,0,19.56
RPRQMLRKLHMFFBB18CA,坡道平面,0,
RPWPMLOKMHMFFAB28CA,坡道平面,1200000,33.40
RPXPMLOKMHMFFAB38CA,坡道平面,1200000,33.40
RPOQMLOKMHMFFAB57CA,坡道平面,1300000,33.40
RPPQMLOKMHMFFAB67CA,坡道平面,0,33.40
RPPQMLOKMHMFFAB67CA,坡道平面,0,33.40
RPRQMLOKMHMFFAB87CA,坡道平面,1100000,33.40
RPSQMLOKMHMFFAB97CA,坡道平面,1100000,33.40
RPTQMLOKMHMFFAB08CA,坡道平面,1300000,33.40
RPUQMLOKMHMFFAB18CA,坡道平面,1300000,33.40
RPQOMLLKMHMFFAB27CA,坡道平面,0,
RPQNMLKLLHMFFAB07CA,升降機械,0,
RPQQMLKLLHMFFAB37CA,坡道平面,0,
RPQQMLKLLHMFFAB37CA,坡道平面,0,
RPRNMLRKLHMFFAB77CA,坡道機械,360000,11.58
RPUOMLLLLHMFFAB67CA,坡道平面,0,36.26
RPUOMLLLLHMFFAB67CA,坡道平面,0,36.26
RPSPMLLLLHMFFAB57CA,坡道平面,0,23.10
RPQNMLPLLHMFFAB57CA,坡道平面,0,
RPRNMLLLLHMFFBB37CA,坡道機械,800000,
RPQNMLMLLHMFFBB37CA,坡道平面,0,27.42
RPQPMLMLLHMFFBB57CA,一樓平面,0,
RPVPMLSLLHMFFBB68CA,坡道平面,1000000,31.46
RPXNMLPJMHMFFBB28CA,坡道平面,0,
RPTNMLQJMHMFFBB97CA,坡道平面,1050000,29.88
RPUNMLQJMHMFFBB08CA,坡道平面,1150000,29.88
RPPNMLTKLHMFFGL76CA,坡道平面,0,
RPWNMLLLLHMFFGL76CA,坡道機械,0,9.59
RPPOMLTLLHMFFGL96CA,坡道平面,0,15.08
RPOOMLPJMHMFFGL98CA,坡道機械,0,
RPSNMLRJMHMFFGL86CA,坡道平面,0,33.09
RPSNMLRJMHMFFGL86CA,坡道平面,0,33.09
RPOPMLKKMHMFFGL68CA,坡道機械,0,
RPQNMLNKMHMFFHL09CA,坡道機械,0,
RPVNMLQKLHMFFFL96CA,坡道機械,0,
RPXNMLLLLHMFFFL76CA,坡道機械,0,
RPPNMLMLLHMFFFL68CA,升降機械,0,
RPOOMLSLLHMFFFL66CA,坡道平面,0,32.10
RPSNMLKKMHMFFIL09CA,坡道平面,0,30.42
RPRPMLTLLHMFFCB58DA,坡道平面,1200000,38.37
RPRPMLTLLHMFFCB58DA,坡道平面,1500000,38.37
RPSPMLTLLHMFFCB68DA,坡道平面,1300000,38.37
RPSPMLTLLHMFFCB68DA,坡道平面,1400000,38.37
RPUPMLTLLHMFFCB88DA,坡道平面,1300000,38.37
RPUPMLTLLHMFFCB88DA,坡道平面,1400000,38.37
RPVPMLTLLHMFFCB98DA,坡道平面,1200000,38.37
RPVPMLTLLHMFFCB98DA,坡道平面,1200000,38.37
RPVPMLTLLHMFFCB98DA,坡道平面,1400000,38.37
RPWPMLTLLHMFFCB09DA,坡道平面,1300000,38.37
RPWPMLTLLHMFFCB09DA,坡道平面,1300000,38.37
RPWPMLTLLHMFFCB09DA,坡道平面,1500000,38.37
RPXPMLTLLHMFFCB56DA,坡道平面,1300000,38.37
RPXPMLTLLHMFFCB56DA,坡道平面,1400000,38.37
RPOQMLTLLHMFFCB38DA,坡道平面,1200000,38.37
RPOQMLTLLHMFFCB38DA,坡道平面,1200000,38.37
RPOQMLTLLHMFFCB38DA,坡道平面,1500000,38.37
RPUNMLLMLHMFFEL09CA,坡道平面,0,
RPSNMLPJMHMFFHL76CA,坡道平面,0,27.81
RPPOMLPJMHMFFHL56CA,坡道平面,0,
RPTNMLQJMHMFFGL86CA,坡道機械,0,
RPQNMLMLLHMFFGL88CA,坡道平面,1400000,29.35
RPQNMLMLLHMFFGL88CA,坡道平面,1400000,29.35
