鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
潭子區,房地(土地+建物),臺中市潭子區中山路三段481~510號,317.67,工,,,1051118,土地2建物1車位0,見其他登記事項,4,工廠,見其他登記事項,鋼筋混凝土造,0760915,556.53,0,0,0,無,無,無,100000,,,0.0,0,"只承租本建物地下室及1,2樓面積約556.53平方公尺(約168.35坪)",RPTOMLMKKILFFFL56CC
太平區,房地(土地+建物),臺中市太平區永平路三段9巷31~60號,238.43,工,,,1051114,土地1建物1車位0,見其他登記事項,3,工廠,見其他登記事項,鋼筋混凝土造,0890602,359.4,0,0,0,無,無,無,30000,,,0.0,0,,RPPNMLNKKILFFHL98CC
太平區,房地(土地+建物),臺中市太平區新平路95巷58弄61~90號,131.0,住,,,1051123,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0830304,246.07,3,2,4,有,無,無,22000,89,,0.0,0,,RPRNMLOKKILFFHL66CC
大里區,房地(土地+建物),臺中市大里區國光路二段571~600號,61.52,住,,,1051209,土地1建物1車位0,見其他登記事項,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0950118,282.55,5,1,4,有,無,無,31000,110,,0.0,0,前四年租金31000元，第五年起租金32000元。,RPOOMLQKKILFFGL56CC
大里區,房地(土地+建物),臺中市大里區國光路二段571~600號,61.54,住,,,1051209,土地1建物1車位0,見其他登記事項,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0950118,282.54,5,1,4,有,無,無,31000,110,,0.0,0,前四年租金31000元，第五年起租金32000元。,RPTOMLQKKILFFGL07CC
豐原區,房地(土地+建物),臺中市豐原區育仁路91~120號,125.65,住,,,1051202,土地1建物1車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1001228,415.34,4,3,4,有,無,無,55000,132,,0.0,0,,RPSNMLRKKILFFAL98CC
潭子區,房地(土地+建物),臺中市潭子區雅豐街308巷1~30號,73.34,住,,,1051204,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0930209,189.81,4,3,2,有,無,無,18000,95,,0.0,0,,RPVNMLKLKILFFFL56CC
北區,建物,臺中市北區錦新街1~30號,0.0,住,,,1051205,土地0建物1車位0,見其它登記事項,5,店面(店鋪),見其它登記事項,鋼筋混凝土造,0940520,133.10999999999999,0,2,1,有,無,無,42000,316,,0.0,0,,RPOOMLLLKILFFBB27CC
南屯區,房地(土地+建物),臺中市南屯區五權西路二段211~240號,1373.0,住,,,1050929,土地3建物1車位0,見其它登記事項,1,店面(店鋪),住商用,鋼造,0780111,351.5,0,0,0,無,無,無,250000,711,,0.0,0,,RPXNMLLLKILFFCB18CC
龍井區,房地(土地+建物),臺中市龍井區中央路一段238巷1~30號,98.0,住,,,1051215,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1040225,217.5,6,2,3,有,無,無,25000,115,,0.0,0,,RPRNMLNLKILFFIL86DC
北屯區,建物,臺中市北屯區崇德路三段121~150號,0.0,住,,,1051130,土地0建物1車位1,見其它登記事項,21,店面(店鋪),見其它登記事項,鋼筋混凝土造,1050427,203.92000000000002,0,2,1,有,有,無,82000,402,坡道平面,28.13,0,,RPROMLQLKILFFBB08CC
南屯區,房地(土地+建物),臺中市南屯區干城街196巷31~60號,52.0,住,,,1051209,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0640806,61.6,3,2,2,有,無,有,22500,365,,0.0,0,,RPTOMLRLKILFFCB48CC
西區,房地(土地+建物),臺中市西區五權路2之211~240號,80.0,商,,,1051215,土地1建物1車位0,全,4,透天厝,商業用,見其它登記事項,0631129,287.04,1,4,3,有,無,無,23000,80,,0.0,0,,RPPPMLTLKILFFAB28DC
西屯區,房地(土地+建物)+車位,臺中市西屯區朝馬七街1~30號,19.77,住,,,1051212,土地1建物1車位1,全,4,透天厝,見其它登記事項,鋼筋混凝土造,0840414,77.46,4,2,3,有,無,無,33000,426,其他,0.0,0,,RPXOMLNJJHMFFCB28DC
南屯區,房地(土地+建物),臺中市南屯區文心路一段511~540號,84.0,住,,,1051215,土地1建物1車位0,全,4,透天厝,見其它登記事項,鋼筋混凝土造,0761110,260.38,6,2,3,有,無,無,47679,183,,0.0,0,承租人於給付時扣取稅款與健保補充保費.,RPOPMLPJJHMFFCB67DC
南屯區,房地(土地+建物),臺中市南屯區公益路二段391~420號,1863.9,住,,,1051130,土地1建物1車位0,見其它登記事項,3,其他,見其它登記事項,鋼筋混凝土造,0880601,2096.8,0,0,0,無,無,有,650000,310,,0.0,0,"前三年每月租金新台幣65萬元(含稅),第四年至第五年一月止,每月租金新台幣70萬元(含稅),汽車旅館",RPQOMLPJJHMFFCB67CC
南屯區,房地(土地+建物),臺中市南屯區永春東路1351~1380號,68.0,住,,,1051229,土地1建物1車位0,全,4,透天厝,見其它登記事項,鋼筋混凝土造,0851218,155.53,4,3,3,有,無,有,30000,193,,0.0,0,,RPTNMLQJJHMFFCB97CC
西屯區,房地(土地+建物),臺中市西屯區杏林路83巷1~30號,75.0,住,,,1060101,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0610501,99.14,2,2,2,有,無,有,18000,182,,0.0,0,,RPQOMLTJJHMFFCB08CC
南屯區,房地(土地+建物),臺中市南屯區大墩路241~270號,81.0,住,,,1060104,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0730216,175.04,4,2,4,有,無,有,45000,257,,0.0,0,,RPVPMLTJJHMFFCB68CC
