編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTOMLMKKILFFFL56CC,29,556.53,見其他登記事項,鋼筋混凝土造,76年9月15日,四層,
RPPNMLNKKILFFHL98CC,16,359.40,見其他登記事項,鋼筋混凝土造,89年6月2日,三層,
RPRNMLOKKILFFHL66CC,23,246.07,見其他登記事項,鋼筋混凝土造,83年3月4日,四層,
RPOOMLQKKILFFGL56CC,11,282.55,見其他登記事項,鋼筋混凝土造,95年1月18日,五層,
RPTOMLQKKILFFGL07CC,11,282.54,見其他登記事項,鋼筋混凝土造,95年1月18日,五層,
RPSNMLRKKILFFAL98CC,5,415.34,見其他登記事項,鋼筋混凝土造,100年12月28日,四層,
RPVNMLKLKILFFFL56CC,13,189.81,見其他登記事項,鋼筋混凝土造,93年2月9日,四層,
RPOOMLLLKILFFBB27CC,12,110.80,見其它登記事項,鋼筋混凝土造,94年5月20日,五層,
RPOOMLLLKILFFBB27CC,12,22.31,共有部份,鋼筋混凝土造,94年5月20日,五層,
RPXNMLLLKILFFCB18CC,28,351.50,住商用,鋼造,78年1月11日,一層,
RPRNMLNLKILFFIL86DC,2,217.50,住家用,鋼筋混凝土造,104年2月25日,四層,
RPROMLQLKILFFBB08CC,1,128.33,見其它登記事項,鋼筋混凝土造,105年4月27日,二十一層,
RPROMLQLKILFFBB08CC,1,75.59,見其它登記事項,鋼筋混凝土造,105年4月27日,二十一層,
RPTOMLRLKILFFCB48CC,41,61.60,住家用,加強磚造,64年8月6日,二層,
RPPPMLTLKILFFAB28DC,42,287.04,商業用,見其它登記事項,63年11月29日,四層,
RPXOMLNJJHMFFCB28DC,22,77.46,見其它登記事項,鋼筋混凝土造,84年4月14日,四層,
RPOPMLPJJHMFFCB67DC,29,260.38,見其它登記事項,鋼筋混凝土造,76年11月10日,四層,
RPQOMLPJJHMFFCB67CC,17,2096.80,見其它登記事項,鋼筋混凝土造,88年6月1日,三層,
RPTNMLQJJHMFFCB97CC,20,155.53,見其它登記事項,鋼筋混凝土造,85年12月18日,三層,
RPQOMLTJJHMFFCB08CC,45,99.14,住家用,加強磚造,61年5月1日,二層,
RPVPMLTJJHMFFCB68CC,33,175.04,住商用,鋼筋混凝土造,73年2月16日,三層,
RPWOMLTJJHMFFBB58CC,31,353.17,住商用,鋼筋混凝土造,74年6月25日,五層,
RPPOMLTJJHMFFAB87DC,28,138.24,商業用,鋼造,78年6月1日,一層,
RPOOMLLKJHMFFAB96CC,23,246.10,住商用,鋼筋混凝土造,82年9月14日,八層,
RPOOMLLKJHMFFAB96CC,23,57.73,見其它登記事項,鋼筋混凝土造,82年9月14日,八層,
RPPNMLLKJHMFFCB17CC,,12600.89,見其它登記事項,鋼筋混凝土造,105年7月19日,四層,
RPPNMLLKJHMFFCB17CC,,11.81,見其它登記事項,鋼筋混凝土造,105年7月19日,四層,
RPVNMLMKJHMFFCB87CC,39,278.40,住商用,鋼筋混凝土造,67年2月28日,四層,
RPTPMLMKJHMFFAB67CC,18,184.96,住商用,鋼筋混凝土造,87年12月19日,九層,
RPTPMLMKJHMFFAB67CC,18,71.96,住商用,鋼筋混凝土造,87年12月19日,九層,
RPVOMLQKJHMFFBB28CC,49,192.64,住家用,鋼筋混凝土加強磚造,56年11月16日,三層,
RPSPMLQKJHMFFBB08CC,22,90.13,住商用,鋼筋混凝土造,83年9月6日,十九層,
RPSPMLQKJHMFFBB08CC,22,58.01,住商用,鋼筋混凝土造,83年9月6日,十九層,
RPSPMLQKJHMFFBB08CC,22,64.17,住商用,鋼筋混凝土造,83年9月6日,十九層,
RPSPMLQKJHMFFBB08CC,22,234.59,共有部份,鋼筋混凝土造,83年9月6日,十九層,
RPTPMLRKJHMFFAB18CC,36,246.45,住商用,鋼筋混凝土造,69年10月20日,四層,
RPQQMLSKJHMFFHL17CC,28,163.05,見其他登記事項,鋼筋混凝土造,78年4月25日,三層,
RPQUMLKLJHMFFBB87CC,49,131.20,住家用,鋼筋混凝土加強磚造,57年6月28日,三層,
RPQOMLNLJHMFFCB67CC,22,314.25,住商用,鋼筋混凝土造,83年12月20日,七層,
RPQOMLNLJHMFFCB67CC,22,93.35,共有部份,鋼筋混凝土造,83年12月20日,七層,
RPTNMLNLJHMFFHL76CC,36,128.35,見其他登記事項,加強磚造,69年9月20日,二層,
RPQNMLNLJHMFFFL98DC,37,153.96,住商用,加強磚造,69年3月15日,二層,
RPQPMLOLJHMFFCB87CC,34,904.19,工業用,加強磚造,71年10月22日,二層,
RPORMLNJKHMFFCB67CC,30,288.70,住商用,鋼筋混凝土造,75年12月23日,四層,
RPOPMLQJKHMFFAB57CC,45,178.88,住家用,見其它登記事項,60年9月18日,三層,
RPQNMLQJKHMFFHL66CC,11,97.20,見其他登記事項,鋼筋混凝土造,95年3月14日,四層,
RPPNMLRJKHMFFAB57CC,1,154.61,見其它登記事項,鋼筋混凝土造,104年12月14日,十五層,
RPPNMLRJKHMFFAB57CC,1,49.63,見其它登記事項,鋼筋混凝土造,104年12月14日,十五層,
RPPNMLRJKHMFFAB57CC,1,114.98,見其它登記事項,鋼筋混凝土造,104年12月14日,十五層,
RPOOMLKKKHMFFGL68DC,,301.02,見其他登記事項,鋼筋混凝土造,,四層,
RPQNMLNKKHMFFHL56DC,25,179.66,見其他登記事項,鋼筋混凝土造,81年5月26日,十二層,
RPWNMLQKKHMFFCB48CC,22,222.54,住商用,鋼筋混凝土造,83年10月7日,十二層,
RPSOMLRKKHMFFAB08CC,34,147.09,商業用,鋼筋混凝土造,71年12月1日,七層,
RPPNMLSJLHMFFFL66CC,38,89.30,見其他登記事項,加強磚造,68年2月12日,二層,
RPTNMLNKLHMFFIL96CC,35,48.84,住家用,加強磚造,71年8月2日,一層,
RPUNMLPKLHMFFGL07CC,31,115.21,見其他登記事項,鋼筋混凝土造,74年10月5日,二層,
RPSOMLQKLHMFFAB18DC,22,36.71,住家用,鋼筋混凝土造,84年1月13日,十九層,
RPSOMLQKLHMFFAB18DC,22,6.42,住家用,鋼筋混凝土造,84年1月13日,十九層,
RPSOMLQKLHMFFAB18DC,22,16.68,見其他登記事項,鋼筋混凝土造,84年1月13日,十九層,
RPTPMLQKLHMFFCB58DC,24,43.33,住家用,鋼筋混凝土造,82年1月12日,十六層,
RPTPMLQKLHMFFCB58DC,24,18.98,共有部分,鋼筋混凝土造,82年1月12日,十六層,
RPWNMLQKLHMFFBB48CC,4,61.00,住家用,鋼筋混凝土造,102年7月25日,二十二層,
RPPQMLQKLHMFFCB18CC,3,195.36,住家用,鋼筋混凝土造,103年2月26日,二十一層,
RPPQMLQKLHMFFCB18CC,3,157.85,見其他登記事項,鋼筋混凝土造,103年2月26日,二十一層,
RPRQMLQKLHMFFCB38CC,5,171.42,住家用,鋼筋混凝土造,100年11月15日,十五層,
RPRQMLQKLHMFFCB38CC,5,103.70,見其他登記事項,鋼筋混凝土造,100年11月15日,十五層,
RPWQMLQKLHMFFCB88CC,10,33.39,住家用,鋼筋混凝土造,96年5月22日,十五層,
RPWQMLQKLHMFFCB88CC,10,26.70,見其他登記事項,鋼筋混凝土造,96年5月22日,十五層,
RPORMLQKLHMFFCB18CC,2,57.46,住家用,鋼筋混凝土造,103年12月15日,十二層,
RPORMLQKLHMFFCB18CC,2,44.78,見其他登記事項,鋼筋混凝土造,103年12月15日,十二層,
RPRRMLQKLHMFFCB48CC,4,141.82,住家用,鋼筋混凝土造,102年6月3日,二十四層,
RPRRMLQKLHMFFCB48CC,4,81.47,見其他登記事項,鋼筋混凝土造,102年6月3日,二十四層,
RPRRMLQKLHMFFCB48CC,4,36.47,見其他登記事項,鋼筋混凝土造,102年6月3日,二十四層,
RPSRMLQKLHMFFCB58CC,3,154.56,住家用,鋼筋混凝土造,102年10月16日,十五層,
RPSRMLQKLHMFFCB58CC,3,19.01,見其他登記事項,鋼筋混凝土造,102年10月16日,十五層,
RPSRMLQKLHMFFCB58CC,3,26.14,見其他登記事項,鋼筋混凝土造,102年10月16日,十五層,
RPSRMLQKLHMFFCB58CC,3,78.49,見其他登記事項,鋼筋混凝土造,102年10月16日,十五層,
RPURMLQKLHMFFCB78CC,2,182.67,住家用,鋼筋混凝土造,103年11月25日,二十九層,
RPURMLQKLHMFFCB78CC,2,85.41,見其他登記事項,鋼筋混凝土造,103年11月25日,二十九層,
RPURMLQKLHMFFCB78CC,2,46.31,見其他登記事項,鋼筋混凝土造,103年11月25日,二十九層,
RPTNMLRKLHMFFCB38CC,25,60.43,商業用,鋼筋混凝土造,81年3月31日,十三層,
RPTNMLRKLHMFFCB38CC,25,44.92,共有部分,鋼筋混凝土造,81年3月31日,十三層,
RPPPMLRKLHMFFCB18CC,22,264.89,見其它登記事項,鋼筋混凝土造,84年6月9日,十二層,
RPSPMLRKLHMFFCB48CC,22,114.85,住商用,鋼造,83年12月30日,二層,
RPURMLRKLHMFFCB88CC,8,39.61,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPURMLRKLHMFFCB88CC,8,3.28,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPURMLRKLHMFFCB88CC,8,15.60,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPVRMLRKLHMFFCB98CC,8,65.94,住家用,鋼筋混凝土造,98年8月13日,十八層,
RPVRMLRKLHMFFCB98CC,8,43.16,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPVRMLRKLHMFFCB98CC,8,23.35,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPUPMLRKLHMFFBB58CC,34,98.25,住家用,鋼筋混凝土造,71年11月16日,五層,
RPUPMLRKLHMFFBB58CC,34,11.93,共有部份,鋼筋混凝土造,71年11月16日,五層,
RPWPMLRKLHMFFBB78CC,11,128.08,見其他登記事項,鋼筋混凝土造,94年12月8日,十八層,
RPWPMLRKLHMFFBB78CC,11,313.26,共有部分,鋼筋混凝土造,94年12月8日,十八層,
RPXPMLRKLHMFFBB88CC,34,189.06,住商用,鋼筋混凝土造,71年11月16日,五層,
RPXPMLRKLHMFFBB88CC,34,35.81,共有部份,鋼筋混凝土造,71年11月16日,五層,
RPXPMLRKLHMFFBB88CC,34,107.13,住家用,鋼筋混凝土造,71年11月16日,五層,
RPXPMLRKLHMFFBB88CC,34,98.25,住家用,鋼筋混凝土造,71年11月16日,五層,
RPPQMLRKLHMFFBB18CC,11,60.12,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPPQMLRKLHMFFBB18CC,11,24.04,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPSQMLRKLHMFFBB48CC,11,48.07,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPSQMLRKLHMFFBB48CC,11,19.26,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPUQMLRKLHMFFBB68CC,11,27.89,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPVQMLRKLHMFFBB78CC,11,48.22,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPVQMLRKLHMFFBB78CC,11,35.33,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPWQMLRKLHMFFBB88CC,4,27.23,見其它登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPXQMLRKLHMFFBB98CC,4,66.04,住家用,鋼筋混凝土造,102年7月25日,二十二層,
RPXQMLRKLHMFFBB98CC,4,17.71,見其它登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPXQMLRKLHMFFBB98CC,4,14.14,見其它登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPVNMLRKLHMFFAB38CC,18,135.58,住家用,鋼筋混凝土造,87年9月18日,十四層,
RPRPMLRKLHMFFBB38DC,10,46.59,住家用,鋼筋混凝土造,95年12月25日,十四層,
RPRPMLRKLHMFFBB38DC,10,11.77,共有部分,鋼筋混凝土造,95年12月25日,十四層,
RPRPMLRKLHMFFBB38DC,10,7.24,共有部分,鋼筋混凝土造,95年12月25日,十四層,
RPTNMLRKLHMFFAL56CC,54,61.00,住家用,磚造,52年2月25日,二層,
RPQNMLSKLHMFFAB97CC,21,21.45,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPQNMLSKLHMFFAB97CC,21,3.98,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPQNMLSKLHMFFAB97CC,21,4.49,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPQNMLSKLHMFFAB97CC,21,1.07,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPQNMLSKLHMFFAB97CC,21,1.58,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPRNMLSKLHMFFAB08CC,21,19.27,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPRNMLSKLHMFFAB08CC,21,3.30,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPRNMLSKLHMFFAB08CC,21,3.72,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPRNMLSKLHMFFAB08CC,21,.89,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPRNMLSKLHMFFAB08CC,21,1.31,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPSNMLSKLHMFFAB18CC,21,21.25,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPSNMLSKLHMFFAB18CC,21,3.98,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPSNMLSKLHMFFAB18CC,21,4.49,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPSNMLSKLHMFFAB18CC,21,1.07,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPSNMLSKLHMFFAB18CC,21,1.58,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPTNMLSKLHMFFAB28CC,19,51.10,住家用,鋼筋混凝土造,86年9月18日,二十一層,
RPTNMLSKLHMFFAB28CC,19,8.93,共有部份,鋼筋混凝土造,86年9月18日,二十一層,
RPTNMLSKLHMFFAB28CC,19,11.62,見其他登記事項,鋼筋混凝土造,86年9月18日,二十一層,
RPUNMLKLLHMFFAB67CC,45,199.76,見其他登記事項,見其他登記事項,61年2月23日,三層,
RPUNMLKLLHMFFAB67CC,45,183.32,商業用,見其他登記事項,61年2月23日,三層,
RPVRMLKLLHMFFAB18CC,10,26.50,見其他登記事項,鋼筋混凝土造,95年10月26日,三十二層,
RPVRMLKLLHMFFAB18CC,11,4.41,見其他登記事項,鋼筋混凝土造,95年6月22日,三十二層,
RPVRMLKLLHMFFAB18CC,10,11.08,見其他登記事項,鋼筋混凝土造,95年10月26日,三十二層,
RPOSMLKLLHMFFAB57CC,18,127.02,住家用,鋼筋混凝土造,87年10月30日,二十四層,
RPOSMLKLLHMFFAB57CC,18,21.39,共有部份,鋼筋混凝土造,87年10月30日,二十四層,
RPOSMLKLLHMFFAB57CC,18,62.42,共有部份,鋼筋混凝土造,87年10月30日,二十四層,
RPRSMLKLLHMFFAB87CC,12,90.73,見其他登記事項,鋼筋混凝土造,93年12月24日,十八層,
RPRSMLKLLHMFFAB87CC,12,17.27,見其他登記事項,鋼筋混凝土造,93年12月24日,十八層,
RPRSMLKLLHMFFAB87CC,12,14.45,見其他登記事項,鋼筋混凝土造,93年12月24日,十八層,
RPXNMLKLLHMFFBB08CC,10,163.91,見其它登記事項,鋼筋混凝土造,95年11月24日,十四層,
RPXNMLKLLHMFFBB08CC,10,8.71,共有部份,鋼筋混凝土造,95年11月24日,十四層,
RPSPMLKLLHMFFBB77CC,1,98.64,見其他登記事項,鋼筋混凝土造,104年8月26日,十六層,
RPSPMLKLLHMFFBB77CC,1,29.17,見其他登記事項,鋼筋混凝土造,104年8月26日,十六層,
