編號,車位類別,車位價格,車位面積平方公尺
RPROMLQLKILFFBB08CC,坡道平面,0,28.13
RPXOMLNJJHMFFCB28DC,其他,0,
RPSPMLQKJHMFFBB08CC,坡道平面,0,
RPSPMLQKJHMFFBB08CC,坡道平面,0,
RPSPMLQKJHMFFBB08CC,坡道平面,0,
RPPNMLRJKHMFFAB57CC,坡道平面,0,23.33
RPPNMLRJKHMFFAB57CC,坡道平面,0,23.33
RPPQMLQKLHMFFCB18CC,坡道平面,0,32.51
RPPQMLQKLHMFFCB18CC,坡道平面,0,32.51
RPRQMLQKLHMFFCB38CC,坡道平面,0,29.31
RPORMLQKLHMFFCB18CC,坡道機械,0,16.61
RPRRMLQKLHMFFCB48CC,坡道機械,0,14.54
RPRRMLQKLHMFFCB48CC,坡道機械,0,14.54
RPSRMLQKLHMFFCB58CC,坡道平面,0,24.47
RPSRMLQKLHMFFCB58CC,坡道平面,0,28.81
RPURMLQKLHMFFCB78CC,坡道平面,0,26.96
RPURMLQKLHMFFCB78CC,坡道平面,0,24.98
RPPPMLRKLHMFFCB18CC,坡道平面,0,
RPPPMLRKLHMFFCB18CC,坡道平面,0,
RPVRMLRKLHMFFCB98CC,坡道平面,0,
RPUQMLRKLHMFFBB68CC,坡道平面,3200,27.89
RPWQMLRKLHMFFBB88CC,坡道平面,3500,27.23
RPOSMLKLLHMFFAB57CC,坡道平面,0,
RPOSMLKLLHMFFAB57CC,坡道機械,0,
RPSPMLKLLHMFFBB77CC,坡道平面,0,32.06
RPQPMLKLLHMFFCB67CC,坡道平面,0,41.72
RPVNMLKLLHMFFAL78CC,坡道機械,0,10.70
RPWNMLKLLHMFFGL86CC,坡道平面,0,23.67
RPVPMLKLLHMFFAB08DC,坡道平面,0,
RPRQMLLLLHMFFCB97CC,坡道平面,0,
RPQUMLLLLHMFFCB28CC,坡道平面,0,40.97
RPPNMLMLLHMFFBB47CC,坡道機械,0,9.29
RPSQMLMLLHMFFBB08CC,坡道機械,0,13.61
RPTNMLMLLHMFFCB97CC,坡道平面,0,
RPXPMLMLLHMFFCB58CC,坡道機械,1500,18.99
RPVPMLNLLHMFFBB38CC,坡道機械,0,13.61
RPWPMLNLLHMFFBB48CC,坡道平面,3100,27.89
RPUPMLOLLHMFFBB38CC,坡道平面,0,
RPUQMLOLLHMFFBB48CC,坡道平面,0,33.17
RPOPMLOLLHMFFAB67CC,坡道機械,0,12.60
RPQPMLOLLHMFFAB87CC,坡道平面,0,23.78
RPVOMLRLLHMFFCB78CC,坡道平面,0,
RPVOMLRLLHMFFCB78CC,坡道平面,0,
RPVOMLRLLHMFFCB78CC,坡道平面,0,
RPVOMLRLLHMFFCB78CC,坡道平面,0,
RPVOMLRLLHMFFCB78CC,坡道平面,0,
RPPPMLRLLHMFFCB28CC,坡道平面,0,
RPPPMLRLLHMFFCB28CC,坡道平面,0,
RPVPMLRLLHMFFCB88CC,坡道平面,0,37.80
RPWPMLRLLHMFFCB98CC,坡道機械,0,
RPWPMLRLLHMFFCB98CC,坡道機械,0,
RPOQMLRLLHMFFCB28CC,坡道機械,0,
RPPQMLRLLHMFFCB38CC,坡道平面,0,
RPUPMLRLLHMFFBB68CC,坡道機械,0,
RPWPMLSLLHMFFBB98CC,坡道平面,0,
RPVOMLSLLHMFFCB88CC,坡道機械,0,
RPVOMLSLLHMFFCB88CC,坡道機械,0,
RPPPMLSLLHMFFCB38CC,坡道平面,0,
RPPPMLSLLHMFFCB38CC,坡道平面,0,
RPXNMLSLLHMFFHL87CC,坡道平面,0,
RPXNMLSLLHMFFBB98DC,坡道平面,0,
RPTPMLTLLHMFFCB88CC,坡道平面,0,35.97
RPSQMLTLLHMFFCB88CC,坡道平面,0,33.21
RPOPMLTLLHMFFBB28CC,坡道機械,0,
RPOOMLTLLHMFFAB08CC,坡道機械,0,
RPSPMLKMLHMFFBB87CC,坡道機械,2300,15.94
RPUPMLKMLHMFFBB08CC,坡道平面,3500,31.88
RPWPMLKMLHMFFBB28CC,坡道平面,3200,31.88
RPRQMLKMLHMFFBB87CC,坡道機械,2500,15.94
RPUQMLKMLHMFFBB18CC,坡道平面,3500,27.23
RPOOMLKMLHMFFCB47CC,坡道平面,0,
RPOOMLKMLHMFFCB47CC,坡道平面,0,
RPXPMLKMLHMFFCB48CC,坡道機械,1000,18.99
RPXOMLLMLHMFFGL27CC,坡道平面,0,27.22
RPVOMLLMLHMFFCB28CC,坡道平面,0,33.79
RPOPMLLMLHMFFCB67CC,坡道平面,0,35.90
RPOPMLLMLHMFFBB57CC,坡道平面,0,
RPWRMLLMLHMFFBB58CC,坡道平面,0,38.27
RPQPMLLMLHMFFAB67CC,坡道平面,0,22.91
