編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLNJJHMFFBC57CA,36,76.44,住家用,鋼筋混凝土造,70年1月28日,四層,三層
RPVNMLNJJHMFFBC67CA,61,29.79,住家用,磚造,44年8月1日,一層,一層
RPQNMLMKJHMFFBC17CA,40,57.77,住家用,鋼筋混凝土加強磚造,65年10月20日,四層,四層
RPTNMLMKJHMFFBC47CA,37,78.55,住家用,鋼筋混凝土造,68年8月20日,四層,一層
RPOOMLNLJHMFFBC27CA,1,11.96,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,
RPOOMLNLJHMFFBC27CA,1,.00,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,七層
RPOOMLNLJHMFFBC27CA,1,.00,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,十三層
RPUNMLQKJHMFFBC97CA,72,70.52,住家用,木造,34年1月1日,一層,一層
RPSNMLTKJHMFFBC18DA,39,53.59,住家用,鋼筋混凝土加強磚造,66年7月30日,四層,三層
RPROMLTJKHMFFBC08CA,38,39.52,見其他登記事項,鋼筋混凝土造,67年11月24日,四層,三層
RPROMLTJKHMFFBC08CA,38,11.20,共用部份,鋼筋混凝土造,67年11月24日,四層,
RPROMLTJKHMFFBC08CA,38,11.05,共用部份,鋼筋混凝土造,67年11月24日,四層,
RPROMLTJKHMFFBC08CA,38,38.95,見其他登記事項,鋼筋混凝土造,67年11月24日,四層,三層
RPPNMLMLKHMFFBC27CA,37,84.42,住家用,鋼筋混凝土造,68年11月9日,四層,四層
RPXNMLKLKHMFFBC87CA,34,74.12,見其他登記事項,鋼筋混凝土造,71年12月15日,五層,防空避難室
RPXNMLKLKHMFFBC87CA,34,62.13,見其他登記事項,鋼筋混凝土造,71年12月15日,五層,防空避難室
RPTNMLLJLHMFFBC47CA,41,68.17,住家用,鋼筋混凝土加強磚造,65年6月14日,四層,一層
RPTNMLMJLHMFFBC57CA,39,79.11,住家用,鋼筋混凝土造,67年7月13日,三層,二層
RPWNMLNKLHMFFBC08CA,52,38.70,住家用,加強磚造,53年11月1日,二層,一層
RPQNMLKKLHMFFBC17CA,55,85.44,住家用,磚造,51年3月1日,二層,一層 二層
RPOQMLRKLHMFFBC97CA,56,443.55,,加強磚造,49年10月30日,三層,一層 二層 地下層
RPOQMLRKLHMFFBC97CA,,154.44,住家用,加強磚造,,三層,三層
RPPNMLKLLHMFFBC17CA,38,39.52,見其他登記事項,鋼筋混凝土造,67年11月24日,四層,三層
RPPNMLKLLHMFFBC17CA,38,11.20,共用部份,鋼筋混凝土造,67年11月24日,四層,
RPPNMLKLLHMFFBC17CA,38,38.95,見其他登記事項,鋼筋混凝土造,67年11月24日,四層,三層
RPPNMLKLLHMFFBC17CA,38,11.05,共用部份,鋼筋混凝土造,67年11月24日,四層,
RPVNMLQKLHMFFBC28CA,18,91.32,住家用,鋼筋混凝土造,88年1月14日,十六層,十一層
RPVNMLQKLHMFFBC28CA,18,16.72,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVNMLQKLHMFFBC28CA,18,1.15,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVNMLQKLHMFFBC28CA,18,5.32,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVNMLQKLHMFFBC28CA,18,2.19,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVNMLQKLHMFFBC28CA,18,1.06,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVNMLQKLHMFFBC28CA,18,48.96,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPTNMLRKLHMFFBC18CA,23,98.59,住家用,鋼筋混凝土造,83年8月31日,七層,三層
RPTNMLRKLHMFFBC18CA,23,4.10,共用部份,鋼筋混凝土造,83年8月31日,七層,
RPTNMLRKLHMFFBC18CA,23,1.38,共用部份,鋼筋混凝土造,83年8月31日,七層,
RPTNMLRKLHMFFBC18CA,23,2.61,共用部份,鋼筋混凝土造,83年8月31日,七層,
RPSNMLLKMHMFFBC57CA,11,220.24,見其他登記事項,鋼筋混凝土造,94年11月3日,三層,一層 二層 三層 屋頂突出物
RPTNMLLKMHMFFBC67CA,18,91.37,住家用,鋼筋混凝土造,88年1月14日,十六層,二層
RPTNMLLKMHMFFBC67CA,18,12.99,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPTNMLLKMHMFFBC67CA,18,1.11,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPTNMLLKMHMFFBC67CA,18,3.30,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPTNMLLKMHMFFBC67CA,18,41.38,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPTNMLLKMHMFFBC67CA,18,2.24,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPTNMLLKMHMFFBC67CA,18,1.09,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPNMLMKMHMFFBC37CA,17,25.40,住家用,鋼筋混凝土造,89年7月6日,五層,一層
RPPNMLMKMHMFFBC37CA,17,14.33,共用部份,鋼筋混凝土造,89年7月6日,五層,
RPQNMLMKMHMFFBC47CA,17,69.23,住家用,鋼筋混凝土造,89年7月6日,五層,五層
RPQNMLMKMHMFFBC47CA,17,13.64,共用部份,鋼筋混凝土造,89年7月6日,五層,
RPTNMLKLLHMFFCC67CA,22,85.80,住家用,鋼筋混凝土造,83年10月15日,五層,四層
RPTNMLKLLHMFFCC67CA,22,2.36,共用部份,鋼筋混凝土造,83年10月15日,五層,
RPTNMLKLLHMFFCC67CA,22,7.86,共用部份,鋼筋混凝土造,83年10月15日,五層,
RPPOMLQKLHMFFCC87CA,24,33.12,見其他登記事項,鋼筋混凝土造,81年12月16日,十八層,地下二層
RPPOMLQKLHMFFCC87CA,24,.00,共用部份,鋼筋混凝土造,81年12月16日,十八層,
RPOOMLLLLHMFFCC37CA,21,25.23,住家用,鋼筋混凝土造,85年1月18日,七層,三層
RPOOMLLLLHMFFCC37CA,21,5.85,共用部份,鋼筋混凝土造,85年1月18日,七層,
RPVPMLSLLHMFFCC88CA,20,65.33,商業用,鋼筋混凝土造,85年9月30日,五層,一層 騎樓
RPVPMLSLLHMFFCC88CA,20,8.04,共用部份,鋼筋混凝土造,85年9月30日,五層,
RPPOMLTLLHMFFCC28CA,19,120.48,住家用,鋼筋混凝土造,87年7月10日,五層,二層
RPPOMLTLLHMFFCC28CA,22,3.34,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層
RPPOMLTLLHMFFCC28CA,19,40.07,共用部份,鋼筋混凝土造,87年7月10日,五層,
RPQOMLKMLHMFFCC57CA,1,51.68,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,十七層
RPQOMLKMLHMFFCC57CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPQOMLKMLHMFFCC57CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPQOMLKMLHMFFCC57CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPQOMLKMLHMFFCC57CA,1,.50,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPQOMLKMLHMFFCC57CA,1,21.12,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPPOMLLMLHMFFCC57CA,34,89.22,住家用,鋼筋混凝土造,71年12月4日,四層,二層
RPQNMLRJMHMFFCC97CA,23,81.40,住家用,鋼筋混凝土造,83年6月27日,六層,一層
RPQNMLRJMHMFFCC97CA,23,27.75,共用部份,鋼筋混凝土造,83年6月27日,六層,
RPVOMLRLLHMFFCC68CA,27,100.38,商業用,鋼筋混凝土造,79年3月19日,五層,一層 騎樓
RPVOMLRLLHMFFCC68CA,27,5.19,共用部份,鋼筋混凝土造,79年3月19日,五層,
RPOOMLRKLHMFFCC87CA,22,13.03,共用部份,鋼筋混凝土造,84年8月8日,六層,
RPOOMLRKLHMFFCC87CA,22,117.27,住家用,鋼筋混凝土造,84年8月8日,六層,一層
RPOOMLRKLHMFFCC87CA,22,11.13,共用部份,鋼筋混凝土造,84年8月8日,六層,
RPUNMLLLLHMFFCC87CA,35,79.00,住家用,鋼筋混凝土造,71年5月24日,四層,一層 二層
RPUNMLLLLHMFFCC87CA,35,13.84,共用部份,鋼筋混凝土造,71年5月24日,四層,
RPRNMLPLLHMFFCC97CA,22,82.30,住家用,鋼筋混凝土造,84年6月22日,十二層,二層
RPRNMLPLLHMFFCC97CA,22,12.16,見其他登記事項,鋼筋混凝土造,84年6月22日,十二層,地下三層 地下四層
RPRNMLPLLHMFFCC97CA,22,11.98,共用部份,鋼筋混凝土造,84年6月22日,十二層,
RPRQMLPJMHMFFBC08CA,17,61.68,住家用,鋼筋混凝土造,89年7月18日,七層,六層
RPRQMLPJMHMFFBC08CA,17,5.65,共用部份,鋼筋混凝土造,89年7月18日,八層,
RPRQMLPJMHMFFBC08CA,17,8.66,共用部份,鋼筋混凝土造,89年7月18日,八層,
RPVPMLRKLHMFFBC58CA,27,117.67,住家用,鋼筋混凝土造,78年10月18日,四層,四層
RPVPMLRKLHMFFBC58CA,27,3.44,共用部份,鋼筋混凝土造,78年10月18日,四層,
RPUNMLTLLHMFFBC58CA,23,97.30,商業用,鋼筋混凝土造,83年5月2日,十層,一層 騎樓
RPUNMLTLLHMFFBC58CA,23,49.76,共用部份,鋼筋混凝土造,83年5月2日,十層,
RPUNMLTLLHMFFBC58CA,23,7.28,共用部份,鋼筋混凝土造,83年5月2日,十層,
RPVNMLOKMHMFFCC28CA,21,82.22,住家用,鋼筋混凝土造,85年3月9日,十六層,五層
RPVNMLOKMHMFFCC28CA,21,36.57,共用部份,鋼筋混凝土造,85年3月9日,十七層,
RPVNMLOKMHMFFCC28CA,21,2.87,共用部份,鋼筋混凝土造,85年3月9日,十七層,
RPVNMLOKMHMFFCC28CA,21,16.99,共用部份,鋼筋混凝土造,85年3月9日,十六層,
RPWNMLOKMHMFFCC38CA,39,79.32,住家用,加強磚造,67年5月18日,二層,一層 二層
RPSNMLKMLHMFFBC67DA,29,79.10,住家用,鋼筋混凝土造,77年5月10日,五層,二層
RPSNMLKMLHMFFBC67DA,29,7.30,共用部份,鋼筋混凝土造,77年5月10日,五層,
RPSNMLKMLHMFFBC67DA,29,65.26,住家用,鋼筋混凝土造,77年5月10日,五層,二層
RPSNMLKMLHMFFBC67DA,29,6.03,共用部份,鋼筋混凝土造,77年5月10日,五層,
RPVNMLKLLHMFFCC08EA,43,75.73,住家用,加強磚造,62年8月17日,二層,一層
RPXNMLNLLHMFFBC28CA,18,57.92,住家用,鋼筋混凝土造,88年1月14日,十六層,十層
RPXNMLNLLHMFFBC28CA,18,8.24,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXNMLNLLHMFFBC28CA,18,.70,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXNMLNLLHMFFBC28CA,18,2.10,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXNMLNLLHMFFBC28CA,18,1.41,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXNMLNLLHMFFBC28CA,18,.69,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPRNMLLLLHMFFBC47CA,27,55.56,住家用,鋼筋混凝土造,79年6月14日,五層,二層
RPRNMLLLLHMFFBC47CA,27,55.56,住家用,鋼筋混凝土造,79年6月14日,五層,二層
RPRNMLLLLHMFFBC47CA,27,4.14,共用部份,鋼筋混凝土造,79年6月14日,五層,
RPRNMLLLLHMFFBC47CA,27,4.14,共用部份,鋼筋混凝土造,79年6月14日,五層,
RPRNMLLKMHMFFBC47CA,19,90.79,住家用,鋼筋混凝土造,86年11月21日,十七層,十三層
RPRNMLLKMHMFFBC47CA,19,13.94,共用部份,鋼筋混凝土造,86年11月21日,十七層,
RPRNMLLKMHMFFBC47CA,19,8.10,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPRNMLLKMHMFFBC47CA,19,34.17,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPRNMLNKMHMFFBC67CA,22,40.41,共用部份,鋼筋混凝土造,84年6月10日,四層,
RPPNMLRLLHMFFCC97CA,26,108.37,住家用,鋼筋混凝土造,79年10月30日,五層,三層
RPRNMLNLLHMFFCC77CA,9,102.90,見其他登記事項,鋼筋混凝土造,97年4月2日,五層,三層
RPRNMLNLLHMFFCC77CA,9,7.91,共用部份,鋼筋混凝土造,97年4月2日,五層,
RPRNMLNLLHMFFCC77CA,9,9.19,共用部份,鋼筋混凝土造,97年4月2日,五層,
RPSNMLNLLHMFFCC87CA,,73.70,住家用,加強磚造,,一層,一層
RPVNMLLLLHMFFCC97CA,1,49.55,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,八層
RPVNMLLLLHMFFCC97CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPVNMLLLLHMFFCC97CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPVNMLLLLHMFFCC97CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPVNMLLLLHMFFCC97CA,1,.48,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPVNMLLLLHMFFCC97CA,1,33.72,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPWNMLLLLHMFFCC08CA,36,76.65,住家用,鋼筋混凝土造,70年3月19日,四層,二層
RPQOMLKLLHMFFCC47CA,22,170.69,商業用,鋼筋混凝土造,83年10月7日,七層,一層
RPQOMLKLLHMFFCC47CA,22,26.14,共用部份,鋼筋混凝土造,83年10月7日,七層,
RPPNMLOLLHMFFCC67CA,1,88.60,見其他登記事項,鋼筋混凝土造,104年12月28日,十五層,十五層
RPPNMLOLLHMFFCC67CA,1,81.16,見其他登記事項,鋼筋混凝土造,104年12月28日,十五層,
RPQNMLKKMHMFFCC37CA,30,34.54,見其他登記事項,鋼筋混凝土造,76年8月5日,五層,防空避難室 停車場
RPOOMLLMLHMFFCC47CA,22,68.40,住家用,鋼筋混凝土造,84年5月17日,六層,二層
