編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPXNMLKLKHMFFBC87CA,成功段,29.75,都市：商
RPXNMLKLKHMFFBC87CA,成功段,1.58,都市：其他
RPXNMLKLKHMFFBC87CA,成功段,.33,都市：其他
RPVNMLQKLHMFFBC28CA,長潭段,2.13,都市：住
RPVNMLQKLHMFFBC28CA,長潭段,21.28,都市：住
RPTNMLRKLHMFFBC18CA,深美段,22.05,都市：其他
RPSNMLLKMHMFFBC57CA,深澳坑段槓子寮小段,137.74,都市：住
RPTNMLLKMHMFFBC67CA,長潭段,22.66,都市：住
RPPNMLMKMHMFFBC37CA,復興段二小段,2.40,都市：商
RPPNMLMKMHMFFBC37CA,復興段二小段,11.10,都市：商
RPQNMLMKMHMFFBC47CA,復興段二小段,2.80,都市：商
RPQNMLMKMHMFFBC47CA,復興段二小段,12.95,都市：商
RPUOMLRKLHMFFCC48CA,金華段,9.61,都市：其他
RPUOMLRKLHMFFCC48CA,金華段,15.45,都市：其他
RPUOMLRKLHMFFCC48CA,金華段,10.86,都市：其他
RPUOMLRKLHMFFCC48CA,金華段,1.38,都市：其他
RPUOMLRKLHMFFCC48CA,金華段,8.77,都市：其他
RPUOMLRKLHMFFCC48CA,金華段,3.02,都市：其他
RPUOMLRKLHMFFCC48CA,金華段,49.52,都市：其他
RPUOMLRKLHMFFCC48CA,金華段,2.45,都市：其他
RPUOMLRKLHMFFCC48CA,金華段,10.58,都市：其他
RPUOMLRKLHMFFCC48CA,金華段,8.21,都市：其他
RPUOMLRKLHMFFCC48CA,金華段,2.18,都市：其他
RPUOMLRKLHMFFCC48CA,金華段,5.17,都市：其他
RPUOMLRKLHMFFCC48CA,金華段,74.70,都市：其他
RPUOMLRKLHMFFCC48CA,金華段,15.00,都市：其他
RPUOMLRKLHMFFCC48CA,金華段,28.44,都市：其他
RPUOMLRKLHMFFCC48CA,金華段,49.12,都市：其他
RPUOMLRKLHMFFCC48CA,金華段,.90,都市：其他
RPUOMLRKLHMFFCC48CA,金華段,.53,都市：其他
RPUOMLRKLHMFFCC48CA,金華段,4.77,都市：其他
RPTNMLKLLHMFFCC67CA,情人湖段,26.21,都市：住
RPTNMLKLLHMFFCC67CA,情人湖段,.08,都市：其他
RPPOMLQKLHMFFCC87CA,麥金段,2.63,都市：住
RPPOMLQKLHMFFCC87CA,麥金段,.08,都市：住
RPPOMLQKLHMFFCC87CA,麥金段,.08,都市：住
RPOOMLLLLHMFFCC37CA,武嶺段,6.67,都市：住
RPVPMLSLLHMFFCC88CA,新會段,22.00,都市：住
RPPOMLTLLHMFFCC28CA,代天府段,.97,都市：住
RPPOMLTLLHMFFCC28CA,代天府段,40.01,都市：住
RPQOMLKMLHMFFCC57CA,麥金段,7.11,都市：住
RPQOMLKMLHMFFCC57CA,麥金段,.01,都市：住
RPQOMLKMLHMFFCC57CA,麥金段,.00,都市：住
RPPOMLLMLHMFFCC57CA,源遠段,50.39,都市：住
RPQNMLRJMHMFFCC97CA,源遠段,22.52,都市：住
RPVOMLRLLHMFFCC68CA,大武崙段內寮小段,25.00,都市：住
RPOOMLRKLHMFFCC87CA,源遠段,14.17,都市：住
RPUNMLLLLHMFFCC87CA,暖暖段東勢坑小段,47.07,都市：住
RPRNMLPLLHMFFCC97CA,新城段,13.53,都市：住
RPRNMLPLLHMFFCC97CA,新城段,.05,都市：其他
RPRNMLPLLHMFFCC97CA,新城段,.35,都市：其他
RPRQMLPJMHMFFBC08CA,成功段,12.93,都市：住
RPRQMLPJMHMFFBC08CA,成功段,3.28,都市：住
RPVPMLRKLHMFFBC58CA,深美段,37.86,都市：住
RPUNMLTLLHMFFBC58CA,日新段四小段,6.54,都市：商
RPUNMLTLLHMFFBC58CA,日新段四小段,5.84,都市：商
RPVNMLOKMHMFFCC28CA,源遠段,16.43,都市：住
RPWNMLOKMHMFFCC38CA,源遠段,73.00,都市：住
RPSNMLKMLHMFFBC67DA,福祿段,33.64,都市：商
RPVNMLKLLHMFFCC08EA,源遠段,70.50,都市：住
RPPNMLLLLHMFFCC57EA,工建段,25.25,都市：工
RPPNMLLLLHMFFCC57EA,工建段,14.11,都市：工
RPXNMLNLLHMFFBC28CA,長潭段,14.20,都市：住
RPRNMLLLLHMFFBC47CA,長潭段,12.96,都市：商
RPRNMLLLLHMFFBC47CA,長潭段,12.96,都市：商
RPRNMLLLLHMFFBC47CA,長潭段,.06,都市：其他
RPRNMLLLLHMFFBC47CA,長潭段,.06,都市：其他
RPRNMLLKMHMFFBC47CA,調和段,.01,都市：住
RPRNMLLKMHMFFBC47CA,調和段,23.41,都市：其他
RPRNMLLKMHMFFBC47CA,調和段,.01,都市：其他
RPRNMLNKMHMFFBC67CA,培德段,4.31,都市：住
RPPNMLRLLHMFFCC97CA,源遠段,7.53,都市：住
RPPNMLRLLHMFFCC97CA,源遠段,7.47,都市：住
RPPNMLRLLHMFFCC97CA,源遠段,7.33,都市：住
RPPNMLRLLHMFFCC97CA,源遠段,7.67,都市：住
RPRNMLNLLHMFFCC77CA,暖暖段東勢坑小段,45.53,都市：住
RPSNMLNLLHMFFCC87CA,鶯歌石段石厝坑小段,82.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVNMLLLLHMFFCC97CA,麥金段,10.38,都市：住
RPVNMLLLLHMFFCC97CA,麥金段,.01,都市：住
RPVNMLLLLHMFFCC97CA,麥金段,.00,都市：住
RPWNMLLLLHMFFCC08CA,保定段,6.83,都市：住
RPWNMLLLLHMFFCC08CA,保定段,1.07,都市：住
RPWNMLLLLHMFFCC08CA,保定段,11.37,都市：其他
RPWNMLLLLHMFFCC08CA,保定段,4.44,都市：住
RPWNMLLLLHMFFCC08CA,保定段,3.99,都市：住
RPWNMLLLLHMFFCC08CA,保定段,4.71,都市：住
RPWNMLLLLHMFFCC08CA,保定段,.06,都市：其他
RPWNMLLLLHMFFCC08CA,保定段,8.21,都市：住
RPWNMLLLLHMFFCC08CA,保定段,.26,都市：其他
RPQOMLKLLHMFFCC47CA,德安段,43.50,都市：住
RPPNMLOLLHMFFCC67CA,源遠段,25.48,都市：住
RPQNMLKKMHMFFCC37CA,五堵段五堵北小段,.12,都市：其他
RPOOMLLMLHMFFCC47CA,源遠段,21.12,都市：住
RPTPMLSLLHMFFCC68CA,源遠段,22.40,都市：住
RPUNMLTLLHMFFCC68CA,源遠段,32.11,都市：住
RPQNMLLLLHMFFCC47CA,西定段,46.25,都市：住
RPRNMLLLLHMFFCC57CA,保定段,18.33,都市：住
RPRNMLLLLHMFFCC57CA,保定段,11.00,都市：其他
RPTNMLMLLHMFFCC87CA,大華段,29.68,都市：其他
RPUNMLMLLHMFFCC97CA,大華段,29.12,都市：其他
RPWNMLMLLHMFFCC18CA,大華段,27.50,都市：住
RPXNMLOKMHMFFBC38CA,深美段,116.17,都市：住
RPOOMLOKMHMFFBC57CA,中正段三小段,36.75,都市：住
RPRNMLPKMHMFFBC87CA,長潭段,2.15,都市：住
RPRNMLPKMHMFFBC87CA,長潭段,21.54,都市：住
RPSNMLPKMHMFFBC97CA,長潭段,1.37,都市：住
RPSNMLPKMHMFFBC97CA,長潭段,13.66,都市：住
RPRNMLSKMHMFFBC18CA,田寮段,13.43,都市：商
RPSNMLQJMHMFFBC97CA,福祿段,35.17,都市：住
RPSNMLQJMHMFFBC97CA,福祿段,.03,都市：其他
RPQNMLKKMHMFFBC27CA,深澳段,9.90,都市：住
RPTNMLNLLHMFFBC87CA,調和段,5.93,都市：住
RPUNMLNLLHMFFBC97CA,培德段,18.81,都市：住
RPSNMLOLLHMFFBC87CA,福祿段,35.97,都市：住
RPRNMLRLLHMFFBC08CA,調和段,21.71,都市：其他
RPRNMLRLLHMFFBC08CA,調和段,.01,都市：其他
RPRNMLRLLHMFFBC08CA,調和段,.01,都市：住
RPXNMLLLLHMFFCC38EA,大武崙段內寮小段,145.00,都市：住
RPUNMLLMLHMFFBC97DA,長潭段,24.57,都市：住
RPWNMLNKMHMFFCC28CA,情人湖段,22.32,都市：住
RPWNMLNKMHMFFCC28CA,情人湖段,.45,都市：其他
RPWNMLNKMHMFFCC28CA,情人湖段,.17,都市：其他
RPWNMLNKMHMFFCC28CA,情人湖段,.00,都市：其他
RPPNMLRLLHMFFBC97DA,深澳段,169.47,都市：其他
RPPNMLRLLHMFFBC97DA,深澳段,4.45,都市：其他
RPPNMLRLLHMFFBC97DA,深澳段,12.37,都市：其他
RPPNMLRLLHMFFBC97DA,深澳段,.45,都市：其他
RPSNMLMLLHMFFBC77DA,中正段二小段,18.77,都市：商
RPQNMLNLLHMFFBC67DA,深澳段,25.23,都市：住
RPRNMLNLLHMFFBC77DA,光明段,20.29,都市：住
RPRNMLNLLHMFFBC77DA,光明段,.02,都市：其他
RPRNMLNLLHMFFBC77DA,光明段,.11,都市：其他
RPRNMLNLLHMFFBC77DA,光明段,.02,都市：其他
RPRNMLNLLHMFFBC77DA,光明段,.05,都市：其他
RPRNMLNLLHMFFBC77DA,光明段,.03,都市：其他
RPOOMLTKMHMFFCC18CA,新武段,175.22,都市：住
RPROMLTKMHMFFCC48CA,新武段,175.22,都市：住
RPVNMLRLLHMFFCC68DA,大德段,30.24,都市：住
