¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¥_°Ï,«Øª«,»O«n¥«¥_°Ï¤½¶é¥_¸ô116«Ñ2§Ë1~30¸¹,0.0,,,,1051116,¤g¦a0«Øª«1¨®¦ì0,¤G¼h,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤gºc³y,0731212,91.88,3,2,2,¦³,µL,2500000,27209,,0.0,0,¤g¦a¬°¤¯·R¤§®a¤g¦a,RPWNMLLLKILFFAD87CA
Âk¤¯°Ï,«Øª«,»O«n¥«Âk¤¯°Ï¤C¥Ò¨½¤C¥Ò¤Tµó¤Q¤­«Ñ1~30¸¹,0.0,,,,1051112,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0800823,431.03,3,2,3,¦³,µL,750000,1740,,0.0,0,¤@µ¥¿Ë¶R½æ,RPXNMLPKKILFFFR57CA
¤¤¦è°Ï,«Øª«,»O«n¥«¤¤¦è°Ï®ü¦w¸ô¤@¬q155«Ñ31~60¸¹,0.0,,,,1051202,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤gºc³y,0631202,174.38,2,1,2,¦³,µL,2100000,12043,,0.0,0,¤g¦a¬°¤¯·R¤§®a¡C,RPPPMLKKJHMFFAD07CA
¥_°Ï,«Øª«,»O«n¥«¥_°Ï¤½¶é¥_¸ô151~180¸¹,0.0,,,,1051206,¤g¦a0«Øª«1¨®¦ì1,¤K¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤gºc³y,0840708,142.10000000000002,2,1,2,¦³,µL,2800000,19704,©Y¹D¥­­±,0.0,0,¤g¦a¬°¤¯·R¤§®a,RPQNMLOJJHMFFAD27CA
¥_°Ï,«Øª«,»O«n¥«¥_°Ï¤½¶é¸ô746«Ñ6§Ë1~30¸¹,0.0,,,,1051207,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤gºc³y,0651001,117.93,3,2,2,¦³,µL,950000,8056,,0.0,0,¤g¦a¬°¤¯·R¤§®a,RPPNMLNJJHMFFAD17DA
¥_°Ï,«Øª«,»O«n¥«¥_°Ï¹ê½îµó39«Ñ103§Ë1~30¸¹,0.0,,,,1051205,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤@¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0620619,44.45,2,1,1,¦³,µL,1800000,40495,,0.0,0,¤g¦a«Y°]¹Îªk¤H¥xÆW¬Ù¨p¥ß¤¯·R¤§®a©Ò¦³,RPXOMLKMKILFFAD08CA
Âk¤¯°Ï,«Øª«,»O«n¥«Âk¤¯°Ï³\­í¨½¤j´¼µó1~30¸¹,0.0,,,,1051220,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í°Ó¥Î,¥[±j¿j³y,,154.08,4,2,2,¦³,µL,2300000,14927,,0.0,0,,RPSNMLPLJHMFFFR07CA
¥_°Ï,«Øª«,»O«n¥«¥_°Ï¥¿­·¨½¤½¶é¸ô934«Ñ1~30¸¹,0.0,,,,1051217,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0621210,78.77,4,2,2,¦³,µL,1850000,23486,,0.0,0,¤g¦a¬°¤¯·R¤§®a,RPVQMLKLJHMFFAD87CA
¦w¥­°Ï,«Øª«,»O«n¥«¦w¥­°Ï¦w¥­¸ô31~60¸¹,0.0,,,,1051220,¤g¦a0«Øª«1¨®¦ì0,¤@¼h¡A¤G¼h,¤G¼h,¨ä¥L,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1051028,1691.21,32,1,32,¦³,µL,13000000,7687,,0.0,0,¸Ó«Øª«ÄÝ¿û°©ºc³yÅK¥Ö«Î¦³Àð¡C¤g¦a³¡¤À¬O¨p¦³¤g¦a¡C,RPVNMLTJJHMFFAD28CA
¥_°Ï,«Øª«,»O«n¥«¥_°Ï¤½¶é¸ô746«Ñ6§Ë1~30¸¹,0.0,,,,1051228,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤gºc³y,0651001,119.31,4,2,3,¦³,µL,3400000,28497,,0.0,0,¥»®×«Øª«§¤¸¨¤g¦a¬°¤¯·R¤§®a¤§¤g¦a¡C,RPXNMLQJKHMFFAD28CA
¥_°Ï,«Øª«,»O«n¥«¥_°Ï¤½¶é¸ô391~420¸¹,0.0,,,,1051209,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,°Ó·~¥Î,¿ûµ¬²V¾®¤g¥[±j¿j³y,0550101,32.0,3,1,2,¦³,µL,200000,6250,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPQOMLSKJHMFFAD97DA
¥Ã±d°Ï,«Øª«,»O«n¥«¥Ã±d°Ï¤¤¤sªF¸ô218«Ñ9§Ë31~60¸¹,0.0,,,,1051204,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0711028,92.96,5,2,2,¦³,µL,3500000,37651,,0.0,0,¦¹®×¥ó¤g¦a¬°¤¯·R¤§®a,RPOPMLLKJHMFFHR66DA
¥_°Ï,«Øª«,»O«n¥«¥_°Ï¨|¼w¤G¸ô777«Ñ31~60¸¹,0.0,,,,1060103,¤g¦a0«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤gºc³y,0920731,191.51,5,2,4,¦³,µL,1450000,7571,,0.0,0,¦@¦³¤H2¤H¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPPNMLQKJHMFFAD47CA
¤¤¦è°Ï,«Øª«,»O«n¥«¤¤¦è°Ï«Ø·~µó37«Ñ1~30¸¹,0.0,,,,1051210,¤g¦a0«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1050331,263.94,6,2,6,¦³,µL,13750000,52095,,0.0,0,¤g¦a«Y¦V¨p¥ß¥x«n¤¯·R¤§®a©Ó¯²,RPQNMLTKJHMFFAD87CA
¥_°Ï,«Øª«,»O«n¥«¥_°Ï¥¿Ä±µó1~30¸¹,0.0,,,,1051230,¤g¦a0«Øª«2¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0591224,266.02,2,1,1,¦³,µL,878700,3303,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C¤g¦a¬°©Ò¦³Åv¤H¬°¤¯·R¤§®a,RPROMLSJKHMFFAD97CA
¦w¥­°Ï,«Øª«,»O«n¥«¦w¥­°Ï¦{¥­¤Gµó38«Ñ1~30¸¹,0.0,,,,1051230,¤g¦a0«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,1041203,246.85,6,2,4,¦³,µL,5600000,22686,,0.0,0,,RPUNMLKLJHMFFAD47CA
¥_°Ï,«Øª«,»O«n¥«¥_°Ï¤½¶é¸ô571~600¸¹,0.0,,,,1051230,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤gºc³y,0831015,208.3,5,2,4,¦³,¦³,5700000,27364,,0.0,0,¤g¦a¬°¤¯·R¤§®a,RPQNMLPLJHMFFAD57CA
¥_°Ï,«Øª«,»O«n¥«¥_°Ïªøºa¸ô¤­¬q401«Ñ31~60¸¹,0.0,,,,1060105,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0610418,106.74,3,1,2,¦³,µL,1600000,14990,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C¤g¦a¬°¤¯·R¤§®a,RPXOMLPLJHMFFAD48DA
¦w¥­°Ï,«Øª«,»O«n¥«¦w¥­°Ï¤å¥­¨½2¾F¤¤µØ¦è¸ô¤G¬q31~60¸¹,0.0,,,,1051130,¤g¦a0«Øª«1¨®¦ì0,¤@¼h,¤@¼h,©±­±(©±¾Q),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,0931203,68.96,1,0,1,¦³,µL,2000000,29002,,0.0,0,,RPUOMLPKKHMFFAD08CA
¦w«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¦w«n°Ï·q¦wµó1~30¸¹,33.58,¦í,,,1051228,¤g¦a2«Øª«2¨®¦ì1,¥|¼h¡A¤­¼h,¤Q¤­¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840525,240.21999999999997,4,2,3,¦³,¦³,6600000,27474,©Y¹D¥­­±,0.0,0,,RPTNMLOJNHMFFBD08CA
¥_°Ï,«Øª«,»O«n¥«¥_°Ï¤½¶é¥_¸ô144«Ñ1~30¸¹,0.0,,,,1060202,¤g¦a0«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤gºc³y,0841114,226.54,5,1,4,¦³,µL,4300000,18981,,0.0,0,¤g¦a¬°¨p¥ß¥x«n¤¯·R¤§®a,RPUOMLNJLHMFFAD87CA
¨Î¨½°Ï,«Øª«,»O«n¥«¨Î¨½°ÏÂí¤s¨½20¾FÂí¤sµó328«Ñ1~30¸¹,0.0,,,,1060125,¤g¦a0«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1031114,207.0,4,2,3,¦³,µL,3990000,19275,,0.0,0,,RPUNMLLJLHMFFDR76DA
¤¤¦è°Ï,«Øª«,»O«n¥«¤¤¦è°Ï«Ø·~µó37«Ñ1~30¸¹,0.0,,,,1060214,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¿j³y,0510101,103.92,3,2,2,¦³,µL,2000000,19246,,0.0,0,¤g¦a¬°¤¯·R¤§®a§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPRNMLNLKHMFFAD57CA
¤¯¼w°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¤¯¼w°Ï«á¾À¨½¼wµ½¸ô108«Ñ31~60¸¹,40.08,¦í,,,1060116,¤g¦a2«Øª«1¨®¦ì1,¤­¼h,¤­¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1051201,128.2,3,2,2,¦³,¦³,3910000,30787,¤@¼Ó¥­­±,21.66,630000,,RPVNMLKKNHMFFFR17CA
¥_°Ï,«Øª«,»O«n¥«¥_°Ï¤½¶é¸ô746«Ñ6§Ë1~30¸¹,0.0,,,,1051210,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0651001,87.14,4,2,2,¦³,µL,2600000,29837,,0.0,0,¤g¦a«Y¤¯·R¤§®a©Ò¦³,RPVOMLOLKHMFFAD18CA
¥_°Ï,«Øª«,»O«n¥«¥_°Ï¤½¶é¸ô918«Ñ1~30¸¹,0.0,,,,1060212,¤g¦a0«Øª«1¨®¦ì0,¤T¼h,¤­¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤gºc³y,0791126,39.620000000000005,1,1,1,¦³,µL,1200000,30288,,0.0,0,¤g¦a¬°¤¯·R¤§®a,RPPNMLLJLHMFFAD27EA
·s¥«°Ï,«Øª«,»O«n¥«·s¥«°Ï¤j¶¶¤E¸ô1~30¸¹,0.0,,,,1041216,¤g¦a0«Øª«3¨®¦ì0,¤@¼h¡A¤G¼h¡A¤T¼h¡A«Î³»¬ð¥Xª«¡A§¨¼h¡A¦a¤U¤@¼h,¤T¼h,¼t¿ì,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,0930721,11845.3,40,9,10,¦³,µL,253000000,21359,,0.0,0,§t°Ê²£³]³Æ,RPUNMLLLLHMFFER96CA
¦è´ä°Ï,«Øª«,»O«n¥«¦è´ä°Ï¦è´ä¨½23¾FÔ³¤lÀY1~30¸¹,0.0,,,,1060116,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1050823,194.12,4,2,3,¦³,µL,3000000,15454,,0.0,0,,RPROMLSJLHMFFDR17CA
¦è´ä°Ï,«Øª«,»O«n¥«¦è´ä°Ï¦è´ä¨½23¾FÔ³¤lÀY1~30¸¹,0.0,,,,1060116,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1050823,188.96,4,2,3,¦³,µL,3000000,15876,,0.0,0,,SPROMLSJLHMFFDR27CA
¥_°Ï,«Øª«,»O«n¥«¥_°Ï¹ê½îµó39«Ñ31~60¸¹,0.0,,,,1060210,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤gºc³y,0730322,122.13,2,2,2,¦³,µL,3000000,24564,,0.0,0,¤g¦a¬°¤¯·R¤§®a,RPWNMLRJLHMFFAD38CA
¤¤¦è°Ï,«Øª«,»O«n¥«¤¤¦è°Ï«nªù¸ô181~210¸¹,0.0,,,,1060117,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤gºc³y,0641113,123.72,4,2,3,¦³,µL,5600000,45263,,0.0,0,¤g¦a¬°¤¯·R¤§®a©Ò¦³¡C,RPRQMLPKLHMFFAD08CA
·s¤Æ°Ï,«Øª«,»O«n¥«·s¤Æ°ÏÅ@°ê¨½¤¤¤s¸ô91~120¸¹,0.0,,,,1060301,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤@¼h,³z¤Ñ­í,¦í®a¥Î,¿û³y,0930120,204.43,5,2,5,¦³,µL,6300000,30817,,0.0,0,,RPPNMLPKLHMFFER86DA
