絪腹,跋琿竚,簿锣縩キよそへ,ㄏノだ跋┪絪﹚
RPTNMLOJNHMFFBD08CA,匪郴琿,22.30,常カ
RPTNMLOJNHMFFBD08CA,匪郴琿,11.28,常カ
RPVNMLKKNHMFFFR17CA,纠琿,.10,常カ
RPVNMLKKNHMFFFR17CA,纠琿,39.98,常カ
RPSNMLOLMHMFFFR27CA,い睲琿,125.95,常カ笰
RPSNMLOLMHMFFFR27CA,い睲琿,2.26,常カ笰
RPSNMLOLMHMFFFR27CA,い睲琿,8.90,常カ笰
RPSNMLOLMHMFFFR27CA,い睲琿,.01,常カ笰
RPRNMLSJNHMFFBR17DA,琿,79.00,常カ
RPRNMLSJNHMFFBR17DA,琿,196.00,常カ
RPRNMLSJNHMFFBR17DA,琿,24.00,常カ
RPRNMLSJNHMFFBR17DA,琿,14.33,常カ
RPUNMLQKLHMFFCR27DA,纓翠琿,2400.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPUNMLQKLHMFFCR27DA,纓翠琿,1247.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPPNMLRKLHMFFCR86DA,肪醂琿,127.00,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPPNMLRKLHMFFCR86DA,肪醂琿,24.00,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPPNMLRKLHMFFCR86DA,肪醂琿,2.17,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPPNMLRKLHMFFCR86DA,肪醂琿,9.53,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPPNMLRKLHMFFCR86DA,肪醂琿,4.00,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPRNMLRKLHMFFCR07DA,肪醂琿,154.00,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPRNMLRKLHMFFCR07DA,肪醂琿,2.17,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPRNMLRKLHMFFCR07DA,肪醂琿,9.53,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPRNMLRKLHMFFCR07DA,肪醂琿,4.00,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPTNMLKLLHMFFCR66DA,肪醂琿,218.00,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPUNMLKLLHMFFCR76DA,肪醂琿,46.12,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPRNMLKLLHMFFDR56DA,く稲琿,50.11,常カ
RPRNMLKLLHMFFDR56DA,く稲琿,13.73,常カ
RPPNMLRKLHMFFAR66DA,琱犁琿琱犁琿,.09,常カㄤ
RPPNMLRKLHMFFAR66DA,琱犁琿琱犁琿,4.45,常カㄤ
RPPNMLRKLHMFFAR66DA,琱犁琿琱犁琿,14.38,常カ
RPPNMLRKLHMFFAR66DA,琱犁琿琱犁琿,93.00,常カ
RPPNMLRKLHMFFAR66DA,琱犁琿琱犁琿,29.73,常カ
RPPOMLOLLHMFFER96DA,翠琿,45.00,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPPOMLOLLHMFFER96DA,翠琿,21.18,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPOOMLMKMHMFFER66DA,㎝琿,3632.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPXNMLRKLHMFFFR97DA,﹁琿,192.86,常カ
RPXNMLRKLHMFFFR97DA,﹁琿,5.71,常カ
RPSNMLKKMHMFFFR96EA,び琿,71.80,常カ
RPXNMLOKMHMFFFR87EA,ヌ琿,99.58,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPPNMLRKLHMFFBD87CA,┥琿,119.24,常カ
RPQNMLKLLHMFFBD37CA,匪醂琿,2.85,常カ
RPQNMLKLLHMFFBD37CA,匪醂琿,71.15,常カ
RPQNMLKLLHMFFBD37CA,匪醂琿,20.90,常カ
RPRNMLKLLHMFFBD47CA,┥い琿,14.01,常カ
RPVOMLMLLHMFFBD18CA,┥琿,14.63,常カ
RPVOMLMLLHMFFBD18CA,┥琿,76.93,常カ
RPSNMLNLLHMFFBD87CA,瞁﹁琿,110.48,常カ
RPWPMLRKLHMFFCD88CA,芉袻琿,37.20,常カ
RPPNMLNLLHMFFCD67CA,紈蔼琿,19.72,常カ
RPSNMLNLLHMFFCD97CA,Ю糳琿,6.22,常カ
RPPNMLTKLHMFFCD18CA,琿,69.43,常カ
RPPNMLTKLHMFFCD18CA,羭尺琿,18.90,常カㄤ
RPPNMLTKLHMFFCD18CA,羭尺琿,.36,常カ
RPPNMLTKLHMFFCD18CA,羭尺琿,19.22,常カ
RPPNMLTKLHMFFCD18CA,羭尺琿,7.21,常カㄤ
RPPNMLTKLHMFFCD18CA,羭尺琿,.65,常カ
RPPNMLTKLHMFFCD18CA,羭尺琿,55.07,常カ
RPPNMLTKLHMFFCD18CA,羭尺琿,.02,常カ
RPQNMLKLLHMFFCD47CA,狥琿,16.00,常カ
RPQNMLKLLHMFFCD47CA,狥琿,42.00,常カ坝
RPQNMLKLLHMFFCD47CA,狥琿,16.50,常カ坝
RPTNMLKLLHMFFCD77CA,穝狥琿,.00,常カ
RPTNMLKLLHMFFCD77CA,穝狥琿,.11,常カ
RPTNMLKLLHMFFCD77CA,狥圭琿,.66,常カㄤ
RPTNMLKLLHMFFCD77CA,穝狥琿,.19,常カ
RPTNMLKLLHMFFCD77CA,穝狥琿,.14,常カ
RPTNMLKLLHMFFCD77CA,穝狥琿,.43,常カ
RPTNMLKLLHMFFCD77CA,穝狥琿,.16,常カ
RPTNMLKLLHMFFCD77CA,穝狥琿,.12,常カ
RPTNMLKLLHMFFCD77CA,穝狥琿,.14,常カ
RPTNMLKLLHMFFCD77CA,穝狥琿,.09,常カ
RPTNMLKLLHMFFCD77CA,穝狥琿,.23,常カ
RPTNMLKLLHMFFCD77CA,穝狥琿,29.87,常カ
RPTNMLKLLHMFFCD77CA,穝狥琿,.11,常カ
RPTNMLKLLHMFFCD77CA,穝狥琿,.12,常カ
RPTNMLKLLHMFFCD77CA,穝狥琿,.66,常カ
RPTNMLKLLHMFFCD77CA,穝狥琿,.01,常カ
RPTNMLKLLHMFFCD77CA,穝狥琿,.01,常カ
RPTNMLKLLHMFFCD77CA,穝狥琿,.18,常カ坝
RPTNMLKLLHMFFCD77CA,穝狥琿,.15,常カ
RPTNMLKLLHMFFCD77CA,穝狥琿,.76,常カ
RPTNMLKLLHMFFCD77CA,穝狥琿,.24,常カ
RPTNMLKLLHMFFCD77CA,穝狥琿,.09,常カ
RPTNMLKLLHMFFCD77CA,狥圭琿,.02,常カㄤ
RPTNMLLLLHMFFCD87CA,碔肝琿,6.73,常カ
RPTNMLLLLHMFFCD87CA,碔肝琿,.33,常カ
RPROMLLLLHMFFCD77CA,Ю糳琿,11.76,常カ
RPROMLLLLHMFFCD77CA,Ю糳琿,.28,常カㄤ
RPROMLLLLHMFFCD77CA,Ю糳琿,.08,常カㄤ
RPWNMLLKMHMFFBD08CA,匪み琿,102.63,常カ
RPTNMLSLLHMFFCD58CA,芉袻琿,21.97,常カ
RPQOMLQJMHMFFCD08CA,ユ琿,10.00,常カ
RPQOMLQJMHMFFCD08CA,ユ琿,6.32,常カ
RPQOMLQJMHMFFCD08CA,ユ琿,9.91,常カ
RPROMLRJMHMFFCD28CA,地琿,26.54,常カ
RPOOMLQKLHMFFAD67CA,秨じ琿,7.97,常カ坝
RPUNMLRKLHMFFAD28CA,獵琿,1.38,常カ坝
RPOOMLRKLHMFFAD77CA,獵琿,4.13,常カ坝
RPPNMLTKLHMFFAD97CA,ド琿,66.00,常カ
RPQOMLKLLHMFFAD37CA,笏袷琿,186.00,常カ
RPUOMLKLLHMFFAD77CA,玭圭琿,25.41,常カ
RPRPMLLLLHMFFAD67CA,じ琿,2.07,常カ
RPRPMLLLLHMFFAD67CA,じ琿,91.88,常カ
RPROMLMLLHMFFAD67CA,く稲琿,.88,常カ坝
RPROMLMLLHMFFAD67CA,く稲琿,.88,常カ坝
RPROMLMLLHMFFAD67CA,く稲琿,.13,常カ
RPROMLMLLHMFFAD67CA,く稲琿,.13,常カ
RPPOMLRLLHMFFAD97CA,穝玭琿,81.00,常カ
RPPQMLQJMHMFFAD97CA,羬琿,64.00,常カ
RPPQMLQJMHMFFAD97CA,羬琿,1.00,常カㄤ
RPPQMLQJMHMFFAD97CA,羬琿,186.00,常カ
RPPQMLQJMHMFFAD97CA,羬琿,2.00,常カㄤ
RPSNMLKKMHMFFAD47CA,玂琿,52.00,常カ
RPSNMLKKMHMFFAD47CA,玂琿,11.00,常カㄤ
RPSNMLKKMHMFFAD47CA,玂琿,52.00,常カ
RPSNMLKKMHMFFAD47CA,玂琿,11.00,常カㄤ
RPWPMLLKMHMFFAD18CA,狥伦琿,34.97,常カ
SPWPMLLKMHMFFAD28CA,狥伦琿,30.97,常カ
RPPQMLMKMHMFFAD67CA,タ谋琿,32.86,常カ
RPPQMLMKMHMFFAD67CA,タ谋琿,16.19,常カㄤ
RPPQMLMKMHMFFAD67CA,タ谋琿,48.22,常カㄤ
RPUNMLOKMHMFFAD08CA,ッ琿,5.55,常カ
RPQOMLQKLHMFFHR37CA,芖琿,3.46,常カ坝
RPQOMLQKLHMFFHR37CA,芖琿,9.90,常カ坝
RPOOMLRKLHMFFHR27CA,瓾堕琿,75.78,常カ
RPPOMLRKLHMFFHR37CA,鐁猀琿,1703.00,常カ笰
RPTOMLRKLHMFFHR77CA,芉︽琿,24.73,常カ
RPXOMLRKLHMFFHR18CA,せヒ郴琿,108.00,常カ
RPSNMLSKLHMFFHR67CA,玭琿,75.15,常カ
RPSNMLSKLHMFFHR67CA,玭琿,4.98,常カ
RPTNMLKKNHMFFFR96CA,竃琿,89.92,常カ
RPUNMLLLLHMFFHR27CA,﹁墩琿,89.00,常カ
RPPNMLMLLHMFFHR86CA,玭琿,5.44,常カ坝
RPQOMLMLLHMFFHR07CA,芖琿,18.62,常カ
RPRNMLSKLHMFFFR37CA,榜繷琿,611.00,獶常カ笰穨跋 ; 獶常カ絪﹚ヒ贺縱ノ
RPPOMLTLLHMFFFR47CA,紈盵琿,23.02,常カ
RPQOMLTLLHMFFFR57CA,紈盵琿,14.75,常カ
RPPPMLTLLHMFFFR57CA,きヒ琿,2890.00,獶常カ此狶跋 ; 獶常カ絪﹚笰ノ
RPQPMLTLLHMFFFR67CA,きヒ琿,2449.00,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPQPMLTLLHMFFFR67CA,きヒ琿,2449.00,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPRPMLTLLHMFFFR77CA,きヒ琿,10283.00,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPSOMLKMLHMFFFR96CA,玂ヒ琿,.64,常カ
RPSOMLKMLHMFFFR96CA,玂ヒ琿,.64,常カ
RPSOMLKMLHMFFFR96CA,玂ヒ琿,1.88,常カ
RPSOMLKMLHMFFFR96CA,玂ヒ琿,1.88,常カ
RPQPMLKKMHMFFHR96CA,い砍琿,58.85,常カ
RPRNMLLKMHMFFHR96CA,爵琿,6.48,常カ
RPRNMLLKMHMFFHR96CA,爵琿,1.40,常カ
RPRNMLLKMHMFFHR96CA,爵琿,14.23,常カ
RPRNMLLKMHMFFHR96CA,爵琿,72.32,常カ
RPPNMLNKMHMFFHR96CA,ッく琿,22.37,常カ
RPPNMLNKMHMFFHR96CA,ッく琿,6.19,常カ
RPPNMLNKMHMFFHR96CA,ッく琿,.07,常カ
RPSNMLTLLHMFFHR87CA,爵琿,15.70,常カ坝
RPUNMLTLLHMFFHR08CA,爵琿,15.75,常カ坝
RPOOMLTLLHMFFHR57CA,爵琿,15.75,常カ坝
RPQOMLTLLHMFFHR77CA,爵琿,15.75,常カ坝
RPSOMLTLLHMFFHR97CA,爵琿,15.75,常カ坝
RPUOMLTLLHMFFHR18CA,爵琿,15.75,常カ坝
RPUNMLQKLHMFFDR27CA,ゅて琿,74.83,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPQNMLKLLHMFFDR98CA,㎝琿,34.44,獶常カ笰穨跋 ; 獶常カ絪﹚ユ硄ノ
RPPNMLMLLHMFFDR09CA,ゅ琿,112.84,常カ
RPPNMLMLLHMFFDR09CA,ゅ琿,8.50,常カ
RPPNMLMLLHMFFDR09CA,ゅ琿,7.19,常カㄤ
RPPNMLMLLHMFFDR09CA,ゅ琿,4.92,常カㄤ
RPPNMLMLLHMFFDR09CA,ゅ琿,7.15,常カ
RPPNMLMLLHMFFDR09CA,ゅ琿,3.93,常カㄤ
RPPNMLMLLHMFFDR09CA,ゅ琿,2.79,常カ
RPQNMLRKLHMFFCR86CA,琿,39.81,常カ
RPRNMLRLLHMFFCR07CA,陈ě琿,342.67,常カㄤ
RPPNMLQLLHMFFAR56CA,ぱ琿,98.02,常カ
RPPNMLRKLHMFFBR66CA,逼λ琿,4000.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPWNMLRKLHMFFBR37CA,穝肪琿,994.69,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPWNMLRKLHMFFBR37CA,穝肪琿,126.00,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPWNMLRKLHMFFBR37CA,穝肪琿,4.80,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚ノ
RPWNMLRKLHMFFBR37CA,穝肪琿,47.27,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚ユ硄ノ
RPWNMLRKLHMFFBR37CA,穝肪琿,3.53,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚ユ硄ノ
RPSNMLSLLHMFFER47CA,兼郴琿,395.00,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPQNMLLKMHMFFDR09CA,抶狶琿,872.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚ヒ贺縱ノ
RPQNMLRKLHMFFER07CA,翠琿,87.00,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPPNMLKLLHMFFFR09CA,盩郴琿,75.76,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPPNMLKLLHMFFFR09CA,盩郴琿,1000.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPPOMLKKMHMFFER09CA,礷糳琿,97.50,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPRNMLRKMHMFFER27CA,獺竡琿,46.66,常カ
RPWNMLLLLHMFFFR27CA,ヒ﹁琿,327.35,常カ
RPWNMLLLLHMFFFR27CA,ヒ﹁琿,17.42,常カ
RPPNMLSKLHMFFFR17CA,┚У琿,104.00,常カ
RPQNMLSKLHMFFFR27CA,紈盵琿,7.82,常カ坝
RPQNMLKLLHMFFER09CA,┍琿琿,51.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPRNMLKLLHMFFER56CA,到ゅ琿,9.92,常カ
RPPOMLSLLHMFFER27CA,狥琿,1981.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPQOMLSLLHMFFER37CA,狥琿,3522.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPQOMLSLLHMFFER37CA,狥琿,3522.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPRNMLKLLHMFFBR88CA,榜繷琿き╔繷琿,181.67,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPRNMLKLLHMFFBR88CA,榜繷琿き╔繷琿,2422.50,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
