編號,車位類別,車位價格,車位面積平方公尺
RPQNMLOJJHMFFAD27CA,坡道平面,0,
RPTNMLOJNHMFFBD08CA,坡道平面,0,
RPVNMLKKNHMFFFR17CA,一樓平面,630000,21.66
RPPNMLNLLHMFFCD67CA,坡道機械,0,
RPSNMLNLLHMFFCD97CA,坡道平面,0,
RPTNMLLKMHMFFBD77CA,坡道平面,875000,34.07
RPTNMLLKMHMFFBD77CA,坡道平面,875000,34.07
RPTNMLSLLHMFFCD58CA,升降機械,0,
RPQOMLQJMHMFFCD08CA,坡道平面,0,25.33
RPROMLMLLHMFFAD67CA,坡道平面,1200000,
RPQOMLQKLHMFFHR37CA,升降機械,0,
RPTOMLRKLHMFFHR77CA,坡道平面,0,
RPPOMLTLLHMFFFR47CA,坡道平面,0,41.33
RPQPMLKKMHMFFHR96CA,坡道平面,0,
RPSNMLTLLHMFFHR87CA,坡道平面,0,
RPUNMLTLLHMFFHR08CA,坡道平面,0,
RPOOMLTLLHMFFHR57CA,坡道平面,0,
RPQOMLTLLHMFFHR77CA,坡道平面,0,
RPSOMLTLLHMFFHR97CA,坡道平面,0,
RPUOMLTLLHMFFHR18CA,坡道平面,0,
RPRNMLRKMHMFFER27CA,一樓平面,0,
RPPPMLTLLHMFFHR77CA,坡道平面,0,
RPQOMLLMLHMFFHR07CA,坡道平面,0,
RPOPMLLMLHMFFHR96CA,坡道平面,0,
RPROMLTLLHMFFFR67CA,坡道平面,0,28.13
RPPOMLLLLHMFFHR86CA,坡道平面,0,
RPPOMLLLLHMFFHR86CA,坡道平面,1560000,60.51
RPQOMLLLLHMFFHR96CA,坡道平面,780000,30.25
RPTOMLLLLHMFFHR27CA,坡道平面,0,
RPSOMLLLLHMFFAD67CA,升降機械,600000,26.30
RPSOMLLLLHMFFAD67CA,升降機械,600000,26.30
RPSOMLLLLHMFFAD67CA,升降機械,600000,26.30
RPSOMLLLLHMFFAD67CA,升降機械,600000,26.30
RPQPMLLLLHMFFAD57CA,坡道平面,860000,31.89
RPXOMLMLLHMFFAD28CA,坡道平面,1200000,30.14
RPQPMLMLLHMFFAD67CA,坡道平面,1200000,30.14
RPSNMLOLLHMFFAD87CA,坡道平面,760000,31.89
RPPOMLQJMHMFFCD97CA,坡道平面,0,25.33
RPXNMLRJMHMFFCD78CA,坡道平面,0,25.33
RPOPMLQJMHMFFCD97CA,坡道平面,0,25.33
RPROMLSLLHMFFCD48CA,坡道平面,700000,
RPTPMLLKMHMFFCD08CA,坡道平面,0,
RPVNMLSKLHMFFCD68CA,升降平面,0,
RPVOMLLKMHMFFCD18CA,坡道平面,450000,29.18
RPPPMLQJMHMFFCD08CA,坡道平面,0,25.33
RPQPMLQJMHMFFCD18CA,坡道平面,0,25.33
RPOOMLRJMHMFFCD97CA,坡道平面,0,25.33
RPPPMLMLLHMFFAD57CA,坡道平面,1200000,30.14
RPVNMLPJMHMFFAD18CA,坡道平面,800000,
RPXNMLPJMHMFFAD38CA,坡道平面,0,
RPOQMLKKMHMFFAD37CA,坡道平面,200000,
RPVNMLOLLHMFFFR47CA,坡道平面,0,
RPPPMLLMLHMFFHR07CA,坡道機械,0,
RPSPMLLMLHMFFHR37CA,坡道平面,0,
RPRPMLTLLHMFFHR97CA,坡道平面,0,
RPSPMLTLLHMFFHR08CA,坡道平面,0,
RPTPMLTLLHMFFHR18CA,坡道平面,0,
RPVPMLTLLHMFFHR38CA,坡道平面,0,
RPWNMLMLLHMFFCD38DA,坡道機械,0,
RPROMLKKMHMFFFR76CA,升降機械,450000,13.35
RPUPMLRJMHMFFAD48CA,坡道機械,500000,
RPXPMLQJMHMFFAD68CA,升降機械,0,
RPPOMLPJMHMFFAD67CA,坡道平面,0,
RPPOMLPJMHMFFAD67CA,坡道機械,0,
RPQOMLPJMHMFFAD77CA,坡道平面,0,
RPROMLPJMHMFFAD87CA,坡道平面,0,
RPPOMLRJMHMFFCD08CA,坡道平面,0,25.33
RPPPMLOLLHMFFCD97CA,坡道平面,0,
RPUNMLMKMHMFFCD08CA,坡道平面,0,25.33
RPROMLOKMHMFFCD08CA,升降機械,0,
RPPNMLSLLHMFFER27DA,坡道平面,0,
RPSNMLRKMHMFFAD18CA,坡道平面,0,
RPWNMLPJMHMFFCD48CA,坡道平面,0,
RPWNMLPJMHMFFCD48CA,坡道平面,0,
RPSOMLPJMHMFFAD97CA,坡道平面,0,
RPSOMLPJMHMFFAD97CA,坡道機械,0,
RPUOMLPJMHMFFAD18CA,坡道平面,0,
RPOPMLQJMHMFFAD77CA,升降機械,0,
RPRRMLLKMHMFFAD87CA,坡道平面,0,
RPTOMLMLLHMFFHR37CA,坡道平面,0,
RPQNMLOLLHMFFHR17CA,坡道平面,0,
RPSOMLTLLHMFFFR77CA,坡道平面,0,28.13
RPUOMLTLLHMFFFR97CA,坡道平面,0,28.13
RPVOMLTLLHMFFFR08CA,坡道平面,0,28.13
RPVOMLMLLHMFFCD38DA,坡道平面,0,15.45
RPWOMLRKMHMFFHR18CA,坡道平面,0,15.82
RPRNMLRLLHMFFER27CA,坡道平面,0,
RPSNMLMKMHMFFAD67CA,坡道平面,760000,
RPXRMLRKMHMFFAD09CA,坡道平面,0,30.48
RPXRMLRKMHMFFAD09CA,坡道平面,0,30.48
RPXRMLRKMHMFFAD09CA,坡道平面,0,30.48
RPVNMLMKMHMFFAD97CA,坡道平面,760000,
RPWNMLMKMHMFFAD08CA,坡道平面,660000,
RPOOMLMKMHMFFAD37CA,坡道平面,960000,
RPPQMLLKMHMFFAD57CA,坡道平面,860000,
RPTQMLLKMHMFFAD97CA,坡道平面,960000,
RPVQMLLKMHMFFAD18CA,坡道平面,960000,
RPWQMLLKMHMFFAD28CA,坡道平面,660000,
RPQOMLMKMHMFFAD57CA,坡道平面,860000,
RPROMLMKMHMFFAD67CA,坡道平面,860000,
RPSOMLMKMHMFFAD77CA,坡道平面,660000,
RPWOMLMKMHMFFAD18CA,坡道平面,660000,
RPOPMLMKMHMFFAD47CA,坡道平面,760000,
RPQPMLMKMHMFFAD67CA,坡道平面,600000,
RPSPMLMKMHMFFAD87CA,坡道平面,760000,
RPTPMLMKMHMFFAD97CA,坡道平面,600000,
RPWPMLMKMHMFFAD28CA,坡道平面,700000,
RPXPMLMKMHMFFAD38CA,坡道平面,600000,
RPOOMLLKMHMFFAD27CA,坡道平面,660000,
RPQOMLLKMHMFFAD47CA,坡道平面,860000,
RPWOMLLKMHMFFAD08CA,坡道平面,660000,
RPPPMLKKMHMFFAD37CA,坡道平面,860000,
RPRNMLLKMHMFFAD47CA,坡道平面,660000,
RPSQMLMKMHMFFAD97CA,坡道平面,660000,
RPTQMLMKMHMFFAD08CA,坡道平面,660000,
RPORMLMKMHMFFAD67CA,坡道平面,860000,
RPPRMLMKMHMFFAD77CA,坡道平面,860000,
RPSRMLMKMHMFFAD08CA,坡道平面,960000,
RPSNMLNKMHMFFAD77CA,坡道平面,860000,
RPTNMLNKMHMFFAD87CA,坡道平面,760000,
RPRPMLRJMHMFFAD18CA,坡道平面,660000,
RPTPMLRJMHMFFAD38CA,坡道平面,860000,
RPOPMLRJMHMFFAD87CA,坡道平面,760000,
RPPPMLRJMHMFFAD97CA,坡道平面,600000,
RPTPMLOLLHMFFCD38CA,坡道機械,0,
RPTNMLRKMHMFFAD28CA,坡道平面,660000,
RPRNMLSKMHMFFAD18CA,坡道平面,700000,
RPSNMLSKMHMFFAD28CA,坡道平面,700000,
RPTNMLSKMHMFFAD38CA,坡道平面,860000,
RPUNMLSKMHMFFAD48CA,坡道平面,600000,
RPVNMLSKMHMFFAD58CA,坡道平面,860000,
RPWNMLSKMHMFFAD68CA,坡道平面,860000,
RPXNMLSKMHMFFAD78CA,坡道平面,660000,
RPOOMLSKMHMFFAD97CA,坡道平面,760000,
RPPOMLSKMHMFFAD08CA,坡道平面,1100000,19.36
SPPOMLSKMHMFFAD18CA,坡道平面,1000000,18.03
RPQOMLSKMHMFFAD18CA,坡道平面,860000,
RPROMLSKMHMFFAD28CA,坡道平面,660000,
RPVOMLSKMHMFFAD68CA,坡道平面,960000,
RPPPMLSKMHMFFAD18CA,坡道平面,760000,
RPQPMLSKMHMFFAD28CA,坡道平面,660000,
RPRPMLSKMHMFFAD38CA,坡道平面,860000,
RPTPMLSKMHMFFAD58CA,坡道平面,760000,
RPWPMLSKMHMFFAD88CA,坡道平面,860000,
RPXPMLSKMHMFFAD98CA,坡道平面,960000,
RPOQMLSKMHMFFAD18CA,坡道平面,760000,
RPRNMLPJMHMFFCD97CA,一樓平面,1100000,34.44
RPQNMLOLLHMFFAD67CA,坡道平面,0,
RPXOMLKMLHMFFAD18CA,坡道平面,500000,
RPRNMLRKMHMFFAD08CA,坡道平面,760000,
RPWOMLTLLHMFFFR18CA,坡道平面,0,28.13
RPXOMLTLLHMFFFR28CA,坡道平面,0,28.13
RPUNMLSLLHMFFER67CA,坡道平面,0,
RPOOMLRKMHMFFAD87CA,坡道平面,660000,
RPQOMLRKMHMFFAD08CA,坡道平面,600000,
RPROMLRKMHMFFAD18CA,坡道平面,700000,
RPTOMLRKMHMFFAD38CA,坡道平面,760000,
RPWOMLRKMHMFFAD68CA,坡道平面,600000,
RPXOMLRKMHMFFAD78CA,坡道平面,700000,
RPOPMLRKMHMFFAD97CA,坡道平面,760000,
RPRPMLRKMHMFFAD28CA,坡道平面,800000,
RPSPMLRKMHMFFAD38CA,坡道平面,660000,
RPTPMLRKMHMFFAD48CA,坡道平面,860000,
RPUPMLRKMHMFFAD58CA,坡道平面,600000,
RPVPMLRKMHMFFAD68CA,坡道平面,660000,
RPWPMLRKMHMFFAD78CA,坡道平面,800000,
RPXPMLRKMHMFFAD88CA,坡道平面,860000,
RPPQMLRKMHMFFAD18CA,坡道平面,760000,
RPQQMLRKMHMFFAD28CA,坡道平面,800000,
RPRQMLRKMHMFFAD38CA,坡道平面,660000,
RPTQMLRKMHMFFAD58CA,坡道平面,660000,
RPWQMLRKMHMFFAD88CA,坡道平面,660000,
RPXQMLRKMHMFFAD98CA,坡道平面,760000,
RPORMLRKMHMFFAD18CA,坡道平面,660000,
RPPRMLRKMHMFFAD28CA,坡道平面,660000,
RPQRMLRKMHMFFAD38CA,坡道平面,860000,
RPRRMLRKMHMFFAD48CA,坡道平面,760000,
RPSRMLRKMHMFFAD58CA,坡道平面,660000,
RPTRMLRKMHMFFAD68CA,坡道平面,860000,
RPURMLRKMHMFFAD78CA,坡道平面,960000,
RPVNMLNKMHMFFAD08CA,坡道平面,960000,
RPWNMLNKMHMFFAD18CA,坡道平面,860000,
RPXNMLNKMHMFFAD28CA,坡道平面,760000,
RPPOMLNKMHMFFAD57CA,坡道平面,960000,
RPQOMLNKMHMFFAD67CA,坡道平面,660000,
RPROMLNKMHMFFAD77CA,坡道平面,660000,
RPTOMLNKMHMFFAD97CA,坡道平面,760000,
RPUOMLNKMHMFFAD08CA,坡道平面,760000,
RPVOMLNKMHMFFAD18CA,坡道平面,960000,
RPXOMLNKMHMFFAD38CA,坡道平面,760000,
RPOPMLNKMHMFFAD57CA,坡道平面,760000,
RPPPMLNKMHMFFAD67CA,坡道平面,760000,
RPSPMLNKMHMFFAD97CA,坡道平面,760000,
RPUPMLNKMHMFFAD18CA,坡道平面,860000,
RPVPMLNKMHMFFAD28CA,坡道平面,760000,
RPOQMLNKMHMFFAD67CA,坡道平面,860000,
RPQQMLNKMHMFFAD87CA,坡道平面,860000,
RPRQMLNKMHMFFAD97CA,坡道平面,760000,
RPSQMLNKMHMFFAD08CA,坡道平面,960000,
RPTQMLNKMHMFFAD18CA,坡道平面,860000,
RPUPMLSKMHMFFAD68CA,坡道平面,960000,
RPUNMLRKMHMFFAD38CA,坡道平面,600000,
RPQOMLKKMHMFFCD57CA,坡道機械,0,
RPWOMLSLLHMFFCD98CA,升降平面,500000,
RPWNMLKLMHMFFCD18CA,坡道平面,1000000,
RPVOMLOKMHMFFAD28CA,坡道平面,760000,
RPOPMLOKMHMFFAD67CA,坡道平面,860000,
RPPPMLOKMHMFFAD77CA,坡道平面,760000,
RPQPMLOKMHMFFAD87CA,坡道平面,860000,
RPSPMLOKMHMFFAD08CA,坡道平面,660000,
RPTPMLOKMHMFFAD18CA,坡道平面,660000,
RPUPMLOKMHMFFAD28CA,坡道平面,860000,
RPQNMLOKMHMFFAD67CA,坡道平面,860000,
RPSNMLOKMHMFFAD87CA,坡道平面,660000,
RPTNMLOKMHMFFAD97CA,坡道平面,660000,
RPXNMLOKMHMFFAD38CA,坡道平面,660000,
RPPOMLOKMHMFFAD67CA,坡道平面,700000,
RPSOMLOKMHMFFAD97CA,坡道平面,600000,
RPTOMLOKMHMFFAD08CA,坡道平面,600000,
RPPQMLOKMHMFFAD87CA,坡道平面,760000,
RPQQMLOKMHMFFAD97CA,坡道平面,860000,
RPRQMLOKMHMFFAD08CA,坡道平面,760000,
RPTQMLOKMHMFFAD28CA,坡道平面,960000,
RPUQMLOKMHMFFAD38CA,坡道平面,760000,
RPVQMLOKMHMFFAD48CA,坡道平面,760000,
RPWQMLOKMHMFFAD58CA,坡道平面,900000,
RPXQMLOKMHMFFAD68CA,坡道平面,760000,
RPQRMLOKMHMFFAD08CA,坡道平面,800000,
RPTRMLOKMHMFFAD38CA,坡道平面,800000,
RPVRMLOKMHMFFAD58CA,坡道平面,600000,
RPWRMLOKMHMFFAD68CA,坡道平面,660000,
RPOSMLOKMHMFFAD97CA,坡道平面,600000,
RPPSMLOKMHMFFAD08CA,坡道平面,860000,
RPQSMLOKMHMFFAD18CA,坡道平面,700000,
RPRSMLOKMHMFFAD28CA,坡道平面,960000,
RPTSMLOKMHMFFAD48CA,坡道平面,660000,
RPUSMLOKMHMFFAD58CA,坡道平面,760000,
RPVSMLOKMHMFFAD68CA,坡道平面,960000,
RPXSMLOKMHMFFAD88CA,坡道平面,960000,
RPWNMLKMLHMFFAD97CA,坡道平面,0,
RPRNMLKMLHMFFAD47CA,坡道平面,960000,31.89
RPWNMLSLLHMFFAD68CA,坡道機械,0,
RPTOMLSLLHMFFAD48CA,升降機械,0,
RPQOMLTLLHMFFAD28CA,坡道機械,0,
RPUNMLRJMHMFFHR77CA,坡道平面,0,
RPWNMLRJMHMFFHR97CA,坡道平面,0,
RPXNMLRJMHMFFHR08CA,坡道平面,0,
RPQNMLSJMHMFFHR47CA,坡道平面,0,
RPPOMLRJMHMFFHR37CA,坡道平面,0,
RPQOMLRJMHMFFHR47CA,坡道平面,0,
RPRNMLRJMHMFFFR27CA,坡道機械,0,
RPTNMLSLLHMFFFR67CA,其他,0,
RPTNMLSLLHMFFFR67CA,其他,0,
RPVNMLOKMHMFFCD48DA,升降機械,0,
RPSOMLKMLHMFFCD97DA,坡道平面,0,
RPPOMLOKMHMFFHR17CA,坡道平面,0,
RPQNMLRKMHMFFHR47CA,坡道平面,420000,
RPOOMLRJMHMFFHR27CA,坡道平面,1000000,
RPRPMLSLLHMFFHR87CA,坡道平面,0,
RPQNMLTLLHMFFAD18CA,坡道平面,0,
RPPNMLKMLHMFFAD27CA,坡道平面,0,
RPQPMLKMLHMFFAD57CA,坡道平面,0,
RPSNMLLMLHMFFAD67CA,坡道平面,0,
RPTOMLKMLHMFFAD77CA,坡道機械,0,
RPWOMLPJMHMFFAD38CA,坡道機械,0,
RPXOMLPJMHMFFAD48CA,坡道平面,0,
RPXOMLPJMHMFFAD48CA,坡道平面,0,
RPRNMLOKMHMFFAD77CA,坡道平面,700000,
RPSOMLRKMHMFFCD48CA,坡道平面,0,
RPUOMLTKMHMFFCD88CA,坡道平面,0,25.33
RPVOMLTKMHMFFCD98CA,坡道平面,0,25.33
RPPOMLTKMHMFFCD38CA,坡道平面,0,25.33
RPQOMLTKMHMFFCD48CA,坡道平面,0,25.33
RPROMLLMLHMFFCD87CA,坡道平面,0,
RPQNMLPJMHMFFCD87CA,坡道平面,400000,
RPPNMLPLMHMFFBD87CA,坡道平面,0,
RPWNMLKLMHMFFAD97CA,坡道平面,0,
RPWRMLPLMHMFFAD88CA,坡道機械,0,22.48
RPPQMLSKMHMFFAD28CA,坡道平面,660000,
RPRQMLSKMHMFFAD48CA,坡道平面,760000,
RPSQMLSKMHMFFAD58CA,坡道平面,760000,
RPVNMLOLMHMFFAD28CA,坡道平面,1000000,18.03
RPOOMLOLMHMFFAD67CA,坡道平面,0,
RPSOMLOLMHMFFAD08CA,坡道平面,1000000,18.03
RPWRMLOLMHMFFAD78CA,坡道平面,660000,
RPVNMLPJMHMFFCD38CA,坡道平面,0,
RPVNMLPJMHMFFCD38CA,坡道平面,0,
RPSOMLTKMHMFFCD68CA,坡道平面,0,25.33
RPXOMLTKMHMFFCD56CA,坡道平面,0,50.65
RPRPMLKKMHMFFAD57CA,坡道平面,0,
RPQPMLPJMHMFFAD87CA,坡道平面,0,
RPRPMLPJMHMFFAD97CA,坡道平面,0,
RPSPMLPJMHMFFAD08CA,坡道平面,0,
RPSPMLPJMHMFFAD08CA,坡道平面,0,
RPTPMLPJMHMFFAD18CA,坡道平面,0,
RPQNMLPJMHMFFAD67CA,坡道機械,360000,
RPXNMLLMLHMFFAD18CA,坡道平面,0,
RPUNMLLMLHMFFAD87CA,坡道平面,0,
RPUNMLLMLHMFFAD87CA,坡道平面,0,
RPVPMLRJMHMFFAD58CA,坡道機械,0,
RPQNMLNKMHMFFER76CA,坡道機械,0,
RPRNMLLMLHMFFHR07CA,坡道平面,680000,30.25
RPSNMLLMLHMFFHR17CA,坡道平面,0,
RPSNMLLMLHMFFHR17CA,坡道平面,1560000,60.51
RPPNMLRJMHMFFHR27CA,坡道平面,0,
RPWNMLPJMHMFFHR77CA,坡道機械,0,
RPUPMLLMLHMFFHR57CA,坡道平面,0,
RPSNMLOKMHMFFHR37CA,升降機械,0,
RPSNMLOKMHMFFHR37CA,升降機械,0,
RPSNMLOKMHMFFHR37CA,升降機械,0,
RPSNMLOKMHMFFHR37CA,升降機械,0,
RPSNMLOKMHMFFHR37CA,升降機械,0,
RPSNMLOKMHMFFHR37CA,升降機械,0,
RPRNMLKLMHMFFHR96CA,坡道平面,0,22.00
RPVNMLQJMHMFFHR77CA,坡道平面,0,
RPUNMLKKMHMFFHR17CA,坡道平面,0,
RPVNMLKKMHMFFHR27CA,坡道平面,0,
RPPOMLKKMHMFFHR76CA,坡道平面,0,
RPROMLKKMHMFFHR96CA,坡道平面,0,
RPSNMLRJMHMFFHR57CA,坡道平面,0,
RPSNMLPLMHMFFHR57CA,坡道機械,600000,
RPQNMLKLMHMFFFR66CA,坡道平面,0,28.13
RPROMLKMLHMFFER86DA,坡道平面,0,
RPRNMLKLMHMFFFR76CA,坡道平面,0,28.13
RPSNMLKLMHMFFFR86CA,坡道平面,0,28.13
RPTOMLQLMHMFFFR67CA,坡道平面,0,
RPPOMLOLMHMFFHR27CA,坡道平面,0,
RPWNMLPJMHMFFAD28CA,坡道平面,0,
RPVPMLKKMHMFFAD97CA,坡道平面,0,
RPVPMLKKMHMFFAD97CA,坡道平面,0,
RPRPMLOLMHMFFCD28CA,坡道平面,0,
RPWOMLPJMHMFFBD48CA,坡道平面,0,
