鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
南區,房地(土地+建物)+車位,水交社段31~60地號,20.2,商,,,1040601,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,169.73,3,2,2,有,無,6950000,47322,坡道平面,42.94,950000,,RPWNMLQKLHMFFCD68CB
南區,房地(土地+建物)+車位,水交社段31~60地號,20.2,商,,,1040101,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,169.73,3,2,2,有,無,7000000,46928,坡道平面,42.94,1050000,,RPOOMLQKLHMFFCD97CB
南區,房地(土地+建物)+車位,水交社段31~60地號,20.2,商,,,1040301,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,169.73,3,2,2,有,無,7200000,47717,坡道平面,42.94,1150000,,RPROMLQKLHMFFCD28CB
南區,房地(土地+建物)+車位,水交社段31~60地號,20.2,商,,,1040301,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,169.73,3,2,2,有,無,7000000,47717,坡道平面,42.94,950000,,RPSOMLQKLHMFFCD38CB
南區,房地(土地+建物)+車位,水交社段31~60地號,20.69,商,,,1040701,土地1建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,212.67,3,2,2,有,無,8100000,48900,坡道平面,85.88,1900000,,RPTOMLQKLHMFFCD48CB
南區,房地(土地+建物)+車位,水交社段31~60地號,20.2,商,,,1040801,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,169.73,3,2,2,有,無,7300000,49294,坡道平面,42.94,1050000,,RPUOMLQKLHMFFCD58CB
南區,房地(土地+建物)+車位,水交社段31~60地號,20.69,商,,,1050101,土地1建物1車位2,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,212.67,3,2,2,有,無,7480000,40855,坡道平面,85.88,2300000,,RPVOMLQKLHMFFCD68CB
南區,房地(土地+建物)+車位,水交社段31~60地號,20.2,商,,,1050101,土地1建物1車位1,,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,169.79,3,2,2,有,無,7000000,45723,坡道平面,42.94,1200000,,RPQNMLRKLHMFFCD18CB
南區,房地(土地+建物)+車位,水交社段31~60地號,20.2,商,,,1041101,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,169.79,3,2,2,有,無,7000000,45723,坡道平面,42.94,1200000,,RPSNMLRKLHMFFCD38CB
南區,房地(土地+建物)+車位,水交社段31~60地號,20.2,商,,,1041201,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,169.79,3,2,2,有,無,7000000,46117,坡道平面,42.94,1150000,,RPTNMLRKLHMFFCD48CB
南區,房地(土地+建物)+車位,水交社段31~60地號,20.2,商,,,1040401,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,169.79,3,2,2,有,無,7500000,49665,坡道平面,42.94,1200000,,RPWNMLRKLHMFFCD78CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.2,商,,,1040401,土地1建物1車位1,一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,160.59,3,2,2,有,無,7000000,49724,坡道平面,42.94,1150000,,RPXNMLRKLHMFFCD88CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.2,商,,,1031101,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,158.6,3,2,2,有,無,6500000,46717,坡道平面,40.87,1000000,,RPOOMLRKLHMFFCD08CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.2,商,,,1040301,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,160.67,3,2,2,有,無,6650000,48416,坡道平面,42.94,950000,,RPPOMLRKLHMFFCD18CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.2,商,,,1040401,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,160.67,3,2,2,有,無,6550000,47566,坡道平面,42.94,950000,,RPQOMLRKLHMFFCD28CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.2,商,,,1040101,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,160.67,3,2,2,有,無,6700000,47142,坡道平面,42.94,1150000,,RPROMLRKLHMFFCD38CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.2,商,,,1040801,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,160.67,3,2,2,有,無,6600000,47142,坡道平面,42.94,1050000,,RPTOMLRKLHMFFCD58CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.2,商,,,1040401,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,158.6,3,2,2,有,無,6690000,49180,坡道平面,40.87,900000,,RPUOMLRKLHMFFCD68CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.2,商,,,1040601,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,158.6,3,2,2,有,無,6740000,49605,坡道平面,40.87,900000,,RPVOMLRKLHMFFCD78CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.2,商,,,1040901,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,158.6,3,2,2,有,無,6750000,47991,坡道平面,40.87,1100000,,RPWOMLRKLHMFFCD88CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.2,商,,,1041101,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,201.54,3,2,2,有,無,7150000,43319,坡道平面,83.81,2050000,,RPOPMLRKLHMFFCD18CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.2,商,,,1040401,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,160.67,3,2,2,有,無,6750000,48416,坡道平面,42.94,1050000,,RPPPMLRKLHMFFCD28CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.2,商,,,1040801,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,160.67,3,2,2,有,無,6680000,48671,坡道平面,42.94,950000,,RPSOMLLLLHMFFCD97CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.7,商,,,1040601,土地1建物1車位2,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,203.61,3,2,2,有,無,7200000,43319,坡道平面,85.88,2100000,,RPTOMLLLLHMFFCD08CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.2,商,,,1040501,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,160.67,3,2,2,有,無,6800000,50115,坡道平面,42.94,900000,,RPWOMLLLLHMFFCD38CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1040701,土地1建物1車位1,一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,125.14,2,2,2,有,無,5650000,54745,坡道平面,42.94,1150000,,RPXOMLLLLHMFFCD48CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1031101,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,136.8,2,2,2,有,無,5400000,47411,坡道平面,42.94,950000,,RPOPMLLLLHMFFCD67CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1040601,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,136.8,2,2,2,有,無,5500000,47411,坡道平面,42.94,1050000,,RPPPMLLLLHMFFCD77CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1040601,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,136.8,2,2,2,有,無,5500000,48476,坡道平面,42.94,950000,,RPQPMLLLLHMFFCD87CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1050301,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,136.8,2,2,2,有,無,5020000,41232,坡道平面,42.94,1150000,,RPRPMLLLLHMFFCD97CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1040601,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,136.8,2,2,2,有,無,5500000,47411,坡道平面,42.94,1050000,,RPSPMLLLLHMFFCD08CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1040601,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,136.8,2,2,2,有,無,5500000,49009,坡道平面,42.94,900000,,RPTPMLLLLHMFFCD18CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1040601,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,134.73,2,2,2,有,無,5600000,49009,坡道平面,40.87,1000000,,RPUPMLLLLHMFFCD28CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1041201,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,136.8,2,2,2,有,無,5700000,50607,坡道平面,42.94,950000,,RPPOMLMLLHMFFCD77CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1040601,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,136.8,2,2,2,有,無,5600000,48476,坡道平面,42.94,1050000,,RPQOMLMLLHMFFCD87CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1031201,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,136.8,2,2,2,有,無,5660000,50181,坡道平面,42.94,950000,,RPROMLMLLHMFFCD97CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1040501,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,134.73,2,2,2,有,無,5700000,51140,坡道平面,40.87,900000,,RPSOMLMLLHMFFCD08CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1040601,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,136.8,2,2,2,有,無,5600000,48476,坡道平面,42.94,1050000,,RPTOMLMLLHMFFCD18CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1040201,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,136.8,2,2,2,有,無,5810000,51779,坡道平面,42.94,950000,,RPUOMLMLLHMFFCD28CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.95,商,,,1031101,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,165.37,3,2,2,有,無,7050000,49008,坡道平面,42.94,1050000,,RPXOMLMLLHMFFCD58CB
