鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
東區,建物,臺南市東區勝利路31~60號,0.0,住,,,1051128,土地0建物2車位0,見其他登記事項,3,店面(店鋪),住家用,加強磚造,0550805,418.71,4,6,5,有,無,無,112000,267,,0.0,0,,RPUOMLSJKILFFCD68CC
東區,房地(土地+建物),臺南市東區富農街一段72巷1~30號,0.0,住,,,1051202,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0611211,99.22,3,1,1,有,無,無,8000,81,,0.0,0,,RPUNMLMKKILFFCD08CC
東區,房地(土地+建物),臺南市東區裕孝路661~690號,82.13,住,,,1051119,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土構造,1010202,205.70999999999998,5,2,4,有,無,有,25000,122,,0.0,0,,RPRNMLPKKILFFCD08CC
東區,房地(土地+建物),臺南市東區裕農路1~30號,100.0,其他,,,1051213,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,加強磚造,0610622,232.89,5,2,3,有,無,無,28000,120,,0.0,0,,RPTNMLPKKILFFCD28CC
新市區,房地(土地+建物),臺南市新市區可口街31~60號,76.68,住,,,1051213,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0670310,100.8,3,2,3,有,無,有,10000,99,,0.0,0,,RPPNMLPKKILFFER86CC
東區,房地(土地+建物),臺南市東區裕豐街241~270號,67.0,其他,,,1051213,土地2建物1車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,0641124,85.2,4,2,1,有,無,無,15000,176,,0.0,0,,RPSNMLQKKILFFCD28CC
東區,房地(土地+建物),臺南市東區裕信二街151~180號,317.39,其他,,,1051210,土地2建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土構造,0871007,224.68,5,2,6,有,無,有,30000,134,,0.0,0,,RPTNMLQKKILFFCD38CC
東區,房地(土地+建物),臺南市東區東門路三段365巷1~30號,117.27,其他,,,1051118,土地1建物1車位0,見其他登記事項,2,店面(店鋪),見其他登記事項,鋼筋混凝土構造,0990915,119.58,0,0,0,無,無,無,42000,351,,0.0,0,,RPUNMLQKKILFFCD48CC
鹽水區,房地(土地+建物),臺南市鹽水區尾寮61~90號,84.54,,鄉村區,乙種建築用地,1051112,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0820312,133.09,3,2,2,有,無,無,5700,43,,0.0,0,,RPUNMLLLKILFFAR76DC
南區,房地(土地+建物),臺南市南區金華路一段91~120號,115.0,住,,,1051221,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土構造,0640807,226.14,1,3,2,有,無,無,40000,177,,0.0,0,,RPUNMLMLKILFFCD18CC
北區,建物,臺南市北區北園街53巷31~60號,0.0,住,,,1051217,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0570716,61.31,2,1,2,有,無,有,13500,220,,0.0,0,,RPUOMLMLKILFFAD08CC
北區,房地(土地+建物),臺南市北區成功路601~630號,88.0,商,,,1051201,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,加強磚造,0661216,134.2,1,2,2,有,無,無,32000,238,,0.0,0,,RPUOMLRLKILFFAD58CC
北區,建物,臺南市北區長榮路五段139巷1~30號,0.0,住,,,1051226,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0610312,90.74,4,2,2,有,無,無,9500,105,,0.0,0,,RPTOMLSLKILFFAD58CC
安南區,建物,臺南市安南區安中路四段320巷129弄31~60號,0.0,住,,,1051222,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土構造,0811222,129.87,3,2,2,有,無,無,10000,77,,0.0,0,,RPQNMLSLKILFFBD28CC
安南區,房地(土地+建物),臺南市安南區國安街155巷20弄1~30號,40.91,住,,,1051217,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0701030,72.04,2,2,2,有,無,有,10000,139,,0.0,0,,RPUNMLTLKILFFBD78CC
仁德區,房地(土地+建物)+車位,臺南市仁德區上崙街459巷1~30號,72.24,其他,,,1051229,土地1建物1車位1,全,3,透天厝,住商用,加強磚造,0710508,95.63,2,2,2,有,無,無,8000,84,其他,0.0,0,,RPTNMLTLKILFFFR87CC
永康區,房地(土地+建物),臺南市永康區二王路121~150號,0.0,住,,,1051224,土地1建物1車位0,全,4,透天厝,見其他登記事項,見其他登記事項,1021226,192.53,5,2,4,有,無,無,21000,109,,0.0,0,,RPRQMLTLKILFFHR28DC
北區,房地(土地+建物),臺南市北區長勝路61~90號,0.0,住,,,1051215,土地1建物1車位0,見其他登記事項,3,店面(店鋪),見其他登記事項,鋼筋混凝土構造,0920916,151.05,2,2,3,有,無,無,16000,106,,0.0,0,,RPPQMLTLKILFFAD58DC
北區,房地(土地+建物),臺南市北區自強街69巷1~30號,0.0,住,,,1051215,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0580122,56.96,3,1,2,有,無,無,8000,140,,0.0,0,,RPQQMLTLKILFFAD68DC
仁德區,建物,臺南市仁德區仁義村中山路241~270號,0.0,住,,,1051230,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0970912,344.03,4,5,7,有,無,無,30650,89,,0.0,0,1.合約書無填具土地租賃面積2.由所有權人提供出租資訊3.租整棟透天,RPROMLKMKILFFFR96CC
關廟區,房地(土地+建物),臺南市關廟區關新路一段811~840號,93.0,,鄉村區,乙種建築用地,1051202,土地1建物1車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040722,183.87,5,2,3,有,無,無,13000,71,,0.0,0,鄉村區乙種建築用地,RPQNMLMJJHMFFFR56CC
永康區,房地(土地+建物),臺南市永康區勝利街22弄45弄61~90號,65.22,其他,,,1060101,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0641101,89.93,4,2,3,有,無,無,12000,133,,0.0,0,,RPOQMLNJJHMFFHR96CC
安定區,房地(土地+建物),臺南市安定區海寮61~90號,560.0,,鄉村區,乙種建築用地,1051228,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0751205,444.54,7,4,6,有,無,無,10000,22,,0.0,0,,RPUNMLPJJHMFFER17CC
東區,建物,臺南市東區中華東路三段380巷55弄1~30號,0.0,住,,,1060101,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土構造,0781130,262.6,4,2,3,有,無,無,21000,80,,0.0,0,,RPVOMLPJJHMFFCD38CC
南區,建物,臺南市南區永成路三段372巷51弄1~30號,57.0,,,,1051229,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土構造,1050205,198.75,5,2,3,有,無,無,22000,111,,0.0,0,,RPRNMLTJJHMFFCD28CC
東區,房地(土地+建物),臺南市東區崇明路31~60號,79.0,住,,,1051229,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,鋼筋混凝土構造,0741120,121.15,3,2,2,有,無,無,25000,206,,0.0,0,,RPSNMLTJJHMFFCD38CC
東區,房地(土地+建物),臺南市東區自由路一段31~60號,89.0,住,,,1060109,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土構造,1010312,209.3,5,2,3,有,無,有,25000,119,,0.0,0,,RPQNMLKKJHMFFCD37CC
永康區,建物,臺南市永康區東橋十街31~60號,0.0,住,,,1060109,土地0建物1車位0,全,4,透天厝,見其他登記事項,見其他登記事項,1001128,208.05,5,2,6,有,無,無,39000,187,,0.0,0,,RPOOMLKKJHMFFHR56CC
東區,建物,臺南市東區裕農路121~150號,0.0,住,,,1060105,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0630412,124.57,3,2,2,有,無,無,18000,144,,0.0,0,,RPPOMLLKJHMFFCD47CC
安南區,建物,臺南市安南區城西一街249巷113弄1~30號,0.0,住,,,1051218,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土構造,0850716,148.78,3,1,3,有,無,無,13000,87,,0.0,0,,RPSNMLLKJHMFFBD57CC
東區,建物,臺南市東區崇善十四街31~60號,0.0,住,,,1060112,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0700727,117.52,2,2,3,有,無,無,10000,85,,0.0,0,,RPTNMLNKJHMFFCD97CC
永康區,建物,臺南市永康區南工街247巷35弄31~60號,0.0,住,,,1060123,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0691111,97.81,3,1,4,有,無,有,12000,123,,0.0,0,1.合約書無填具土地租賃面積2.由所有權人提供出租資訊3.租整棟透天,RPRQMLOLJHMFFHR57CC
仁德區,建物,臺南市仁德區德洋二街19巷1~30號,0.0,住,,,1060123,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0810831,161.2,6,2,3,有,無,有,20000,124,,0.0,0,,RPSOMLPLJHMFFFR37CC
北區,建物,臺南市北區公園路509巷8弄1~30號,0.0,住,,,1060110,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0610605,54.06,3,2,1,有,無,有,10000,185,,0.0,0,,RPROMLPLJHMFFAD97CC
安平區,建物,臺南市安平區同平路156巷1~30號,0.0,住,,,1060208,土地0建物1車位0,全,4,透天厝,見其他登記事項,見其他登記事項,1041202,258.86,3,2,4,有,無,無,32000,124,,0.0,0,,RPROMLTJKHMFFAD28CC
安南區,建物,臺南市安南區安通三街98巷1~30號,0.0,,,,1060116,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土構造,1001017,315.3,3,1,4,有,無,有,20000,63,,0.0,0,,RPVNMLOKKHMFFBD28CC
東區,建物,臺南市東區裕農路288巷60弄61~90號,0.0,,,,1060116,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0620219,83.11,3,1,2,有,無,有,12000,144,,0.0,0,,RPUOMLOKKHMFFCD38CC
新市區,房地(土地+建物),臺南市新市區中山路195巷1~30號,222.71,其他,,,1060214,土地1建物1車位0,見其他登記事項,2,工廠,工業用,鋼造,0831206,159.24,0,0,0,無,無,無,13000,,,0.0,0,,RPUNMLQKKHMFFER47CC
安平區,房地(土地+建物),臺南市安平區臺南市安平區怡平路442巷1~30號,92.0,住,,,1060117,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土構造,0820327,19.27,5,2,4,有,無,無,23000,1194,,0.0,0,,RPXOMLQKKHMFFAD68CC
永康區,房地(土地+建物),臺南市永康區永大路三段391~420號,88.0,住,,,1060212,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0951227,257.1,4,2,4,有,無,有,28000,109,,0.0,0,,RPSQMLQKKHMFFHR87CC
中西區,房地(土地+建物),臺南市中西區中華西路二段631~660號,125.28,其他,,,1060218,土地1建物1車位0,見其他登記事項,5,店面(店鋪),見其他登記事項,見其他登記事項,0940408,355.37,4,3,5,有,無,無,35000,98,,0.0,0,,RPVNMLLLKHMFFAD97CC
東區,房地(土地+建物),臺南市東區仁和路139巷31~60號,0.0,住,,,1060215,土地1建物1車位0,見其他登記事項,9,華廈(10層含以下有電梯),住商用,鋼筋混凝土構造,0840810,105.03,3,2,3,有,無,有,15000,143,,0.0,0,租賃合約書無填寫土地租賃.租金含管理費,RPUNMLMLKHMFFCD18CC
東區,建物,臺南市東區東區崇善路571~600號,0.0,,,,1060126,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土構造,1030626,279.03,5,3,7,有,無,無,50000,179,,0.0,0,,RPOOMLNLKHMFFCD77CC
永康區,房地(土地+建物),臺南市永康區復興路241~270號,47.66,住,,,1060220,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0741123,117.45,4,2,3,有,無,無,16000,136,,0.0,0,,RPVNMLNLKHMFFHR77DC
仁德區,房地(土地+建物),臺南市仁德區太乙一街1~30號,401.41,工,,,1060203,土地2建物1車位0,見其他登記事項,1,工廠,工業用,見其他登記事項,0891009,164.64,0,0,0,無,無,無,28000,,,0.0,0,,RPXNMLLJLHMFFFR37CC
北區,房地(土地+建物),臺南市北區海安路三段571~600號,112.2,其他,,,1060301,土地1建物1車位0,全,5,透天厝,見其他登記事項,見其他登記事項,0930830,325.09,7,0,5,有,無,無,50000,154,,0.0,0,,RPSNMLMJLHMFFAD67CC
中西區,房地(土地+建物),臺南市中西區友愛街31~60號,76.39,商,,,1060222,土地2建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土構造,0601006,223.12,7,2,4,有,無,無,58000,260,,0.0,0,,RPQOMLMJLHMFFAD57CC
中西區,房地(土地+建物),臺南市中西區忠義路二段121~150號,47.91,商,,,1060225,土地1建物1車位0,見其他登記事項,2,店面(店鋪),商業用,磚造,0040101,89.52,0,2,1,有,無,無,15000,168,,0.0,0,,RPSPMLNJLHMFFAD97CC
安平區,房地(土地+建物),臺南市安平區安平路121~150號,641.44,其他,,,1060224,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住工用,加強磚造,0571017,582.6,0,0,0,無,無,無,150000,257,,0.0,0,,RPQNMLOJLHMFFAD67CC
北區,房地(土地+建物),臺南市北區開元路61~90號,100.0,商,,,1060302,土地2建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土構造,0700703,303.38,0,0,0,無,無,無,25000,82,,0.0,0,,RPRPMLRJLHMFFAD28CC
新營區,房地(土地+建物),臺南市新營區復興路121~150號,65.87,商,,,1060222,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0561012,193.55,4,3,3,有,無,有,15000,77,,0.0,0,,RPPNMLRJLHMFFAR66CC
安平區,房地(土地+建物),臺南市安平區華平路661~690號,132.35,住,,,1060307,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土構造,0971106,352.46,6,3,5,有,無,有,62000,176,,0.0,0,,RPVNMLSJLHMFFAD58CC
安南區,建物,臺南市安南區海佃路二段31~60號,0.0,,,,1060217,土地0建物4車位0,見其他登記事項,1,店面(店鋪),商業用,見其他登記事項,1041005,369.57,0,0,4,有,無,無,160000,433,,0.0,0,,RPQOMLSJLHMFFBD28CC
中西區,建物,臺南市中西區青年路1~30號,0.0,,,,1060223,土地0建物1車位0,全,2,透天厝,住家用,見其他登記事項,0180516,106.2,4,2,2,有,無,無,50000,471,,0.0,0,,RPVNMLTJLHMFFAD68CC
安平區,房地(土地+建物),臺南市安平區安北路152巷1~30號,88.06,住,,,1060307,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土構造,0830303,67.21,5,2,4,有,無,有,23000,342,,0.0,0,,RPPNMLKKLHMFFAD27CC
中西區,房地(土地+建物),臺南市中西區民生路二段301~330號,129.0,住,,,1060301,土地1建物1車位0,全,2,透天厝,住家用,磚造,0510101,135.8,2,1,2,有,無,無,23000,169,,0.0,0,,RPPOMLPKLHMFFAD87CC
北區,房地(土地+建物),臺南市北區公園南路362巷1~30號,14.81,住,,,1060223,土地1建物1車位0,八層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840104,54.519999999999996,4,2,2,有,有,有,19000,348,,0.0,0,,RPUNMLQKLHMFFAD38CC
安平區,建物,臺南市安平區健康三街12巷1~30號,0.0,住,,,1060220,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890822,72.1,2,1,1,有,有,有,11000,153,,0.0,0,,RPPOMLQKLHMFFAD97CC
安南區,建物,臺南市安南區安和路一段150巷20弄1~30號,0.0,住,,,1060302,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0661027,72.16,4,2,2,有,無,無,14000,194,,0.0,0,,RPVNMLQKLHMFFBD58CC
東區,房地(土地+建物),臺南市東區中華東路二段151~180號,4.02,其他,,,1060201,土地1建物1車位0,十四層,14,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0970229,45.46,1,1,1,有,有,有,9000,198,,0.0,0,,RPTNMLQKLHMFFCD48CC
東區,建物,臺南市東區裕農路288巷1~30號,0.0,住,,,1060201,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0800829,115.6,3,2,2,有,有,無,10000,87,,0.0,0,,RPQOMLQKLHMFFCD28CC
東區,建物,臺南市東區東安路251巷31~60號,0.0,住,,,1060301,土地0建物1車位0,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0880703,180.27,3,2,2,有,有,無,25000,139,,0.0,0,,RPWOMLQKLHMFFCD88CC
鹽水區,房地(土地+建物),臺南市鹽水區田寮里田寮2鄰1~30號,17586.0,,特定農業區,丁種建築用地,1060225,土地1建物1車位0,一層,1,農舍,農業用,磚造,065,6586.0,0,0,0,有,無,有,250000,,,0.0,0,,RPSNMLQKLHMFFAR96CC
永康區,房地(土地+建物),臺南市永康區復興路1~30號,84.39,住,,,1060308,土地1建物1車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0920929,187.76,5,2,6,有,無,無,40000,213,,0.0,0,,RPRNMLQKLHMFFHR57CC
永康區,建物,臺南市永康區復華六街67巷1~30號,0.0,住,,,1060215,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,見其他登記事項,1050202,73.97,2,1,1,有,有,有,18000,243,,0.0,0,租金含管理費。,RPWNMLQKLHMFFHR08CC
永康區,建物,臺南市永康區中華二路266巷31~60號,0.0,住,,,1060225,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870602,32.7,1,1,1,有,有,有,7000,214,,0.0,0,,RPOOMLQKLHMFFHR37CC
永康區,建物,臺南市永康區民族路145巷61~90號,0.0,住,,,1060302,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0730827,103.46,3,1,2,有,無,無,10000,97,,0.0,0,,RPPOMLQKLHMFFHR47CC
東區,建物,臺南市東區東寧路1~30號,0.0,商,,,1060301,土地0建物1車位0,一層,4,店面(店鋪),住家用,鋼筋混凝土構造,0700930,110.35,1,2,1,有,無,無,42000,381,,0.0,0,,RPTPMLRKLHMFFCD78CC
善化區,房地(土地+建物),臺南市善化區信義路181~210號,88.03,其他,,,1060317,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0910913,149.26,7,1,4,有,無,有,22000,147,,0.0,0,,RPRNMLRKLHMFFER37CC
安平區,房地(土地+建物),臺南市安平區建平8街421~450號,0.0,住,,,1060307,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土構造,0760806,121.6,5,2,4,有,無,無,21000,173,,0.0,0,,RPPNMLRKLHMFFAD97CC
永康區,土地,永中段121~150地號,629.66,其他,,,1060220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,25000,40,,0.0,0,,RPRNMLSKLHMFFHR77CC
永康區,建物,臺南市永康區忠義街1~30號,76.48,住,,,1060316,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0770811,241.47,5,2,3,有,無,無,18000,75,,0.0,0,,RPSNMLKLLHMFFHR17CC
安平區,房地(土地+建物),臺南市安平區育平五街1~30號,3266.0,住,,,1060306,土地1建物1車位0,一層,22,店面(店鋪),住商用,鋼筋混凝土造,0861021,111.79,1,2,2,有,無,無,15500,139,,0.0,0,,RPTNMLKLLHMFFAD77CC
北區,房地(土地+建物),臺南市北區北園街8巷1~30號,6.02,住,,,1060315,土地1建物1車位0,十九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851202,34.34,1,0,0,無,有,有,5700,166,,0.0,0,,RPXNMLKLLHMFFAD18CC
中西區,建物,臺南市中西區忠孝街116巷1~30號,0.0,住,,,1060319,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0610622,71.92,4,2,4,有,無,無,12000,167,,0.0,0,,RPPPMLKLLHMFFAD57CC
中西區,建物,臺南市中西區五妃街241~270號,0.0,住,,,1060318,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0931203,95.21,2,1,1,有,有,有,15000,158,,0.0,0,,RPRPMLKLLHMFFAD77CC
歸仁區,房地(土地+建物),臺南市歸仁區中正南路二段31~60號,276.8,住,,,1060307,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0961009,157.48,5,2,4,有,無,無,50000,318,,0.0,0,,RPRNMLLLLHMFFFR96CC
東區,建物,臺南市東區前鋒路56巷1~30號,0.0,住,,,1060301,土地0建物1車位0,全,1,透天厝,住家用,磚造,0470101,26.16,2,1,2,有,無,無,9000,344,,0.0,0,,RPVPMLLLLHMFFCD48CC
永康區,建物,臺南市永康區埔聖街87巷31~60號,0.0,住,,,1060319,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0961211,211.91,4,2,3,有,無,有,23000,109,,0.0,0,,RPXOMLLLLHMFFHR87CC
永康區,土地,大灣段3481~3510地號,0.0,農,,,1060321,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,10000,0,,0.0,0,,RPQNMLMLLHMFFHR17CC
永康區,房地(土地+建物),臺南市永康區中山南路43巷10弄1~30號,275.0,住,,,1060320,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710924,137.39,2,2,1,有,無,無,12000,87,,0.0,0,,RPUNMLMLLHMFFHR57CC
新營區,房地(土地+建物),臺南市新營區興農街140巷1~30號,8.82,住,,,1060314,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720622,25.58,2,2,2,有,無,有,6000,235,,0.0,0,,RPRNMLMLLHMFFAR56CC
南區,建物,臺南市南區大同路二段136巷1~30號,0.0,住,,,1060301,土地0建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0881021,146.11,3,2,2,有,無,有,12000,82,,0.0,0,1.合約書無填具土地租賃面積.2.由所有權人提供出租資訊3.租金已包含車位,RPUNMLMLLHMFFCD28CC
安南區,建物,臺南市安南區安中路一段702巷1~30號,0.0,住,,,1060321,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0700907,104.57000000000001,3,1,1,有,無,有,8000,77,,0.0,0,,RPPNMLMLLHMFFBD67CC
