編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUOMLSJKILFFCD68CC,50,273.29,住家用,加強磚造,55年8月5日,三層,
RPUOMLSJKILFFCD68CC,26,145.42,住商用,鋼筋混凝土構造,80年5月22日,三層,
RPUNMLMKKILFFCD08CC,44,99.22,住家用,加強磚造,61年12月11日,二層,
RPRNMLPKKILFFCD08CC,5,205.42,見其他登記事項,鋼筋混凝土構造,101年2月2日,四層,
RPRNMLPKKILFFCD08CC,5,.29,見其他登記事項,鋼筋混凝土構造,101年2月2日,四層,
RPTNMLPKKILFFCD28CC,44,232.89,住商用,加強磚造,61年6月22日,三層,
RPPNMLPKKILFFER86CC,39,100.80,住商用,加強磚造,67年3月10日,二層,
RPSNMLQKKILFFCD28CC,41,85.20,住家用,加強磚造,64年11月24日,二層,
RPTNMLQKKILFFCD38CC,18,224.68,見其他登記事項,鋼筋混凝土構造,87年10月7日,五層,
RPUNMLQKKILFFCD48CC,6,119.58,見其他登記事項,鋼筋混凝土構造,99年9月15日,二層,
RPUNMLLLKILFFAR76DC,24,133.09,住家用,鋼筋混凝土造,82年3月12日,三層,
RPUNMLMLKILFFCD18CC,41,226.14,住商用,鋼筋混凝土構造,64年8月7日,三層,
RPUOMLMLKILFFAD08CC,48,61.31,住家用,加強磚造,57年7月16日,二層,
RPUOMLRLKILFFAD58CC,39,134.20,住商用,加強磚造,66年12月16日,二層,
RPTOMLSLKILFFAD58CC,45,90.74,住家用,加強磚造,61年3月12日,二層,
RPQNMLSLKILFFBD28CC,24,129.87,住家用,鋼筋混凝土構造,81年12月22日,二層,
RPUNMLTLKILFFBD78CC,35,72.04,住商用,加強磚造,70年10月30日,二層,
RPTNMLTLKILFFFR87CC,35,95.63,住商用,加強磚造,71年5月8日,二層,
RPRQMLTLKILFFHR28DC,3,192.53,見其他登記事項,見其他登記事項,102年12月26日,四層,
RPPQMLTLKILFFAD58DC,13,151.05,見其他登記事項,鋼筋混凝土構造,92年9月16日,十四層,
RPQQMLTLKILFFAD68DC,48,56.96,住家用,加強磚造,58年1月22日,二層,
RPROMLKMKILFFFR96CC,8,344.03,住商用,鋼筋混凝土造,97年9月12日,四層,
RPQNMLMJJHMFFFR56CC,1,183.87,見其他登記事項,鋼筋混凝土造,104年7月22日,四層,
RPOQMLNJJHMFFHR96CC,41,89.93,住家用,加強磚造,64年11月1日,二層,
RPUNMLPJJHMFFER17CC,30,444.54,住家用,鋼筋混凝土造,75年12月5日,三層,
RPVOMLPJJHMFFCD38CC,27,262.60,住家用,鋼筋混凝土構造,78年11月30日,四層,
RPRNMLTJJHMFFCD28CC,1,2.64,見其他登記事項,鋼筋混凝土構造,105年2月5日,四層,
RPRNMLTJJHMFFCD28CC,1,196.11,見其他登記事項,鋼筋混凝土構造,105年2月5日,四層,
RPSNMLTJJHMFFCD38CC,31,121.15,住商用,鋼筋混凝土構造,74年11月20日,二層,
RPQNMLKKJHMFFCD37CC,5,209.30,見其他登記事項,鋼筋混凝土構造,101年3月12日,四層,
RPOOMLKKJHMFFHR56CC,5,208.05,見其他登記事項,見其他登記事項,100年11月28日,四層,
RPPOMLLKJHMFFCD47CC,43,124.57,住商用,加強磚造,63年4月12日,二層,
RPSNMLLKJHMFFBD57CC,20,148.78,住商用,鋼筋混凝土構造,85年7月16日,四層,
RPTNMLNKJHMFFCD97CC,35,117.52,住商用,加強磚造,70年7月27日,二層,
RPRQMLOLJHMFFHR57CC,36,97.81,住家用,加強磚造,69年11月11日,二層,
RPSOMLPLJHMFFFR37CC,24,161.20,住家用,鋼筋混凝土造,81年8月31日,三層,
RPROMLPLJHMFFAD97CC,45,54.06,住家用,加強磚造,61年6月5日,二層,
RPROMLTJKHMFFAD28CC,1,258.86,見其他登記事項,見其他登記事項,104年12月2日,四層,
RPVNMLOKKHMFFBD28CC,5,157.65,見其他登記事項,鋼筋混凝土構造,100年10月17日,四層,
RPVNMLOKKHMFFBD28CC,5,157.65,見其他登記事項,鋼筋混凝土構造,100年10月17日,四層,
RPUOMLOKKHMFFCD38CC,44,83.11,住家用,加強磚造,62年2月19日,二層,
RPUNMLQKKHMFFER47CC,22,159.24,工業用,鋼造,83年12月6日,二層,
RPXOMLQKKHMFFAD68CC,24,19.27,住商用,鋼筋混凝土構造,82年3月27日,四層,
RPSQMLQKKHMFFHR87CC,10,257.10,住商用,鋼筋混凝土造,95年12月27日,四層,
RPVNMLLLKHMFFAD97CC,12,355.37,見其他登記事項,見其他登記事項,94年4月8日,五層,
RPUNMLMLKHMFFCD18CC,22,105.03,住商用,鋼筋混凝土構造,84年8月10日,九層,
RPOOMLNLKHMFFCD77CC,3,279.03,住家用,鋼筋混凝土構造,103年6月26日,四層,
RPVNMLNLKHMFFHR77DC,31,117.45,住商用,鋼筋混凝土造,74年11月23日,三層,
RPXNMLLJLHMFFFR37CC,16,164.64,工業用,見其他登記事項,89年10月9日,一層,
RPSNMLMJLHMFFAD67CC,13,325.09,見其他登記事項,見其他登記事項,93年8月30日,五層,
RPQOMLMJLHMFFAD57CC,45,223.12,住商用,鋼筋混凝土構造,60年10月6日,四層,
RPSPMLNJLHMFFAD97CC,102,89.52,商業用,磚造,4年1月1日,二層,
RPQNMLOJLHMFFAD67CC,48,582.60,住工用,加強磚造,57年10月17日,二層,
RPRPMLRJLHMFFAD28CC,36,303.38,住商用,鋼筋混凝土構造,70年7月3日,四層,
RPPNMLRJLHMFFAR66CC,49,193.55,住商用,鋼筋混凝土加強磚造,56年10月12日,三層,
RPVNMLSJLHMFFAD58CC,8,352.46,見其他登記事項,鋼筋混凝土構造,97年11月6日,五層,
RPQOMLSJLHMFFBD28CC,1,81.90,商業用,見其他登記事項,104年10月5日,一層,
RPQOMLSJLHMFFBD28CC,1,81.90,商業用,見其他登記事項,104年10月5日,一層,
RPQOMLSJLHMFFBD28CC,1,81.90,商業用,見其他登記事項,104年10月5日,一層,
RPQOMLSJLHMFFBD28CC,1,123.87,商業用,見其他登記事項,104年10月5日,一層,
RPVNMLTJLHMFFAD68CC,88,106.20,住家用,見其他登記事項,18年5月16日,二層,
RPPNMLKKLHMFFAD27CC,23,67.21,住家用,鋼筋混凝土構造,83年3月3日,四層,
RPPOMLPKLHMFFAD87CC,55,135.80,住家用,磚造,51年1月1日,二層,
RPUNMLQKLHMFFAD38CC,22,41.41,住家用,鋼筋混凝土造,84年1月4日,二十五層,
RPUNMLQKLHMFFAD38CC,22,7.30,共有部分,鋼筋混凝土造,84年1月4日,二十四層,
RPUNMLQKLHMFFAD38CC,22,5.81,共有部分,鋼筋混凝土造,84年1月4日,二十四層,
RPPOMLQKLHMFFAD97CC,16,56.87,見其他登記事項,鋼筋混凝土造,89年8月22日,十四層,
RPPOMLQKLHMFFAD97CC,16,15.23,共有部分,鋼筋混凝土造,89年8月22日,十四層,
RPVNMLQKLHMFFBD58CC,39,72.16,住家用,加強磚造,66年10月27日,二層,
RPTNMLQKLHMFFCD48CC,9,29.43,住家用,鋼筋混凝土構造,97年2月29日,十四層,
RPTNMLQKLHMFFCD48CC,9,7.33,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPTNMLQKLHMFFCD48CC,9,8.70,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPQOMLQKLHMFFCD28CC,25,92.31,住家用,鋼筋混凝土構造,80年8月29日,十二層,
RPQOMLQKLHMFFCD28CC,25,6.68,共有部分,鋼筋混凝土構造,80年8月29日,十二層,
RPQOMLQKLHMFFCD28CC,25,16.61,共有部分,鋼筋混凝土構造,80年8月29日,十二層,
RPWOMLQKLHMFFCD88CC,18,135.06,住家用,鋼筋混凝土構造,88年7月3日,九層,
RPWOMLQKLHMFFCD88CC,18,23.08,共有部分,鋼筋混凝土構造,88年7月3日,九層,
RPWOMLQKLHMFFCD88CC,18,22.13,共有部分,鋼筋混凝土構造,88年7月3日,九層,
RPSNMLQKLHMFFAR96CC,,1018.00,農業用,磚造,,一層,
RPSNMLQKLHMFFAR96CC,,464.00,農業用,磚造,,一層,
RPSNMLQKLHMFFAR96CC,,464.00,農業用,磚造,,一層,
RPSNMLQKLHMFFAR96CC,,464.00,農業用,磚造,,一層,
RPSNMLQKLHMFFAR96CC,,464.00,農業用,磚造,,一層,
RPSNMLQKLHMFFAR96CC,,464.00,農業用,磚造,,一層,
RPSNMLQKLHMFFAR96CC,,464.00,農業用,磚造,,一層,
RPSNMLQKLHMFFAR96CC,,464.00,農業用,磚造,,一層,
RPSNMLQKLHMFFAR96CC,,464.00,農業用,磚造,,一層,
RPSNMLQKLHMFFAR96CC,,464.00,農業用,磚造,,一層,
RPSNMLQKLHMFFAR96CC,,464.00,農業用,磚造,,一層,
RPSNMLQKLHMFFAR96CC,,464.00,農業用,磚造,,一層,
RPSNMLQKLHMFFAR96CC,,464.00,農業用,磚造,,一層,
RPRNMLQKLHMFFHR57CC,13,187.76,住商用,鋼筋混凝土造,92年9月29日,五層,
RPWNMLQKLHMFFHR08CC,1,58.30,住家用,見其他登記事項,105年2月2日,五層,
RPWNMLQKLHMFFHR08CC,1,15.67,見其他登記事項,見其他登記事項,105年2月2日,五層,
RPOOMLQKLHMFFHR37CC,19,23.11,住家用,鋼筋混凝土造,87年6月2日,七層,
RPOOMLQKLHMFFHR37CC,19,2.23,共有部分,鋼筋混凝土造,87年6月2日,七層,
RPOOMLQKLHMFFHR37CC,19,7.36,共有部分,鋼筋混凝土造,87年6月2日,七層,
RPPOMLQKLHMFFHR47CC,33,103.46,住家用,加強磚造,73年8月27日,二層,
RPTPMLRKLHMFFCD78CC,35,99.35,住家用,鋼筋混凝土構造,70年9月30日,四層,
RPTPMLRKLHMFFCD78CC,35,11.00,共有部分,鋼筋混凝土構造,70年9月30日,四層,
RPRNMLRKLHMFFER37CC,15,149.26,住家用,鋼筋混凝土造,91年9月13日,四層,
RPPNMLRKLHMFFAD97CC,30,121.60,住家用,鋼筋混凝土構造,76年8月6日,二層,
RPSNMLKLLHMFFHR17CC,29,241.47,見其他登記事項,鋼筋混凝土造,77年8月11日,四層,
RPTNMLKLLHMFFAD77CC,19,111.79,住商用,鋼筋混凝土造,86年10月21日,二十二層,
RPXNMLKLLHMFFAD18CC,20,34.34,住家用,鋼筋混凝土造,85年12月2日,十九層,
RPPPMLKLLHMFFAD57CC,45,71.92,住家用,加強磚造,61年6月22日,二層,
RPRPMLKLLHMFFAD77CC,12,95.21,見其他登記事項,鋼筋混凝土造,93年12月3日,八層,
RPRNMLLLLHMFFFR96CC,9,157.48,住商用,鋼筋混凝土造,96年10月9日,四層,
RPVPMLLLLHMFFCD48CC,59,26.16,住家用,磚造,47年1月1日,一層,
RPXOMLLLLHMFFHR87CC,9,211.91,住家用,鋼筋混凝土造,96年12月11日,四層,
RPUNMLMLLHMFFHR57CC,34,137.39,住家用,鋼筋混凝土造,71年9月24日,五層,
