編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPUOMLSJKILFFCD68CC,光華段,.00,都市：住
RPUOMLSJKILFFCD68CC,光華段,.00,都市：住
RPUNMLMKKILFFCD08CC,虎尾寮段,.00,都市：住
RPRNMLPKKILFFCD08CC,裕東段,52.86,都市：住
RPRNMLPKKILFFCD08CC,裕東段,29.27,都市：住
RPTNMLPKKILFFCD28CC,新東段,100.00,都市：其他
RPPNMLPKKILFFER86CC,大榮段,76.68,都市：住
RPSNMLQKKILFFCD28CC,新東段,64.00,都市：其他
RPSNMLQKKILFFCD28CC,新東段,3.00,都市：其他
RPTNMLQKKILFFCD38CC,裕東段,263.50,都市：其他
RPTNMLQKKILFFCD38CC,裕東段,53.89,都市：其他
RPUNMLQKKILFFCD48CC,關帝段,117.27,都市：其他
RPUNMLLLKILFFAR76DC,歡雅段,84.54,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLMLKILFFCD18CC,鹽埕段,115.00,都市：住
RPUOMLMLKILFFAD08CC,開元段,.00,都市：住
RPUOMLMLKILFFAD08CC,開元段,.00,都市：住
RPUOMLRLKILFFAD58CC,立人段,88.00,都市：商
RPTOMLSLKILFFAD58CC,富台段,.00,都市：住
RPQNMLSLKILFFBD28CC,淵西段,.00,都市：住
RPUNMLTLKILFFBD78CC,國安段,40.91,都市：住
RPTNMLTLKILFFFR87CC,神農段,72.24,都市：其他
RPRQMLTLKILFFHR28DC,二王段,.00,都市：住
RPPQMLTLKILFFAD58DC,富台段,.00,都市：住
RPQQMLTLKILFFAD68DC,自強段,.00,都市：住
RPROMLKMKILFFFR96CC,義林段,.00,都市：住
RPQNMLMJJHMFFFR56CC,埤子頭段,93.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOQMLNJJHMFFHR96CC,勝利段,42.83,都市：其他
RPOQMLNJJHMFFHR96CC,勝利段,22.39,都市：其他
RPUNMLPJJHMFFER17CC,海寮段,560.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLPJJHMFFCD38CC,竹篙厝段,.00,都市：住
RPRNMLTJJHMFFCD28CC,鹽埕段,57.00,非都市： ; 非都市編定：
RPSNMLTJJHMFFCD38CC,竹篙厝段,79.00,都市：住
RPQNMLKKJHMFFCD37CC,德高段,89.00,都市：住
RPOOMLKKJHMFFHR56CC,橋北段,.00,都市：住
RPPOMLLKJHMFFCD47CC,新東段,.00,都市：住
RPSNMLLKJHMFFBD57CC,城南段,.00,都市：住
RPTNMLNKJHMFFCD97CC,德高段,.00,都市：住
RPRQMLOLJHMFFHR57CC,忠孝段,.00,都市：住
RPSOMLPLJHMFFFR37CC,二王段,.00,都市：住
RPROMLPLJHMFFAD97CC,正興段,.00,都市：住
RPROMLTJKHMFFAD28CC,漁港段,.00,都市：住
RPVNMLOKKHMFFBD28CC,安西段,.00,非都市： ; 非都市編定：
RPUOMLOKKHMFFCD38CC,富裕段,.00,非都市： ; 非都市編定：
RPUNMLQKKHMFFER47CC,七王段,222.71,都市：其他
RPXOMLQKKHMFFAD68CC,金華段,92.00,都市：住
RPSQMLQKKHMFFHR87CC,埔北段,88.00,都市：住
RPVNMLLLKHMFFAD97CC,武聖段,125.28,都市：其他
RPUNMLMLKHMFFCD18CC,仁和段,.00,都市：住
RPOOMLNLKHMFFCD77CC,竹篙厝段,.00,非都市： ; 非都市編定：
RPVNMLNLKHMFFHR77DC,永興段,47.66,都市：住
RPXNMLLJLHMFFFR37CC,太新段,293.79,都市：工
RPXNMLLJLHMFFFR37CC,太新段,107.62,都市：工
RPSNMLMJLHMFFAD67CC,北元段,112.20,都市：其他
RPQOMLMJLHMFFAD57CC,檨仔林段,8.24,都市：商
RPQOMLMJLHMFFAD57CC,檨仔林段,68.15,都市：商
RPSPMLNJLHMFFAD97CC,永福段,47.91,都市：商
RPQNMLOJLHMFFAD67CC,新南段,641.44,都市：其他
RPRPMLRJLHMFFAD28CC,東豐段,95.00,都市：商
RPRPMLRJLHMFFAD28CC,東豐段,5.00,都市：商
RPPNMLRJLHMFFAR66CC,三興段,65.87,都市：商
RPVNMLSJLHMFFAD58CC,金華段,132.35,都市：住
RPQOMLSJLHMFFBD28CC,海東段,.00,非都市： ; 非都市編定：
