¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¤j¾ð°Ï,¤g¦a,´ò©³¬q211~240¦a¸¹,814.73,¹A,,,1050715,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4500000,5523,,0.0,0,,RPSOMLPJQHLFFGE09DA
»ñ¤s°Ï,¤g¦a,¦Ë¤l¸}¬q31~60¦a¸¹,19.0,¦í,,,1060301,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1567500,82500,,0.0,0,,RPRNMLMLLHMFFGE38DA
©£¤s°Ï,¤g¦a,¥ÛÁ³¬q301~330¦a¸¹,57.66,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1060306,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,300000,5203,,0.0,0,¶R½æ¼Ðªº«Y¥X¤J³q¹D¨Ï¥Î,RPSNMLKLLHMFFFE18DA
¤¯ªZ°Ï,¤g¦a,¼áÆ[¬q241~270¦a¸¹,589.93,¦í,,,1051103,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,46000000,77975,,0.0,0,,RPPNMLLKMHMFFIE28DA
­XÛ_°Ï,¤g¦a,ºÖ¦è¬q661~690¦a¸¹,64.92,¦í,,,1060303,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,16230,250,,0.0,0,¦V¬F©²¾÷Ãö©ÓÁÊ¤§®×¥ó¡C,RPRNMLOLLHMFFJE88DA
¤»Àt°Ï,¤g¦a,¤¤ÉÜ¬q1171~1200¦a¸¹,4103.62,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1060308,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,5126055,1249,,0.0,0,,RPQNMLOLLHMFFKE88DA
¤»Àt°Ï,¤g¦a,¤¤ÉÜ¬q1201~1230¦a¸¹,2636.94,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1060308,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3293945,1249,,0.0,0,,RPRNMLOLLHMFFKE98DA
¤»Àt°Ï,¤g¦a,¤¤ÉÜ¬q31~60¦a¸¹,6761.5,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1060224,¤g¦a5«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,6838821,1011,,0.0,0,,RPQNMLRJMHMFFKE09DA
¤j¼d°Ï,¤g¦a,¨ª®r¬q1741~1770¦a¸¹,623.0,¹A,,,1060220,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3115000,5000,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPPNMLMKMHMFFLE68DA
¬ü¿@°Ï,¤g¦a,·s¦N¬v¬q871~900¦a¸¹,74.17,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1060227,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,448000,6040,,0.0,0,"Åv§Q¤H¦@2¤H,§t¼W«Ø©Î¥¼µn°O«Øª«¡C",RPPNMLOKLHMFFKE88CD
