編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLKLLHMFFLE58CA,3,169.71,見其他登記事項,鋼筋混凝土造,103年6月30日,四層,一層 二層 三層 四層
RPTNMLKLLHMFFLE78CA,3,167.81,見其他登記事項,鋼筋混凝土造,103年6月30日,四層,一層 二層 三層 四層
RPSNMLKMLHMFFLE78CA,22,160.43,住家用,鋼筋混凝土造,84年1月6日,三層,一層 二層 三層 屋頂突出物
RPVOMLTLLHMFFAE98DA,11,60.01,住家用,鋼筋混凝土造,95年2月20日,十五層,十一層
RPVOMLTLLHMFFAE98DA,11,13.66,共有部分,鋼筋混凝土造,95年2月20日,十五層,
RPVOMLTLLHMFFAE98DA,11,14.57,共有部分,鋼筋混凝土造,95年2月20日,十五層,
RPVNMLMKMHMFFGE68CA,19,80.84,住家用,鋼筋混凝土造,86年9月19日,十四層,十二層
RPVNMLMKMHMFFGE68CA,19,24.08,共有部份,鋼筋混凝土造,86年9月19日,十四層,
RPPNMLKLLHMFFIE08CA,22,147.59,住家用,鋼筋混凝土造,84年6月18日,三層,一層 二層 三層 屋頂突出物
RPRNMLMLLHMFFIE48CA,6,162.27,見其他登記事項,鋼筋混凝土造,99年9月30日,四層,一層 二層 三層 四層
RPSNMLMLLHMFFIE58CA,3,167.25,見其他登記事項,鋼筋混凝土造,103年2月25日,三層,一層 二層 三層 見其他登記事項
RPWNMLKLLHMFFIE78CA,12,196.37,見其他登記事項,鋼筋混凝土造,94年3月9日,四層,一層 二層 三層 四層 屋頂突出物
RPQNMLLLLHMFFIE28CA,23,123.16,住家用,鋼筋混凝土造,83年7月29日,三層,一層 二層 三層 屋頂突出物
RPUNMLSLLHMFFIE76CA,37,98.40,住商用,鋼筋混凝土造,69年1月15日,二層,一層 二層 騎樓
RPPNMLTLLHMFFIE98CA,2,89.38,見其他登記事項,鋼筋混凝土造,104年4月27日,十五層,八層
RPPNMLTLLHMFFIE98CA,2,72.25,見其他登記事項,鋼筋混凝土造,104年4月27日,十五層,
RPSNMLQJMHMFFIE88CA,,57.36,見其他登記事項,鋼筋混凝土造,105年11月7日,十五層,五層
RPSNMLQJMHMFFIE88CA,,31.57,見其他登記事項,鋼筋混凝土造,105年11月7日,十五層,
RPTNMLQJMHMFFIE98CA,,57.36,見其他登記事項,鋼筋混凝土造,105年11月7日,十五層,二層
RPTNMLQJMHMFFIE98CA,,31.47,見其他登記事項,鋼筋混凝土造,105年11月7日,十五層,
RPUNMLQJMHMFFIE09CA,,57.58,見其他登記事項,鋼筋混凝土造,105年11月7日,十五層,三層
RPUNMLQJMHMFFIE09CA,,47.06,見其他登記事項,鋼筋混凝土造,105年11月7日,十五層,
RPQOMLRJMHMFFIE88CA,,57.36,見其他登記事項,鋼筋混凝土造,105年11月7日,十五層,八層
RPQOMLRJMHMFFIE88CA,,31.47,見其他登記事項,鋼筋混凝土造,105年11月7日,十五層,
RPUOMLLKMHMFFIE78CA,20,41.49,住家用,鋼筋混凝土造,86年2月4日,十五層,三層
RPUOMLLKMHMFFIE78CA,20,.87,見其他登記事項,鋼筋混凝土造,86年2月4日,,
RPUOMLLKMHMFFIE78CA,20,9.04,停車空間,鋼筋混凝土造,86年2月4日,,
RPUOMLLKMHMFFIE78CA,20,13.48,見其他登記事項,鋼筋混凝土造,86年2月4日,,
RPRNMLNLLHMFFJE68CA,36,89.04,住家用,加強磚造,69年8月11日,二層,一層 二層 騎樓
RPUNMLQJMHMFFJE56CA,22,208.72,住家用,鋼筋混凝土造,84年3月4日,四層,一層 二層 三層 四層 屋頂突出物
RPXNMLLKMHMFFJE09CA,1,214.13,住家用,鋼筋混凝土造,104年11月17日,三層,一層 二層 三層 見其他登記事項
RPOOMLQKLHMFFAE77CA,15,50.12,住家用,鋼筋混凝土造,90年10月8日,十四層,十三層
RPOOMLQKLHMFFAE77CA,15,19.52,共有部分,鋼筋混凝土造,90年10月8日,十四層,
RPRNMLRKLHMFFAE08CA,42,181.06,,鋼筋混凝土造,63年10月9日,四層,一層 二層 三層 四層
RPOOMLNLLHMFFAE57CA,11,184.63,住家用,鋼筋混凝土造,95年2月21日,二十五層,十層
RPOOMLNLLHMFFAE57CA,11,120.11,共有部分,鋼筋混凝土造,95年2月21日,二十五層,
RPQNMLRLLHMFFAE08CA,10,95.26,住家用,鋼筋混凝土造,95年11月1日,十五層,四層
RPQNMLRLLHMFFAE08CA,10,60.52,見其它登記事項,鋼筋混凝土造,95年11月1日,十五層,
RPQNMLQLLHMFFAE97CA,36,178.04,,鋼筋混凝土造,69年11月11日,四層,一層 二層 三層 四層 騎樓
RPWNMLRLLHMFFAE68CA,23,40.23,住家用,鋼筋混凝土造,83年2月8日,十二層,五層
RPWNMLRLLHMFFAE68CA,23,9.27,見使用執照,鋼筋混凝土造,83年2月8日,十二層,
RPOPMLRLLHMFFAE08CA,10,83.13,住家用,鋼筋混凝土造,95年11月1日,十五層,十五層
RPOPMLRLLHMFFAE08CA,10,55.59,見其它登記事項,鋼筋混凝土造,95年11月1日,十五層,
RPTPMLRLLHMFFAE58CA,33,108.66,,鋼筋混凝土造,72年11月30日,三層,一層 二層 三層
RPWNMLQJMHMFFAE48CA,1,283.16,見其它登記事項,見其它登記事項,104年9月15日,三十八層,八層
RPWNMLQJMHMFFAE48CA,1,185.13,見其它登記事項,見其它登記事項,104年9月15日,三十八層,
RPPNMLKLLHMFFBE37CA,49,86.60,,加強磚造,56年11月23日,二層,一層 二層 騎樓
RPROMLKLLHMFFBE67CA,34,108.01,,鋼筋混凝土造,72年5月5日,十二層,三層
RPROMLKLLHMFFBE67CA,34,10.27,,鋼筋混凝土造,72年5月5日,十二層,
RPXOMLLLLHMFFBE38CA,28,201.47,,鋼筋混凝土造,78年1月14日,十七層,二層
RPXOMLLLLHMFFBE38CA,28,60.26,,鋼筋混凝土造,78年1月14日,十七層,
RPSNMLPLLHMFFBE18CA,33,96.51,,鋼筋混凝土造,73年8月10日,五層,二層
RPRNMLQLLHMFFBE18CA,36,74.66,,鋼筋混凝土造,69年12月1日,七層,六層
RPPNMLKMLHMFFBE47CA,15,150.01,住家用,鋼骨鋼筋混凝土造,91年3月1日,二十六層,七層
RPPNMLKMLHMFFBE47CA,15,77.78,見其他登記事項,鋼骨鋼筋混凝土造,91年3月1日,二十六層,
RPPOMLPJMHMFFBE87CA,1,51.79,住家用,鋼筋混凝土造,104年10月23日,十五層,十層
