編號,車位類別,車位價格,車位面積平方公尺
RPPNMLTLLHMFFIE98CA,坡道平面,1400000,29.52
RPUNMLQJMHMFFIE09CA,坡道機械,0,15.38
RPOOMLNLLHMFFAE57CA,坡道平面,0,18.79
RPOOMLNLLHMFFAE57CA,坡道平面,0,18.79
RPQNMLRLLHMFFAE08CA,坡道平面,0,
RPOPMLRLLHMFFAE08CA,坡道平面,0,21.53
RPWNMLQJMHMFFAE48CA,坡道平面,0,19.76
RPWNMLQJMHMFFAE48CA,坡道平面,0,19.76
RPPNMLKMLHMFFBE47CA,坡道平面,0,
RPPOMLPJMHMFFBE87CA,坡道機械,1050000,14.94
RPWNMLKKMHMFFBE08CA,坡道平面,0,
RPXNMLKKMHMFFBE18CA,坡道機械,0,
RPQOMLKKMHMFFBE57CA,坡道平面,0,
RPOPMLKKMHMFFBE47CA,坡道平面,0,
RPOPMLLLLHMFFCE67CA,坡道平面,0,28.05
RPTNMLPLLHMFFCE38CA,坡道機械,0,13.60
RPXNMLRLLHMFFCE98CA,坡道平面,0,24.05
RPPOMLKMLHMFFCE67CA,坡道平面,0,24.76
RPUNMLQJMHMFFCE48CA,坡道平面,0,35.55
RPVNMLQJMHMFFCE58CA,坡道平面,0,35.55
RPQOMLKKMHMFFCE67CA,坡道平面,0,28.58
RPOPMLMKMHMFFCE77CA,坡道平面,0,
RPROMLRKMHMFFCE48CA,坡道平面,0,28.58
RPRNMLSLLHMFFDE58CA,坡道平面,200000,8.85
RPVOMLPJMHMFFDE68CA,坡道平面,0,34.88
RPPPMLRKLHMFFEE48CA,其他,0,
RPXPMLRKLHMFFEE66CA,坡道平面,0,17.93
RPXPMLRKLHMFFEE66CA,坡道平面,0,17.93
RPUNMLKLLHMFFEE18CA,坡道平面,0,18.86
RPOQMLKLLHMFFEE87CA,坡道機械,500000,10.01
RPUNMLRLLHMFFEE88CA,坡道平面,0,
RPVNMLTLLHMFFEE56CA,坡道機械,0,
RPPNMLRJMHMFFEE28CA,坡道平面,0,
RPTNMLSJMHMFFEE78CA,坡道平面,1700000,22.99
RPTNMLSJMHMFFEE78CA,坡道平面,1700000,22.99
RPVNMLMKMHMFFEE48CA,坡道平面,0,26.49
RPWNMLMKMHMFFEE58CA,坡道平面,0,26.49
RPOOMLPJMHMFFFE18CA,坡道平面,0,
RPOOMLSKLHMFFGE58CA,坡道平面,0,
RPSOMLPJMHMFFGE68CA,坡道機械,550000,18.81
RPSNMLRJMHMFFGE78CA,坡道機械,650000,18.81
RPQOMLLMLHMFFGE28CA,坡道機械,0,15.67
RPRNMLSJMHMFFGE78CA,坡道平面,1550000,26.30
RPRNMLSJMHMFFGE78CA,坡道平面,1550000,26.30
RPWNMLKLLHMFFGE58CA,坡道平面,0,16.34
RPUOMLKLLHMFFGE48CA,坡道平面,1550000,26.30
RPUOMLKLLHMFFGE48CA,坡道平面,1550000,26.30
RPSNMLKLLHMFFGE18CA,坡道機械,0,
RPUNMLSJMHMFFEE88CA,坡道平面,0,22.88
RPROMLKKMHMFFEE97CA,坡道平面,0,
RPOPMLKKMHMFFEE77CA,坡道平面,1260000,25.08
RPOPMLSLLHMFFEE58CA,坡道平面,0,25.60
RPOQMLNLLHMFFEE18CA,坡道機械,0,11.16
RPQQMLNLLHMFFEE38CA,坡道機械,0,11.16
RPOPMLKLLHMFFEE77CA,坡道平面,1750000,22.28
RPOPMLKLLHMFFEE77CA,坡道平面,1750000,22.28
RPQOMLMLLHMFFEE08CA,坡道平面,0,
RPOQMLRKLHMFFEE48CA,坡道平面,0,17.93
RPPQMLRKLHMFFEE58CA,坡道平面,0,14.94
RPOPMLRKLHMFFEE38CA,坡道平面,0,
RPRNMLSJMHMFFDE48CA,坡道平面,0,21.10
RPXNMLPJMHMFFDE78CA,坡道平面,0,
RPRNMLNLLHMFFDE08CA,坡道機械,0,
RPWNMLLLLHMFFDE38CA,坡道平面,800000,
RPTNMLNLLHMFFCE18CA,坡道平面,0,16.16
RPOOMLRKLHMFFCE08CA,坡道平面,1100000,62.99
RPPOMLRKLHMFFCE18CA,坡道平面,1100000,62.99
RPVNMLLKMHMFFBE08CA,坡道平面,0,29.15
RPXNMLQJMHMFFBE68CA,坡道機械,1100000,14.94
RPQOMLPJMHMFFBE97CA,坡道機械,1200000,14.94
RPWNMLRLLHMFFBE78CA,坡道平面,0,29.14
RPPPMLTLLHMFFAE38CA,坡道平面,1200000,24.12
RPROMLPJMHMFFAE97CA,坡道平面,0,29.45
RPSNMLSLLHMFFAE38CA,坡道機械,0,
RPUNMLMLLHMFFAE97CA,坡道平面,0,16.22
RPUNMLMLLHMFFAE97CA,坡道平面,0,16.22
RPQNMLNLLHMFFAE67CA,坡道平面,0,33.37
RPQNMLNLLHMFFAE67CA,坡道平面,0,33.37
RPOOMLLLLHMFFJE28CA,升降平面,0,
RPQNMLMKMHMFFIE38CA,坡道平面,0,
RPUNMLLLLHMFFGE58DA,一樓平面,0,
RPWNMLLLLHMFFEE58DA,坡道平面,0,
RPWNMLNLLHMFFIE09CA,坡道平面,0,
RPTNMLNKMHMFFIE78CA,升降機械,0,
RPSNMLRJMHMFFAE18CA,升降機械,1000000,7.46
RPVNMLQJMHMFFAE38CA,坡道機械,0,14.56
RPVNMLQJMHMFFAE38CA,坡道機械,0,14.65
RPSNMLTJMHMFFAE38CA,坡道平面,0,
RPWNMLSLLHMFFBE88CA,其他,0,31.86
RPSNMLRLLHMFFBE38CA,坡道平面,0,
RPUNMLRLLHMFFBE58CA,坡道平面,0,
RPXNMLPJMHMFFBE58CA,坡道平面,0,40.59
RPPOMLLMLHMFFBE67CA,坡道平面,0,21.02
RPPOMLLMLHMFFBE67CA,坡道平面,0,24.41
RPOPMLTLLHMFFBE38CA,坡道平面,1450000,32.76
RPROMLSKMHMFFCE58CA,其他,0,4.87
RPSPMLPJMHMFFCE38CA,坡道平面,0,
RPQPMLPJMHMFFDE28CA,坡道平面,0,22.12
RPWNMLRJMHMFFDE88CA,坡道平面,1500000,36.00
RPXNMLRJMHMFFDE98CA,坡道平面,1400000,36.00
RPOOMLRJMHMFFDE18CA,坡道平面,1400000,33.71
RPXOMLKLLHMFFEE58CA,坡道平面,0,27.57
RPPNMLMLLHMFFEE87CA,坡道平面,0,24.28
RPWQMLOLLHMFFEE09CA,坡道機械,0,
RPQRMLOLLHMFFEE58CA,坡道平面,0,25.37
RPRRMLOLLHMFFEE68CA,坡道平面,0,
RPPNMLQLLHMFFEE28CA,坡道平面,0,41.37
RPQNMLQLLHMFFEE38CA,坡道平面,0,41.37
RPRRMLRLLHMFFEE98CA,坡道平面,0,
RPTOMLQJMHMFFEE68CA,坡道平面,0,
RPOOMLOLLHMFFFE18CA,坡道平面,1160000,24.91
RPPOMLOLLHMFFFE28CA,坡道平面,1160000,24.91
RPQOMLOLLHMFFFE38CA,坡道平面,1280000,24.91
RPROMLOLLHMFFFE48CA,坡道平面,1160000,24.91
RPPOMLRKMHMFFFE58CA,升降機械,0,
RPPOMLRKMHMFFFE58CA,升降機械,0,
RPXNMLPLLHMFFGE56CA,坡道機械,0,
RPOOMLTLLHMFFGE78CA,坡道平面,0,
RPQOMLLKMHMFFGE18CA,坡道平面,0,
RPTOMLLKMHMFFGE48CA,坡道平面,0,
