¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¤p´ä°Ï,©Ð¦a(¤g¦a+«Øª«),ý¿²ø¬q721~750¦a¸¹,10.29,°Ó,,,1040528,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,,90.87,2,2,2,¦³,µL,4080000,44899,,0.0,0,,RPXNMLOLLHMFFCE78CB
¤p´ä°Ï,©Ð¦a(¤g¦a+«Øª«),ý¿²ø¬q721~750¦a¸¹,10.29,°Ó,,,1040703,¤g¦a1«Øª«1¨®¦ì0,¤E¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,,90.87,2,2,2,¦³,µL,4050000,44569,,0.0,0,,RPSOMLOLLHMFFCE38CB
¤p´ä°Ï,©Ð¦a(¤g¦a+«Øª«),ý¿²ø¬q721~750¦a¸¹,10.53,°Ó,,,1040622,¤g¦a1«Øª«1¨®¦ì0,¤Q¤G¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,,90.87,2,2,2,¦³,µL,4100000,45119,,0.0,0,,RPVOMLOLLHMFFCE68CB
¤p´ä°Ï,©Ð¦a(¤g¦a+«Øª«),ý¿²ø¬q721~750¦a¸¹,10.29,°Ó,,,1030805,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,,91.4,2,2,2,¦³,µL,4150000,45405,,0.0,0,,RPPPMLOLLHMFFCE18CB
¤p´ä°Ï,©Ð¦a(¤g¦a+«Øª«),ý¿²ø¬q721~750¦a¸¹,10.29,°Ó,,,1040707,¤g¦a1«Øª«1¨®¦ì0,¤C¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,,91.4,2,2,2,¦³,µL,4150000,45405,,0.0,0,,RPRPMLOLLHMFFCE38CB
¤p´ä°Ï,©Ð¦a(¤g¦a+«Øª«),ý¿²ø¬q721~750¦a¸¹,10.29,°Ó,,,1030527,¤g¦a1«Øª«1¨®¦ì0,¤K¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,,91.4,2,2,2,¦³,µL,4250000,46499,,0.0,0,,RPSPMLOLLHMFFCE48CB
¤p´ä°Ï,©Ð¦a(¤g¦a+«Øª«),ý¿²ø¬q721~750¦a¸¹,10.29,°Ó,,,1030527,¤g¦a1«Øª«1¨®¦ì0,¤Q¤T¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,,91.4,2,2,2,¦³,µL,4300000,47046,,0.0,0,,RPWPMLOLLHMFFCE88CB
¤p´ä°Ï,©Ð¦a(¤g¦a+«Øª«),ý¿²ø¬q721~750¦a¸¹,10.29,°Ó,,,1040826,¤g¦a1«Øª«1¨®¦ì0,¤Q¥|¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,,91.4,2,2,2,¦³,µL,4100000,44858,,0.0,0,,RPXPMLOLLHMFFCE98CB
¤p´ä°Ï,©Ð¦a(¤g¦a+«Øª«),ý¿²ø¬q721~750¦a¸¹,9.36,°Ó,,,1040421,¤g¦a1«Øª«1¨®¦ì0,¤C¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,,83.92,2,2,1,¦³,µL,3580000,42660,,0.0,0,,RPPQMLOLLHMFFCE28CB
¤p´ä°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,ý¿²ø¬q721~750¦a¸¹,26.9,°Ó,,,1040602,¤g¦a1«Øª«1¨®¦ì1,¤@¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,,263.85,0,0,0,µL,µL,13500000,53359,©Y¹D¥­­±,31.46,1100000,,RPPPMLSLLHMFFCE58CB
