編號,車位類別,車位價格,車位面積平方公尺
RPPPMLSLLHMFFCE58CB,坡道平面,1100000,31.46
RPQPMLSLLHMFFCE68CB,坡道平面,1000000,31.46
RPRPMLSLLHMFFCE78CB,坡道平面,950000,31.46
RPSPMLSLLHMFFCE88CB,坡道平面,1100000,31.64
RPTPMLSLLHMFFCE98CB,坡道平面,1100000,31.46
RPUPMLSLLHMFFCE09CB,坡道平面,1050000,29.31
RPVOMLTLLHMFFCE56CB,坡道平面,950000,29.31
RPWOMLTLLHMFFCE66CB,坡道平面,1100000,31.46
RPXOMLTLLHMFFCE76CB,坡道平面,1100000,31.46
RPPPMLTLLHMFFCE68CB,坡道平面,1100000,31.46
RPQPMLTLLHMFFCE78CB,坡道平面,1000000,31.46
RPTOMLKMLHMFFCE18CB,坡道平面,1100000,31.46
RPUOMLKMLHMFFCE28CB,坡道平面,950000,29.31
RPVOMLKMLHMFFCE38CB,坡道平面,950000,29.31
RPWOMLKMLHMFFCE48CB,坡道平面,1000000,31.46
RPXOMLKMLHMFFCE58CB,坡道平面,950000,29.31
RPOPMLKMLHMFFCE77CB,坡道平面,1050000,29.31
RPPPMLKMLHMFFCE87CB,坡道平面,1100000,31.46
RPQPMLKMLHMFFCE97CB,坡道平面,1100000,31.46
RPUOMLLMLHMFFCE38CB,坡道平面,1100000,31.46
RPQPMLLMLHMFFCE08CB,坡道平面,1050000,29.31
RPRPMLLMLHMFFCE18CB,坡道平面,1100000,31.46
