編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLOJLHMFFCE28CC,10,112.91,住家用,見其它登記事項,95年11月21日,十五層,
RPTNMLOJLHMFFCE28CC,10,17.28,住家用,見其它登記事項,95年11月21日,十五層,
RPTNMLOJLHMFFCE28CC,10,81.50,共有部份,見其它登記事項,95年11月21日,十五層,
RPSNMLSJLHMFFCE58CC,25,766.26,商業用,鋼造,80年10月30日,三十七層,
RPSNMLSJLHMFFCE58CC,25,393.21,商業用,鋼造,80年10月30日,三十七層,
RPXNMLTJLHMFFCE56CC,3,84.11,住家用,鋼筋混凝土造,103年7月31日,十一層,
RPXNMLTJLHMFFCE56CC,3,55.54,見其它登記事項,鋼筋混凝土造,103年7月31日,十一層,
RPVPMLKKLHMFFCE38CC,10,154.07,住家用,鋼筋混凝土造,96年5月9日,二十七層,
RPVPMLKKLHMFFCE38CC,10,21.52,住家用,鋼筋混凝土造,96年5月9日,二十七層,
RPVPMLKKLHMFFCE38CC,10,125.84,共有部份,鋼筋混凝土造,96年5月9日,二十七層,
RPROMLNKLHMFFCE18CC,19,121.05,商業用,鋼筋混凝土造,87年7月14日,二十八層,
RPROMLNKLHMFFCE18CC,19,71.38,共有部份,鋼筋混凝土造,87年7月14日,二十八層,
RPXNMLQKLHMFFCE98CC,11,57.38,住家用,鋼筋混凝土造,95年3月14日,十四層,
RPXNMLQKLHMFFCE98CC,11,24.97,共有部份,鋼筋混凝土造,95年3月14日,十四層,
RPTNMLQKLHMFFBE48CC,25,259.86,商業用,鋼骨混凝土造,81年9月14日,二十八層,
RPTNMLQKLHMFFBE48CC,25,155.30,商業用,鋼骨混凝土造,81年9月14日,二十八層,
RPXNMLQKLHMFFBE88CC,24,510.70,商業用,鋼筋混凝土造,82年3月4日,二十八層,
RPXNMLQKLHMFFBE88CC,24,189.35,見使用執照,鋼筋混凝土造,82年3月4日,二十八層,
