編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPTNMLOJLHMFFCE28CC,憲德段二小段,18.51,都市：商
RPSNMLSJLHMFFCE58CC,憲德段一小段,34.92,都市：商
RPSNMLSJLHMFFCE58CC,憲德段一小段,10.82,都市：住
RPXNMLTJLHMFFCE56CC,港墘段一小段,20.64,都市：其他
RPVPMLKKLHMFFCE38CC,憲德段二小段,24.39,都市：商
RPROMLNKLHMFFCE18CC,愛群段,.00,都市：商
RPXNMLQKLHMFFCE98CC,獅甲段二小段,10.39,都市：商
RPTNMLQKLHMFFBE48CC,成功段,.00,都市：商
RPXNMLQKLHMFFBE88CC,大統段一小段,.00,都市：商
RPSNMLRKLHMFFBE48CC,五塊厝段,63.00,都市：商
RPUNMLRKLHMFFBE68CC,意誠段,.00,都市：商
RPWNMLRKLHMFFBE88CC,過田子段,26.66,都市：商
RPOOMLRKLHMFFBE18CC,五塊厝段,22.88,都市：住
RPPOMLRKLHMFFBE28CC,新興段二小段,9.22,都市：商
RPTNMLRKLHMFFCE68CC,獅甲段,.97,都市：住
RPTNMLRKLHMFFCE68CC,獅甲段,.31,都市：住
RPXNMLRKLHMFFCE09CC,愛群段,5.40,都市：商
RPQOMLRKLHMFFCE48CC,獅甲段,.00,都市：其他
RPTNMLRKLHMFFAE48CC,龍華段八小段,3.88,都市：商
RPUNMLRKLHMFFAE58CC,龍華段三小段,30.00,都市：其他
RPQOMLRKLHMFFAE28CC,博孝段,267.32,都市：商
RPQOMLRKLHMFFAE28CC,博孝段,.21,都市：商
RPROMLRKLHMFFAE38CC,青海段,22.63,都市：住
RPTOMLRKLHMFFAE58CC,青海段,25.18,都市：商
RPUOMLRKLHMFFAE68CC,青海段,16.34,都市：住
RPVOMLRKLHMFFAE78CC,青海段,7.83,都市：住
RPWOMLRKLHMFFAE88CC,龍華段八小段,7.24,都市：商
RPOPMLRKLHMFFAE18CC,龍中段,12.38,都市：商
RPSOMLRKLHMFFDE78CC,大港段五小段,12.75,都市：商
RPUPMLRKLHMFFGE76CC,新甲段,.00,都市：住
RPSNMLRKLHMFFIE56CC,大華段,58.81,都市：住
RPWNMLSKLHMFFGE86CC,新庄子段,130.00,都市：住
RPRNMLSKLHMFFDE68CC,獅頭段,9.17,都市：住
RPPNMLSKLHMFFCE38CC,憲德段二小段,7.34,都市：商
RPPNMLSKLHMFFBE28CC,苓西段,40.24,都市：住
RPPNMLTKLHMFFAE28CC,龍華段七小段,139.00,都市：住
RPRNMLKLLHMFFCE87CC,愛群段,.00,非都市： ; 非都市編定：
RPROMLKLLHMFFCE97CC,愛群段,23.91,都市：商
RPVNMLKLLHMFFDE38CC,大港段二小段,96.00,都市：住
RPOOMLKLLHMFFDE77CC,鼎泰段,3041.00,都市：住
RPPOMLKLLHMFFDE87CC,獅頭段,1880.00,都市：住
RPTNMLKLLHMFFGE48CC,頂新段,10.26,都市：住
RPVNMLKLLHMFFGE68CC,五甲段,146.00,都市：住
RPQOMLKLLHMFFGE28CC,埤頂段,56.55,都市：住
RPSOMLKLLHMFFGE48CC,七老爺段一甲小段,8.67,都市：住
RPSOMLKLLHMFFFE38CC,岡山段,9.83,都市：住
RPSNMLKLLHMFFHE58DC,旗山段,78.00,都市：住
RPOOMLLLLHMFFFE08CC,介壽段,20.97,都市：住
RPSNMLLLLHMFFGE48CC,新甲段,.00,都市：住
RPXNMLLLLHMFFGE98CC,鳳青段,305.37,都市：住
RPOOMLLLLHMFFDE87CC,大港段三小段,79.69,都市：住
RPQOMLLLLHMFFDE08CC,灣子內段寶珠溝小段,44.00,都市：商
RPPOMLLLLHMFFCE87CC,憲德段二小段,2.24,都市：商
