編號,車位類別,車位價格,車位面積平方公尺
RPTNMLOJLHMFFCE28CC,坡道平面,0,21.96
RPXNMLTJLHMFFCE56CC,坡道機械,0,12.64
RPVPMLKKLHMFFCE38CC,坡道平面,0,23.86
RPVPMLKKLHMFFCE38CC,坡道平面,0,23.86
RPROMLNKLHMFFCE18CC,坡道平面,0,
RPXNMLQKLHMFFCE98CC,坡道平面,0,24.17
RPTNMLQKLHMFFBE48CC,坡道平面,0,
RPTNMLQKLHMFFBE48CC,坡道平面,0,
RPTNMLQKLHMFFBE48CC,坡道平面,0,
RPXNMLQKLHMFFBE88CC,坡道機械,0,
RPXNMLQKLHMFFBE88CC,坡道機械,0,
RPPOMLRKLHMFFBE28CC,坡道機械,0,14.89
RPQOMLRKLHMFFCE48CC,坡道平面,0,
RPTNMLRKLHMFFAE48CC,坡道平面,0,18.05
RPROMLRKLHMFFAE38CC,坡道平面,0,26.86
RPTOMLRKLHMFFAE58CC,坡道平面,0,41.16
RPUOMLRKLHMFFAE68CC,坡道平面,0,18.77
RPVOMLRKLHMFFAE78CC,坡道平面,0,16.66
RPOPMLRKLHMFFAE18CC,坡道平面,0,23.12
RPSNMLRKLHMFFIE56CC,坡道平面,0,28.12
RPSNMLRKLHMFFIE56CC,坡道平面,0,28.12
RPPNMLSKLHMFFBE28CC,坡道平面,0,20.63
RPPNMLSKLHMFFBE28CC,坡道平面,0,18.75
RPOOMLKLLHMFFDE77CC,坡道機械,0,35.59
RPSOMLKLLHMFFFE38CC,一樓平面,0,
RPSNMLLLLHMFFGE48CC,坡道平面,0,12.46
RPPNMLLLLHMFFAE57CC,坡道平面,0,
RPTNMLMLLHMFFBE18CC,坡道平面,0,
RPTNMLMLLHMFFBE18CC,坡道平面,0,
RPUNMLNLLHMFFBE38CC,坡道平面,2000,14.64
RPUNMLOLLHMFFAE38CC,坡道平面,0,25.28
RPWNMLOLLHMFFAE58CC,坡道平面,0,26.77
RPUOMLOLLHMFFCE68CC,坡道機械,0,7.83
RPPNMLOLLHMFFAE97DC,坡道平面,0,
RPVPMLOLLHMFFGE66CC,坡道平面,0,24.78
RPPQMLOLLHMFFGE78CC,坡道平面,0,24.31
RPQQMLOLLHMFFGE88CC,坡道平面,0,
RPTQMLOLLHMFFGE56CC,坡道平面,0,
RPPOMLKMLHMFFBE77CC,坡道平面,1700,12.66
RPSOMLKMLHMFFBE08CC,坡道平面,2000,14.64
RPUOMLKMLHMFFBE28CC,坡道平面,2000,14.64
RPVOMLKMLHMFFBE38CC,坡道平面,1700,12.66
RPSOMLLMLHMFFBE18CC,坡道機械,0,12.44
