¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¥Ã©M°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¥Ã©M°Ï¤¤¥¿¸ô428«Ñ30§Ë1~30¸¹,89.0,¦í,,,1020522,¤g¦a2«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0580714,84.28,3,2,1,¦³,µL,22680000,269103,,0.0,0,,RPUQMLMLPHIFFHF56DA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«ªO¾ô°Ï¤T¥Á¸ô¤G¬q31~60¸¹,27.78,¦í,,,1051001,¤g¦a1«Øª«1¨®¦ì1,¤G¤Q¤»¼h,¤G¤Q¤E¼h,¿ì¤½°Ó·~¤j¼Ó,°Ó·~¥Î,¿û°©²V¾®¤g³y,0810305,333.82,1,1,1,¦³,¦³,33880000,101492,©Y¹D¥­­±,41.44,0,,RPVNMLLJNHMFFAF28EA
²H¤ô°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«²H¤ô°Ï·s¥«¤@¸ô¤@¬q151~180¸¹,13.3,¦í,,,1051205,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,¤G¤Q¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1051020,112.97,2,1,1,¦³,¦³,5590000,55523,©Y¹D¥­­±,27.6,850000,,RPRPMLPJNHMFFEF68CA
²H¤ô°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«²H¤ô°Ï·s¥«¤@¸ô¤@¬q181~210¸¹,53.88,¦í,,,1051205,¤g¦a1«Øª«1¨®¦ì2,¤@¼h,¤G¤Q¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1051020,384.1,4,1,4,¦³,¦³,41700000,121277,©Y¹D¥­­±,58.4,2200000,,RPQNMLSJNHMFFEF68CA
²H¤ô°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«²H¤ô°Ï·s¥«¤@¸ô¤@¬q211~240¸¹,22.42,¦í,,,1051205,¤g¦a1«Øª«1¨®¦ì1,¤E¼h,¤G¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1051020,171.86,3,1,2,¦³,¦³,10500000,65891,©Y¹D¥­­±,29.2,1100000,,RPTNMLSJNHMFFEF98CA
·s©±°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«·s©±°ÏµØ¤¤µó17«Ñ1~30¸¹,34.96,¦í,,,1051018,¤g¦a2«Øª«1¨®¦ì0,¤G¼h,¥|¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0620706,99.86,2,2,1,¦³,µL,11500000,115161,,0.0,0,,RPPOMLRLMHMFFCF48CA
²H¤ô°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«²H¤ô°Ï·s¥«¤@¸ô¤@¬q241~270¸¹,22.39,¦í,,,1051205,¤g¦a1«Øª«1¨®¦ì1,¤G¤Q¤@¼h,¤G¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1051020,170.25,3,1,2,¦³,¦³,14380000,93796,©Y¹D¥­­±,27.6,1000000,,RPRNMLSJNHMFFEF78CA
¤T­«°Ï,«Øª«,·s¥_¥«¤T­«°Ï¶°­^¸ô91~120¸¹,0.0,,,,1051215,¤g¦a0«Øª«1¨®¦ì3,¤K¼h,¤Q¤E¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1040702,404.56,4,2,3,¦³,¦³,14270000,35273,©Y¹D¥­­±,96.27,0,«Ø°Ó»P¦a¥D¦X«Ø®×¡C,RPUOMLKKJHMFFGF28CA
¤T­«°Ï,«Øª«,·s¥_¥«¤T­«°Ï¶°­^¸ô91~120¸¹,0.0,,,,1051215,¤g¦a0«Øª«1¨®¦ì3,¤Q¤»¼h,¤Q¤E¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1040702,367.11,4,2,3,¦³,¦³,12710000,34622,©Y¹D¥­­±,96.27,0,«Ø°Ó»P¦a¥D¦X«Ø®×¡C,RPWOMLKKJHMFFGF48CA
Åaºq°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«Åaºq°Ï´Â¶§µó52«Ñ1~30¸¹,112.0,,¤s©Y¦a«O¨|°Ï,¤þºØ«Ø¿v¥Î¦a,1051215,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,,149.27,7,3,3,¦³,µL,11680000,78247,,0.0,0,1.¤@¼Ó¦Ü¤T¼Ó¦³¼W«Ø¡A¨Ï¥ÎªÅ¶¡¤j¡C2.«Îªp¥þ·s¾ã²z¡A¤ô¹qºÞ½u¥þ³¡­«·s§ó´«¡C3.¥~Àð©Ô¥Ö¾ã­×¡C4.¿W´É¦³®x°|¡AªÅ¶¡¤j¥i°±4³¡¨®¡C,RPUOMLTJNHMFFIF07CA
