編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUQMLMLPHIFFHF56DA,44,84.28,住家用,加強磚造,58年7月14日,二層,二層 一層
RPVNMLLJNHMFFAF28EA,25,1.44,共有部份,鋼骨鋼筋混凝土造,81年3月5日,二十二層,
RPVNMLLJNHMFFAF28EA,25,290.81,商業用,鋼骨混凝土造,81年3月5日,二十九層,二十六層
RPVNMLLJNHMFFAF28EA,25,41.44,見使用執照,鋼骨鋼筋混凝土造,81年3月5日,二十九層,地下三層
RPVNMLLJNHMFFAF28EA,25,.13,共有部份,鋼骨鋼筋混凝土造,81年3月5日,二十二層,
RPRPMLPJNHMFFEF68CA,,59.98,住家用,鋼筋混凝土造,105年10月20日,二十層,五層
RPRPMLPJNHMFFEF68CA,,52.99,見其他登記事項,鋼筋混凝土造,105年10月20日,二十四層,
RPQNMLSJNHMFFEF68CA,,222.17,住家用,鋼筋混凝土造,105年10月20日,二十層,一層
RPQNMLSJNHMFFEF68CA,,161.93,見其他登記事項,鋼筋混凝土造,105年10月20日,二十四層,
RPTNMLSJNHMFFEF98CA,,99.66,住家用,鋼筋混凝土造,105年10月20日,二十二層,九層
RPTNMLSJNHMFFEF98CA,,72.20,見其他登記事項,鋼筋混凝土造,105年10月20日,二十四層,
RPPOMLRLMHMFFCF48CA,43,99.86,住家用,鋼筋混凝土造,62年7月6日,四層,二層
RPRNMLSJNHMFFEF78CA,,99.65,住家用,鋼筋混凝土造,105年10月20日,二十四層,二十一層
RPRNMLSJNHMFFEF78CA,,70.60,見其他登記事項,鋼筋混凝土造,105年10月20日,二十四層,
RPUOMLKKJHMFFGF28CA,1,214.10,住家用,鋼筋混凝土造,104年7月2日,十九層,八層
RPUOMLKKJHMFFGF28CA,1,190.46,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPWOMLKKJHMFFGF48CA,1,188.16,住家用,鋼筋混凝土造,104年7月2日,十九層,十六層
RPWOMLKKJHMFFGF48CA,1,178.95,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPUOMLTJNHMFFIF07CA,,149.27,住家用,加強磚造,,三層,一層 二層 三層
RPOPMLPJNHMFFEF38CA,,174.69,見其他登記事項,鋼筋混凝土造,105年10月20日,二十層,一層 見其他登記事項
RPOPMLPJNHMFFEF38CA,,172.22,見其他登記事項,鋼筋混凝土造,105年10月20日,二十四層,
RPOPMLPJNHMFFEF38CA,,66.16,見其他登記事項,鋼筋混凝土造,105年10月20日,二十四層,
RPRNMLSLMHMFFCF68CA,,35.19,共有部分,見其他登記事項,105年10月18日,十八層,
RPPNMLSJNHMFFCF58EA,21,90.14,住家用,鋼筋混凝土造,85年6月1日,十二層,六層
RPPNMLSJNHMFFCF58EA,21,11.02,共有部分,鋼筋混凝土造,85年6月1日,十二層,
RPSPMLMJNHMFFAF28EA,2,76.20,住家用,鋼筋混凝土造,103年10月3日,二十五層,十八層
RPSPMLMJNHMFFAF28EA,2,76.20,住家用,鋼筋混凝土造,103年10月3日,二十五層,十八層
RPSPMLMJNHMFFAF28EA,2,27.70,見其他登記事項,鋼筋混凝土造,103年10月3日,二十五層,
RPSPMLMJNHMFFAF28EA,2,7.36,見其他登記事項,鋼筋混凝土造,103年10月3日,二十五層,
RPSPMLMJNHMFFAF28EA,2,10.01,見其他登記事項,鋼筋混凝土造,103年10月3日,二十五層,
RPSPMLMJNHMFFAF28EA,2,6.47,見其他登記事項,鋼筋混凝土造,103年10月3日,二十五層,
RPSPMLMJNHMFFAF28EA,2,27.70,見其他登記事項,鋼筋混凝土造,103年10月3日,二十五層,
RPSPMLMJNHMFFAF28EA,2,7.36,見其他登記事項,鋼筋混凝土造,103年10月3日,二十五層,
RPSPMLMJNHMFFAF28EA,2,10.01,見其他登記事項,鋼筋混凝土造,103年10月3日,二十五層,
RPSPMLMJNHMFFAF28EA,2,6.47,見其他登記事項,鋼筋混凝土造,103年10月3日,二十五層,
RPSNMLSLMHMFFCF78CA,36,95.10,商業用,鋼筋混凝土造,69年11月10日,五層,一層 騎樓
RPOPMLLJNHMFFGF18CA,20,103.41,住家用,鋼筋混凝土造,85年8月2日,二十一層,十八層
RPOPMLLJNHMFFGF18CA,20,11.54,共有部分,鋼筋混凝土造,85年8月2日,二十一層,
RPOPMLLJNHMFFGF18CA,20,24.84,共有部分,鋼筋混凝土造,85年8月2日,二十一層,
RPRNMLKKNHMFFBF87DA,4,106.69,見其他登記事項,鋼筋混凝土造,102年3月18日,六層,六層
RPRNMLKKNHMFFBF87DA,4,24.55,見其他登記事項,鋼筋混凝土造,102年3月18日,九層,
RPRNMLKKNHMFFBF87DA,4,2.25,見其他登記事項,鋼筋混凝土造,102年3月18日,九層,
RPRNMLKKNHMFFBF87DA,4,4.17,見其他登記事項,鋼筋混凝土造,102年3月18日,九層,
RPSNMLKKNHMFFBF97DA,4,106.69,見其他登記事項,鋼筋混凝土造,102年3月18日,六層,五層
RPSNMLKKNHMFFBF97DA,4,24.55,見其他登記事項,鋼筋混凝土造,102年3月18日,九層,
RPSNMLKKNHMFFBF97DA,4,2.25,見其他登記事項,鋼筋混凝土造,102年3月18日,九層,
RPSNMLKKNHMFFBF97DA,4,4.17,見其他登記事項,鋼筋混凝土造,102年3月18日,九層,
RPTNMLKKNHMFFBF97CA,49,72.09,住家用,加強磚造,57年5月1日,二層,一層 二層
RPWNMLSJKHMFFBF68CA,4,83.96,見其他登記事項,鋼筋混凝土造,102年1月14日,十一層,一層 見其他登記事項
RPWNMLSJKHMFFBF68CA,4,18.99,見其他登記事項,鋼筋混凝土造,102年1月14日,十一層,
