編號,車位類別,車位價格,車位面積平方公尺
RPVNMLLJNHMFFAF28EA,坡道平面,0,41.44
RPRPMLPJNHMFFEF68CA,坡道平面,850000,27.60
RPQNMLSJNHMFFEF68CA,坡道平面,0,29.20
RPQNMLSJNHMFFEF68CA,坡道平面,0,29.20
RPTNMLSJNHMFFEF98CA,坡道平面,1100000,29.20
RPRNMLSJNHMFFEF78CA,坡道平面,1000000,27.60
RPUOMLKKJHMFFGF28CA,坡道平面,0,32.09
RPUOMLKKJHMFFGF28CA,坡道平面,0,32.09
RPUOMLKKJHMFFGF28CA,坡道平面,0,32.09
RPWOMLKKJHMFFGF48CA,坡道平面,0,32.09
RPWOMLKKJHMFFGF48CA,坡道平面,0,32.09
RPWOMLKKJHMFFGF48CA,坡道平面,0,32.09
RPOPMLPJNHMFFEF38CA,坡道平面,0,27.60
RPOPMLPJNHMFFEF38CA,坡道平面,0,27.60
RPOPMLPJNHMFFEF38CA,坡道平面,0,29.20
RPRNMLSLMHMFFCF68CA,坡道平面,1900000,35.19
RPSPMLMJNHMFFAF28EA,坡道平面,2700000,32.94
RPOPMLLJNHMFFGF18CA,升降機械,0,24.84
RPWNMLSJKHMFFBF68CA,坡道平面,0,26.80
RPWNMLSJKHMFFBF68CA,坡道平面,0,24.74
RPOOMLNKKHMFFGF08CA,坡道平面,0,30.00
RPPOMLNKKHMFFGF18CA,坡道平面,0,30.00
RPQOMLLLKHMFFBF67CA,坡道平面,0,41.68
RPTOMLRLMHMFFBF78CA,坡道平面,1800000,25.13
RPOOMLOKKHMFFGF18CA,坡道平面,0,32.09
RPPOMLOKKHMFFGF28CA,坡道平面,0,32.09
RPQOMLOKKHMFFGF38CA,坡道平面,0,32.09
RPQOMLOKKHMFFGF38CA,坡道平面,0,32.09
RPTNMLRLMHMFFDF88CA,坡道平面,0,40.97
RPVSMLKLKHMFFBF48CA,坡道平面,0,
RPOQMLNJNHMFFHF58CA,坡道機械,1050000,40.10
RPOOMLNKLHMFFGF28DA,坡道機械,1300000,10.04
RPPNMLLLMHMFFCF97EA,坡道平面,2100000,18.37
RPQPMLLJNHMFFGF38CA,坡道平面,0,
RPROMLLKMHMFFGF38CA,塔式車位,1250000,15.21
RPUOMLOLLHMFFHF09CA,坡道平面,0,28.16
RPRNMLNLLHMFFIF68CA,坡道平面,0,21.72
RPWOMLQKLHMFFIF86CA,坡道機械,0,14.56
RPSOMLRKLHMFFIF56CA,坡道平面,0,40.51
RPSOMLRKLHMFFIF56CA,坡道平面,0,40.51
RPOQMLRJMHMFFHF88CA,坡道平面,0,
RPWPMLNKMHMFFHF66CA,坡道平面,0,
RPVNMLRKLHMFFBF78DA,坡道平面,1250000,33.84
RPWNMLRKLHMFFBF88DA,坡道平面,1250000,33.84
RPUNMLSKLHMFFBF78DA,坡道平面,1500000,30.79
RPUNMLSKLHMFFBF78DA,坡道平面,1500000,27.40
RPPNMLPLLHMFFBF08DA,坡道平面,1200000,
RPQNMLPLLHMFFCF28DA,坡道平面,2300000,12.94
RPVOMLTLLHMFFCF66DA,坡道平面,2500000,25.97
RPVOMLTLLHMFFCF66DA,坡道平面,2500000,25.97
RPOOMLNKMHMFFCF97DA,坡道平面,2000000,26.42
RPQPMLTLLHMFFEF56EA,坡道平面,0,29.92
RPPNMLOKLHMFFCF18CD,坡道平面,1800000,29.77
RPRNMLQKLHMFFBF18CA,坡道平面,0,
RPXOMLRKLHMFFBF98CA,坡道平面,0,
RPXOMLRKLHMFFBF98CA,坡道平面,0,
RPOPMLRKLHMFFBF18CA,坡道機械,0,28.31
RPSNMLKLLHMFFBF77CA,一樓平面,0,
RPVNMLKLLHMFFBF08CA,坡道平面,0,
RPQPMLKLLHMFFBF77CA,坡道平面,2250000,41.32
RPRPMLKLLHMFFBF87CA,坡道平面,0,41.32
RPRPMLKLLHMFFBF87CA,坡道平面,0,41.32
RPVNMLMLLHMFFBF28CA,坡道平面,0,
