鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
蘆洲區,房地(土地+建物)+車位,九芎段31~60地號,16.6,商,,,1050411,土地2建物1車位1,二十一層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,188.76,3,2,2,有,無,27770000,160875,坡道平面,31.06,2400000,,RPROMLLJLHMFFGF28CB
蘆洲區,房地(土地+建物)+車位,九芎段31~60地號,16.6,商,,,1050411,土地2建物1車位1,二十二層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,188.76,3,2,2,有,無,27780000,160938,坡道平面,31.06,2400000,,RPSOMLLJLHMFFGF38CB
板橋區,房地(土地+建物)+車位,大觀段151~180地號,24.1,住,,,1031201,土地1建物1車位1,十九層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.84,3,2,2,有,無,16320000,123941,坡道平面,38.67,1550000,,RPPNMLQKLHMFFAF97CB
板橋區,房地(土地+建物)+車位,大觀段151~180地號,32.56,住,,,1031201,土地1建物1車位1,十八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.53,4,2,2,有,無,20030000,109853,坡道平面,38.67,1700000,,RPQNMLQKLHMFFAF08CB
板橋區,房地(土地+建物)+車位,大觀段151~180地號,32.6,住,,,1021201,土地1建物1車位1,十八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.9,4,2,2,有,無,20170000,110447,坡道平面,38.67,1700000,,RPRNMLQKLHMFFAF18CB
板橋區,房地(土地+建物)+車位,大觀段151~180地號,26.31,住,,,1031201,土地1建物1車位1,八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,173.22,3,2,2,有,無,16420000,108325,坡道平面,36.41,1600000,,RPSNMLQKLHMFFAF28CB
板橋區,房地(土地+建物)+車位,大觀段151~180地號,30.4,住,,,1031201,土地1建物1車位1,十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.25,3,2,2,有,無,20500000,120973,坡道平面,38.67,1800000,,RPTNMLQKLHMFFAF38CB
板橋區,房地(土地+建物)+車位,大觀段151~180地號,21.45,住,,,1031201,土地1建物1車位1,七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.38,2,2,2,有,無,13220000,108929,坡道平面,36.41,1350000,,RPUNMLQKLHMFFAF48CB
板橋區,房地(土地+建物)+車位,大觀段151~180地號,26.44,住,,,1031201,土地1建物1車位1,三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,174.22,3,2,2,有,無,15250000,99049,坡道平面,36.41,1600000,,RPVNMLQKLHMFFAF58CB
板橋區,房地(土地+建物)+車位,大觀段151~180地號,32.56,住,,,1031201,土地1建物1車位1,六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.53,4,2,2,有,無,19230000,105058,坡道平面,38.67,1700000,,RPWNMLQKLHMFFAF68CB
板橋區,房地(土地+建物)+車位,大觀段151~180地號,23.52,住,,,1031201,土地1建物1車位1,三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.64,3,2,2,有,無,14270000,108390,坡道平面,38.67,1700000,,RPOOMLQKLHMFFAF97CB
板橋區,房地(土地+建物)+車位,大觀段151~180地號,21.85,住,,,1031201,土地1建物1車位1,十一層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.64,2,2,2,有,無,15750000,128935,坡道平面,38.67,1700000,,RPPOMLQKLHMFFAF08CB
板橋區,房地(土地+建物)+車位,大觀段151~180地號,20.73,住,,,1031201,土地1建物1車位1,三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.21,2,2,2,有,無,12400000,104485,坡道平面,36.41,1450000,,RPQOMLQKLHMFFAF18CB
板橋區,房地(土地+建物)+車位,大觀段151~180地號,21.85,住,,,1031201,土地1建物1車位1,十七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.64,2,2,2,有,無,14600000,120675,坡道平面,38.67,1450000,,RPROMLQKLHMFFAF28CB
板橋區,房地(土地+建物)+車位,僑中段151~180地號,21.85,住,,,1031201,土地1建物1車位1,八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.64,2,2,2,有,無,14340000,118289,坡道平面,38.67,1450000,,RPSOMLQKLHMFFAF38CB
板橋區,房地(土地+建物)+車位,大觀段151~180地號,21.18,住,,,1031201,土地1建物1車位1,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.67,2,2,2,有,無,14300000,119336,坡道平面,36.41,1500000,,RPTOMLQKLHMFFAF48CB
板橋區,房地(土地+建物)+車位,大觀段151~180地號,23.52,住,,,1031201,土地1建物1車位1,三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.64,3,2,2,有,無,13390000,102958,坡道平面,38.67,1450000,,RPVOMLQKLHMFFAF68CB
板橋區,房地(土地+建物)+車位,大觀段151~180地號,2.41,住,,,1031201,土地1建物1車位1,二十一層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.84,3,2,2,有,無,16200000,122514,坡道平面,38.67,1600000,,RPWOMLQKLHMFFAF78CB
板橋區,房地(土地+建物)+車位,大觀段151~180地號,24.1,住,,,1031201,土地1建物1車位1,二十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.84,3,2,2,有,無,16450000,125031,坡道平面,38.67,1550000,,RPXOMLQKLHMFFAF88CB
板橋區,房地(土地+建物)+車位,大觀段151~180地號,21.85,住,,,1031201,土地1建物1車位1,六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.64,2,2,2,有,無,13000000,105992,坡道平面,38.67,1450000,,RPOPMLQKLHMFFAF08CB
板橋區,房地(土地+建物)+車位,僑中段151~180地號,21.85,住,,,1031201,土地1建物1車位1,五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.47,2,2,2,有,無,13300000,106618,坡道平面,38.67,1700000,,RPPPMLQKLHMFFAF18CB
