編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPROMLLJLHMFFGF28CB,九芎段,16.46,都市：商
RPROMLLJLHMFFGF28CB,九芎段,.14,都市：住
RPSOMLLJLHMFFGF38CB,九芎段,16.46,都市：商
RPSOMLLJLHMFFGF38CB,九芎段,.14,都市：住
RPPNMLQKLHMFFAF97CB,大觀段,24.10,都市：住
RPQNMLQKLHMFFAF08CB,大觀段,32.56,都市：住
RPRNMLQKLHMFFAF18CB,大觀段,32.60,都市：住
RPSNMLQKLHMFFAF28CB,大觀段,26.31,都市：住
RPTNMLQKLHMFFAF38CB,大觀段,30.40,都市：住
RPUNMLQKLHMFFAF48CB,大觀段,21.45,都市：住
RPVNMLQKLHMFFAF58CB,大觀段,26.44,都市：住
RPWNMLQKLHMFFAF68CB,大觀段,32.56,都市：住
RPOOMLQKLHMFFAF97CB,大觀段,23.52,都市：住
RPPOMLQKLHMFFAF08CB,大觀段,21.85,都市：住
RPQOMLQKLHMFFAF18CB,大觀段,20.73,都市：住
RPROMLQKLHMFFAF28CB,大觀段,21.85,都市：住
RPSOMLQKLHMFFAF38CB,僑中段,21.85,都市：住
RPTOMLQKLHMFFAF48CB,大觀段,21.18,都市：住
RPVOMLQKLHMFFAF68CB,大觀段,23.52,都市：住
RPWOMLQKLHMFFAF78CB,大觀段,2.41,都市：住
RPXOMLQKLHMFFAF88CB,大觀段,24.10,都市：住
RPOPMLQKLHMFFAF08CB,大觀段,21.85,都市：住
RPPPMLQKLHMFFAF18CB,僑中段,21.85,都市：住
RPRPMLQKLHMFFAF38CB,大觀段,20.46,都市：住
RPSPMLQKLHMFFAF48CB,大觀段,21.45,都市：住
RPUPMLQKLHMFFAF68CB,大觀段,21.45,都市：住
RPVPMLQKLHMFFAF78CB,大觀段,27.39,都市：住
RPWPMLQKLHMFFAF88CB,僑中段,24.10,都市：住
RPOQMLQKLHMFFAF18CB,大觀段,31.93,都市：住
RPPQMLQKLHMFFAF28CB,大觀段,31.43,都市：住
RPQQMLQKLHMFFAF38CB,大觀段,32.56,都市：住
RPRQMLQKLHMFFAF48CB,僑中段,21.00,都市：住
RPSQMLQKLHMFFAF58CB,大觀段,31.93,都市：住
RPTQMLQKLHMFFAF68CB,大觀段,24.10,都市：住
RPUQMLQKLHMFFAF78CB,大觀段,32.60,都市：住
RPVQMLQKLHMFFAF88CB,大觀段,21.13,都市：住
RPWQMLQKLHMFFAF98CB,大觀段,21.85,都市：住
RPXQMLQKLHMFFAF09CB,大觀段,26.85,都市：住
RPORMLQKLHMFFAF28CB,大觀段,27.34,都市：住
RPPRMLQKLHMFFAF38CB,大觀段,21.85,都市：住
RPQRMLQKLHMFFAF48CB,大觀段,18.89,都市：住
RPRRMLQKLHMFFAF58CB,大觀段,33.68,都市：住
RPTRMLQKLHMFFAF78CB,大觀段,20.46,都市：住
RPURMLQKLHMFFAF88CB,大觀段,18.89,都市：住
RPWRMLQKLHMFFAF09CB,大觀段,26.98,都市：住
