鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
三重區,建物,新北市三重區重陽路一段121~150號,0.0,商,,,1051115,土地0建物2車位0,見其他登記事項,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670601,164.0,4,2,2,有,無,無,25000,152,,0.0,0,,RPQOMLRJKILFFGF78CC
永和區,建物,新北市永和區仁愛路91~120號,0.0,住,,,1051014,土地0建物1車位0,見其他登記事項,5,店面(店鋪),住家用,鋼筋混凝土造,0651022,118.06,2,1,2,有,無,無,55000,466,,0.0,0,,RPRPMLSJKILFFHF56CC
新莊區,房地(土地+建物),新北市新莊區建安街91~120號,483.54,住,,,1051129,土地4建物6車位0,見其他登記事項,2,店面(店鋪),商業用,鋼筋混凝土造,0690123,770.79,0,0,0,無,無,無,230000,298,,0.0,0,,RPQPMLMKKILFFBF08DC
樹林區,房地(土地+建物),新北市樹林區保安街一段211~240號,155.95,工,,,1051201,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0741216,361.92,0,0,0,無,無,無,50000,138,,0.0,0,增建約10坪(謄本登記總面積317.34平方公尺)105.12.23起租,RPWNMLNKKILFFIF76EC
五股區,房地(土地+建物),新北市五股區五工二路91~120號,778.0,,工業區,丁種建築用地,1051206,土地1建物1車位0,見其他登記事項,1,工廠,工業用,鋼造,0811015,510.92,0,0,0,無,無,無,200000,,,0.0,0,租金未稅,RPVUMLOKKILFFBF56CC
樹林區,房地(土地+建物),新北市樹林區佳園路二段61~90號,520.13,,一般農業區,丁種建築用地,1051212,土地1建物2車位0,見其他登記事項,4,工廠,見其他登記事項,鋼筋混凝土造,1030121,1478.1,0,0,0,無,無,無,260000,,,0.0,0,,RPTNMLTKKILFFIF86CC
新莊區,房地(土地+建物)+車位,新北市新莊區思源路192巷31~60號,43.48,住,,,1051205,土地1建物1車位1,見其他登記事項,2,店面(店鋪),見其他登記事項,鋼筋混凝土造,1000915,251.6,0,0,0,無,無,無,50000,199,坡道平面,30.21,0,,RPWNMLKLKILFFBF28CC
三重區,建物,新北市三重區中正北路315巷6弄1~30號,0.0,工,,,1051205,土地0建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0730131,219.09,4,1,3,有,無,無,30000,137,,0.0,0,,RPUQMLLLKILFFGF98CC
三峽區,房地(土地+建物)+車位,新北市三峽區介壽路三段91~120號,2064.0,,特定農業區,丁種建築用地,1051101,土地1建物4車位4,見其他登記事項,4,工廠,見其他登記事項,見其他登記事項,1021225,5948.48,0,0,0,無,無,無,1400000,,一樓平面,171.24,0,,RPUNMLRLKILFFIF86CC
林口區,建物,新北市林口區仁愛路二段1~30號,0.0,住,,,1051208,土地0建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0840719,313.5,0,0,0,無,有,無,70000,223,,0.0,0,第1-3年租金7萬元第4-5年租金7萬2千1百元,RPRNMLSLKILFFBF68DC
永和區,建物,新北市永和區中正路331~360號,107.0,商,,,1051222,土地0建物4車位0,見其他登記事項,4,店面(店鋪),住家用,加強磚造,0621214,404.16,0,9,7,有,無,無,130000,322,,0.0,0,,RPTNMLLMKILFFHF78CC
五股區,房地(土地+建物),新北市五股區五工三路91~120號,2586.99,,工業區,丁種建築用地,1051221,土地1建物1車位0,見其他登記事項,2,工廠,工業用,見其他登記事項,0960409,1178.38,0,0,0,無,有,無,340000,,,0.0,0,,RPSQMLNJJHMFFBF18CC
新莊區,房地(土地+建物),新北市新莊區建國二路61~90號,1350.0,工,,,1060106,土地1建物1車位0,見其他登記事項,1,工廠,工業用,鋼造,0770504,600.2,0,0,0,無,無,無,180000,,,0.0,0,,RPVRMLTJJHMFFBF56CC
板橋區,房地(土地+建物),新北市土城區四川路1~30號,84.53,工,,,1051125,土地4建物1車位0,見其他登記事項,3,店面(店鋪),住家用,加強磚造,0581128,203.91,0,0,0,無,無,無,55000,270,,0.0,0,,RPURMLKKJHMFFAF38EC
淡水區,房地(土地+建物),新北市淡水區中正路31~60號,75.29,商,,,1060101,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,加強磚造,0560201,153.0,0,0,0,無,無,無,80000,523,,0.0,0,,RPWTMLKKJHMFFEF56EC
五股區,房地(土地+建物),新北市五股區成泰路二段147巷1~30號,140.74,工,,,1051201,土地1建物1車位0,見其他登記事項,3,廠辦,工業用,鋼筋混凝土造,0691014,303.87,0,0,0,無,無,有,20000,66,,0.0,0,,RPRPMLMKJHMFFBF97CC
五股區,房地(土地+建物),新北市五股區五權七路31~60號,1115.4,,工業區,丁種建築用地,1051228,土地1建物1車位0,見其他登記事項,1,廠辦,見其他登記事項,見其他登記事項,0800726,1031.54,0,0,0,無,無,無,283500,275,,0.0,0,租金含營業稅 原申報書序號:C1FB10601100076,RPQPMLQKJHMFFBF28CC
板橋區,建物,新北市板橋區館前東路31~60號,0.0,商,,,1051125,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0691103,94.38,0,0,1,有,無,無,85000,901,,0.0,0,,RPTOMLQKJHMFFAF58EC
樹林區,房地(土地+建物)+車位,新北市樹林區學林路181~210號,44.49,住,,,1060114,土地1建物1車位1,見其他登記事項,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951226,199.81,4,2,3,有,有,有,25000,125,坡道機械,11.57,0,租賃層次為5樓及6樓,RPTNMLNLJHMFFIF88CC
三峽區,房地(土地+建物),新北市三峽區成福路105巷1~30號,831.0,,山坡地保育區,丁種建築用地,1060105,土地1建物1車位0,見其他登記事項,1,工廠,見其他登記事項,見其他登記事項,,255.43,0,0,0,無,無,有,100000,,,0.0,0,,RPPPMLOLJHMFFIF78CC
新莊區,房地(土地+建物),新北市新莊區中正路541~570號,399.85,工,,,1051230,土地2建物2車位0,見其他登記事項,2,工廠,工業用,鋼筋混凝土造,0670313,603.34,0,0,0,無,無,無,120000,,,0.0,0,租金未稅含增建或未登記建物。,RPXVMLPLJHMFFBF96CC
三重區,建物,新北市三重區光復路一段68巷24弄1~30號,0.0,工,,,1060106,土地0建物2車位0,見其他登記事項,1,工廠,工業用,見其他登記事項,0550630,552.45,0,0,0,無,無,無,230000,,,0.0,0,月租金含稅含增建或未登記建物。,RPSNMLQLJHMFFGF88CC
樹林區,房地(土地+建物),新北市樹林區水源街32巷1~30號,109.63,住,,,1060116,土地2建物2車位0,全,2,透天厝,住家用,加強磚造,,154.39,6,1,3,有,無,無,29515,191,,0.0,0,,RPQNMLRJKHMFFIF98DC
淡水區,建物,新北市淡水區中正路91~120號,0.0,商,,,1060113,土地0建物2車位0,見其他登記事項,5,店面(店鋪),商業用,鋼筋混凝土造,0700827,177.1,0,0,0,無,無,無,170000,960,,0.0,0,,RPROMLTJKHMFFEF88CC
中和區,建物,新北市中和區中山路二段340巷31~60號,0.0,工,,,1060118,土地0建物2車位0,全,2,透天厝,工商用,鋼筋混凝土造,0761219,561.12,0,0,0,無,無,無,140000,250,,0.0,0,,RPRPMLTJKHMFFHF66CC
三芝區,建物,新北市三芝區楓林二街1~30號,0.0,,山坡地保育區,丙種建築用地,1060117,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0700310,167.98,2,1,2,有,有,有,24500,146,,0.0,0,,RPVOMLKKKHMFFEF48CC
中和區,建物,新北市中和區連城路1~30號,0.0,住,,,1060123,土地0建物0車位0,見其他登記事項,4,店面(店鋪),住商用,加強磚造,0590518,170.04,0,2,2,有,無,無,70000,412,,0.0,0,,RPVNMLSKKHMFFHF86CC
新莊區,房地(土地+建物),新北市新莊區復興路三段31~60號,725.57,工,,,1060120,土地1建物1車位0,見其他登記事項,3,廠辦,見其他登記事項,鋼筋混凝土造,0950331,1153.46,0,0,0,無,有,無,268000,232,,0.0,0,,RPQTMLKLKHMFFBF28CC
三重區,建物,新北市三重區忠孝路三段40巷31~60號,0.0,住,,,1060307,土地0建物2車位0,見其他登記事項,4,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0661125,154.0,0,0,0,無,無,無,40000,260,,0.0,0,,RPPNMLSJLHMFFGF78CC
三重區,建物,新北市三重區光復路一段61巷1~30號,0.0,工,,,1060213,土地0建物2車位0,十二層,13,辦公商業大樓,工業用,鋼筋混凝土造,0841019,553.75,6,2,1,有,無,有,100000,181,,0.0,0,,RPVOMLQKLHMFFGF76CC
三重區,建物,新北市三重區重新路三段61~90號,0.0,商,,,1060315,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0861212,94.25,2,2,1,有,有,有,20000,212,,0.0,0,,RPWOMLQKLHMFFGF86CC
三峽區,房地(土地+建物),新北市三峽區中山路106巷1~30號,27.11,住,,,1060304,土地1建物1車位0,九層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050413,132.15,3,2,2,有,有,有,18000,136,,0.0,0,,RPVPMLQKLHMFFIF07CC
樹林區,房地(土地+建物)+車位,新北市樹林區佳園路三段421~450號,13.6,住,,,1060303,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950425,104.76,2,2,1,有,有,有,15000,143,坡道機械,24.35,0,,RPWPMLQKLHMFFIF17CC
淡水區,房地(土地+建物),新北市淡水區中正路一段156巷31~60號,10.07,住,,,1060311,土地1建物1車位0,五層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0831001,79.04,2,2,1,有,有,無,8500,108,,0.0,0,,RPWNMLQKLHMFFEF56CC
淡水區,建物,新北市淡水區民權路1~30號,0.0,工,,,1060215,土地0建物1車位0,十七層,24,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0971223,52.349999999999994,1,1,2,有,有,有,15000,287,,0.0,0,租金含管理費。,RPTOMLQKLHMFFEF98CC
淡水區,建物,新北市淡水區民權路1~30號,0.0,工,,,1060218,土地0建物1車位0,十七層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971223,63.81,2,1,1,有,有,有,17500,274,,0.0,0,租金含管理費。,RPXOMLQKLHMFFEF76CC
淡水區,房地(土地+建物),新北市淡水區英專路181~210號,6.38,住,,,1060220,土地1建物1車位0,地下三層,13,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0930603,16.77,1,0,1,有,有,有,5000,298,,0.0,0,1.含管理費(每坪50元)。,RPORMLQKLHMFFEF78CC
汐止區,房地(土地+建物),新北市汐止區大同路三段601~630號,3.91,住,,,1060219,土地1建物1車位0,十層,32,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,41.72,1,1,1,有,有,有,8000,192,,0.0,0,1.含管理費(每坪50元)。,RPPOMLQKLHMFFDF68EC
林口區,建物,新北市林口區文化三路二段331~360號,0.0,其他,,,1060227,土地0建物1車位1,二十層,29,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030618,299.96000000000004,0,0,0,無,有,無,33000,110,坡道平面,22.73,0,辦公室使用,RPVOMLQKLHMFFBF88CC
林口區,建物,新北市林口區松柏路91~120號,0.0,住,,,1060227,土地0建物1車位0,一層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1030328,78.99000000000001,0,0,0,無,有,無,15500,196,,0.0,0,辦公室使用,RPWOMLQKLHMFFBF98CC
新莊區,建物,新北市新莊區中華路91~120號,45.45,住,,,1060220,土地0建物0車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670717,22.91,1,0,1,有,無,有,7000,306,,0.0,0,隔間套房/共7間/c1fb10603090039,RPQQMLQKLHMFFBF58CC
新莊區,建物,新北市新莊區福壽街124巷34弄1~30號,29.55,住,,,1060224,土地0建物0車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671229,22.5,1,0,1,有,無,有,11000,489,,0.0,0,隔間套房/共4間/c1fb10603090040,RPRQMLQKLHMFFBF68CC
新店區,房地(土地+建物),新北市新店區新北市新店區安德街31~60號,0.0,住,,,1060215,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830926,106.22,3,2,1,有,有,無,15000,141,,0.0,0,,RPQNMLQKLHMFFCF38CC
新店區,房地(土地+建物),新北市新店區新北市新店區安康路二段121~150號,0.0,住,,,1060304,土地1建物1車位0,地下一層,8,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0831013,247.83,0,0,0,無,有,無,58000,234,,0.0,0,,RPVNMLQKLHMFFCF88CC
