編號,車位類別,車位價格,車位面積平方公尺
RPWNMLKLKILFFBF28CC,坡道平面,0,30.21
RPUNMLRLKILFFIF86CC,一樓平面,0,42.81
RPUNMLRLKILFFIF86CC,一樓平面,0,42.81
RPUNMLRLKILFFIF86CC,一樓平面,0,42.81
RPUNMLRLKILFFIF86CC,一樓平面,0,42.81
RPTNMLNLJHMFFIF88CC,坡道機械,0,11.57
RPWPMLQKLHMFFIF17CC,坡道機械,0,24.35
RPVOMLQKLHMFFBF88CC,坡道平面,0,22.73
RPROMLRKLHMFFCF68CC,坡道平面,0,
RPROMLRKLHMFFCF68CC,坡道平面,0,
RPROMLRKLHMFFCF68CC,坡道平面,0,
RPTOMLRKLHMFFCF88CC,坡道平面,0,
RPTOMLRKLHMFFCF88CC,坡道平面,0,
RPXNMLRKLHMFFDF66CC,坡道平面,0,
RPPOMLRKLHMFFDF58CC,坡道平面,0,22.90
RPRPMLRKLHMFFAF58CC,坡道平面,3000,29.54
RPRPMLRKLHMFFAF58CC,坡道平面,3000,29.54
RPTOMLRKLHMFFHF76CC,坡道平面,4500,
RPRPMLRKLHMFFBF68CC,坡道平面,0,35.80
RPTPMLRKLHMFFBF88CC,坡道平面,0,
RPUPMLRKLHMFFBF98CC,坡道平面,0,
RPUPMLRKLHMFFBF98CC,坡道平面,0,
RPVPMLRKLHMFFBF09CC,坡道機械,0,
RPVPMLRKLHMFFBF09CC,坡道機械,0,
RPQNMLRKLHMFFDF78EC,坡道機械,1800,21.34
RPRNMLRKLHMFFDF88EC,坡道平面,3000,42.69
RPXOMLRKLHMFFIF27CC,坡道平面,0,30.07
RPPNMLTKLHMFFBF48CC,坡道平面,0,
RPQQMLKLLHMFFHF68CC,坡道平面,0,35.50
RPUQMLKLLHMFFAF38CC,坡道平面,0,33.04
RPVQMLKLLHMFFAF48CC,坡道平面,0,33.04
RPURMLLLLHMFFEF98CC,坡道機械,0,18.06
RPPPMLLLLHMFFIF68CC,坡道平面,0,32.70
RPQOMLLLLHMFFHF58CC,坡道平面,0,41.29
RPOPMLLLLHMFFBF87CC,坡道平面,0,12.86
RPQQMLLLLHMFFBF18CC,坡道平面,0,27.37
RPTRMLLLLHMFFBF58CC,坡道平面,0,39.13
RPUPMLMLLHMFFBF58CC,坡道平面,0,
RPUPMLMLLHMFFBF58CC,坡道平面,0,
RPWPMLMLLHMFFBF78CC,坡道平面,0,
RPQQMLMLLHMFFBF28CC,坡道平面,0,
RPSQMLMLLHMFFBF48CC,坡道平面,0,
RPOTMLMLLHMFFBF38CC,坡道平面,0,
RPROMLMLLHMFFDF38CC,坡道平面,0,
RPUOMLMLLHMFFGF98CC,坡道平面,0,35.35
RPSPMLOLLHMFFEF88CC,坡道平面,0,31.91
RPRNMLOLLHMFFGF98EC,坡道平面,0,38.48
RPWNMLRLLHMFFAF98CC,坡道平面,2000,36.74
RPPPMLRLLHMFFHF56CC,坡道平面,0,
RPQPMLRLLHMFFHF66CC,升降平面,0,
RPUNMLRLLHMFFBF88CC,坡道平面,0,27.45
RPQPMLRLLHMFFBF68CC,坡道平面,0,27.38
RPTPMLRLLHMFFBF98CC,坡道平面,0,
RPRNMLSLLHMFFBF68CC,坡道平面,0,
RPRRMLSLLHMFFBF09CC,坡道平面,0,48.65
RPRSMLSLLHMFFBF56CC,坡道平面,0,34.86
RPSSMLSLLHMFFBF66CC,坡道平面,0,34.55
RPTSMLSLLHMFFBF76CC,坡道平面,0,
RPWSMLSLLHMFFBF07CC,坡道平面,0,38.64
RPROMLSLLHMFFHF76CC,坡道平面,0,29.04
RPSOMLSLLHMFFHF86CC,其他,0,
RPOPMLSLLHMFFDF78CC,坡道平面,0,18.87
RPVOMLTLLHMFFBF66CC,坡道平面,0,34.38
RPPPMLTLLHMFFBF78CC,坡道平面,0,13.13
RPWQMLTLLHMFFBF96CC,坡道平面,0,29.41
RPQRMLTLLHMFFBF09CC,坡道平面,0,27.98
RPWTMLKMLHMFFBF09CC,坡道平面,0,
RPTNMLLMLHMFFCF38CC,坡道機械,0,25.20
RPOOMLLMLHMFFBF87CC,坡道平面,0,33.80
RPOOMLLMLHMFFBF87CC,坡道平面,0,33.80
RPXNMLLMLHMFFIF76CC,坡道平面,0,17.95
