鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉四結91~120號,142.83,住,,,1041025,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040819,258.81,4,2,4,有,無,9300000,35934,,0.0,0,"為特殊交易案件。本件原申報交易總價11,000,000 元, 嗣後因買賣雙方同意折讓1,700,000元,  變更交易總價為9,300,000元整。已報請宜蘭地政事務所核備在案。",RPOTMLRLMHMFFBG88CA
五結鄉,土地,大吉二段691~720地號,356.39,,鄉村區,乙種建築用地,1060208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,21044,,0.0,0,1.增值稅由買方支付2.本買賣包含未保存建物在內,RPQOMLMKNHMFFAG97CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉溫泉路31~60號,7.21,商,,,1060301,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850318,75.51,0,0,1,無,有,4700000,62243,,0.0,0,,RPTNMLLLLHMFFBG08CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉福德路61~90號,138.3,農,,,1060218,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0950512,200.78,4,3,3,有,無,9000000,44825,,0.0,0,,RPQOMLRKMHMFFAG38CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市嵐峰路三段326巷8弄31~60號,102.0,住,,,1060220,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0850209,262.66,5,2,3,有,無,10600000,40356,,0.0,0,,RPXNMLNLLHMFFBG68CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永安路327巷1~30號,117.82,住,,,1060220,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼骨鋼筋混凝土造,1051005,229.66,4,2,5,有,無,13880000,60437,,0.0,0,,RPXRMLLKMHMFFAG78CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永安路327巷1弄1~30號,109.1,住,,,1060220,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼骨鋼筋混凝土造,1051005,209.68,4,2,3,有,無,13280000,63335,,0.0,0,,RPOSMLLKMHMFFAG97CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永安路327巷1弄1~30號,109.1,住,,,1060220,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼骨鋼筋混凝土造,1051005,206.52,4,2,3,有,無,13280000,64304,,0.0,0,,RPPSMLLKMHMFFAG08CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永安路327巷1弄1~30號,109.1,住,,,1060221,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼骨鋼筋混凝土造,1051005,206.52,4,2,3,有,無,13280000,64304,,0.0,0,,RPQSMLLKMHMFFAG18CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永安路327巷1弄1~30號,115.67,住,,,1060220,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼骨鋼筋混凝土造,1051005,240.95,3,2,3,有,無,13880000,57605,,0.0,0,,RPSSMLLKMHMFFAG38CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永安路327巷19弄1~30號,111.23,住,,,1060220,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼骨鋼筋混凝土造,1051005,217.31,4,2,3,有,無,13280000,61111,,0.0,0,,RPUSMLLKMHMFFAG58CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永安路327巷19弄1~30號,108.96,住,,,1060220,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼骨鋼筋混凝土造,1051005,214.03,4,2,3,有,無,13880000,64851,,0.0,0,,RPWSMLLKMHMFFAG78CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永安路327巷19弄1~30號,242.64,住,,,1060220,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼骨鋼筋混凝土造,1051005,281.66,4,2,3,有,無,16880000,59930,,0.0,0,,RPXSMLLKMHMFFAG88CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永安路327巷19弄1~30號,115.55,住,,,1060221,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼骨鋼筋混凝土造,1051005,210.34,4,2,3,有,無,13880000,65988,,0.0,0,,RPOTMLLKMHMFFAG08CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永安路327巷19弄1~30號,109.66,住,,,1060221,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼骨鋼筋混凝土造,1051005,206.52,4,2,3,有,無,13880000,67209,,0.0,0,,RPPTMLLKMHMFFAG18CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永安路327巷1~30號,122.47,住,,,1060220,土地5建物1車位0,全,三層,透天厝,見其他登記事項,鋼骨鋼筋混凝土造,1051005,226.39,4,2,5,有,無,13880000,61310,,0.0,0,,RPPRMLLKMHMFFAG97CA
