編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPOTMLRLMHMFFBG88CA,,258.81,見其他登記事項,鋼筋混凝土造,104年8月19日,四層,一層 二層 三層 四層 見其他登記事項
RPTNMLLLLHMFFBG08CA,21,60.53,住家用,鋼筋混凝土造,85年3月18日,十二層,十層
RPTNMLLLLHMFFBG08CA,21,13.19,共有部分,鋼筋混凝土造,85年3月18日,十二層,
RPTNMLLLLHMFFBG08CA,21,1.79,共有部分,鋼筋混凝土造,85年3月18日,十二層,
RPQOMLRKMHMFFAG38CA,11,200.78,住家用,鋼筋混凝土造,95年5月12日,三層,一層 二層 三層
RPXNMLNLLHMFFBG68CA,21,262.66,住家用,鋼筋混凝土造,85年2月9日,四層,一層 二層 三層 四層
RPXRMLLKMHMFFAG78CA,,229.66,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,二層 三層 見其他登記事項 一層
RPOSMLLKMHMFFAG97CA,,209.68,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPPSMLLKMHMFFAG08CA,,206.52,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPQSMLLKMHMFFAG18CA,,206.52,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPSSMLLKMHMFFAG38CA,,240.95,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPUSMLLKMHMFFAG58CA,,217.31,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPWSMLLKMHMFFAG78CA,,214.03,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPXSMLLKMHMFFAG88CA,,281.66,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPOTMLLKMHMFFAG08CA,,210.34,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,見其他登記事項 一層 二層 三層
RPPTMLLKMHMFFAG18CA,,206.52,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPPRMLLKMHMFFAG97CA,,226.39,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPRRMLLKMHMFFAG18CA,,226.39,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPQOMLMKMHMFFAG87CA,61,15.73,住家用,鋼筋混凝土加強磚造,45年5月15日,一層,一層
RPTNMLLKMHMFFAG97CA,,191.59,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPUNMLLKMHMFFAG08CA,,191.59,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPXNMLLKMHMFFAG38CA,1,180.13,住家用,見其他登記事項,105年3月15日,三層,一層 二層 三層 見其他登記事項
RPTPMLLKMHMFFAG18CA,,207.01,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPPNMLRKLHMFFAG08CA,36,121.68,住家用,鋼筋混凝土加強磚造,70年7月17日,二層,一層 二層 騎樓
RPUNMLLLLHMFFAG08CA,22,151.53,住家用,鋼筋混凝土造,83年9月27日,四層,一層 二層 三層 四層
RPUNMLLLLHMFFAG08CA,22,10.55,見其他登記事項,鋼筋混凝土造,83年9月27日,四層,
RPUNMLLLLHMFFAG08CA,22,37.58,見其他登記事項,鋼筋混凝土造,83年9月27日,四層,
RPWNMLMLLHMFFAG38CA,24,32.75,住家用,鋼筋混凝土造,82年1月19日,七層,六層
RPWNMLMLLHMFFAG38CA,24,6.24,見其他登記事項,鋼筋混凝土造,82年1月19日,七層,
RPWNMLMLLHMFFAG38CA,24,3.70,見其他登記事項,鋼筋混凝土造,82年1月19日,七層,
RPPNMLNLLHMFFAG77CA,37,191.22,住家用,鋼筋混凝土加強磚造,68年10月27日,三層,騎樓 一層 二層 三層
RPROMLOLLHMFFAG18CA,34,123.88,住家用,鋼筋混凝土加強磚造,72年1月8日,二層,一層 二層 騎樓
RPSOMLOLLHMFFAG28CA,23,88.87,住家用,鋼筋混凝土造,82年12月20日,五層,五層
RPSOMLOLLHMFFAG28CA,,5.89,見其他登記事項,鋼筋混凝土造,,五層,
RPXNMLQKLHMFFBG98DA,35,128.54,住家用,鋼筋混凝土加強磚造,70年12月22日,二層,一層 二層
RPWNMLRKLHMFFBG98DA,1,159.00,見其他登記事項,鋼筋混凝土造,104年11月23日,三層,一層 二層 三層 見其他登記事項
RPXPMLRKLHMFFBG66DA,4,65.33,農舍,鋼筋混凝土造,101年10月22日,一層,一層
RPPPMLLMLHMFFBG97CA,2,202.12,見其他登記事項,鋼筋混凝土造,104年8月28日,三層,一層 二層 三層 見其他登記事項
RPVNMLLKMHMFFBG28CA,4,159.24,見其他登記事項,鋼筋混凝土造,101年12月3日,四層,一層 地下一層
RPVNMLLKMHMFFBG28CA,4,174.78,見其他登記事項,鋼筋混凝土造,101年12月3日,四層,
RPVNMLLKMHMFFBG28CA,4,36.75,見其他登記事項,鋼筋混凝土造,101年12月3日,四層,
RPOOMLNLLHMFFAG77CA,22,57.77,住家用,鋼筋混凝土造,83年9月2日,五層,四層
RPOOMLNLLHMFFAG77CA,22,9.08,見其他登記事項,鋼筋混凝土造,83年9月2日,五層,
RPTNMLNLLHMFFAG18CA,,222.87,住家用,見其他登記事項,105年10月7日,三層,一層 二層 三層 見其他登記事項
RPSNMLLLLHMFFAG87CA,35,800.68,商業用,鋼筋混凝土造,70年10月16日,十一層,二層
RPOQMLPJMHMFFAG08CA,3,99.71,農舍,鋼筋混凝土造,102年9月12日,二層,一層 二層
RPUQMLLKMHMFFAG38CA,,222.49,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPOOMLLKMHMFFAG57CA,,209.29,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPXOMLLKMHMFFAG48CA,,207.95,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPSPMLLKMHMFFAG08CA,,207.95,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPVNMLLKMHMFFAG18CA,,191.59,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPQOMLLKMHMFFAG77CA,,208.23,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPROMLLKMHMFFAG87CA,,207.01,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPSOMLLKMHMFFAG97CA,,207.41,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,三層 見其他登記事項 一層 二層
RPTOMLLKMHMFFAG08CA,,207.00,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPWRMLLKMHMFFAG68CA,,226.39,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPORMLLKMHMFFAG87CA,,222.49,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPOOMLMKMHMFFAG67CA,8,224.73,見其他登記事項,鋼筋混凝土造,97年12月23日,三層,一層 二層 三層
RPRSMLLKMHMFFAG28CA,,206.52,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPSOMLMLLHMFFBG18CA,8,31.82,見其他登記事項,鋼筋混凝土造,97年12月31日,十三層,九層
RPSOMLMLLHMFFBG18CA,8,5.35,共有部分,鋼筋混凝土造,97年12月31日,十三層,
RPSOMLMLLHMFFBG18CA,8,19.05,共有部分,鋼筋混凝土造,97年12月31日,十三層,
RPTOMLNLLHMFFBG38CA,25,33.46,住家用,鋼筋混凝土造,80年11月21日,七層,七層
RPTOMLNLLHMFFBG38CA,25,8.88,共有部分,鋼筋混凝土造,80年11月21日,七層,
RPPNMLLLLHMFFAG57CA,1,211.83,見其他登記事項,鋼筋混凝土造,105年1月11日,三層,一層 二層 三層 屋頂突出物
RPXNMLMLLHMFFAG48CA,21,201.08,住家用,鋼筋混凝土造,85年6月25日,四層,一層 二層 三層 四層
RPOOMLMLLHMFFAG67CA,38,109.02,住家用,鋼筋混凝土加強磚造,68年7月10日,二層,一層 二層
RPWNMLTLLHMFFBG56CA,2,31.65,見其他登記事項,鋼筋混凝土造,103年11月20日,二十四層,十三層
RPWNMLTLLHMFFBG56CA,2,23.58,見其他登記事項,鋼筋混凝土造,103年11月20日,二十四層,
RPRNMLLLMHMFFBG97CA,22,175.84,住家用,鋼筋混凝土造,84年5月31日,四層,一層 二層 三層 四層
RPRNMLRJMHMFFAG48EA,39,140.85,住家用,鋼筋混凝土加強磚造,66年7月18日,三層,一層 二層 三層 騎樓
RPSNMLSLLHMFFBG88EA,21,26.71,商業用,鋼筋混凝土造,84年12月12日,八層,一層
RPSNMLSLLHMFFBG88EA,21,3.30,共有部分,鋼筋混凝土造,84年12月12日,八層,
RPSNMLSLLHMFFBG88EA,21,43.82,住家用,鋼筋混凝土造,84年12月12日,八層,二層
RPSNMLSLLHMFFBG88EA,21,10.89,共有部分,鋼筋混凝土造,84年12月12日,八層,
RPVNMLMLLHMFFAG48EA,12,213.57,住家用,鋼筋混凝土造,94年4月26日,三層,一層 二層 三層
RPPOMLNLLHMFFAG08EA,19,85.20,見其他登記事項,鋼筋混凝土造,86年12月11日,十層,二層
RPPOMLNLLHMFFAG08EA,19,231.46,見其他登記事項,鋼筋混凝土造,86年12月11日,十層,
RPPOMLNLLHMFFAG08EA,19,76.41,見其他登記事項,鋼筋混凝土造,86年12月11日,十層,
RPPNMLOLLHMFFBG97CA,36,90.05,住家用,鋼筋混凝土加強磚造,70年3月19日,四層,四層
RPPNMLOLLHMFFBG97CA,36,7.98,共有部份,鋼筋混凝土造,70年3月19日,四層,
RPQNMLKKMHMFFBG67CA,39,104.52,住家用,鋼筋混凝土加強磚造,66年9月13日,二層,一層 二層
RPPOMLQJMHMFFBG18CA,,192.28,見其他登記事項,鋼筋混凝土造,106年1月23日,三層,一層 二層 三層 騎樓 見其他登記事項
RPROMLQJMHMFFBG38CA,,183.03,見其他登記事項,鋼筋混凝土造,106年1月23日,三層,一層 二層 三層 騎樓 見其他登記事項
RPSNMLKKMHMFFBG87CA,30,365.57,工業用,鋼筋混凝土造,75年8月20日,二層,一層 二層 地下層
RPXNMLNKMHMFFBG68CA,2,47.95,見其他登記事項,鋼筋混凝土造,104年2月13日,十二層,七層
RPXNMLNKMHMFFBG68CA,2,38.83,見其他登記事項,鋼筋混凝土造,104年2月13日,十二層,
RPWOMLMLLHMFFAG48CA,35,25.91,見其他登記事項,鋼筋混凝土造,70年10月16日,十一層,九層
RPWOMLMLLHMFFAG48CA,35,7.72,見其他登記事項,鋼筋混凝土造,70年10月16日,十一層,
RPQNMLNLLHMFFAG87CA,16,98.68,住家用,鋼筋混凝土造,89年11月24日,九層,五層
RPQNMLNLLHMFFAG87CA,16,45.56,見其他登記事項,鋼筋混凝土造,89年11月24日,九層,
RPQNMLNLLHMFFAG87CA,16,14.16,見其他登記事項,鋼筋混凝土造,89年11月24日,九層,
RPSNMLMLLHMFFAG97CA,1,368.56,農舍,鋼筋混凝土造,104年12月28日,三層,一層 二層 三層
RPTNMLOLLHMFFAG28CA,22,117.49,住家用,鋼筋混凝土造,84年5月5日,七層,二層
RPTNMLOLLHMFFAG28CA,22,33.99,見其他登記事項,鋼筋混凝土造,84年5月5日,七層,
RPSNMLRLLHMFFAG48CA,,162.36,住家用,見其他登記事項,105年11月11日,三層,一層 二層 三層 見其他登記事項
RPTOMLTLLHMFFAG88CA,1,521.34,農舍,鋼筋混凝土造,104年12月7日,三層,一層 二層 三層 見其他登記事項
RPQPMLTLLHMFFAG68CA,21,72.84,住家用,鋼筋混凝土造,85年1月17日,五層,二層
RPQPMLTLLHMFFAG68CA,21,10.41,見其他登記事項,鋼筋混凝土造,85年1月17日,五層,
RPQPMLTLLHMFFAG68CA,21,5.55,見其他登記事項,鋼筋混凝土造,85年1月17日,五層,
RPRNMLTLLHMFFAG58CA,38,76.60,住家用,鋼筋混凝土加強磚造,68年8月13日,二層,一層 二層
RPSNMLTLLHMFFAG68CA,2,199.95,見其他登記事項,見其他登記事項,103年12月9日,四層,一層 二層 三層 四層
RPPNMLTLLHMFFAG38CA,20,35.57,住家用,鋼筋混凝土造,86年8月25日,十二層,八層
RPPNMLTLLHMFFAG38CA,20,10.74,見其他登記事項,鋼筋混凝土造,86年8月25日,十二層,
RPPNMLTLLHMFFAG38CA,20,7.08,見其他登記事項,鋼筋混凝土造,86年8月25日,十二層,
RPVNMLQJMHMFFAG58CA,21,113.51,見其他登記事項,鋼筋混凝土造,85年1月9日,五層,四層
RPVNMLQJMHMFFAG58CA,21,4.79,見其他登記事項,鋼筋混凝土造,85年1月9日,五層,
RPVNMLQJMHMFFAG58CA,21,12.98,見其他登記事項,鋼筋混凝土造,85年1月9日,五層,
RPRNMLLKMHMFFAG77CA,,587.76,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,四層,一層 二層 三層 四層
RPPOMLLKMHMFFAG67CA,,206.46,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPVOMLLKMHMFFAG28CA,21,87.02,住家用,鋼筋混凝土造,85年3月20日,四層,一層 二層
RPVOMLLKMHMFFAG28CA,21,13.67,見其他登記事項,鋼筋混凝土造,85年3月20日,四層,
RPRQMLLKMHMFFAG08CA,,225.85,見其他登記事項,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPUNMLNLLHMFFBG38CA,,89.19,見其他登記事項,鋼筋混凝土造,105年11月8日,十三層,五層
RPUNMLNLLHMFFBG38CA,,66.97,見其他登記事項,鋼筋混凝土造,105年11月8日,十三層,
RPWNMLNLLHMFFBG58CA,,81.95,見其他登記事項,鋼筋混凝土造,105年11月8日,十三層,九層
RPWNMLNLLHMFFBG58CA,,61.50,見其他登記事項,鋼筋混凝土造,105年11月8日,十三層,
RPUOMLNLLHMFFBG48CA,22,167.55,住家用,鋼筋混凝土造,83年9月17日,三層,一層 二層 三層
RPQOMLNLLHMFFBG08CA,1,87.22,見其他登記事項,鋼筋混凝土造,105年8月16日,十三層,七層
RPQOMLNLLHMFFBG08CA,1,86.76,見其他登記事項,鋼筋混凝土造,105年8月16日,十三層,
RPWOMLLKMHMFFAG38CA,22,43.28,住家用,鋼筋混凝土造,83年11月7日,七層,四層
RPWOMLLKMHMFFAG38CA,22,13.77,見其他登記事項,鋼筋混凝土造,83年11月7日,七層,
RPRPMLLKMHMFFAG97CA,21,77.29,住家用,鋼筋混凝土造,85年8月20日,四層,四層
RPRPMLLKMHMFFAG97CA,21,19.24,見其他登記事項,鋼筋混凝土造,85年8月20日,四層,
RPQNMLTLLHMFFAG48CA,43,101.56,住家用,鋼筋混凝土加強磚造,62年9月1日,二層,一層 二層
RPQNMLSLLHMFFAG38CA,,160.81,見其他登記事項,鋼筋混凝土造,105年12月19日,五層,一層 二層 騎樓
RPQNMLSLLHMFFAG38CA,,39.64,見其他登記事項,鋼筋混凝土造,105年12月19日,五層,
RPQNMLSLLHMFFAG38CA,,10.94,見其他登記事項,鋼筋混凝土造,105年12月19日,五層,
RPQNMLKMLHMFFAG67CA,16,221.71,住家用,鋼筋混凝土造,89年10月21日,四層,一層 二層 三層 四層
RPQNMLOLLHMFFAG97CA,22,183.57,住家用,鋼筋混凝土造,84年9月5日,三層,一層 二層 三層
