鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
三星鄉,房地(土地+建物),星月段451~480地號,123.07,住,,,1041223,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,186.0,4,3,4,有,無,8380000,45054,,0.0,0,,RPTNMLNLKHMFFAG28DB
三星鄉,房地(土地+建物),星月段451~480地號,119.91,住,,,1041213,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,186.0,4,3,4,有,無,8200000,44086,,0.0,0,,RPUNMLNLKHMFFAG38DB
三星鄉,房地(土地+建物),星月段451~480地號,113.55,住,,,1051118,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,186.0,4,3,4,有,無,8100000,43548,,0.0,0,,RPOPMLNLKHMFFAG97DB
三星鄉,房地(土地+建物),星月段451~480地號,95.11,住,,,1040901,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,158.66,4,3,4,有,無,6980000,43993,,0.0,0,,RPPPMLNLKHMFFAG08DB
三星鄉,房地(土地+建物),星月段451~480地號,113.44,住,,,1050307,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,186.0,4,3,4,有,無,8200000,44086,,0.0,0,,RPRPMLNLKHMFFAG28DB
三星鄉,房地(土地+建物),星月段451~480地號,113.45,住,,,1050806,土地1建物1車位0,全,3,透天厝,,鋼筋混凝土造,,186.0,4,3,4,有,無,8200000,44086,,0.0,0,,RPSPMLNLKHMFFAG38DB
三星鄉,房地(土地+建物),星月段451~480地號,113.45,住,,,1050222,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,186.0,4,3,4,有,無,8300000,44624,,0.0,0,,RPTPMLNLKHMFFAG48DB
三星鄉,房地(土地+建物),星月段451~480地號,116.72,住,,,1051217,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,186.0,4,3,4,有,無,8200000,44086,,0.0,0,,RPVOMLOLKHMFFAG68DB
三星鄉,房地(土地+建物),星月段451~480地號,103.87,住,,,1040225,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,171.78,4,3,4,有,無,7300000,42496,,0.0,0,,RPWOMLOLKHMFFAG78DB
三星鄉,房地(土地+建物),星月段451~480地號,123.83,住,,,1050922,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,186.0,4,3,4,有,無,8200000,44086,,0.0,0,,RPXOMLOLKHMFFAG88DB
三星鄉,房地(土地+建物),星月段451~480地號,134.77,住,,,1040304,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,199.95,4,3,4,有,無,8880000,44411,,0.0,0,,RPOPMLOLKHMFFAG08DB
員山鄉,房地(土地+建物),深福段301~330地號,123.44,,特定農業區,甲種建築用地,1051126,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,256.59,4,3,5,有,無,12500000,48716,,0.0,0,,RPPPMLRKLHMFFBG58DB
員山鄉,房地(土地+建物),深福段301~330地號,90.75,,特定農業區,甲種建築用地,1051128,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,167.45,4,2,5,有,無,8300000,49567,,0.0,0,,RPQPMLRKLHMFFBG68DB
員山鄉,房地(土地+建物),深福段301~330地號,90.75,,特定農業區,甲種建築用地,1051028,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,170.46,4,2,5,有,無,8100000,47518,,0.0,0,,RPRPMLRKLHMFFBG78DB
員山鄉,房地(土地+建物),深福段301~330地號,88.8,,特定農業區,甲種建築用地,1051129,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,163.76,4,2,5,有,無,8100000,49463,,0.0,0,,RPSPMLRKLHMFFBG88DB
員山鄉,房地(土地+建物),深福段301~330地號,127.96,,特定農業區,甲種建築用地,1051119,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,256.59,4,3,5,有,無,11800000,45988,,0.0,0,特殊關係折讓,RPUPMLRKLHMFFBG09DB
員山鄉,房地(土地+建物),深福段301~330地號,127.48,,特定農業區,甲種建築用地,1051119,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,256.59,4,3,5,有,無,11800000,45988,,0.0,0,特殊關係折讓,RPVPMLRKLHMFFBG56DB
員山鄉,房地(土地+建物),深福段301~330地號,91.95,,特定農業區,甲種建築用地,1051129,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,165.31,4,2,5,有,無,8100000,48999,,0.0,0,,RPWPMLRKLHMFFBG66DB
