編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPTNMLNLKHMFFAG28DB,星月段,123.07,都市：住
RPUNMLNLKHMFFAG38DB,星月段,119.91,都市：住
RPOPMLNLKHMFFAG97DB,星月段,113.55,都市：住
RPPPMLNLKHMFFAG08DB,星月段,95.11,都市：住
RPRPMLNLKHMFFAG28DB,星月段,113.44,都市：住
RPSPMLNLKHMFFAG38DB,星月段,113.45,都市：住
RPTPMLNLKHMFFAG48DB,星月段,113.45,都市：住
RPVOMLOLKHMFFAG68DB,星月段,116.72,都市：住
RPWOMLOLKHMFFAG78DB,星月段,103.87,都市：住
RPXOMLOLKHMFFAG88DB,星月段,123.83,都市：住
RPOPMLOLKHMFFAG08DB,星月段,114.98,都市：住
RPOPMLOLKHMFFAG08DB,星月段,4.54,都市：住
RPOPMLOLKHMFFAG08DB,星月段,15.25,都市：住
RPPPMLRKLHMFFBG58DB,深福段,100.20,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPPMLRKLHMFFBG58DB,深福段,23.24,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQPMLRKLHMFFBG68DB,深福段,16.50,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQPMLRKLHMFFBG68DB,深福段,74.25,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRPMLRKLHMFFBG78DB,深福段,74.25,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRPMLRKLHMFFBG78DB,深福段,16.50,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSPMLRKLHMFFBG88DB,深福段,16.62,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSPMLRKLHMFFBG88DB,深福段,72.18,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUPMLRKLHMFFBG09DB,深福段,23.22,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUPMLRKLHMFFBG09DB,深福段,104.74,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVPMLRKLHMFFBG56DB,深福段,104.27,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVPMLRKLHMFFBG56DB,深福段,23.22,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWPMLRKLHMFFBG66DB,深福段,75.30,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWPMLRKLHMFFBG66DB,深福段,16.65,非都市：特定農業區 ; 非都市編定：甲種建築用地
