編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXQMLLLKILFFBG88CC,7,125.47,農舍,見其他登記事項,98年12月3日,二層,
RPWNMLRLKILFFBG66EC,18,237.62,住商用,鋼筋混凝土造,88年5月13日,三層,
RPTNMLRLKILFFAG68CC,48,180.32,住家用,鋼筋混凝土加強磚造,57年11月15日,三層,
RPRNMLNKJHMFFBG97CC,49,196.03,住家用,鋼筋混凝土加強磚造,57年1月1日,三層,
RPSNMLLLJHMFFAG87CC,48,124.09,住家用,加強磚造,58年1月1日,二層,
RPVNMLRJKHMFFAG68CC,23,272.58,住家用,鋼筋混凝土造,82年11月29日,五層,
RPQOMLSKKHMFFBG58CC,11,209.16,住商用,鋼筋混凝土造,95年5月29日,三層,
RPUNMLQKLHMFFAG68CC,3,49.65,見其他登記事項,鋼筋混凝土造,102年12月12日,三層,
RPVOMLQKLHMFFAG88CC,41,172.98,住家用,鋼筋混凝土加強磚造,65年8月16日,三層,
RPSNMLRKLHMFFAG58CC,10,106.38,住家用,鋼筋混凝土造,96年2月6日,五層,
RPSOMLLLLHMFFAG18CC,39,63.00,住商用,鋼筋混凝土造,67年8月15日,四層,
RPUOMLLLLHMFFBG48CC,34,88.78,住家用,鋼筋混凝土造,72年5月11日,五層,
RPXPMLMLLHMFFBG98CC,1,60.95,見其他登記事項,鋼筋混凝土造,105年1月30日,三層,
RPWPMLMLLHMFFBG98DC,22,79.09,住家用,鋼筋混凝土造,84年9月11日,六層,
RPSOMLNLLHMFFBG68EC,41,225.51,住家用,見其他登記事項,65年8月10日,二層,
RPSOMLNLLHMFFBG48CC,1,280.09,見其他登記事項,鋼筋混凝土造,104年12月8日,三層,
RPWNMLNLLHMFFAG68CC,12,66.52,見其他登記事項,鋼筋混凝土造,94年6月16日,四層,
