鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
桃園區,車位,桃園市桃園區莊敬路一段301~330號,0.75,住,,,1041218,土地0建物0車位1,一層,十四層,其他,見其他登記事項,鋼筋混凝土造,0900223,34.11,0,0,0,有,有,1250000,,坡道平面,0.0,1250000,,RPVPMLLKJHLFFAH08CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大原路1~30號,31.15,工,,,1050101,土地1建物1車位1,四層,十層,其他,見其他登記事項,鋼筋混凝土造,1020327,168.16,3,2,2,有,無,8710000,51796,坡道平面,0.0,0,,RPOQMLRLJHLFFAH18CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大原路1~30號,32.26,工,,,1050118,土地1建物1車位1,三層,十層,其他,見其他登記事項,鋼筋混凝土造,1020327,173.62,3,2,2,有,無,9360000,53911,坡道平面,0.0,0,,RPPQMLRLJHLFFAH28CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大連二街151~180號,29.35,住,,,1050125,土地1建物1車位3,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021112,249.28,3,2,2,有,有,14080000,56483,坡道平面,0.0,0,,RPTPMLPKKHLFFAH38CA
桃園區,車位,桃園市桃園區新埔八街1~30號,3.63,住,,,1041225,土地0建物0車位3,,,其他,,,,72.44,0,0,0,有,有,3750000,,坡道平面,72.42,3750000,,RPXPMLOLKHLFFAH78CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區新富一街181~210號,13.27,住,,,1050110,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010920,154.52,3,2,2,有,有,8937000,57837,坡道平面,0.0,0,,RPPOMLRKLHLFFGH78CA
桃園區,土地,龍鳳段1~30地號,109.39,其他,,,1041119,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6478299,59222,,0.0,0,,RPVQNLMJLHLFFAH48CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區德育路二段104巷1~30號,19.41,住,,,1041130,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000117,154.75,3,2,2,有,有,8450000,54604,坡道平面,0.0,0,,RPWNMLQLKHLFFGH76DA
桃園區,土地,水汴頭段151~180地號,771.87,住,,,1041221,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,116750000,151256,,0.0,0,,RPROMLSLLHLFFAH58CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路451~480號,22.95,住,,,1050310,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030610,155.7,3,2,2,有,有,8500000,60903,坡道平面,37.48,1300000,,RPWNMLRJMHLFFAH78CA
桃園區,房地(土地+建物)+車位,桃園市桃園區中埔二街61~90號,12.4,住,,,1050315,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940425,135.17,3,2,2,有,有,8800000,65103,坡道平面,0.0,0,,RPQQMLKLMHLFFAH97CA
桃園區,房地(土地+建物),桃園市桃園區建國東路12巷1~30號,25.48,住,,,1050411,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790821,130.38,2,1,1,有,無,1900000,14573,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTOMLQJNHLFFAH58CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大連一街61~90號,23.04,住,,,1050331,土地6建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020615,184.41000000000003,4,2,2,有,有,12400000,71816,坡道平面,31.24,1400000,,RPVOMLLJOHLFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大連一街61~90號,18.8,住,,,1050406,土地6建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020615,154.76,3,2,2,有,有,9900000,70839,坡道平面,31.24,1150000,,RPWOMLLJOHLFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大連一街61~90號,19.4,住,,,1050406,土地6建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020615,161.5,3,2,2,有,有,10500000,70628,坡道平面,31.24,1300000,,RPROMLQJOHLFFAH48CA
桃園區,房地(土地+建物),桃園市桃園區龍鳳三街65巷1~30號,37.51,其他,,,1050504,土地2建物2車位0,二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880402,315.97999999999996,4,2,2,有,有,11000000,34812,,0.0,0,,RPOQMLNJOHLFFAH08CA
桃園區,房地(土地+建物)+車位,桃園市桃園區中埔六街91~120號,13.27,住,,,1050511,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900803,139.49,3,1,1,有,有,10400000,74557,一樓平面,0.0,0,,RPOQMLMKPHLFFAH38EA
桃園區,房地(土地+建物),桃園市桃園區中山東路31~60號,3.8,其他,,,1050531,土地1建物2車位0,地下一層，地下二層,十三層,辦公商業大樓,商業用,鋼筋混凝土造,0800319,38.080000000000005,0,0,0,無,有,1000000,26267,,0.0,0,,RPXPMLLLPHLFFAH56EA
桃園區,房地(土地+建物),桃園市桃園區南華街181~210號,5.53,住,,,1050725,土地2建物1車位0,五層，陽台,六層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690820,33.02,0,0,1,無,有,1200000,36342,,0.0,0,,RPSNMLTKQHLFFAH66EA
桃園區,房地(土地+建物)+車位,桃園市桃園區健行路91~120號,19.04,住,,,1050906,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050427,138.36,2,2,2,有,有,9000000,71815,坡道平面,31.14,1300000,,RPTOMLNJNHMFFAH58EA
桃園區,房地(土地+建物)+車位,桃園市桃園區健行路91~120號,17.15,住,,,1050906,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050427,126.12,2,2,2,有,有,7750000,70453,坡道平面,34.57,1300000,,RPTOMLPLMHMFFAH88EA
桃園區,房地(土地+建物)+車位,桃園市桃園區健行路91~120號,15.97,住,,,1050906,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050427,115.91999999999999,2,2,2,有,有,7650000,75599,坡道平面,34.57,1500000,,RPVOMLPLMHMFFAH09EA
桃園區,房地(土地+建物)+車位,桃園市桃園區藝文一街61~90號,29.01,商,,,1050625,土地1建物1車位2,八層,十八層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1050601,368.39,0,0,0,無,無,35570000,96555,坡道平面,42.84,0,,RPXNMLSLMHMFFAH86EA
平鎮區,房地(土地+建物),桃園市平鎮區金陵路二段1~30號,70.77,住,,,1051027,土地1建物1車位0,全,五層,透天厝,住商用,加強磚造,0820223,205.75,4,2,3,有,無,25500000,123937,,0.0,0,,RPQOMLOKKILFFGH58CA
桃園區,房地(土地+建物)+車位,桃園市桃園區中山路361~390號,28.88,住,,,1051011,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010803,341.51,4,2,3,有,無,35900000,105872,升降機械,12.81,1100000,車位 110萬元含入總價; 尚未成立社區管委會,RPXNMLSLJILFFAH09DA
平鎮區,房地(土地+建物),桃園市平鎮區長沙街31~60號,77.48,住,,,1050925,土地2建物1車位0,一層，二層，三層，四層，五層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0950116,219.95,5,2,4,有,無,8000000,36372,,0.0,0,,RPVNMLKKNHMFFGH09EA
桃園區,土地,延壽段631~660地號,762.96,住,,,1050908,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,106168920,139154,,0.0,0,,RPQPMLQKKILFFAH28CA
桃園區,土地,延壽段1261~1290地號,200.09,其他,,,1050908,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11229027,56120,,0.0,0,,RPPPMLQKKILFFAH18CA
桃園區,房地(土地+建物),桃園市桃園區國豐三街31~60號,22.6,商,,,1051102,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0910425,120.32,1,1,1,有,有,5500000,45711,,0.0,0,,RPPRMLQKKILFFAH38CA
平鎮區,建物,桃園市平鎮區金陵路二段408巷1~30號,0.0,,,,1050822,土地0建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040204,86.11,2,2,1,有,有,0,0,一樓平面,0.0,0,,RPPOMLKKNHMFFGH58EA
平鎮區,建物,桃園市平鎮區金陵路二段408巷1~30號,0.0,,,,1050822,土地0建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040204,145.93,3,2,2,有,有,0,0,一樓平面,0.0,0,,SPPOMLKKNHMFFGH68EA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區金陵路二段408巷1~30號,81.4,,特定農業區,甲種建築用地,1050822,土地2建物2車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040204,232.04000000000002,3,2,2,有,有,17300000,74556,一樓平面,0.0,0,,RPQNMLLKNHMFFGH68EA
