編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVPMLLKJHLFFAH08CA,15,.03,見其他登記事項,鋼筋混凝土造,90年2月23日,十四層,一層
RPVPMLLKJHLFFAH08CA,15,34.08,共有部份,鋼筋混凝土造,90年2月23日,十四層,
RPOQMLRLJHLFFAH18CA,3,99.10,見其他登記事項,鋼筋混凝土造,102年3月27日,十層,四層
RPOQMLRLJHLFFAH18CA,3,69.06,見其他登記事項,鋼筋混凝土造,102年3月27日,十層,
RPPQMLRLJHLFFAH28CA,3,105.01,見其他登記事項,鋼筋混凝土造,102年3月27日,十層,三層
RPPQMLRLJHLFFAH28CA,3,68.61,見其他登記事項,鋼筋混凝土造,102年3月27日,十層,
RPTPMLPKKHLFFAH38CA,2,99.84,住家用,鋼筋混凝土造,102年11月12日,十三層,六層
RPTPMLPKKHLFFAH38CA,2,128.90,見其他登記事項,鋼筋混凝土造,102年11月12日,十三層,
RPTPMLPKKHLFFAH38CA,2,20.53,見其他登記事項,鋼筋混凝土造,102年11月12日,十三層,
RPXPMLOLKHLFFAH78CA,3,72.44,見其他登記事項,鋼筋混凝土造,102年6月20日,二十七層,
RPPOMLRKLHLFFGH78CA,3,98.18,住家用,鋼筋混凝土造,101年9月20日,十五層,十四層
RPPOMLRKLHLFFGH78CA,3,56.34,共有部份,鋼筋混凝土造,101年9月20日,十五層,
RPWNMLQLKHLFFGH76DA,5,81.60,住家用,鋼筋混凝土造,100年1月17日,十五層,七層
RPWNMLQLKHLFFGH76DA,5,73.15,共有部份,鋼筋混凝土造,100年1月17日,十五層,
RPWNMLRJMHLFFAH78CA,2,82.00,住家用,鋼筋混凝土造,103年6月10日,十三層,五層
RPWNMLRJMHLFFAH78CA,2,73.70,見其他登記事項,鋼筋混凝土造,103年6月10日,十四層,
RPQQMLKLMHLFFAH97CA,11,85.63,住家用,鋼筋混凝土造,94年4月25日,十五層,十一層
RPQQMLKLMHLFFAH97CA,11,13.87,共有部份,鋼筋混凝土造,94年4月25日,十五層,
RPQQMLKLMHLFFAH97CA,11,14.34,共有部份,鋼筋混凝土造,94年4月25日,十五層,
RPQQMLKLMHLFFAH97CA,11,.03,見其他登記事項,鋼筋混凝土造,94年4月25日,十五層,一層
RPQQMLKLMHLFFAH97CA,11,21.31,共有部份,鋼筋混凝土造,94年4月25日,十五層,
RPTOMLQJNHLFFAH58CA,26,87.15,住家用,鋼筋混凝土造,79年8月21日,五層,一層
RPTOMLQJNHLFFAH58CA,26,41.72,共有部份,鋼筋混凝土造,79年8月21日,五層,
RPTOMLQJNHLFFAH58CA,26,1.52,共有部份,鋼筋混凝土造,79年8月21日,五層,
RPVOMLLJOHLFFAH38CA,3,110.73,住家用,鋼筋混凝土造,102年6月15日,十二層,七層
RPVOMLLJOHLFFAH38CA,3,27.13,見其他登記事項,鋼筋混凝土造,102年6月15日,十三層,
RPVOMLLJOHLFFAH38CA,3,46.55,見其他登記事項,鋼筋混凝土造,102年6月15日,十三層,
RPWOMLLJOHLFFAH48CA,3,88.71,住家用,鋼筋混凝土造,102年6月15日,十二層,十一層
RPWOMLLJOHLFFAH48CA,3,22.28,見其他登記事項,鋼筋混凝土造,102年6月15日,十三層,
RPWOMLLJOHLFFAH48CA,3,43.77,見其他登記事項,鋼筋混凝土造,102年6月15日,十三層,
RPROMLQJOHLFFAH48CA,3,93.39,住家用,鋼筋混凝土造,102年6月15日,十三層,十層
RPROMLQJOHLFFAH48CA,3,23.57,見其他登記事項,鋼筋混凝土造,102年6月15日,十三層,
RPROMLQJOHLFFAH48CA,3,44.54,見其他登記事項,鋼筋混凝土造,102年6月15日,十三層,
RPOQMLNJOHLFFAH08CA,17,132.82,住家用,鋼筋混凝土造,88年4月2日,二十層,二層
RPOQMLNJOHLFFAH08CA,17,133.58,住家用,鋼筋混凝土造,88年4月2日,二十層,二層
RPOQMLNJOHLFFAH08CA,17,7.03,共同使用部份,鋼筋混凝土造,88年4月2日,二十層,
RPOQMLNJOHLFFAH08CA,17,17.88,共同使用部份,鋼筋混凝土造,88年4月2日,二十層,
RPOQMLNJOHLFFAH08CA,17,6.97,共同使用部份,鋼筋混凝土造,88年4月2日,二十層,
RPOQMLNJOHLFFAH08CA,17,17.70,共同使用部份,鋼筋混凝土造,88年4月2日,二十層,
RPOQMLMKPHLFFAH38EA,15,89.97,住家用,鋼筋混凝土造,90年8月3日,十四層,八層
RPOQMLMKPHLFFAH38EA,15,16.43,共同使用部份,鋼筋混凝土造,90年8月3日,十四層,
RPOQMLMKPHLFFAH38EA,15,13.40,共同使用部份,鋼筋混凝土造,90年8月3日,十四層,
RPOQMLMKPHLFFAH38EA,15,.02,見其他登記事項,鋼筋混凝土造,90年8月3日,十四層,一層
RPOQMLMKPHLFFAH38EA,15,19.66,共同使用部份,鋼筋混凝土造,90年8月3日,十四層,
RPXPMLLLPHLFFAH56EA,25,31.18,商業用,鋼筋混凝土造,80年3月19日,十三層,地下一層 地下二層
RPXPMLLLPHLFFAH56EA,25,.17,共有部份,鋼筋混凝土造,80年3月19日,十三層,
RPXPMLLLPHLFFAH56EA,25,.64,共有部份,鋼筋混凝土造,80年3月19日,十三層,
RPXPMLLLPHLFFAH56EA,25,4.14,共有部份,鋼筋混凝土造,80年3月19日,十三層,
RPXPMLLLPHLFFAH56EA,25,.68,共有部份,鋼筋混凝土造,80年3月19日,十三層,
RPXPMLLLPHLFFAH56EA,25,1.27,商業用,鋼筋混凝土造,80年3月19日,十三層,地下一層
RPSNMLTKQHLFFAH66EA,36,31.10,住家用,鋼筋混凝土造,69年8月20日,六層,五層 陽台
RPSNMLTKQHLFFAH66EA,36,1.92,共有部份,鋼筋混凝土造,69年8月20日,六層,
RPTOMLNJNHMFFAH58EA,,73.06,住家用,鋼筋混凝土造,105年4月27日,十二層,十一層
RPTOMLNJNHMFFAH58EA,,65.30,見其他登記事項,鋼筋混凝土造,105年4月27日,十二層,
RPTOMLPLMHMFFAH88EA,,62.87,住家用,鋼筋混凝土造,105年4月27日,十二層,二層
RPTOMLPLMHMFFAH88EA,,63.25,見其他登記事項,鋼筋混凝土造,105年4月27日,十二層,
RPVOMLPLMHMFFAH09EA,,55.44,住家用,鋼筋混凝土造,105年4月27日,十二層,九層
RPVOMLPLMHMFFAH09EA,,60.48,見其他登記事項,鋼筋混凝土造,105年4月27日,十二層,
RPXNMLSLMHMFFAH86EA,,203.94,見其他登記事項,鋼筋混凝土造,105年6月1日,十八層,八層
RPXNMLSLMHMFFAH86EA,,161.91,見其他登記事項,鋼筋混凝土造,105年6月1日,十八層,
RPXNMLSLMHMFFAH86EA,,2.53,見其他登記事項,鋼筋混凝土造,105年6月1日,二十七層,
RPQOMLOKKILFFGH58CA,24,205.75,住商用,加強磚造,82年2月23日,五層,一層 二層 三層 四層 五層 屋頂突出物 騎樓
RPXNMLSLJILFFAH09DA,4,223.69,住家用,鋼筋混凝土造,101年8月3日,十一層,九層
RPXNMLSLJILFFAH09DA,4,117.82,見其他登記事項,鋼筋混凝土造,101年8月3日,十一層,
RPVNMLKKNHMFFGH09EA,11,219.95,見其他登記事項,鋼筋混凝土造,95年1月16日,五層,一層 二層 三層 四層 五層
RPPRMLQKKILFFAH38CA,15,94.71,商業用,鋼筋混凝土造,91年4月25日,五層,三層
RPPRMLQKKILFFAH38CA,15,25.61,共有部份,鋼筋混凝土造,91年4月25日,五層,
RPPOMLKKNHMFFGH58EA,2,57.58,住家用,鋼筋混凝土造,104年2月4日,五層,三層
RPPOMLKKNHMFFGH58EA,2,28.53,見其他登記事項,鋼筋混凝土造,104年2月4日,五層,
SPPOMLKKNHMFFGH68EA,2,103.51,住家用,鋼筋混凝土造,104年2月4日,五層,三層
SPPOMLKKNHMFFGH68EA,2,42.42,見其他登記事項,鋼筋混凝土造,104年2月4日,五層,
RPQNMLLKNHMFFGH68EA,2,57.58,住家用,鋼筋混凝土造,104年2月4日,五層,三層
RPQNMLLKNHMFFGH68EA,2,103.51,住家用,鋼筋混凝土造,104年2月4日,五層,三層
RPQNMLLKNHMFFGH68EA,2,70.95,見其他登記事項,鋼筋混凝土造,104年2月4日,五層,
RPROMLKKNHMFFAH18EA,1,62.20,住家用,鋼筋混凝土造,104年7月6日,十五層,六層
RPROMLKKNHMFFAH18EA,1,41.32,見其他登記事項,鋼筋混凝土造,104年7月6日,十五層,
RPWNMLNJNHMFFAH78EA,13,33.89,見其他登記事項,鋼筋混凝土造,93年2月2日,六層,一層
RPWNMLNJNHMFFAH78EA,13,11.55,共有部份,鋼筋混凝土造,93年2月2日,六層,
RPUNMLTJKHMFFAH88EA,25,102.56,工業用,鋼筋混凝土造,81年5月14日,五層,二層
RPUNMLTJKHMFFAH88EA,25,5.59,共有部份,鋼筋混凝土造,81年5月14日,五層,
RPUNMLTJKHMFFAH88EA,25,3.43,共有部份,鋼筋混凝土造,81年5月14日,五層,
RPVNMLLLKHMFFAH38EA,14,41.70,住家用,鋼筋混凝土造,92年1月23日,九層,五層
RPVNMLLLKHMFFAH38EA,14,8.06,共有部份,鋼筋混凝土造,92年1月23日,九層,
RPVNMLLLKHMFFAH38EA,14,7.58,共有部份,鋼筋混凝土造,92年1月23日,九層,
RPSOMLKKNHMFFAH28EA,,88.43,住家用,鋼筋混凝土造,105年7月13日,十三層,九層
RPSOMLKKNHMFFAH28EA,,68.01,見其他登記事項,鋼筋混凝土造,105年7月13日,二十一層,
