編號,車位類別,車位價格,車位面積平方公尺
RPVPMLLKJHLFFAH08CA,坡道平面,0,
RPOQMLRLJHLFFAH18CA,坡道平面,0,
RPPQMLRLJHLFFAH28CA,坡道平面,0,
RPTPMLPKKHLFFAH38CA,坡道平面,0,
RPTPMLPKKHLFFAH38CA,坡道平面,0,
RPTPMLPKKHLFFAH38CA,坡道平面,0,
RPXPMLOLKHLFFAH78CA,坡道平面,0,24.14
RPXPMLOLKHLFFAH78CA,坡道平面,0,24.14
RPXPMLOLKHLFFAH78CA,坡道平面,0,24.14
RPPOMLRKLHLFFGH78CA,坡道平面,0,
RPWNMLQLKHLFFGH76DA,坡道平面,0,
RPWNMLRJMHLFFAH78CA,坡道平面,1300000,37.48
RPQQMLKLMHLFFAH97CA,坡道平面,0,
RPVOMLLJOHLFFAH38CA,坡道平面,1400000,31.24
RPWOMLLJOHLFFAH48CA,坡道平面,1150000,31.24
RPROMLQJOHLFFAH48CA,坡道平面,1300000,31.24
RPOQMLMKPHLFFAH38EA,一樓平面,0,
RPTOMLNJNHMFFAH58EA,坡道平面,1300000,31.14
RPTOMLPLMHMFFAH88EA,坡道平面,1300000,34.57
RPVOMLPLMHMFFAH09EA,坡道平面,1500000,34.57
RPXNMLSLMHMFFAH86EA,坡道平面,0,21.42
RPXNMLSLMHMFFAH86EA,坡道平面,0,21.42
RPXNMLSLJILFFAH09DA,升降機械,1100000,12.81
RPPOMLKKNHMFFGH58EA,一樓平面,0,
SPPOMLKKNHMFFGH68EA,一樓平面,0,
RPQNMLLKNHMFFGH68EA,一樓平面,0,
RPROMLKKNHMFFAH18EA,坡道平面,850000,13.55
RPSOMLKKNHMFFAH28EA,坡道平面,1750000,25.37
RPPQMLNJNHMFFAH38EA,坡道平面,0,
RPPQMLNJNHMFFAH38EA,坡道平面,0,
RPPQMLNJNHMFFAH38EA,坡道平面,0,
RPPQMLNJNHMFFAH38EA,坡道平面,0,
RPPQMLNJNHMFFAH38EA,坡道平面,0,
RPPQMLNJNHMFFAH38EA,坡道平面,0,
RPPQMLNJNHMFFAH38EA,坡道平面,0,
RPPQMLNJNHMFFAH38EA,坡道平面,0,
RPOOMLPLMHMFFCH58EA,坡道平面,0,
RPXPMLTJNHMFFBH17EA,坡道平面,0,
RPROMLNJNHMFFAH38EA,坡道平面,0,
RPUNMLKKNHMFFEH78EA,坡道平面,0,30.07
RPQOMLQLMHMFFAH58DA,坡道平面,0,33.31
RPXNMLPLMHMFFAH56EA,坡道平面,0,
RPPOMLPLMHMFFAH48EA,坡道平面,0,
RPOOMLNJNHMFFAH08EA,坡道平面,0,
RPOOMLOJNHMFFAH18EA,坡道平面,0,
RPTNMLRJMHMFFHH66CA,坡道平面,0,
RPOOMLLLLHMFFHH38CA,坡道平面,0,26.81
RPUOMLMJNHMFFBH68EA,坡道平面,0,35.43
SPUOMLMJNHMFFBH78EA,坡道平面,0,35.43
SPUOMLMJNHMFFBH78EA,坡道平面,0,35.43
RPUNMLMLLHMFFHH09DA,坡道平面,0,35.83
RPWOMLMLLHMFFFH56DA,坡道平面,0,
RPUNMLRLLHMFFHH86CA,坡道平面,0,37.58
RPUNMLRLLHMFFHH86CA,坡道平面,0,37.58
RPUNMLRLLHMFFHH86CA,坡道平面,0,37.58
RPTOMLKLLHMFFHH78CA,坡道平面,0,
RPWNMLKLLHMFFHH98CA,坡道平面,0,36.27
RPTNMLNLLHMFFAH38DA,坡道平面,0,
RPPPMLOLLHMFFAH28DA,坡道平面,0,
RPQNMLLKMHMFFGH38CA,一樓平面,0,
RPQQMLKLLHMFFBH08CA,坡道平面,1150000,40.31
RPSQMLKLLHMFFBH28CA,坡道平面,1250000,41.40
RPUQMLKLLHMFFBH48CA,坡道平面,1150000,41.40
RPVPMLKLLHMFFBH48CA,坡道平面,1200000,41.40
RPUNMLLLLHMFFBH28CA,坡道平面,0,
RPPPMLLLLHMFFBH97CA,坡道平面,1100000,19.86
RPRRMLLLLHMFFBH38CA,坡道平面,1500000,31.78
RPURMLLLLHMFFBH68CA,坡道平面,0,26.62
RPURMLLLLHMFFBH68CA,坡道平面,0,26.62
RPXRMLLLLHMFFBH98CA,坡道平面,0,26.62
RPXRMLLLLHMFFBH98CA,坡道平面,0,26.62
RPOSMLLLLHMFFBH18CA,坡道平面,0,26.62
RPOSMLLLLHMFFBH18CA,坡道平面,0,26.62
RPPSMLLLLHMFFBH28CA,坡道平面,1400000,26.62
RPQNMLNLLHMFFBH08CA,坡道平面,0,
