編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPUPMLRJKILFFBH98CC,復興段,.00,都市：住
RPWPMLSJKILFFBH66CC,老街溪段,.00,都市：住
RPROMLTJKILFFDH98CC,高獅段,195.96,非都市：一般農業區 ; 非都市編定：丁種建築用地
RPROMLTJKILFFDH98CC,高獅段,239.94,非都市：一般農業區 ; 非都市編定：丁種建築用地
RPSPMLOKKILFFBH58CC,中壢埔頂段,.00,都市：住
RPOQMLOKKILFFBH28CC,仁美段,.00,都市：住
RPTNMLOKKILFFFH88CC,廣隆段,55.30,都市：住
RPUNMLQKKILFFDH09DC,草湳坡段埔心小段,91.00,都市：住
RPQNMLTKKILFFFH09CC,東勇段,81.05,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLNLKILFFAH48CC,新埔段,107.00,都市：住
RPPQMLNLKILFFBH38CC,仁祥段,.00,都市：住
RPTQMLNLKILFFBH78CC,內壢段,.00,都市：工
RPTPMLNLKILFFGH56CC,西社段,.00,都市：住
RPTPMLNLKILFFGH56CC,西社段,.00,都市：其他
RPUPMLNLKILFFGH66CC,德育段,.00,都市：住
RPUNMLOLKILFFGH66DC,金鍊段,87.19,都市：住
RPUNMLOLKILFFGH66DC,金鍊段,21.64,都市：住
RPVNMLOLKILFFGH76DC,富貴段,.27,都市：住
RPVNMLOLKILFFGH76DC,富貴段,82.23,都市：住
RPVNMLOLKILFFGH76DC,富貴段,9.35,都市：住
RPVNMLOLKILFFGH76DC,富貴段,2.16,都市：住
RPQPMLSLKILFFAH88DC,龍安段,110.00,都市：住
RPXRMLNJJHMFFBH98CC,中壢埔頂段,.00,都市：住
RPTOMLPJJHMFFBH48CC,石頭段,.00,都市：商
RPRQMLKKJHMFFFH58DC,興隆段,86.07,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTOMLLKJHMFFGH68CC,南勢段,.00,都市：住
RPTOMLLKJHMFFGH68CC,南勢段,.00,都市：住
RPSQMLLKJHMFFBH28CC,忠孝段,.00,都市：住
RPUOMLNKJHMFFEH88DC,大竹圍段,48.88,都市：住
RPRPMLRKJHMFFDH88CC,草湳坡段埔心小段,.00,都市：住
RPPOMLSKJHMFFEH78CC,長興段,39.13,都市：工
RPPOMLSKJHMFFEH78CC,長興段,386.14,都市：工
RPWRMLTKJHMFFDH17CC,甡甡段,.00,都市：農
RPUOMLKLJHMFFDH58DC,清華段,80.82,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUOMLNLJHMFFGH66EC,平鎮段,58.87,都市：商
RPSNMLPLJHMFFEH78CC,大竹圍段,64.56,都市：住
RPPNMLLLKHMFFAH77CC,桃園段武陵小段,3.00,都市：商
RPPNMLLLKHMFFAH77CC,桃園段武陵小段,35.00,都市：商
RPPNMLLLKHMFFAH77CC,桃園段武陵小段,354.00,都市：商
RPQNMLLLKHMFFAH87CC,桃園段武陵小段,131.00,都市：商
RPROMLLLKHMFFFH78EC,大智段,.40,都市：住
RPPNMLMJLHMFFEH28DC,竹圍段拔子林小段,64.00,都市：住
RPSNMLMJLHMFFEH58DC,竹圍段拔子林小段,64.00,都市：住
RPOPMLMJLHMFFAH87CC,小檜溪段,31.95,都市：住
RPRNMLQJLHMFFBH48CC,忠福段,.00,都市：住
RPSPMLRJLHMFFBH88CC,華興段,.00,都市：住
RPVNMLSJLHMFFFH86CC,新興段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSNMLTJLHMFFCH98CC,烏林段,.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPSNMLTJLHMFFCH98CC,烏林段,.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPQNMLPKLHMFFDH68DC,大金山下段大金山下小段,83.00,都市：住
RPQNMLQKLHMFFCH58CC,仁善段,119.97,都市：住
RPOOMLQKLHMFFEH78DC,青山段,101.27,都市：住
RPPOMLQKLHMFFEH88DC,青山段,101.27,都市：住
RPSOMLQKLHMFFEH09CC,六福段,6520.92,都市：工
RPVNMLQKLHMFFAH88CC,桃園段武陵小段,.00,都市：商
RPVNMLQKLHMFFAH88CC,桃園段武陵小段,.00,都市：商
RPVNMLQKLHMFFAH88CC,桃園段武陵小段,.00,都市：商
RPWNMLQKLHMFFAH98CC,長安段,.00,都市：住
RPPPMLQKLHMFFBH58CC,新街段,.00,都市：商
RPQPMLQKLHMFFBH68CC,西寮段,.00,都市：住
RPWPMLQKLHMFFBH66CC,復興段,3692.00,都市：住
RPSOMLRKLHMFFBH88CC,三座屋段舊社小段,166.00,都市：其他
RPSOMLRKLHMFFBH88CC,三座屋段舊社小段,165.00,都市：其他
RPSOMLRKLHMFFBH88CC,三座屋段舊社小段,165.00,都市：其他
RPUPMLRKLHMFFBH56CC,自立段,24.40,都市：住
RPPQMLRKLHMFFBH78CC,內壢段,661.00,都市：農
RPRNMLRKLHMFFAH58CC,慈文段,.00,非都市： ; 非都市編定：
RPTNMLRKLHMFFAH78CC,慈文段,.00,非都市： ; 非都市編定：
RPWOMLRKLHMFFAH56CC,江南段,66.83,都市：住
RPOPMLRKLHMFFAH48CC,會稽段,148.63,都市：其他
RPSRMLRKLHMFFEH86CC,南青段,3997.99,都市：農
RPRNMLRKLHMFFFH56DC,大華段,26.87,都市：住
RPVNMLRKLHMFFCH56CC,上華段,34.43,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPNMLRKLHMFFHH56DC,幸褔段,5.87,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLRKLHMFFHH56DC,幸褔段,1.09,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLRKLHMFFHH56DC,幸褔段,.11,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLRKLHMFFHH56DC,幸褔段,8.57,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLKLLHMFFFH68EC,大忠段,136.90,都市：商
RPSNMLKLLHMFFFH78EC,同福段,32.34,都市：商
RPVNMLKLLHMFFHH09CC,精忠段,15.22,都市：住
RPXNMLKLLHMFFHH66CC,幸褔段,18.20,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTQMLKLLHMFFFH09DC,福興段,11.07,都市：住
RPUQMLKLLHMFFFH56DC,福興段,1908.88,都市：住
RPTNMLKLLHMFFEH58CC,富興段,.00,都市：農
RPVOMLKLLHMFFBH58CC,中原段,.00,都市：農
RPQPMLKLLHMFFBH18CC,復興段,.00,都市：住
RPUPMLKLLHMFFBH58CC,內壢段,.00,都市：工
RPTPMLLLLHMFFBH58CC,中壢埔頂段,.00,都市：住
RPUPMLLLLHMFFBH68CC,中壢埔頂段,.00,都市：住
RPWPMLLLLHMFFBH88CC,中寮段,.00,都市：住
RPOQMLLLLHMFFBH18CC,中工段,.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPQQMLLLLHMFFBH38CC,興南段興南小段,.00,都市：商
RPUNMLLLLHMFFFH88CC,興豐段,.00,都市：住
RPOPMLLLLHMFFAH97CC,和平段,13.39,都市：住
RPSNMLLLLHMFFFH78DC,豐田段,19.93,都市：住
RPSNMLLLLHMFFHH88CC,陸光段,30.12,都市：住
RPXNMLLLLHMFFGH66CC,廣仁段,.00,都市：工
RPUNMLMLLHMFFGH09CC,富貴段,.00,都市：住
RPSOMLMLLHMFFCH58CC,康莊段,34.19,都市：其他
RPSNMLMLLHMFFHH98CC,壽山段,10.40,都市：住
RPPOMLMLLHMFFAH18DC,會稽段,24.31,都市：商
RPXOMLMLLHMFFFH86DC,明智段,16.45,都市：住
RPOPMLMLLHMFFFH68DC,大智段,62.30,都市：住
RPWOMLMLLHMFFEH56CC,竹圍段拔子林小段,16.50,都市：住
RPOPMLMLLHMFFEH48CC,水尾段,21.49,都市：工
RPSOMLMLLHMFFBH48CC,中壢埔頂段,.00,都市：住
RPTNMLNLLHMFFBH58CC,青平段,43.08,都市：住
RPUNMLNLLHMFFBH68CC,自立段,20.43,都市：住
RPVNMLNLLHMFFBH78CC,仁愛段,25.28,都市：住
RPROMLNLLHMFFBH48CC,復興段,.00,都市：住
RPPPMLNLLHMFFBH38CC,青溪段,53.09,都市：住
RPXOMLNLLHMFFEH76CC,青峰段,14.72,都市：住
RPWNMLNLLHMFFAH78CC,慈文段,.00,都市：住
RPOOMLNLLHMFFAH08CC,龍壽段,.00,都市：住
RPWNMLNLLHMFFHH86CC,龜山段,.00,都市：商
RPRNMLOLLHMFFHH09CC,龜山段,.00,都市：商
RPXNMLOLLHMFFAH09DC,建新段,22.93,都市：住
RPTNMLOLLHMFFCH78CC,潛龍段,.53,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLOLLHMFFCH78CC,潛龍段,72.53,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLOLLHMFFCH88CC,潛龍段,124.80,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLOLLHMFFCH88CC,潛龍段,.59,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLOLLHMFFGH09CC,新榮段,.00,都市：住
RPRNMLOLLHMFFFH09EC,前程段,125.59,都市：住
RPTNMLOLLHMFFDH98DC,梅高段,72.65,都市：其他
RPRNMLOLLHMFFAH38CC,中山段,22.54,都市：住
RPSNMLOLLHMFFAH48CC,國聖段,12.76,都市：住
RPSOMLOLLHMFFAH58CC,國聖段,.00,都市：工
RPUNMLOLLHMFFFH56CC,豐田段,25.96,都市：住
RPSOMLOLLHMFFFH09CC,大和段,.00,都市：住
RPTOMLOLLHMFFFH56CC,力行段,.00,都市：住
RPVOMLOLLHMFFFH76CC,大智段,.00,都市：住
RPROMLOLLHMFFBH58CC,中壢埔頂段,.00,都市：住
RPSOMLOLLHMFFBH68CC,三座屋段舊社小段,.00,都市：住
RPVPMLRLLHMFFBH76CC,後寮段,.00,都市：其他
RPSNMLRLLHMFFFH66CC,興豐段,.00,都市：住
RPTNMLRLLHMFFFH76CC,高城段,.00,都市：住
RPVNMLRLLHMFFFH96CC,大發段,706.85,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPRNMLRLLHMFFEH09CC,大新段,.00,都市：商
RPSNMLRLLHMFFEH56CC,羊稠段,26.43,都市：商
RPUNMLRLLHMFFEH76CC,錦中段,212.97,都市：工
RPVNMLRLLHMFFEH86CC,南榮段,14.10,都市：工
RPTOMLRLLHMFFAH98CC,大樹林段,.00,都市：住
RPVNMLRLLHMFFCH66CC,仁文段,65.41,都市：住
RPRNMLSLLHMFFFH76DC,中華段,38.74,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLTLLHMFFEH76DC,五塊厝段下埔小段,77.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQOMLTLLHMFFEH76DC,五塊厝段下埔小段,6.85,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVOMLTLLHMFFEH27DC,青峰段,27.01,都市：住
RPPQMLTLLHMFFEH86DC,青峰段,35.32,都市：住
RPVQMLTLLHMFFBH17DC,新街段,7992.51,都市：住
RPRSMLTLLHMFFBH96DC,復興段,21.05,都市：住
RPSSMLTLLHMFFBH07DC,復興段,34043.00,都市：住
RPUNMLTLLHMFFGH27DC,平鎮段,.03,都市：商
RPUNMLTLLHMFFGH27DC,南勢段,12.48,都市：商
RPVNMLTLLHMFFGH37DC,南華段,69.33,都市：住
RPSNMLTLLHMFFAH98CC,中埔段,35.55,都市：住
RPUNMLTLLHMFFAH56CC,會稽段,21.18,都市：住
RPPOMLTLLHMFFBH88CC,培英段,.00,都市：住
RPQOMLTLLHMFFBH98CC,普仁段,.00,都市：住
RPROMLTLLHMFFBH09CC,環東段,.00,都市：住
RPTOMLTLLHMFFBH66CC,遠東段,.00,都市：住
RPUOMLTLLHMFFBH76CC,後寮段,.00,都市：其他
RPUPMLTLLHMFFBH86CC,三座屋段舊社小段,.00,都市：住
RPWPMLKMLHMFFBH88CC,忠福段,.00,都市：住
RPPRMLKMLHMFFBH38CC,東寮段,.00,都市：商
RPPRMLKMLHMFFBH38CC,東寮段,.00,都市：住
RPPRMLKMLHMFFBH38CC,東寮段,.00,都市：其他
RPRNMLKMLHMFFEH48CC,青山段,23.14,都市：住
RPXOMLKMLHMFFEH56CC,錦中段,129.96,都市：其他
RPRNMLKMLHMFFFH58CC,興仁段,.00,都市：商
RPSNMLKMLHMFFGH88DC,金星段,58.35,都市：住
RPSPMLLMLHMFFEH98DC,錦興段,15.63,都市：住
RPTQMLLMLHMFFFH56CC,廣隆段,.00,都市：住
RPWQMLLMLHMFFFH86CC,廣隆段,.00,都市：住
RPQOMLLMLHMFFEH58CC,五福段,.00,都市：工
RPOQMLLMLHMFFAH18CC,大有段,2725.56,都市：其他
RPXPMLLMLHMFFBH09CC,中壢埔頂段,.00,都市：住
