編號,車位類別,車位價格,車位面積平方公尺
RPQNMLTKKILFFFH09CC,一樓平面,0,
RPQNMLTKKILFFFH09CC,其他,0,
RPVNMLSJLHMFFFH86CC,一樓平面,0,
RPWPMLQKLHMFFBH66CC,坡道平面,0,11.26
RPVNMLRKLHMFFCH56CC,坡道平面,0,37.91
RPTQMLKLLHMFFFH09DC,坡道平面,0,48.55
RPVOMLKLLHMFFBH58CC,坡道平面,0,
RPUNMLLLLHMFFFH88CC,坡道平面,0,31.23
RPOPMLLLLHMFFAH97CC,坡道平面,0,36.16
RPSNMLLLLHMFFFH78DC,坡道平面,0,22.51
RPXOMLMLLHMFFFH86DC,坡道平面,0,26.92
RPTNMLNLLHMFFBH58CC,坡道平面,0,13.26
RPTNMLNLLHMFFBH58CC,坡道平面,0,13.26
RPPPMLNLLHMFFBH38CC,坡道平面,0,22.06
RPXOMLNLLHMFFEH76CC,坡道平面,0,16.54
RPRNMLOLLHMFFAH38CC,坡道平面,0,
RPUNMLOLLHMFFFH56CC,坡道平面,0,20.13
RPSOMLOLLHMFFFH09CC,坡道平面,0,31.43
RPSNMLRLLHMFFFH66CC,坡道平面,0,33.33
RPTNMLRLLHMFFFH76CC,坡道平面,0,
RPRNMLRLLHMFFEH09CC,坡道平面,0,
RPVOMLTLLHMFFEH27DC,坡道平面,0,30.80
RPPQMLTLLHMFFEH86DC,坡道平面,0,30.07
RPSNMLTLLHMFFAH98CC,其他,0,
RPUNMLTLLHMFFAH56CC,其他,0,
RPPOMLTLLHMFFBH88CC,坡道平面,0,33.32
RPSPMLLMLHMFFEH98DC,坡道平面,0,19.97
