鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
嘉義市,土地,湖子內段湖美小段91~120地號,74.07,住,,,1051031,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3653000,49318,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWNMLTLKILFFAI76EA
嘉義市,土地,湖東段91~120地號,14.0,住,,,1051209,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,652260,46590,,0.0,0,向政府機關承購之案件。,RPSNMLTLKILFFAI98EA
嘉義市,土地,元段二小段181~210地號,34.0,商,,,1051108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,11765,,0.0,0,含增建或未登記建物。,RPTNMLTLKILFFAI09EA
嘉義市,建物,嘉義市嘉義市金山路91~120號,0.0,,,,1051216,土地0建物1車位0,七層，走廊,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840803,130.12,3,1,2,有,無,2000000,15370,,0.0,0,土地地上權利金價款新台幣90萬建物價款新台幣110萬,RPPNMLRLKILFFAI48EA
嘉義市,土地,大溪段721~750地號,306.28,住,,,1051205,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4073391,13300,,0.0,0,,RPXNMLTLKILFFAI86EA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路四段56巷1~30號,42.0,住,,,1051101,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700407,55.9,4,1,2,有,無,1400000,25045,,0.0,0,,RPOOMLTLKILFFAI68EA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市垂楊路61~90號,24.05,住,,,1051212,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820706,135.35000000000002,3,2,1,有,有,4100000,30292,坡道平面,0.0,0,,RPVNMLTLKILFFAI09CA
嘉義市,土地,湖子內段湖美小段241~270地號,92.05,住,,,1051023,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,13036,,0.0,0,親友(母女)關係間之交易。,RPPOMLTLKILFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市蘭州四街1~30號,91.0,住,,,1051202,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0931021,192.21,4,2,3,有,無,8900000,46304,,0.0,0,,RPQOMLTLKILFFAI68CA
嘉義市,土地,榮段四小段1~30地號,21.33,商,,,1051214,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,93765,,0.0,0,,RPROMLTLKILFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市大和街151~180號,193.57,住,,,1060208,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1050401,357.63,4,3,5,有,無,19700000,55085,,0.0,0,,RPTNMLRJLHMFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市共和路61~90號,5.46,商,,,1060119,土地4建物2車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700421,37.41,1,1,1,有,有,400000,10692,,0.0,0,,RPUNMLRJLHMFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義市民生南路1~30號,26.0,住,,,1051226,土地2建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0770615,118.42,3,2,2,有,有,2400000,20267,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLMLLHMFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義市吳鳳南路206巷1~30號,32.95,住,,,1060109,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691017,104.71000000000001,3,2,2,有,無,1700000,16235,,0.0,0,,RPXNMLMLLHMFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義市大雅路一段288巷116弄1~30號,149.13,住,,,1060203,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1021016,211.58,4,3,6,有,無,11300000,53408,,0.0,0,,RPTOMLMLLHMFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市僑嘉一街1~30號,66.0,住,,,1060221,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0710518,148.28,5,2,3,有,無,6500000,43836,,0.0,0,,RPOOMLMLLHMFFAI87CA
