編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLRLKILFFAI48EA,21,101.94,住家用,鋼筋混凝土造,84年8月3日,十二層,七層 走廊
RPPNMLRLKILFFAI48EA,21,28.18,共有部份,鋼筋混凝土造,84年8月3日,十二層,
RPOOMLTLKILFFAI68EA,36,55.90,住家用,鋼筋混凝土加強磚造,70年4月7日,二層,一層 二層
RPVNMLTLKILFFAI09CA,23,95.54,住家用,鋼筋混凝土造,82年7月6日,七層,四層
RPVNMLTLKILFFAI09CA,23,39.81,共有部份,鋼筋混凝土造,82年7月6日,七層,
RPQOMLTLKILFFAI68CA,12,192.21,見其他登記事項,鋼筋混凝土造,93年10月21日,3,一層 二層 三層 見其他登記事項
RPTNMLRJLHMFFAI58CA,1,357.63,住家用,見其他登記事項,105年4月1日,四層,一層 二層 三層 四層
RPUNMLRJLHMFFAI68CA,36,13.88,住家用,鋼筋混凝土造,70年4月21日,九層,四層
RPUNMLRJLHMFFAI68CA,36,5.16,共有部份,鋼筋混凝土造,70年4月21日,九層,
RPUNMLRJLHMFFAI68CA,36,13.21,住家用,鋼筋混凝土造,70年4月21日,九層,四層
RPUNMLRJLHMFFAI68CA,36,5.16,共有部份,鋼筋混凝土造,70年4月21日,九層,
RPVNMLMLLHMFFAI48CA,29,108.37,住家用,鋼筋混凝土造,77年6月15日,七層,三層
RPVNMLMLLHMFFAI48CA,29,10.05,共有部份,鋼筋混凝土造,77年6月15日,七層,
RPXNMLMLLHMFFAI68CA,36,92.42,住家用,鋼筋混凝土造,69年10月17日,五層,三層
RPXNMLMLLHMFFAI68CA,36,6.89,共有部份,鋼筋混凝土加強磚造,69年10月17日,五層,
RPXNMLMLLHMFFAI68CA,36,2.70,共有部份,鋼筋混凝土造,69年10月17日,五層,
RPXNMLMLLHMFFAI68CA,36,2.70,共有部份,鋼筋混凝土造,69年10月17日,五層,
RPTOMLMLLHMFFAI38CA,3,211.58,見其他登記事項,見其他登記事項,102年10月16日,三層,一層 二層 三層 見其他登記事項
RPOOMLMLLHMFFAI87CA,35,148.28,住商用,鋼筋混凝土造,71年5月18日,三層,一層 二層 三層 防空避難室 騎樓
RPPOMLMLLHMFFAI97CA,27,99.13,住家用,鋼筋混凝土造,79年4月23日,七層,三層
RPPOMLMLLHMFFAI97CA,27,23.42,共有部份,鋼筋混凝土造,79年4月23日,七層,
RPUNMLRKLHMFFAI78CA,36,144.41,住家用,鋼筋混凝土加強磚造,70年3月17日,二層,一層 二層
RPOOMLRKLHMFFAI28CA,45,63.00,住家用,木造,61年7月23日,二層,一層 二層
RPSOMLRKLHMFFAI68CA,22,87.34,住家用,鋼筋混凝土造,83年11月25日,十六層,九層
RPSOMLRKLHMFFAI68CA,22,16.05,共有部份,鋼筋混凝土造,83年11月25日,十六層,
RPSOMLRKLHMFFAI68CA,22,6.71,共有部份,鋼筋混凝土造,83年11月25日,十六層,
RPSOMLRKLHMFFAI68CA,22,11.44,住家用,鋼筋混凝土造,83年11月25日,十六層,地下層
RPSOMLRKLHMFFAI68CA,22,.00,共有部份,鋼筋混凝土造,83年11月25日,十六層,
RPTOMLRKLHMFFAI78CA,,232.97,見其他登記事項,見其他登記事項,105年12月13日,三層,一層 二層 三層 見其他登記事項
RPUOMLRKLHMFFAI88CA,,225.25,見其他登記事項,見其他登記事項,105年12月13日,三層,一層 二層 三層 見其他登記事項
RPVOMLRKLHMFFAI98CA,,225.25,見其他登記事項,見其他登記事項,105年12月13日,三層,一層 二層 三層 見其他登記事項
RPWOMLRKLHMFFAI09CA,,225.25,見其他登記事項,見其他登記事項,105年12月13日,三層,一層 二層 三層 見其他登記事項
RPWNMLRLLHMFFAI09CA,,64.26,,木造,,二層,一層 二層
RPOOMLSLLHMFFAI48CA,28,94.86,住家用,鋼筋混凝土造,77年11月8日,五層,五層 夾層
RPOOMLSLLHMFFAI48CA,28,7.48,共有部份,鋼筋混凝土造,77年11月8日,五層,
RPOOMLSLLHMFFAI48CA,28,9.65,共有部份,鋼筋混凝土造,77年11月8日,五層,
RPWNMLQJMHMFFAI88CA,18,103.59,住家用,鋼筋混凝土造,88年1月21日,四層,一層 二層 三層 四層
