編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPWNMLTLKILFFAI76EA,湖子內段湖美小段,74.07,都市：住
RPSNMLTLKILFFAI98EA,湖東段,3.00,都市：住
RPSNMLTLKILFFAI98EA,湖東段,11.00,都市：住
RPTNMLTLKILFFAI09EA,元段二小段,34.00,都市：商
RPXNMLTLKILFFAI86EA,大溪段,111.28,都市：住
RPXNMLTLKILFFAI86EA,大溪段,195.00,都市：住
RPOOMLTLKILFFAI68EA,下路頭段,42.00,都市：住
RPVNMLTLKILFFAI09CA,堀川段,24.05,都市：住
RPPOMLTLKILFFAI58CA,湖子內段湖美小段,92.05,都市：住
RPQOMLTLKILFFAI68CA,車店段車店小段,91.00,都市：住
RPROMLTLKILFFAI78CA,榮段四小段,2.08,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,2.08,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,4.17,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,.33,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,.33,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,.67,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,2.92,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,2.92,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,5.83,都市：商
RPTNMLRJLHMFFAI58CA,劉厝段玉山小段,193.57,都市：住
RPUNMLRJLHMFFAI68CA,元段二小段,2.01,都市：商
RPUNMLRJLHMFFAI68CA,元段二小段,.55,都市：商
RPUNMLRJLHMFFAI68CA,元段二小段,1.03,都市：商
RPUNMLRJLHMFFAI68CA,元段二小段,1.86,都市：商
RPVNMLMLLHMFFAI48CA,玉川段,22.48,都市：住
RPVNMLMLLHMFFAI48CA,玉川段,3.52,都市：住
RPXNMLMLLHMFFAI68CA,下路頭段,32.95,都市：住
RPTOMLMLLHMFFAI38CA,盧東段,13.22,都市：住
RPTOMLMLLHMFFAI38CA,盧東段,135.84,都市：住
RPTOMLMLLHMFFAI38CA,盧東段,.07,都市：農
RPOOMLMLLHMFFAI87CA,竹圍子段,66.00,都市：住
RPPOMLMLLHMFFAI97CA,盧厝段,25.43,都市：住
RPUNMLRKLHMFFAI78CA,下路頭段,112.00,都市：住
RPOOMLRKLHMFFAI28CA,下路頭段,20.00,都市：住
RPOOMLRKLHMFFAI28CA,下路頭段,34.00,都市：住
RPSOMLRKLHMFFAI68CA,竹圍子段,12.51,都市：住
RPTOMLRKLHMFFAI78CA,劉厝段,110.00,都市：住
RPUOMLRKLHMFFAI88CA,劉厝段,110.00,都市：住
RPVOMLRKLHMFFAI98CA,劉厝段,110.00,都市：住
RPWOMLRKLHMFFAI09CA,劉厝段,110.00,都市：住
RPWNMLRLLHMFFAI09CA,民族段五小段,60.00,都市：商
RPOOMLSLLHMFFAI48CA,檜段一小段,12.98,都市：住
RPOOMLSLLHMFFAI48CA,檜段二小段,19.64,都市：住
RPRPMLKMLHMFFAI18CA,下路頭段,176.00,都市：住
RPWNMLQJMHMFFAI88CA,檜段一小段,8.67,都市：住
RPWNMLQJMHMFFAI88CA,檜段一小段,44.00,都市：住
RPWNMLQJMHMFFAI88CA,檜段一小段,8.17,都市：住
RPOOMLQJMHMFFAI18CA,北社尾段,12.36,都市：住
RPQOMLQJMHMFFAI38CA,埤子頭段,83.00,都市：住
RPSNMLRLLHMFFAI78DA,新富段四小段,4.91,都市：商
RPQNMLRKLHMFFAI58EA,元段二小段,13.80,都市：住
RPRNMLRKLHMFFAI68EA,下路頭段,4.79,都市：住
RPRNMLRKLHMFFAI68EA,下路頭段,9.80,都市：住
RPRNMLRKLHMFFAI68EA,湖內段,.32,都市：住
