編號,車位類別,車位價格,車位面積平方公尺
RPVNMLTLKILFFAI09CA,坡道平面,0,
RPSOMLRKLHMFFAI68CA,坡道機械,0,
RPTNMLLKMHMFFAI18CA,坡道機械,550000,14.31
RPUNMLLKMHMFFAI28CA,坡道機械,1000000,14.31
RPUNMLLKMHMFFAI28CA,坡道機械,0,14.31
RPWNMLLKMHMFFAI48CA,坡道機械,450000,14.31
RPXNMLLKMHMFFAI58CA,坡道機械,300000,14.31
RPPNMLMLLHMFFAI87CA,坡道平面,0,
RPXNMLNLLHMFFAI78CA,坡道平面,0,
RPWNMLNKMHMFFAI68CA,坡道機械,0,
RPTNMLLLMHMFFAI28CA,坡道平面,0,
RPVOMLKMLHMFFAI48CA,坡道平面,0,
RPROMLSJMHMFFAI68CA,升降機械,0,
RPOPMLSKMHMFFAI58CA,一樓平面,0,
RPOPMLSKMHMFFAI58CA,一樓平面,0,
RPUNMLRLLHMFFAI09EA,坡道平面,0,
RPUNMLKMLHMFFAI28CA,坡道平面,0,
RPWNMLKMLHMFFAI48CA,升降機械,0,
RPPOMLKMLHMFFAI08EA,坡道平面,0,
RPOOMLSJMHMFFAI38CA,坡道平面,0,
RPOOMLPJMHMFFAI28EA,坡道機械,0,
