編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLSJKILFFAI58CC,37,195.55,住商用,鋼筋混凝土加強磚造,69年2月28日,三層,
RPRNMLTKKILFFAI78CC,40,269.48,住商用,見其他登記事項,66年1月14日,二層,
RPSNMLMLKILFFAI28CC,48,105.93,住家用,加強磚造,57年12月8日,二層,
RPTNMLNLKILFFAI58DC,34,86.87,住家用,鋼筋混凝土加強磚造,72年5月14日,二層,
RPPOMLKMKILFFAI97CC,43,73.89,住家用,鋼筋混凝土加強磚造,63年4月2日,二層,
RPPNMLLMKILFFAI97CC,20,65.97,住家用,鋼筋混凝土造,85年11月20日,三層,
RPXNMLLJLHMFFAI58CC,40,239.75,住商用,鋼筋混凝土造,66年7月5日,四層,
RPXNMLQKLHMFFAI56CC,26,82.08,住商用,鋼筋混凝土造,80年5月18日,七層,
RPXNMLQKLHMFFAI56CC,26,5.83,共有部份,鋼筋混凝土造,80年5月18日,七層,
RPOOMLQKLHMFFAI38CC,21,70.58,住家用,鋼筋混凝土造,84年10月4日,十一層,
RPOOMLQKLHMFFAI38CC,21,14.35,共有部份,鋼筋混凝土造,84年10月4日,十一層,
RPOOMLQKLHMFFAI38CC,21,7.78,共有部份,鋼筋混凝土造,84年10月4日,十一層,
RPQOMLQKLHMFFAI68DC,19,115.37,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPQNMLOLLHMFFAI38CC,27,310.40,住家用,鋼筋混凝土造,79年8月9日,四層,
RPTNMLRLLHMFFAI98CC,17,197.71,見其他登記事項,見其他登記事項,89年5月15日,二層,
RPVNMLRLLHMFFAI66DC,1,26.45,見其他登記事項,見其他登記事項,104年11月10日,五層,
RPPNMLSLLHMFFAI78DC,19,112.72,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPRNMLTLLHMFFAI09DC,37,165.90,住商用,鋼筋混凝土加強磚造,69年7月8日,三層,
RPRNMLTLLHMFFAI09DC,37,5.71,住商用,鋼筋混凝土加強磚造,69年7月8日,三層,
RPSNMLTLLHMFFAI09CC,24,76.10,住家用,鋼筋混凝土造,82年6月18日,十二層,
RPPOMLKMLHMFFAI08CC,12,115.40,住家用,鋼筋混凝土造,93年11月1日,十四層,
RPPOMLKMLHMFFAI08CC,12,73.24,共有部份,鋼筋混凝土造,93年11月1日,十四層,
RPQOMLKMLHMFFAI28DC,19,79.56,住家用,鋼筋混凝土造,87年3月19日,二十二層,
