鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
竹東鎮,土地,竹東段竹東小段451~480地號,62.0,住,,,1050512,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,51613,,0.0,0,含增建或未登記建物。,RPPNMLSKQHLFFCJ66EA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮中興路二段378巷1~30號,31.57,住,,,1051022,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,148.7,3,2,2,有,有,5200000,34970,坡道平面,0.0,0,,RPVOMLTJJILFFCJ56CA
橫山鄉,土地,下大窩段361~390地號,6824.15,,山坡地保育區,林業用地,1051117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,220,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLOKKILFFCJ38CA
竹北市,建物,新竹縣竹北市東興路一段61~90號,0.0,,,,1050906,土地0建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,1041123,419.2,12,12,12,有,無,16000000,38168,,0.0,0,,RPUNMLTJJHMFFBJ88CA
湖口鄉,建物,新竹縣湖口鄉光明街31~60號,0.0,,,,1051215,土地0建物1車位0,全,三層,透天厝,住家用,加強磚造,,47.1,5,2,3,有,無,700000,14862,,0.0,0,2親等內買賣,RPTNMLTJJHMFFDJ09DA
寶山鄉,建物,新竹縣寶山鄉創新一路1~30號,0.0,,,,1051223,土地0建物1車位0,一層，二層，三層，四層，五層，六層，七層，地下一層，地下二層,七層,廠辦,見其他登記事項,鋼筋混凝土造,,14888.08,0,0,0,無,無,270000000,18135,,0.0,0,,RPPNMLPKJHMFFCJ18CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮學府東路315巷20弄1~30號,128.64,,山坡地保育區,丙種建築用地,1051123,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0940429,202.88,4,2,4,有,有,10500000,51755,,0.0,0,,RPQNMLQLJHMFFCJ48CA
湖口鄉,建物,新竹縣湖口鄉三民一路31~60號,0.0,,,,1051231,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040327,230.72,3,3,4,有,有,5288000,22920,,0.0,0,,RPTNMLTKJHMFFDJ09CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮北興路一段541~570號,16.17,住,,,1060116,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0991231,79.30000000000001,3,2,2,有,有,5400000,68096,,0.0,0,,RPSNMLQLJHMFFCJ68CA
寶山鄉,土地,明湖段1411~1440地號,221.07,,山坡地保育區,丙種建築用地,1060126,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5350000,24200,,0.0,0,,RPPNMLRKLHMFFCJ58CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮北興路一段601~630號,24.96,商,,,1060301,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,136.66,4,2,2,有,有,3150000,23050,,0.0,0,,RPTNMLRKLHMFFCJ98CA
竹東鎮,土地,國王段721~750地號,131.83,,特定農業區,農牧用地,1060208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2400000,18205,,0.0,0,,RPVNMLRKLHMFFCJ56CA
竹東鎮,土地,明星段151~180地號,25.73,住,,,1060308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,515000,20016,,0.0,0,,RPXNMLRKLHMFFCJ76CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮員山路276巷8弄1~30號,77.48,,特定農業區,甲種建築用地,1060217,土地4建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1041123,280.39,6,2,6,有,無,16300000,58133,,0.0,0,,RPPNMLKLLHMFFCJ97CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮東峰路137巷1~30號,60.5,住,,,1060224,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,68.61,5,3,3,有,無,2000000,29150,,0.0,0,親友間之交易。,RPSNMLKLLHMFFCJ28CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮北興路三段481~510號,16.25,住,,,1060218,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830506,127.31,3,2,2,有,有,4480000,35190,坡道平面,0.0,0,,RPOPMLKLLHMFFCJ08CA
峨眉鄉,土地,富興段富興小段241~270地號,132.33,,鄉村區,乙種建築用地,1051214,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1280000,9673,,0.0,0,,RPWOMLLLLHMFFCJ88CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮自強路361~390號,46.28,住,,,1060308,土地1建物1車位3,一層,六層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0970615,247.52999999999997,1,1,1,有,有,11000000,44439,坡道平面,114.78,0,,RPWNMLNLLHMFFCJ98CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮幸福路91~120號,18.97,住,,,1060214,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840801,131.52,3,2,2,有,無,3300000,25091,,0.0,0,,RPSNMLRLLHMFFCJ98CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮長春路三段42巷1~30號,13.88,商,,,1060213,土地2建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840120,120.83000000000001,3,2,2,有,有,4500000,37242,坡道機械,0.0,0,,RPTNMLMLLHMFFCJ58CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮明星路264巷1~30號,96.52,住,,,1060301,土地5建物1車位0,全,二層,透天厝,住家用,加強磚造,,115.2,4,2,3,有,無,5500000,47743,,0.0,0,,RPQOMLPJMHMFFCJ58CA
芎林鄉,土地,鹿寮坑段661~690地號,300.0,,山坡地保育區,丙種建築用地,1051230,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,3667,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLOKMHMFFCJ58CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉興路277巷1~30號,13.68,住,,,1060302,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850821,95.28999999999999,3,2,2,有,有,4500000,47224,坡道平面,0.0,0,,RPROMLQKLHMFFBJ68CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉興路384巷1~30號,20.71,住,,,1060213,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830614,99.89,3,1,2,有,無,4600000,46051,升降機械,15.0,0,,RPWNMLRKLHMFFBJ56CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市文興路241~270號,30.8,住,,,1060104,土地1建物1車位2,五層,十一層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1031015,217.64999999999998,0,0,0,無,有,15750000,72364,坡道平面,0.0,0,,RPTOMLKLLHMFFBJ38CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市文興路241~270號,29.35,住,,,1060104,土地1建物1車位2,五層,十一層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1031015,211.14,0,0,0,無,有,14750000,69859,坡道平面,0.0,0,,RPUOMLKLLHMFFBJ48CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市福興路1021~1050號,18.37,商,,,1051215,土地1建物1車位2,一層,二十七層,店面(店鋪),商業用,鋼筋混凝土造,1031203,187.82,0,0,0,無,有,21400000,150994,坡道平面,60.0,2100000,,RPPNMLPLLHMFFBJ38CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市華興五街1~30號,31.26,住,,,1060121,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021227,192.45999999999998,3,2,2,有,有,9280000,48218,坡道平面,32.43,0,含增建或未登記建物：陽台外移之增建物、露台加蓋採光罩及雨遮變更為陽台。,RPPNMLLMLHMFFBJ08CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市興隆路一段541~570號,80.78,住,,,1051127,土地1建物1車位3,十層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031102,479.04999999999995,4,2,4,有,有,28410000,63264,坡道平面,83.72,3400000,,RPWNMLPJMHMFFBJ98CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政一街241~270號,28.84,住,,,1060216,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950420,146.05,3,2,2,有,有,7500000,51352,坡道平面,0.0,0,親友間之交易。,RPXNMLQJMHMFFBJ56CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉政二街31~60號,63.98,商,,,1060218,土地1建物2車位3,一層，二層,十五層,店面(店鋪),商業用,鋼筋混凝土造,0990419,416.06,0,0,0,無,有,24800000,69595,坡道平面,94.2,2400000,,RPVPMLQJMHMFFBJ56CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明六路東二段241~270號,43.7,住,,,1060101,土地1建物1車位2,九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021126,310.64,4,2,2,有,有,24280000,87617,坡道平面,63.2,2600000,,RPSNMLKKMHMFFBJ18CA
湖口鄉,土地,長威段1111~1140地號,1846.94,,特定農業區,甲種建築用地,1060120,土地17建物0車位0,,,其他,,,,0.0,0,0,0,有,無,45000000,24365,,0.0,0,,RPRNMLLLLHMFFDJ38CA
湖口鄉,房地(土地+建物),新竹縣湖口鄉貴州二街1~30號,61.0,住,,,1060206,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0670711,97.92,3,2,2,有,無,2500000,25531,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLPLLHMFFDJ58CA
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉康泰路241~270號,14.51,住,,,1060222,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0931108,135.69,3,2,2,有,有,5900000,43481,坡道平面,26.65,0,,RPUNMLRLLHMFFDJ66CA
湖口鄉,房地(土地+建物),新竹縣湖口鄉大勇路2巷31~60號,25.9,,工業區,丁種建築用地,1051208,土地1建物1車位0,五層，見其他登記事項,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050808,106.38,6,0,6,有,無,6700000,62982,,0.0,0,,RPVNMLTLLHMFFDJ96CA
湖口鄉,房地(土地+建物),新竹縣湖口鄉大勇路2巷31~60號,25.9,,工業區,丁種建築用地,1051208,土地1建物1車位0,五層，見其他登記事項,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050808,106.4,6,0,6,有,無,6700000,62970,,0.0,0,,SPVNMLTLLHMFFDJ07CA
新豐鄉,土地,後湖段坡子頭小段781~810地號,2786.0,,特定農業區,農牧用地,1060206,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6686400,2400,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQOMLTLLHMFFDJ56CA
