編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVOMLTJJILFFCJ56CA,,97.24,住家用,鋼筋混凝土造,,七層,三層
RPVOMLTJJILFFCJ56CA,,37.70,共有部份,鋼筋混凝土造,,七層,
RPVOMLTJJILFFCJ56CA,,13.76,共有部份,鋼筋混凝土造,,七層,
RPUNMLTJJHMFFBJ88CA,1,419.20,住商用,鋼筋混凝土造,104年11月23日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPTNMLTJJHMFFDJ09DA,,47.10,住家用,加強磚造,,三層,一層
RPPNMLPKJHMFFCJ18CA,,14888.08,見其他登記事項,鋼筋混凝土造,,七層,一層 二層 三層 四層 五層 六層 七層 地下一層 地下二層
RPQNMLQLJHMFFCJ48CA,12,202.88,住家用,鋼筋混凝土造,94年4月29日,四層,一層 二層 三層 四層
RPTNMLTKJHMFFDJ09CA,2,230.72,見其他登記事項,鋼筋混凝土造,104年3月27日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLQLJHMFFCJ68CA,6,23.22,共用部分,鋼筋混凝土造,99年12月31日,十層,
RPSNMLQLJHMFFCJ68CA,6,45.10,見其他登記事項,鋼筋混凝土造,99年12月31日,十層,九層
RPSNMLQLJHMFFCJ68CA,6,10.97,共用部分,鋼筋混凝土造,99年12月31日,十層,
RPTNMLRKLHMFFCJ98CA,,111.44,住家用,鋼筋混凝土造,,七層,三層
RPTNMLRKLHMFFCJ98CA,,15.02,共有部份,鋼筋混凝土造,,七層,
RPTNMLRKLHMFFCJ98CA,,10.20,共有部份,鋼筋混凝土造,,七層,
RPPNMLKLLHMFFCJ97CA,1,280.39,見其他登記事項,鋼筋混凝土造,104年11月23日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPSNMLKLLHMFFCJ28CA,,68.61,住家用,加強磚造,,二層,一層 二層
RPOPMLKLLHMFFCJ08CA,23,89.15,住家用,鋼筋混凝土造,83年5月6日,十層,六層
RPOPMLKLLHMFFCJ08CA,23,38.16,共有部份,鋼筋混凝土造,83年5月6日,十層,
RPWNMLNLLHMFFCJ98CA,9,110.61,見其他登記事項,鋼筋混凝土造,97年6月15日,六層,一層
RPWNMLNLLHMFFCJ98CA,9,136.92,共有部份,鋼筋混凝土造,97年6月15日,六層,
RPSNMLRLLHMFFCJ98CA,22,97.59,住家用,鋼筋混凝土造,84年8月1日,十三層,七層
RPSNMLRLLHMFFCJ98CA,22,13.42,共有部份,鋼筋混凝土造,84年8月1日,十三層,
RPSNMLRLLHMFFCJ98CA,22,20.51,共有部份,鋼筋混凝土造,84年8月1日,十三層,
RPTNMLMLLHMFFCJ58CA,22,80.59,住家用,鋼筋混凝土造,84年1月20日,十二層,十二層
RPTNMLMLLHMFFCJ58CA,22,21.61,共有部份,鋼筋混凝土造,84年1月20日,十三層,
RPTNMLMLLHMFFCJ58CA,22,18.63,共有部份,鋼筋混凝土造,84年1月20日,十二層,
RPQOMLPJMHMFFCJ58CA,,115.20,住家用,加強磚造,,二層,一層 二層
RPROMLQKLHMFFBJ68CA,21,52.15,住家用,鋼筋混凝土造,85年8月21日,八層,四層
RPROMLQKLHMFFBJ68CA,21,37.02,共用部分,鋼筋混凝土造,85年8月21日,十層,
RPROMLQKLHMFFBJ68CA,21,6.12,共用部分,鋼筋混凝土造,85年8月21日,八層,
RPWNMLRKLHMFFBJ56CA,23,70.92,住家用,鋼筋混凝土造,83年6月14日,七層,五層
RPWNMLRKLHMFFBJ56CA,23,13.96,共用部分,鋼筋混凝土造,83年6月14日,七層,
RPWNMLRKLHMFFBJ56CA,23,15.01,共用部分,鋼筋混凝土造,83年6月14日,七層,
RPTOMLKLLHMFFBJ38CA,2,85.24,見其他登記事項,鋼筋混凝土造,103年10月15日,十一層,五層
RPTOMLKLLHMFFBJ38CA,2,132.41,見其他登記事項,鋼筋混凝土造,103年10月15日,十一層,
RPUOMLKLLHMFFBJ48CA,2,80.98,見其他登記事項,鋼筋混凝土造,103年10月15日,十一層,五層
RPUOMLKLLHMFFBJ48CA,2,130.16,見其他登記事項,鋼筋混凝土造,103年10月15日,十一層,
RPPNMLPLLHMFFBJ38CA,2,94.70,商業用,鋼筋混凝土造,103年12月3日,二十七層,一層
RPPNMLPLLHMFFBJ38CA,2,20.53,見其他登記事項,鋼筋混凝土造,103年12月3日,二十七層,
RPPNMLPLLHMFFBJ38CA,2,72.59,見其他登記事項,鋼筋混凝土造,103年12月3日,二十七層,
RPPNMLLMLHMFFBJ08CA,3,112.08,住家用,鋼筋混凝土造,102年12月27日,十四層,二層
RPPNMLLMLHMFFBJ08CA,3,80.38,見其他登記事項,鋼筋混凝土造,102年12月27日,十四層,
RPWNMLPJMHMFFBJ98CA,2,270.95,住家用,鋼筋混凝土造,103年11月2日,二十五層,十層
RPWNMLPJMHMFFBJ98CA,2,84.91,見其他登記事項,鋼筋混凝土造,103年11月2日,二十五層,
RPWNMLPJMHMFFBJ98CA,2,123.19,見其他登記事項,鋼筋混凝土造,103年11月2日,二十五層,
RPXNMLQJMHMFFBJ56CA,11,86.60,住家用,鋼筋混凝土造,95年4月20日,九層,二層
