編號,車位類別,車位價格,車位面積平方公尺
RPVOMLTJJILFFCJ56CA,坡道平面,0,
RPOPMLKLLHMFFCJ08CA,坡道平面,0,
RPWNMLNLLHMFFCJ98CA,坡道平面,0,38.26
RPWNMLNLLHMFFCJ98CA,坡道平面,0,38.26
RPWNMLNLLHMFFCJ98CA,坡道平面,0,38.26
RPTNMLMLLHMFFCJ58CA,坡道機械,0,
RPROMLQKLHMFFBJ68CA,坡道平面,0,
RPWNMLRKLHMFFBJ56CA,升降機械,0,15.00
RPTOMLKLLHMFFBJ38CA,坡道平面,0,
RPTOMLKLLHMFFBJ38CA,坡道平面,0,
RPUOMLKLLHMFFBJ48CA,坡道平面,0,
RPUOMLKLLHMFFBJ48CA,坡道平面,0,
RPPNMLPLLHMFFBJ38CA,坡道平面,0,30.00
RPPNMLPLLHMFFBJ38CA,坡道平面,0,30.00
RPPNMLLMLHMFFBJ08CA,坡道平面,0,32.43
RPWNMLPJMHMFFBJ98CA,坡道平面,0,29.02
RPWNMLPJMHMFFBJ98CA,坡道平面,0,29.02
RPWNMLPJMHMFFBJ98CA,坡道平面,0,25.68
RPXNMLQJMHMFFBJ56CA,坡道平面,0,
RPVPMLQJMHMFFBJ56CA,坡道平面,800000,31.40
RPVPMLQJMHMFFBJ56CA,坡道平面,800000,31.40
RPVPMLQJMHMFFBJ56CA,坡道平面,800000,31.40
RPSNMLKKMHMFFBJ18CA,坡道平面,1300000,31.60
RPSNMLKKMHMFFBJ18CA,坡道平面,1300000,31.60
RPUNMLRLLHMFFDJ66CA,坡道平面,0,26.65
RPSNMLMLLHMFFCJ68EA,坡道平面,625000,18.84
RPTNMLKKMHMFFCJ58EA,坡道平面,230000,9.41
RPWRMLQJMHMFFBJ86CA,坡道平面,0,
RPOVMLQJMHMFFBJ09CA,坡道平面,0,31.81
RPSNMLRLLHMFFBJ88CA,坡道平面,0,28.51
RPQOMLMLLHMFFBJ28CA,坡道平面,1000000,25.95
RPROMLMLLHMFFBJ38CA,坡道平面,850000,25.95
RPOOMLLLLHMFFBJ97CA,坡道平面,0,
RPROMLLLLHMFFBJ28CA,坡道平面,0,31.37
RPOPMLKLLHMFFBJ97CA,坡道平面,0,
RPXOMLMLLHMFFCJ09CA,坡道平面,0,27.02
RPSPMLKLLHMFFBJ38CA,坡道平面,0,31.60
RPTNMLLLLHMFFBJ38CA,坡道平面,850000,25.88
RPVNMLLLLHMFFBJ58CA,坡道平面,650000,25.88
RPUNMLKLLHMFFBJ38CA,坡道平面,0,28.16
RPUNMLKLLHMFFBJ38CA,坡道平面,0,28.16
RPVOMLKLLHMFFBJ58CA,坡道平面,0,
RPVOMLKLLHMFFBJ58CA,坡道平面,0,
RPSOMLNLLHMFFBJ58CA,坡道平面,0,
RPSNMLOLLHMFFBJ58CA,坡道平面,1150000,28.76
RPOOMLPJMHMFFBJ28CA,坡道平面,0,38.12
RPOOMLPJMHMFFBJ28CA,坡道平面,0,38.12
RPXRMLQJMHMFFBJ96CA,坡道平面,0,35.01
RPRNMLSJMHMFFBJ78CA,坡道平面,0,30.19
RPRNMLSJMHMFFBJ78CA,坡道平面,0,30.19
RPRNMLSJMHMFFBJ78CA,坡道平面,0,30.19
RPRNMLSJMHMFFBJ78CA,坡道平面,0,30.19
RPRNMLLKMHMFFBJ18CA,坡道平面,0,
RPPNMLQJMHMFFDJ58CA,升降機械,0,
RPWNMLLLLHMFFDJ88CA,其他,0,
RPPNMLMLLHMFFDJ28CA,其他,0,
RPQNMLMLLHMFFDJ38CA,其他,0,
RPOQMLRJMHMFFBJ78DA,升降平面,0,
RPQNMLKKMHMFFBJ97CA,坡道平面,1350000,42.31
RPVPMLRJMHMFFBJ66CA,坡道平面,1250000,42.31
RPVPMLRJMHMFFBJ66CA,坡道平面,1250000,42.31
RPWPMLRJMHMFFBJ76CA,坡道平面,1350000,42.31
RPXPMLRJMHMFFBJ86CA,坡道平面,1300000,42.31
RPXPMLRJMHMFFBJ86CA,坡道平面,1300000,42.31
RPPQMLRJMHMFFBJ78CA,坡道平面,1350000,42.31
RPQQMLRJMHMFFBJ88CA,坡道平面,1350000,42.31
RPRNMLRJMHMFFBJ68CA,坡道平面,1400000,42.31
RPRNMLRJMHMFFBJ68CA,坡道平面,1400000,42.31
RPTNMLRJMHMFFBJ88CA,坡道平面,1350000,42.31
RPTNMLRJMHMFFBJ88CA,坡道平面,1350000,42.31
RPUNMLRJMHMFFBJ98CA,坡道平面,1325000,42.31
RPUNMLRJMHMFFBJ98CA,坡道平面,1325000,42.31
RPVNMLRJMHMFFBJ09CA,坡道平面,1150000,42.31
RPVNMLRJMHMFFBJ09CA,坡道平面,1150000,42.31
RPWNMLRJMHMFFBJ56CA,坡道平面,1200000,42.31
