編號,車位類別,車位價格,車位面積平方公尺
RPSNMLQKLHMFFBJ88CC,坡道平面,0,
RPUNMLQKLHMFFBJ09CC,坡道平面,0,
RPUNMLQKLHMFFBJ09CC,坡道平面,0,
RPVNMLQKLHMFFBJ56CC,坡道平面,0,
RPOOMLQKLHMFFBJ58CC,坡道平面,0,
RPPOMLQKLHMFFBJ68CC,坡道平面,0,
RPPOMLQKLHMFFBJ68CC,坡道平面,0,
RPSOMLQKLHMFFBJ98CC,坡道平面,0,
RPUOMLQKLHMFFBJ56CC,坡道平面,0,
RPXNMLKLLHMFFBJ88CC,一樓平面,0,
RPQOMLKLLHMFFBJ28CC,坡道機械,0,
RPQOMLKLLHMFFBJ28CC,坡道機械,0,
RPROMLKLLHMFFBJ38CC,坡道平面,0,
RPWNMLOLLHMFFBJ56CC,坡道平面,0,
RPOOMLOLLHMFFBJ48CC,坡道平面,0,
RPQOMLSLLHMFFBJ56DC,坡道平面,0,
RPQOMLTLLHMFFBJ56CC,坡道平面,0,
RPSNMLLMLHMFFBJ58CC,坡道平面,0,
