鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
苗栗市,建物,苗栗縣苗栗市大同里5鄰三湖道6巷1~30號,0.0,,,,1051215,土地0建物1車位0,一層,一層,其他,住家用,木造,0280310,50.0,0,0,1,無,無,4800,96,,0.0,0,平房，宗親內買賣，權利人 使用標的建物逾五十年。,RPQNMLNJJHMFFBK97CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮海口里9鄰光德路151~180號,107.32,住,,,1051109,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050527,185.79,3,3,4,有,無,12920000,69541,,0.0,0,,RPPNMLTKJHMFFDK78CA
苑裡鎮,建物,苗栗縣苑裡鎮客庄里14鄰世界路一段89巷1~30號,0.0,,,,1051215,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041015,185.52,4,3,3,有,無,5281000,28466,,0.0,0,,RPWNMLNLJHMFFCK88CA
苑裡鎮,建物,苗栗縣苑裡鎮客庄里14鄰世界路一段89巷1~30號,0.0,,,,1051215,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041015,185.54,4,3,3,有,無,5282000,28468,,0.0,0,,SPWNMLNLJHMFFCK98CA
苑裡鎮,建物,苗栗縣苑裡鎮客庄里14鄰世界路一段89巷1~30號,0.0,,,,1051215,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041015,158.89,4,3,3,有,無,4523000,28466,,0.0,0,,TPWNMLNLJHMFFCK09CA
苗栗市,建物,苗栗縣苗栗市勝利里36鄰榮興1~30號,0.0,,,,1051227,土地0建物1車位0,一層,,其他,住家用,加強磚造,0740510,49.58,1,1,1,有,無,900000,18152,,0.0,0,,RPSNMLKMKILFFBK38DA
苗栗市,建物,苗栗縣苗栗市勝利里36鄰榮興1~30號,0.0,,,,1051226,土地0建物1車位0,一層,,其他,住家用,加強磚造,0740510,49.58,1,1,1,有,無,800000,16136,,0.0,0,,RPPNMLNJJHMFFBK97DA
苗栗市,建物,苗栗縣苗栗市日新街1~30號,0.0,,,,1051229,土地0建物1車位0,全,,透天厝,住商用,加強磚造,0660629,268.32,4,2,3,有,無,1320000,4919,,0.0,0,,RPWNMLTKJHMFFBK66CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮公館里12鄰大埔頂61~90號,176.44,,特定農業區,甲種建築用地,1060215,土地3建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土造,0710910,67.16,2,1,1,有,無,1400000,20846,,0.0,0,含增建或未登記建物。受債權債務影響之交易。增值稅由買方負擔。受債權債務影響或債務抵償之交易。受債權債務影響或債務抵償之交易。受債權債務影響或債務抵償之交易。,RPQNMLKKNHMFFDK48DA
苗栗市,房地(土地+建物),苗栗縣苗栗市福星里5鄰福星街181~210號,7.71,住,,,1060223,土地4建物1車位0,八層,,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810929,80.64,1,2,1,有,有,1200000,14881,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLTKLHMFFBK88DA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮上興里15鄰永昌街1~30號,22.7,,山坡地保育區,丙種建築用地,1060221,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860827,92.85,2,2,2,有,有,2480000,26710,,0.0,0,,RPTOMLOLLHMFFFK66CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮後庄里6鄰復興街216巷1~30號,117.39,住,,,1060216,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040421,334.37,4,2,3,有,有,16900000,50543,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：106年頭地資字022690、022700號,RPQPMLOLLHMFFFK09CA
三灣鄉,土地,大河底段421~450地號,70.05,,山坡地保育區,農牧用地,1060306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,160000,2284,,0.0,0,不動產之共有人數為４人。有民情風俗因素之交易。,RPUNMLRLLHMFFFK96CA
苗栗市,土地,福安段991~1020地號,897.32,住,,,1051107,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5010000,5583,,0.0,0,,RPQNMLKLLHMFFBK08CA
公館鄉,房地(土地+建物),苗栗縣公館鄉鶴岡村3鄰鶴岡31~60號,723.0,農,,,1060118,土地1建物1車位0,一層，二層，三層,三層,農舍,農舍,鋼筋混凝土造,1010823,190.13,4,2,3,有,無,14200000,,,0.0,0,,RPVNMLOLLHMFFBK98CA
苗栗市,房地(土地+建物),苗栗縣苗栗市福星里8鄰建興31~60號,87.17,住,,,1060209,土地1建物1車位0,全,,透天厝,住家用,加強磚造,0680103,105.48,3,2,2,有,無,5500000,52143,,0.0,0,,RPRNMLKMLHMFFBK28CA
泰安鄉,土地,橫龍山段331~360地號,120.0,,山坡地保育區,農牧用地,1060213,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,83000,692,,0.0,0,,RPTNMLMLLHMFFAK48CA
泰安鄉,土地,橫龍山段331~360地號,90.0,,山坡地保育區,農牧用地,1060306,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,62500,694,,0.0,0,,RPQNMLNLLHMFFAK28CA
泰安鄉,土地,橫龍山段331~360地號,360.0,,山坡地保育區,農牧用地,1060119,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,694,,0.0,0,,RPVNMLMLLHMFFAK68CA
泰安鄉,土地,清安段481~510地號,456.0,,山坡地保育區,農牧用地,1051230,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,219,,0.0,0,,RPVNMLKMLHMFFAK58CA
通霄鎮,土地,通平段1471~1500地號,2314.41,,一般農業區,農牧用地,1060214,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,691,,0.0,0,,RPPNMLNLLHMFFCK38CA
苗栗市,土地,巨蛋段241~270地號,28.94,住,,,1060306,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,0,0,,0.0,0,,RPROMLLMLHMFFBK48CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文山里14鄰祥發街31~60號,28.94,住,,,1060306,土地2建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051018,177.08999999999997,2,2,2,有,有,6700000,37834,坡道平面,26.85,0,,RPSOMLLMLHMFFBK58CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔里1鄰大埔街91~120號,29.24,住,,,1051231,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1051026,100.08,2,2,1,有,有,5900000,63084,坡道機械,14.48,500000,,RPRNMLRKLHMFFDK98CA
