編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLNJJHMFFBK97CA,78,50.00,住家用,木造,28年3月10日,一層,一層
RPPNMLTKJHMFFDK78CA,,185.79,住家用,鋼筋混凝土造,105年5月27日,四層,一層 二層 三層 四層 見其他登記事項
RPWNMLNLJHMFFCK88CA,1,185.52,見其他登記事項,鋼筋混凝土造,104年10月15日,四層,一層 二層 三層 四層
SPWNMLNLJHMFFCK98CA,1,185.54,見其他登記事項,鋼筋混凝土造,104年10月15日,四層,一層 二層 三層 四層
TPWNMLNLJHMFFCK09CA,1,158.89,見其他登記事項,鋼筋混凝土造,104年10月15日,四層,一層 二層 三層 四層
RPSNMLKMKILFFBK38DA,32,49.58,住家用,加強磚造,74年5月10日,,一層
RPPNMLNJJHMFFBK97DA,32,49.58,住家用,加強磚造,74年5月10日,,一層
RPWNMLTKJHMFFBK66CA,40,268.32,住商用,加強磚造,66年6月29日,,一層 二層 三層 四層 地下層 見其他登記事項
RPQNMLKKNHMFFDK48DA,34,67.16,住家用,鋼筋混凝土造,71年9月10日,一層,一層
RPPNMLTKLHMFFBK88DA,24,47.88,住家用,鋼筋混凝土造,81年9月29日,,八層
RPPNMLTKLHMFFBK88DA,24,32.76,見其他登記事項,鋼筋混凝土造,81年9月29日,,
RPTOMLOLLHMFFFK66CA,19,13.35,見其他登記事項,鋼筋混凝土造,86年8月27日,,
RPTOMLOLLHMFFFK66CA,19,79.50,住家用,鋼筋混凝土造,86年8月27日,七層,一層
RPQPMLOLLHMFFFK09CA,2,313.30,見其他登記事項,鋼筋混凝土造,104年4月21日,四層,一層 二層 三層 四層 地下一層
RPQPMLOLLHMFFFK09CA,2,21.07,見其他登記事項,鋼筋混凝土造,104年4月21日,四層,
RPVNMLOLLHMFFBK98CA,4,190.13,農舍,鋼筋混凝土造,101年8月23日,三層,一層 二層 三層
RPRNMLKMLHMFFBK28CA,38,105.48,住家用,加強磚造,68年1月3日,,一層 二層
RPSOMLLMLHMFFBK58CA,,103.10,住家用,鋼筋混凝土造,105年10月18日,十一層,十層
RPSOMLLMLHMFFBK58CA,,73.99,見其他登記事項,鋼筋混凝土造,105年10月18日,十一層,
RPRNMLRKLHMFFDK98CA,,60.67,住家用,鋼筋混凝土造,105年10月26日,九層,三層
RPRNMLRKLHMFFDK98CA,,39.41,共有部分,鋼筋混凝土造,105年10月26日,九層,
RPRNMLLKMHMFFDK48CA,1,51.54,商業用,鋼筋混凝土造,105年4月21日,十層,十層
RPRNMLLKMHMFFDK48CA,1,34.16,共有部分,鋼筋混凝土造,105年4月21日,十層,
