編號,車位類別,車位價格,車位面積平方公尺
RPSOMLLMLHMFFBK58CA,坡道平面,0,26.85
RPRNMLRKLHMFFDK98CA,坡道機械,0,14.48
RPRNMLLKMHMFFDK48CA,升降機械,450000,
RPTNMLLLLHMFFFK88CA,坡道平面,1400000,45.11
RPUNMLLLLHMFFFK98CA,坡道平面,1900000,30.12
RPUNMLLLLHMFFFK98CA,坡道平面,0,30.12
RPVNMLLLLHMFFFK09CA,坡道平面,1900000,30.12
RPVNMLLLLHMFFFK09CA,坡道平面,0,30.12
RPWNMLLLLHMFFFK56CA,坡道平面,1800000,30.12
RPWNMLLLLHMFFFK56CA,坡道平面,0,30.12
RPXNMLLLLHMFFFK66CA,坡道平面,1400000,45.11
RPOOMLLLLHMFFFK48CA,坡道平面,0,30.12
RPOOMLLLLHMFFFK48CA,坡道平面,0,30.12
RPPOMLLLLHMFFFK58CA,坡道平面,2300000,33.41
RPPOMLLLLHMFFFK58CA,坡道平面,0,33.41
RPROMLLLLHMFFFK78CA,坡道平面,0,30.12
RPROMLLLLHMFFFK78CA,坡道平面,0,28.44
RPUNMLNLLHMFFBK78CA,坡道平面,0,15.80
RPPNMLMLLHMFFFK58CA,坡道平面,0,
RPQNMLMLLHMFFFK68CA,坡道平面,0,
RPRNMLMLLHMFFFK78CA,坡道平面,0,
RPSNMLMLLHMFFFK88CA,坡道平面,0,
RPTNMLMLLHMFFFK98CA,坡道平面,0,
RPUNMLMLLHMFFFK09CA,坡道平面,0,
RPVNMLMLLHMFFFK56CA,坡道平面,0,
RPXNMLMLLHMFFFK76CA,坡道平面,0,
RPOOMLMLLHMFFFK58CA,坡道平面,0,
RPPOMLMLLHMFFFK68CA,坡道平面,0,
RPROMLMLLHMFFFK88CA,坡道平面,0,
RPSOMLMLLHMFFFK98CA,坡道平面,0,
RPTOMLMLLHMFFFK09CA,坡道平面,0,
RPUOMLMLLHMFFFK56CA,坡道平面,0,
RPVOMLMLLHMFFFK66CA,坡道平面,0,
RPWOMLMLLHMFFFK76CA,坡道平面,0,
RPXOMLMLLHMFFFK86CA,坡道平面,0,
RPOPMLMLLHMFFFK68CA,坡道平面,0,
RPWNMLKMLHMFFFK56CA,坡道平面,950000,41.12
RPUNMLLLLHMFFBK58CA,一樓平面,0,
RPQNMLLLLHMFFFK58CA,坡道平面,0,
RPRNMLLKMHMFFBK28CA,一樓平面,0,
RPSNMLRLLHMFFFK76CA,坡道平面,0,
RPSNMLRLLHMFFFK76CA,坡道平面,0,
RPTNMLRLLHMFFFK86CA,坡道平面,0,
RPTNMLRLLHMFFFK86CA,坡道機械,0,
RPXNMLOLLHMFFBK56CA,一樓平面,0,
RPPNMLNLLHMFFDK48CA,升降機械,0,
RPQNMLOLLHMFFDK68CA,坡道平面,0,
RPQNMLRLLHMFFDK98CA,一樓平面,0,
RPVNMLPJMHMFFBK98CA,坡道平面,0,492.60
RPUNMLOLLHMFFFK66CA,坡道平面,0,
RPWNMLOLLHMFFFK86CA,坡道平面,0,
RPXNMLOLLHMFFFK96CA,坡道平面,0,
RPOOMLOLLHMFFFK78CA,坡道平面,0,
RPPOMLOLLHMFFFK88CA,坡道平面,0,
RPQOMLOLLHMFFFK98CA,坡道平面,0,
RPROMLOLLHMFFFK09CA,坡道平面,0,
RPSOMLOLLHMFFFK56CA,坡道平面,0,
RPRNMLOLLHMFFFK98CA,坡道平面,0,
RPPNMLKMLHMFFFK48CA,坡道平面,850000,41.12
SPPNMLKMLHMFFFK58CA,坡道平面,850000,41.12
RPUOMLOLLHMFFFK76CA,一樓平面,0,
RPWOMLOLLHMFFFK96CA,坡道平面,0,30.12
RPWOMLOLLHMFFFK96CA,坡道平面,0,30.12
RPXOMLKMLHMFFBK98CA,升降機械,0,
RPOPMLKMLHMFFBK18CA,升降機械,0,
RPOPMLKMLHMFFBK18CA,升降機械,0,
RPPPMLKMLHMFFBK28CA,升降機械,0,
RPQPMLKMLHMFFBK38CA,升降機械,0,
RPRPMLKMLHMFFBK48CA,升降機械,0,
RPSPMLKMLHMFFBK58CA,升降機械,0,
RPPNMLTLLHMFFDK09CA,坡道平面,1100000,33.68
RPPNMLTLLHMFFDK09CA,坡道平面,1100000,33.68
RPSNMLLLMHMFFDK68CA,坡道平面,1000000,16.85
RPWNMLLLMHMFFDK09CA,其他,600000,
RPOOMLOLMHMFFDK68CA,坡道平面,1000000,
RPTPMLKMLHMFFBK68CA,升降機械,0,
RPROMLOLMHMFFDK98CA,坡道平面,1000000,26.44
RPPNMLKMLHMFFDK28CA,坡道平面,0,
RPSNMLKMLHMFFDK58CA,一樓平面,0,8.01
RPUNMLKMLHMFFFK98CA,坡道機械,0,
RPWNMLLMLHMFFFK66CA,坡道平面,0,
RPXNMLLMLHMFFFK76CA,坡道平面,0,
RPOOMLLMLHMFFFK58CA,坡道平面,0,
RPPOMLLMLHMFFFK68CA,坡道平面,0,
RPUNMLQJMHMFFFK76CA,坡道平面,0,
RPSNMLLMLHMFFFK88CA,坡道機械,0,
RPTNMLLMLHMFFFK98CA,坡道平面,0,
RPUNMLNJNHMFFFK56CA,坡道平面,0,
RPQNMLPKMHMFFDK78CA,其他,0,
RPTNMLPJMHMFFDK98CA,一樓平面,0,
RPVNMLLMLHMFFFK56CA,坡道平面,0,
