鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
南投市,建物,南投縣南投市自強二街1~30號,0.0,,,,1051103,土地0建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050226,171.94,4,2,3,有,無,3200000,18611,,0.0,0,,RPWNMLNJJHMFFAM68CA
集集鎮,建物,南投縣集集鎮文昌巷1~30號,0.0,,,,1051021,土地0建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0880115,271.75,4,2,3,有,無,4000000,14719,,0.0,0,,RPPNMLQKKILFFEM88CA
草屯鎮,建物,南投縣草屯鎮美村巷52弄1~30號,0.0,,,,1051104,土地0建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1041124,196.18,3,2,2,有,無,3380000,17229,,0.0,0,,RPXNMLQKKILFFBM76CA
草屯鎮,建物,南投縣草屯鎮新豐路601~630號,0.0,,,,1051202,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1000517,261.42,4,2,4,有,無,3800000,14536,,0.0,0,,RPRNMLNKJHMFFBM38CA
竹山鎮,建物,南投縣竹山鎮前山路橫巷1~30號,0.0,,,,1051229,土地0建物1車位0,五層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0840408,118.81,3,2,2,有,有,1120000,9427,,0.0,0,,RPSNMLOLJHMFFDM88CA
南投市,建物,南投縣南投市信義街152巷9弄61~90號,0.0,,,,1060105,土地0建物1車位0,全,二層,透天厝,住家用,加強磚造,0740426,107.1,4,2,2,有,無,1500000,14006,,0.0,0,親友間之交易。,RPQNMLNKJHMFFAM18CA
南投市,土地,南投段361~390地號,41.0,住,,,1060106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,930000,22683,,0.0,0,,RPQNMLLKNHMFFAM38CA
竹山鎮,建物,南投縣竹山鎮東鄉路1~30號,0.0,,,,1060215,土地0建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0741102,458.37,2,2,2,有,無,1034700,2257,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQOMLLJLHMFFDM48CA
埔里鎮,建物,南投縣埔里鎮?吉巷1~30號,0.0,,,,1060207,土地0建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050901,319.08,7,2,7,有,無,5000000,15670,,0.0,0,,RPVNMLQKLHMFFCM76CA
國姓鄉,房地(土地+建物),南投縣國姓鄉中興路31~60號,119.93,住,,,1060218,土地1建物1車位0,一層，二層，三層，騎樓,三層,店面(店鋪),住家用,鋼筋混凝土造,0820319,145.99,6,2,3,有,無,4500000,30824,,0.0,0,,RPPNMLQLMHMFFCM98CA
竹山鎮,土地,鯉魚尾段1~30地號,3126.75,,山坡地保育區,農牧用地,1060307,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1720000,550,,0.0,0,,RPPNMLRLLHMFFDM09CA
