編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLNJJHMFFAM68CA,1,171.94,見其他登記事項,鋼筋混凝土造,105年2月26日,三層,一層 二層 三層 屋頂突出物
RPPNMLQKKILFFEM88CA,18,271.75,住家用,鋼筋混凝土造,88年1月15日,三層,一層 二層 三層
RPXNMLQKKILFFBM76CA,1,196.18,見其他登記事項,鋼筋混凝土造,104年11月24日,三層,一層 二層 三層 見其他登記事項
RPRNMLNKJHMFFBM38CA,6,261.42,見其他登記事項,鋼筋混凝土造,100年5月17日,四層,一層 二層 三層 四層
RPSNMLOLJHMFFDM88CA,22,100.49,見其他登記事項,鋼筋混凝土造,84年4月8日,六層,五層
RPSNMLOLJHMFFDM88CA,22,.30,見其他登記事項,鋼筋混凝土造,84年4月8日,六層,
RPSNMLOLJHMFFDM88CA,22,.30,見其他登記事項,鋼筋混凝土造,84年4月8日,六層,
RPSNMLOLJHMFFDM88CA,22,17.72,見其他登記事項,鋼筋混凝土造,84年4月8日,六層,
RPQNMLNKJHMFFAM18CA,32,107.10,住家用,加強磚造,74年4月26日,二層,一層 二層
RPQOMLLJLHMFFDM48CA,31,458.37,住商用,鋼筋混凝土加強磚造,74年11月2日,二層,一層 二層 騎樓
RPVNMLQKLHMFFCM76CA,,319.08,住家用,鋼筋混凝土造,105年9月1日,三層,一層 二層 三層
RPPNMLQLMHMFFCM98CA,24,145.99,住家用,鋼筋混凝土造,82年3月19日,三層,一層 二層 三層 騎樓
RPSNMLKLLHMFFDM68CA,1,185.76,住家用,鋼筋混凝土造,105年3月23日,三層,一層 二層 三層
RPWNMLQJMHMFFCM86CA,37,19.27,住家用,加強磚造,69年7月3日,一層,一層
RPSNMLRLLHMFFBM56CA,30,201.25,住商用,鋼筋混凝土造,76年6月30日,三層,一層 二層 三層 騎樓
RPQNMLLLLHMFFBM38CA,2,311.14,見其他登記事項,鋼筋混凝土造,104年4月29日,四層,一層 二層 三層 四層 見其他登記事項
RPXNMLOLLHMFFBM76CA,20,120.01,住家用,鋼筋混凝土造,86年6月30日,三層,一層 二層 三層
RPXNMLOLLHMFFBM76CA,20,.17,見其他登記事項,鋼筋混凝土造,86年6月30日,一層,
RPXNMLOLLHMFFBM76CA,20,35.47,停車空間,鋼筋混凝土造,86年6月30日,地下層,
RPOOMLOLLHMFFBM58CA,24,158.55,住家用,鋼筋混凝土造,82年4月13日,三層,一層 二層 三層 電梯樓梯間
RPPNMLRLLHMFFAM78CA,38,61.21,住商用,鋼筋混凝土加強磚造,67年11月1日,二層,一層 二層 騎樓
RPPNMLRJMHMFFAM68CA,1,251.15,見其他登記事項,鋼筋混凝土造,105年6月20日,四層,一層 二層 三層 四層
RPQOMLPJMHMFFAM68CA,22,93.81,住家用,鋼筋混凝土造,83年11月9日,十六層,六層
RPQOMLPJMHMFFAM68CA,22,14.22,見其他登記事項,鋼筋混凝土造,83年11月9日,十六層,
RPQNMLKLLHMFFAM18CA,2,196.13,見其他登記事項,鋼筋混凝土造,104年8月4日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLKLLHMFFAM38CA,40,80.32,住家用,鋼筋混凝土加強磚造,66年4月30日,二層,一層 二層
RPSNMLLLLHMFFBM58CA,14,213.87,住商用,鋼筋混凝土造,91年11月25日,四層,一層 二層 三層 四層
