╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
║╓┐│╢m,й╨жa(дgжa+л╪кл),╣№д╞┐д║╓┐│╢m┤_┐│лn╕Ї467л╤1~30╕╣,76.43,жэ,,,1051011,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050720,192.14,0,0,0,╡L,╡L,8700000,45279,,0.0,0,,RPTNMLLKNHMFFCN98CA
║╓┐│╢m,й╨жa(дgжa+л╪кл),╣№д╞┐д║╓┐│╢m┤_┐│лn╕Ї467л╤1~30╕╣,82.9,жэ,,,1051011,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050720,191.99,0,0,0,╡L,╡L,8700000,45315,,0.0,0,,RPVNMLLKNHMFFCN56CA
░ё└Y╢m,дgжa,жX┐│мq991~1020жa╕╣,115.24,жэ,,,1060220,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2380000,20653,,0.0,0,,RPTNMLRJLHMFFFN96CA
е╨з└╢m,й╨жa(дgжa+л╪кл),╣№д╞┐де╨з└╢mдде┐╕ЇдGмq225л╤31~60╕╣,1122.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060201,дgжa1л╪кл1иожь0,д@╝hбAдG╝h,дG╝h,╣Aк┘,╣Aк┘,┐√╡м▓V╛одg│y,0870702,144.48,8,3,3,ж│,╡L,8300000,,,0.0,0,,RPQNMLRKLHMFFFN76CA
░ё└Y╢m,й╨жa(дgжa+л╪кл),╣№д╞┐д░ё└Y╢m▒[дlлn╕Ї87л╤1~30╕╣,89.43,жэ,,,1060216,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэжv,┐√╡м▓V╛одg│y,1050617,188.23,3,2,2,ж│,╡L,7500000,39845,,0.0,0,,RPRNMLRKLHMFFFN86CA
е_дц┬э,дgжa,е·┤_мq721~750жa╕╣,230.91,жэ,,,1060210,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,11831220,51237,,0.0,0,,RPUNMLRKLHMFFFN17CA
░ё└Y╢m,й╨жa(дgжa+л╪кл),╣№д╞┐д░ё└Y╢mе·┤_кF╕Ї31~60╕╣,11875.0,,пSйw╣A╖~░╧,дB║╪л╪┐vе╬жa,1060221,дgжa5л╪кл3иожь0,д@╝h,д@╝h,дu╝t,дu╖~е╬,игифеL╡n░Oи╞╢╡,0620711,4358.75,0,0,0,╡L,╡L,255044780,,,0.0,0,е╝┐ь▓z▓─д@ж╕╡n░Oдзл╪кле■│бе]мA╢R╜цжbд║бC,RPXNMLRKLHMFFFN47CA
░ё└Y╢m,дgжa,▒[лnмq1111~1140жa╕╣,156.49,жэ,,,1060109,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3550000,22685,,0.0,0,,RPRNMLKLLHMFFFN88CA
дGкL┬э,й╨жa(дgжa+л╪кл),╣№д╞┐ддGкL┬эдG╖╦╕Їд╗мq541~570╕╣,225.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060205,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэ░╙е╬,игифеL╡n░Oи╞╢╡,0671213,174.96,3,2,2,ж│,╡L,6820000,38980,,0.0,0,,RPQNMLRKLHMFFGN86CA
дjл░╢m,дgжa,м№┬╫мq751~780жa╕╣,3291.0,,д@пы╣A╖~░╧,╣Aкке╬жa,1060217,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3323910,1010,,0.0,0,е]мAжaдU╣qдO╞wдлжbд║,RPRNMLRKLHMFFGN96CA
