編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLLKNHMFFCN98CA,,192.14,見其他登記事項,鋼筋混凝土造,105年7月20日,三層,一層 二層 三層 屋頂突出物 騎樓
RPVNMLLKNHMFFCN56CA,,191.99,見其他登記事項,鋼筋混凝土造,105年7月20日,三層,一層 二層 三層 屋頂突出物 騎樓
RPQNMLRKLHMFFFN76CA,19,144.48,農舍,鋼筋混凝土造,87年7月2日,二層,一層 二層
RPRNMLRKLHMFFFN86CA,1,188.23,住宅,鋼筋混凝土造,105年6月17日,三層,一層 二層 三層 見其他登記事項
RPXNMLRKLHMFFFN47CA,44,3201.84,工業用,見其他登記事項,62年7月11日,一層,一層
RPXNMLRKLHMFFFN47CA,40,122.83,商業用,加強磚造,66年6月20日,,一層
RPXNMLRKLHMFFFN47CA,,1034.08,商業用,加強磚造,,,一層
RPQNMLRKLHMFFGN86CA,38,174.96,住商用,見其他登記事項,67年12月13日,二層,一層 二層 騎樓
RPPNMLPLLHMFFGN66CA,40,116.93,住家用,加強磚造,66年7月15日,二層,一層 二層 騎樓
RPRNMLRKLHMFFHN07CA,22,214.65,住家用,鋼筋混凝土造,84年4月15日,四層,一層 二層 三層 四層 騎樓
RPSNMLTLLHMFFHN47CA,,158.27,住家用,鋼筋混凝土造,105年9月9日,四層,一層 二層 三層 四層
RPSNMLTLLHMFFHN47CA,,158.27,住家用,鋼筋混凝土造,105年9月9日,四層,一層 二層 三層 四層
RPPNMLKMLHMFFDN58CA,37,83.94,住家用,加強磚造,69年7月17日,二層,一層 二層
RPOOMLOLLHMFFCN78CA,13,167.45,住家用,鋼筋混凝土造,92年9月1日,四層,一層 二層 三層 四層
RPOOMLMKMHMFFDN68CA,10,145.71,住家用,鋼筋混凝土造,96年7月25日,三層,一層 二層 三層 屋頂突出物
RPQNMLRKLHMFFEN66CA,,150.53,住家用,鋼筋混凝土造,105年11月28日,三層,一層 二層 三層 見其他登記事項
RPRNMLRKLHMFFEN76CA,,181.06,住家用,鋼筋混凝土造,105年11月28日,三層,一層 二層 三層 見其他登記事項
RPSNMLRKLHMFFEN86CA,,181.06,住家用,鋼筋混凝土造,105年11月28日,三層,一層 二層 三層 見其他登記事項
RPVNMLRKLHMFFEN17CA,,181.06,住家用,鋼筋混凝土造,105年11月28日,三層,一層 二層 三層 見其他登記事項
RPWNMLRKLHMFFEN27CA,,181.06,住家用,鋼筋混凝土造,105年11月28日,三層,一層 二層 三層 見其他登記事項
RPXNMLRKLHMFFEN37CA,,181.06,住家用,鋼筋混凝土造,105年11月28日,三層,一層 二層 三層 見其他登記事項
RPSNMLKLLHMFFAN48CA,11,190.10,住家用,鋼筋混凝土造,94年11月16日,四層,一層 二層 三層 四層
RPSNMLKLLHMFFAN48CA,11,2.80,見其他登記事項,鋼筋混凝土造,94年11月16日,三層,
RPSNMLKLLHMFFAN48CA,11,.25,見其他登記事項,鋼筋混凝土造,94年11月16日,一層,
RPTNMLMLLHMFFAN78CA,22,91.72,住家用,鋼筋混凝土造,84年1月16日,八層,二層
RPTNMLMLLHMFFAN78CA,22,11.92,見其他登記事項,鋼筋混凝土造,84年1月16日,八層,
RPTNMLMLLHMFFAN78CA,22,11.60,見其他登記事項,鋼筋混凝土造,84年1月16日,八層,
RPRNMLLLLHMFFBN58CA,,200.10,見其他登記事項,鋼筋混凝土造,105年9月22日,四層,一層 二層 三層 四層
RPSNMLLLLHMFFBN68CA,,200.10,見其他登記事項,鋼筋混凝土造,105年9月22日,四層,一層 二層 三層 四層
RPTNMLLLLHMFFBN78CA,,200.10,見其他登記事項,鋼筋混凝土造,105年9月22日,四層,一層 二層 三層 四層
RPXNMLLLLHMFFCN66CA,20,162.36,農舍,鋼筋混凝土造,86年4月14日,三層,一層 二層 三層
RPWNMLKLLHMFFBN98CA,1,139.76,見其他登記事項,鋼筋混凝土造,105年4月21日,三層,一層 二層 三層 見其他登記事項
RPPOMLMLLHMFFAN48CA,9,94.47,見其他登記事項,鋼筋混凝土造,97年7月10日,十一層,六層
RPPOMLMLLHMFFAN48CA,9,39.70,見其他登記事項,鋼筋混凝土造,97年7月10日,十一層,
RPPOMLMLLHMFFAN48CA,9,19.77,見其他登記事項,鋼筋混凝土造,97年7月10日,十一層,
RPPNMLOLLHMFFAN58CA,2,253.54,見其他登記事項,鋼筋混凝土造,104年5月20日,五層,一層 二層 三層 四層 五層
RPPOMLOLLHMFFAN68CA,41,76.61,住家用,加強磚造,65年2月2日,一層,一層
RPWNMLSLLHMFFAN07CA,40,112.05,住家用,鋼筋混凝土加強磚造,65年11月23日,三層,一層 二層 三層
RPOOMLSLLHMFFAN98CA,23,105.79,住家用,鋼骨鋼筋混凝土造,83年1月12日,十二層,七層
RPOOMLSLLHMFFAN98CA,23,23.06,停車空間,鋼骨鋼筋混凝土造,83年1月12日,十二層,地下二層
RPOOMLSLLHMFFAN98CA,23,22.96,見其他登記事項,鋼骨混凝土造,83年1月12日,十二層,
RPOOMLSLLHMFFAN98CA,23,1.80,見其他登記事項,鋼骨混凝土造,83年1月12日,十二層,
RPQNMLPJMHMFFDN98CA,43,86.00,住家用,鋼筋混凝土加強磚造,62年12月5日,二層,一層 二層
RPSNMLRKLHMFFCN66CA,,209.47,見其他登記事項,鋼筋混凝土造,106年1月10日,四層,一層 二層 三層 四層
RPRNMLKLMHMFFCN68CA,22,174.30,住家用,鋼筋混凝土造,83年10月4日,三層,一層 二層 三層
RPUNMLTLLHMFFDN27CA,1,526.47,見其他登記事項,鋼筋混凝土造,105年7月11日,三層,一層 二層 三層 見其他登記事項
RPWNMLTLLHMFFDN47CA,1,507.44,見其他登記事項,鋼筋混凝土造,105年7月11日,三層,一層 二層 三層 見其他登記事項
RPWNMLMLLHMFFDN76CA,2,262.08,見其他登記事項,鋼筋混凝土造,104年5月20日,四層,一層 二層 三層 四層 屋頂突出物
RPPNMLMLLHMFFCN68DA,35,92.98,國民住宅,加強磚造,70年11月10日,二層,一層 二層
RPTNMLTLLHMFFHN57CA,22,214.25,住商用,鋼筋混凝土造,84年1月24日,五層,一層 二層 三層 四層 五層 騎樓
RPQNMLPLLHMFFHN86CA,1,176.12,見其他登記事項,鋼筋混凝土造,105年3月17日,三層,一層 二層 三層 屋頂突出物
RPQNMLKLLHMFFHN98CA,,158.27,住家用,鋼筋混凝土造,105年9月9日,四層,一層 二層 三層 四層
RPTNMLLKMHMFFEN09CA,3,37.60,農舍,鋼造,103年1月17日,一層,一層
RPVNMLPJMHMFFEN96CA,36,252.00,住家用,加強磚造,69年12月26日,三層,一層 二層 三層 騎樓
RPPNMLLLLHMFFFN78CA,1,167.18,住宅,鋼筋混凝土造,104年10月20日,三層,一層 二層 三層 見其他登記事項
RPQNMLTLLHMFFGN17CA,22,92.42,住家用,鋼筋混凝土造,84年5月26日,八層,三層
RPQNMLTLLHMFFGN17CA,22,37.90,見其他登記事項,鋼筋混凝土造,84年5月26日,八層,
RPVNMLKMLHMFFDN66DA,,224.87,見其他登記事項,鋼筋混凝土造,105年10月5日,四層,一層 二層 三層 四層 見其他登記事項
RPPOMLKLLHMFFAN38DA,33,174.97,住家用,鋼筋混凝土造,72年12月21日,三層,一層 二層 三層 騎樓
RPUNMLOLLHMFFDN76CA,21,130.92,住家用,鋼筋混凝土造,84年8月21日,十六層,十三層
RPUNMLOLLHMFFDN76CA,21,11.05,見其他登記事項,鋼筋混凝土造,84年8月21日,十六層,
RPUNMLOLLHMFFDN76CA,21,21.42,見其他登記事項,鋼筋混凝土造,84年8月21日,十六層,
RPUNMLOLLHMFFDN76CA,21,17.03,見其他登記事項,鋼筋混凝土造,84年8月21日,十五層,
RPPNMLSJMHMFFCN09CA,21,186.44,住家用,鋼筋混凝土造,85年5月2日,四層,一層 二層 三層 四層
RPRNMLPJMHMFFDN09CA,24,141.03,住家用,鋼筋混凝土造,82年4月16日,三層,一層 二層 三層
RPPNMLQKMHMFFDN09CA,23,90.16,住家用,鋼筋混凝土造,83年2月1日,七層,五層
RPPNMLQKMHMFFDN09CA,23,40.50,見其他登記事項,鋼筋混凝土造,83年2月1日,七層,
RPVNMLRKMHMFFDN17CA,,318.22,見其他登記事項,鋼筋混凝土造,105年11月15日,四層,一層 二層 三層 四層 見其他登記事項
SPVNMLRKMHMFFDN27CA,,316.62,見其他登記事項,鋼筋混凝土造,105年11月15日,四層,一層 二層 三層 四層 見其他登記事項
TPVNMLRKMHMFFDN37CA,,316.62,見其他登記事項,鋼筋混凝土造,105年11月15日,四層,一層 二層 三層 四層 見其他登記事項
UPVNMLRKMHMFFDN47CA,,320.64,見其他登記事項,鋼筋混凝土造,105年11月15日,四層,一層 二層 三層 四層 見其他登記事項
RPVOMLSLLHMFFAN07CA,1,143.74,見其他登記事項,鋼筋混凝土造,105年1月20日,三層,一層 二層 三層 屋頂突出物
RPOOMLMLLHMFFAN38CA,24,97.79,住家用,鋼筋混凝土造,82年5月13日,七層,三層
