編號,車位類別,車位價格,車位面積平方公尺
RPPOMLMLLHMFFAN48CA,坡道平面,0,
RPOOMLSLLHMFFAN98CA,坡道平面,0,
RPPNMLQKMHMFFDN09CA,坡道平面,0,
RPOOMLMLLHMFFAN38CA,坡道平面,0,
RPPNMLNLLHMFFAN48CA,坡道平面,450000,12.98
RPPNMLNLLHMFFAN48CA,坡道平面,450000,12.98
RPUNMLRJMHMFFAN66CA,坡道平面,1000000,31.26
RPSNMLLKMHMFFAN58CA,坡道平面,670000,19.71
RPPOMLNKMHMFFCN78CA,其他,0,
RPUNMLOLLHMFFAN09CA,坡道機械,500000,
RPTNMLMKMHMFFAN78CA,坡道機械,0,
RPQNMLKKMHMFFAN28CA,坡道機械,0,7.50
RPPOMLPJMHMFFAN68CA,升降機械,0,
RPUNMLTLLHMFFAN96CA,一樓平面,0,39.11
RPUNMLSLLHMFFGN57DA,升降機械,0,
RPPNMLQJMHMFFAN68CA,坡道平面,0,
RPPNMLQJMHMFFAN68CA,坡道平面,0,
RPPNMLQJMHMFFAN68CA,坡道平面,0,
RPQNMLQJMHMFFEN56CA,升降機械,0,
RPTNMLPJMHMFFGN07DA,升降機械,0,
RPTNMLQJMHMFFAN09CA,升降機械,0,
RPPOMLPJMHMFFCN88CA,坡道平面,0,
RPTNMLKLMHMFFGN66CA,升降平面,0,
