鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路三段1~30號,5.11,商,,,1051001,土地1建物1車位1,十二層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0890417,56.96000000000001,1,1,1,有,有,2600000,45646,坡道機械,0.0,0,,RPPOMLMJNHMFFAO78EA
新竹市,房地(土地+建物),新竹市新竹市林森路151~180號,37.16,其他,,,1060210,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0790730,393.57000000000005,0,2,2,有,有,12000000,30490,,0.0,0,目前做辦公室使用,RPTNMLLKNHMFFAO88CA
新竹市,建物,新竹市新竹市延平路三段247巷31~60號,0.0,,,,1060301,土地0建物1車位0,一層,五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041224,69.81,0,0,0,無,有,3500000,50136,升降機械,8.65,0,,RPVPMLRKLHMFFAO07CA
新竹市,建物,新竹市新竹市延平路三段247巷31~60號,0.0,,,,1060301,土地0建物1車位0,一層,五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041224,68.19,0,0,0,無,有,3500000,51327,升降機械,8.65,0,,SPVPMLRKLHMFFAO17CA
新竹市,房地(土地+建物),新竹市新竹市金竹路102巷1~30號,13.57,住,,,1060301,土地1建物1車位0,六層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0810331,58.16,1,1,1,有,有,1680000,28886,,0.0,0,,RPWNMLLKNHMFFAO56CA
新竹市,房地(土地+建物),新竹市新竹市長春街165巷1~30號,87.0,住,,,1060218,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,99.88,8,0,8,有,無,12000000,120144,,0.0,0,本買賣含增建部分,RPROMLMKMHMFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹市食品路1~30號,7.76,其他,,,1060303,土地2建物1車位1,五層,九層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0870108,79.85,1,1,1,有,有,2700000,33813,坡道平面,26.95,0,,RPVPMLRKMHMFFAO17CA
新竹市,房地(土地+建物),新竹市新竹市柯湳一街80巷1~30號,63.07,,山坡地保育區,丙種建築用地,1060221,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0900515,80.54,3,2,2,有,無,2250000,27940,,0.0,0,,RPUNMLRJMHMFFAO76CA
新竹市,房地(土地+建物),新竹市新竹市公園路211~240號,19.57,其他,,,1060125,土地1建物1車位0,一層，騎樓,七層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1001115,102.41000000000001,0,0,0,無,有,17000000,165999,,0.0,0,,RPXPMLQJMHMFFAO17CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路一段271~300號,19.79,商,,,1060301,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021211,155.19,3,2,2,有,有,8700000,56060,坡道平面,0.0,0,,RPUOMLTKLHMFFAO07CA
